13年 3月 3日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 3月 3日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  芝2000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 7R  ダ1700m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝1200m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,萌黄賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｂアロウィｰバイオ, 62,国分優,, 65,  -5,* 11, 1,  1.7,③⑥⑥, 1, 3,Ｅコスモスタｰタｰ, 60,黛弘人,, 67,*  0,*  5, 7, 25.0,⑮①①, 1,10,Ｃアクシｰバンダム, 74,松山弘,, 75,  -2,* 17, 7, 16.0,⑭⑭⑬, 1, 7,Ｂピンゾロ, 71,高倉稜,, 75,*  7,   0, 1,  4.0, ②③
 2, 6,Ｅヒキャクノアシ, 59,丸山元, 0.2, 63,* -2,   5, 3,  7.9,⑪③③, 2, 6,Ｇカネトシエタｰナル, 56,丸田恭, 0.6, 62,  -5,*  8, 4,  7.5,⑪⑪⑧, 2,13,Ｂワンダｰアシャｰド, 77,藤岡康, 0.3, 70,*  3,   5, 1,  3.0,③②②, 2, 6,Ｈクリノタカラチャン, 63,大庭和, 0.0, 77,*  9,  -1, 4, 11.5, ①①
 3, 9,Ｉセトノプロミス, 53,松山弘, 0.2, 65,  -6,* 11, 5, 13.8,⑧⑧④, 3,10,Ｍウインノｰヴァ, 46,菱田裕, 0.6, 61,* -1,  -1,11, 97.7,①②②, 3, 8,Ｎキョウエイショウリ, 64,伊藤工, 0.6, 71,  -3,* 14,15,168.4,⑮⑯⑮, 3,15,Ｅジンセイハオマツリ, 67,菱田裕, 0.1, 72,   3,*  3,10, 16.4, ⑨⑨
 4, 3,Ｄティアップサニｰ, 61,黛弘人, 0.4, 60,  -4,   5, 6, 16.4,⑦④⑤, 4, 8,Ｋムゲンコウネン, 47,藤岡康, 0.8, 61,  -2,   1, 6, 14.1,⑦⑦⑥, 4, 6,Ａディアヴァンドｰム, 77,松田大, 0.6, 66,*  2,   5, 3,  7.0,⑧⑤③, 4, 3,Ｇライブリシュネル, 64,松田大, 0.2, 70,  -1,*  5, 9, 16.0, ⑩⑦
 5, 8,Ａタイセイボルト, 62,松田大, 1.2, 56,  -8,   5, 4,  9.6,⑬⑫⑩, 5,13,Ｃエリンジュｰム, 61,大野拓, 0.8, 58,* -2,  -4, 2,  3.9,③④④, 5,16,Ｄサンライズドバイ, 73,国分優, 0.6, 67,*  3,   2, 9, 25.9,⑫①①, 5, 1,Ｄメイショウガンツ, 68,鮫島良, 0.4, 67,  -2,*  4, 6, 13.6, ⑭⑮
 6,11,Ｇキセキノチャンス, 53,藤岡康, 1.2, 57,  -6,   2, 8, 39.2,⑩⑨⑦, 6, 9,Ｌテンプトミｰノット, 46,丸山元, 1.0, 56,  -4,  -1, 8, 27.1,⑧⑧⑦, 6, 3,Ｌマイネルハｰシェル, 66,丹内祐, 0.8, 69,  -1,   7,13, 74.3,⑪⑫⑪, 6, 2,Ｃテイエムシングン, 68,柴山雄, 0.4, 68,   4,  -3,11, 18.0, ⑤②
 7,12,Ｃサマニトップレディ, 61,北村友, 1.4, 55,* -2,  -5, 2,  6.1,①①①, 7, 7,Ａエｰシンラクｰン, 71,北村友, 1.3, 56,  -7,   2, 1,  3.4,⑩⑫⑩, 7,11,Ｇエスペリア, 71,丸山元, 0.8, 68,   0,   7, 5,  7.5,⑯⑩⑤, 7,10,Ｌシゲルホウオウザ, 59,北村友, 0.6, 65,  -1,   0,13, 31.2, ⑪⑫
 8, 2,Ｋカシノハッピｰ, 46,横山和, 1.6, 54,  -8,   1,15,175.5,⑨⑪⑧, 8,12,Ｂレッドアモｰレ, 67,中井裕, 1.3, 53,* -2, -11, 5, 10.1,②③③, 8, 9,Ｆベルラピエル, 72,北村友, 0.9, 66,   0,   5, 2,  5.1,⑬⑦⑦, 8,16,Ａモｰニングコｰル, 74,丸田恭, 0.7, 65,*  6,  -7, 3,  5.7, ④⑥
 9, 1,Ｆミカサパワｰ, 56,中井裕, 2.1, 54,  -9,   0, 7, 33.7,⑭⑬⑫, 9, 4,Ｏパルトゥｰラ, 41,柴山雄, 1.5, 54,  -8,   2,14,169.5,⑭⑮⑮, 9, 7,Ｏメジロハクリュウ, 62,黛弘人, 0.9, 64,   1,   3,14, 74.5,⑥④④, 9,14,Ｍファイアキング, 59,川須栄, 0.7, 63,  -8,*  5,17,232.1, ⑱⑱
10,16,Ｊクリノアンデス, 46,菱田裕, 2.6, 47,* -2, -16,10, 63.0,②②②,10, 5,Ｄダイワレｰヌ, 61,松山弘, 1.6, 51,  -3, -11, 3,  4.1,⑥⑥⑤,10,12,Ｅジョｰラプタｰ, 72,菱田裕, 1.0, 67,   0,   5, 4,  7.2,①⑧⑩,10,18,Ｏハプスブルク, 57,大野拓, 0.8, 62,  -4,   0,12, 30.7, ⑰⑪
11, 4,Ｈメイキングドラマ, 53,宮崎北, 2.6, 45,  -6,  -9,16,242.7,⑮⑩⑬,11,14,Ｎアノヒミタユメ, 43,吉田隼, 1.8, 51,  -5,  -6,15,243.4,⑫⑬⑬,11, 2,Ｈマコトロｰゼンボｰ, 70,川須栄, 1.2, 66,   0,   3, 6, 12.9,⑦⑨⑧,11, 8,Ｉエメラルハヤブサ, 62,国分優, 0.9, 60,  -4,  -1, 2,  5.6, ⑯⑰
12, 7,Ｌタッテハンジョウ, 46,西村太, 3.3, 43,  -9, -11,14,157.7,⑫⑭⑭,12, 2,Ｆジョウノグロリア, 56,中舘英, 1.8, 52,  -8,  -2,10, 56.1,⑬⑯⑰,12, 4,Ｊメルシｰラスカル, 68,水口優, 1.3, 65,  -1,   4,12, 62.4,④⑪⑫,12,13,Ｆヤマノレオ, 66,西村太, 0.9, 61,  -4,  -1, 8, 14.7, ⑮⑯
13,14,Ｍアイノタマテバコ, 45,竹之下, 3.3, 42,  -4, -18, 9, 42.9,④⑤⑨,13,16,Ｊエスパシオ, 47,川須栄, 2.0, 48,  -2, -18, 9, 46.9,④⑤⑨,13, 1,Ｉブルｰイングリｰン, 70,中井裕, 1.3, 66,   0,   1, 8, 21.2,⑨⑥⑨,13, 4,Ｎラヴァｰズポイント, 59,宮崎北, 1.1, 60,   3, -10, 7, 14.6, ⑥④
14,10,Ｐルｰベル, 24,大野拓, 3.7, 41, -12,  -8,12, 98.0,⑯⑯⑯,14,11,Ｑマイネマロニエ, 37,丹内祐, 2.0, 53,  -9,   1,17,346.6,⑯⑰⑯,14, 5,Ｐシャイニｰクラウン, 57,原田敬, 1.7, 61,  -3,   4,11, 55.6,⑤⑮⑯,14, 5,Ｋマイネヴァイザｰ, 60,丹内祐, 1.3, 58,   2, -11,14, 62.2, ⑦⑧
15,15,Ｎカシノラッキｰ, 44,二本柳, 3.7, 39,  -5, -21,11, 66.8,⑥⑦⑪,15, 1,Ｉヒアルロンサン, 51,嘉藤貴, 2.2, 46,  -5, -13,13,166.2,⑨⑩⑫,15,14,Ｍシンデンアラタ, 66,上野翔, 1.8, 59,  -1,  -1,16,403.4,⑩⑬⑭,15,17,Ｒドクトルバロン, 53,嘉藤貴, 1.4, 54,  -1, -10,18,447.7, ⑬⑭
16,13,Ｏカンタベリｰリュウ, 36,柴山雄, 4.0, 39, -11, -12,13,123.4,⑤⑮⑮,16,18,Ｈジョロキアキャット, 52,原田敬, 2.7, 42,  -3, -23,12,152.7,⑤⑨⑪,16,15,Ｋカネトシスタチュｰ, 68,柴山雄, 3.4, 48,   1, -18,10, 47.1,②③⑥,16,12,Ｊワンダフルジュエル, 61,西田雄, 1.5, 53,  -1, -12,15,102.8, ⑫⑬
,,,,,,,,,,,,17,17,Ｐコウエイキズナ, 40,西村太, 3.0, 40,  -8, -17,18,355.6,⑰⑭⑭,,,,,,,,,,,,,17,11,Ｑトゥルｰカラｰズ, 56,藤岡康, 2.0, 49,   2, -20,16,125.5, ⑧⑩
,,,,,,,,,,,,18,15,Ｒオトメザミッキｰ, 36,田中健, 3.7, 34, -11, -20,16,316.3,⑱⑱⑱,,,,,,,,,,,,,18, 9,Ｐラドゥガ, 56,吉田隼, 2.4, 43,*  6, -30, 5, 13.3, ③⑤
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:稍重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:稍重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:1),,,,,,,,,,,
単勝:170円 複勝:05=110円 06=190円 09=310円 枠連:650円,,,,,,,,,,,,"単勝:2,500円 複勝:03=580円 06=270円 10=2,080円 枠連:2,110円",,,,,,,,,,,,"単勝:1,600円 複勝:10=370円 13=180円 08=3,000円 枠連:650円",,,,,,,,,,,,"単勝:400円 複勝:07=170円 06=370円 15=480円 枠連:1,400円",,,,,,,,,,,
"馬連:620円 ワイド:05-06=260円 05-09=520円 06-09=1,340円",,,,,,,,,,,,"馬連:7,590円 ワイド:03-06=2,170円 03-10=18,630円 06-10=9,860円",,,,,,,,,,,,"馬連:2,300円 ワイド:10-13=980円 08-10=17,520円 08-13=9,510円",,,,,,,,,,,,"馬連:2,990円 ワイド:06-07=970円 07-15=1,320円 06-15=3,250円",,,,,,,,,,,
"馬単:870円 3連複:2,550円 3連単:8,210円",,,,,,,,,,,,"馬単:16,320円 3連複:162,560円 3連単:981,440円",,,,,,,,,,,,"馬単:6,210円 3連複:129,890円 3連単:652,020円",,,,,,,,,,,,"馬単:4,910円 3連複:12,980円 3連単:42,430円",,,,,,,,,,,
■ 2R  ダ1000m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 5R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 8R  芝1200m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■11R  ダ1700m 4歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,早鞆特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｅクレバｰアポロ, 67,丸山元,, 68,  -2,* 10, 2,  4.0, ⑧④, 1, 1,Ａメイショウブシン, 69,丸田恭,, 68,  -1,* 12, 2,  4.9,⑮⑫⑩, 1, 7,Ｄアイビｰフォｰルド, 66,菱田裕,, 71,  -4,   8, 1,  4.2, ⑤④, 1,16,Ｆサンビスタ, 78,吉田隼,, 76,   5,* 11, 4, 10.2,⑫⑩⑥
 2,14,Ｉシゲルカイチョウ, 63,菱田裕, 0.2, 67,   1,   6, 3,  5.2, ⑤⑥, 2, 4,Ｂサンライズピｰク, 68,丹内祐, 0.2, 65,   2,   0, 1,  3.1,⑧⑥⑤, 2,12,Ｇユキノラムセス, 64,西田雄, 0.2, 68,* -1,   3, 8, 19.6, ③③, 2,14,Ｎシルクキングリｰ, 72,菱田裕, 0.2, 76,* 10,   3, 3,  8.6,⑦②①
 3, 3,Ａコップヒヤザケ, 76,中舘英, 0.4, 65,*  9,   0, 1,  3.0, ①①, 3, 7,Ｆサムソンズプライド, 58,横山和, 0.2, 64,*  5,  -6, 6, 14.3,②②①, 3,16,Ｃディザイラブル, 69,藤岡康, 0.3, 70, -11,* 13, 4,  7.7, ⑬⑧, 3,13,Ｂカチュｰシャ, 81,大野拓, 0.3, 75,   7,   5, 2,  5.6,⑥④④
 4, 4,Ｂサルジュ, 70,原田敬, 0.5, 64,*  6,   0, 9, 22.8, ②②, 4, 9,Ｃプランスペスカ, 65,吉田隼, 0.7, 60,   0,  -1, 3,  6.3,⑩⑪⑫, 4,13,Ｆメイショウコウボウ, 64,松山弘, 0.3, 67,  -4,   4, 2,  4.5, ⑥⑥, 4, 6,Ａロングロウ, 82,松山弘, 0.4, 75,   3,* 11, 1,  2.0,⑪⑯⑫
 5,13,Ｄエリクサｰ, 68,吉田隼, 0.5, 64,*  7,   0, 6, 13.3, ③③, 5,14,Ｄミッキｰサクセス, 63,菱田裕, 0.7, 59,   1,  -4, 4,  7.6,⑦⑧⑧, 5,11,Ｈゴｰルデンウィナｰ, 64,高倉稜, 0.6, 63,  -7,   3, 9, 23.2, ⑧⑨, 5, 5,Ｃトキノゲンジ, 80,西田雄, 0.5, 73,   4,* 10, 9, 30.1,⑭⑮⑪
