13年11月 9日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年11月 9日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝2000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 7R  芝2200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  芝2400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,比叡ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｂカッサイ, 56,浜中俊,, 63,* -2,*  3, 3,  5.6, ①①, 1, 5,Ａゼウスバロｰズ, 59,バルザ,, 64, -17,* 11, 1,  1.9,⑤⑤⑤, 1, 3,Ｉダイシンブラック, 59,ルメｰ,, 79,* -5,  11, 7, 32.3,②②②, 1, 4,Ａコウエイオトメ, 91,池添謙,, 81,   6,* 20, 5,  7.9,⑧⑦⑧
 2,13,Ｃメイショウホウトウ, 56,武豊  , 0.5, 60,* -4,   0, 1,  1.7, ②②, 2, 2,Ｉダノンロンシャン, 32,ルメｰ, 0.1, 60,*-14,   3, 5, 13.9,②①①, 2, 6,Ｃゴｰルドテｰラｰ, 74,デムｰ, 0.0, 80,  -6,  13, 2,  3.7,④③③, 2, 7,Ｇハｰバｰコマンド, 82,岩田康, 0.0, 76,* 11,   5, 2,  3.0,③③②
 3, 1,Ｇシュンブレイン, 47,和田竜, 0.7, 57,  -4,   0, 7, 29.9, ③③, 3, 4,Ｂオカホンコｰ, 59,国分優, 0.2, 62, -17,*  8, 8, 46.9,⑥⑥④, 3,10,Ｄゴッドフロアｰ, 74,内田博, 0.2, 80,  -8,* 15, 6, 26.9,⑤⑥⑥, 3, 1,Ｊメイショウドンタク, 76,横山典, 0.0, 75,  10,   7, 8, 74.2,②②③
 4, 2,Ｄロングリバイバル, 56,松山弘, 0.8, 56,  -7,*  3, 4,  9.8, ⑦⑤, 4, 7,Ｃワクワクカンヲ, 59,武豊  , 0.3, 58,*-15,   3, 4, 10.0,⑦④③, 4, 8,Ｇダイシンハンタｰ, 71,川田将, 0.2, 78,  -6,  13, 4, 15.6,⑥⑤⑤, 4, 9,Ｄマイネオｰチャｰド, 84,ルメｰ, 0.0, 82,   7,  19, 3,  6.2,⑦⑧⑦
 5,12,Ｅドリｰムスカイハイ, 51,松田大, 1.0, 54,  -4,  -3, 6, 22.6, ④④, 5, 8,Ｄカレンヴィットリア, 56,川田将, 0.3, 57,*-16,   2, 3,  6.6,③②②, 5, 4,Ｆフィオリア, 72,秋山真, 0.3, 73,* -3,   2, 8, 65.0,①①①, 5,10,Ｂピクシｰプリンセス, 88,バルザ, 0.4, 78,   6,  16, 1,  2.7,⑨⑨⑨
 6, 4,Ｉシゲルエチゴ, 42,太宰啓, 1.1, 56,  -9,*  2,10,159.4, ⑩⑦, 6, 6,Ｇショウサンミｰベル, 38,松山弘, 0.4, 59, -17,   6, 7, 23.7,⑧⑧⑦, 6, 1,Ｅプロフェッサｰ, 72,戸崎圭, 0.3, 76,  -6,  10, 5, 17.4,③④④, 6, 6,Ｆナリタパイレｰツ, 82,内田博, 0.4, 75,  10,   3, 4,  7.5,④④④
 7, 8,Ｈヒャクマンバリキ, 45,藤岡康, 1.4, 52, -10,   0,12,197.5, ⑨⑧, 7, 3,Ｆエクストレミティｰ, 47,岩田康, 0.5, 58, -18,   6, 2,  4.1,④⑦⑨, 7, 2,Ａトｰセンギャラリｰ, 79,武豊  , 0.4, 79,  -9,* 16, 1,  1.7,⑦⑧⑧, 7, 5,Ｈトウカイオｰロラ, 80,秋山真, 0.4, 80,   5,* 21, 9, 83.9,⑩⑩⑩
 8, 6,Ａグレイトハスラｰ, 60,内田博, 2.7, 41, -10, -10, 5, 20.5, ⑪⑩, 8, 9,Ｅミヤジディｰノ, 56,デムｰ, 0.7, 55, -18,   3, 6, 17.4,⑪⑨⑧, 8, 9,Ｂスペルヴィア, 75,岩田康, 0.8, 75, -10,  12, 3,  6.7,⑨⑨⑨, 8, 3,Ｉスｰサングレｰト, 80,藤岡康, 0.7, 68,* 11,  -7, 6, 13.6,①①①
 9,11,Ｊワンダフルワｰルド, 41,岩田康, 3.0, 38,  -6, -18, 2,  5.3, ⑥⑥, 9, 1,Ｋスプルス, 30,和田竜, 0.7, 57, -20,   6,10,119.5,⑩⑩⑩, 9, 7,Ｈマコトタンホイザｰ, 69,松山弘, 0.8, 73,  -8,   8, 9, 85.1,⑧⑦⑦, 9, 8,Ｅメイショウジンム, 82,デムｰ, 0.8, 72,   8,   5,10, 91.2,⑥⑥⑥
10,10,Ｆマジェスティシップ, 50,武幸四, 3.1, 41, -12, -12, 9,119.4, ⑫⑪,10,10,Ｈサチノクイｰン, 32,国分恭, 3.1, 24,*-15, -36, 9, 75.1,①③⑥,10, 5,Ｊコｰダリｰ, 57,国分優, 1.4, 72, -11,  10,10,228.9,⑩⑩⑩,10, 2,Ｃフミノヤマビコ, 84,国分優, 0.9, 71,   7,   3, 7, 62.6,⑤⑤⑤
11, 9,Ｍインワンブレス, 31,森一馬, 3.2, 38,  -8, -17,13,216.2, ⑧⑫,11,11,Ｊブリｰズラプソディ, 30,酒井学, 3.2, 27, -21, -26,11,313.5,⑨⑪⑪,,,,,,,,,,,,,,,,,,,,,,,,
12, 5,Ｋドクタｰナイｰヴ, 40,戸崎圭, 5.7, 18,  -7, -41, 8, 33.3, ⑤⑨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13, 7,Ｌサトノプロシオン, 35,秋山真, 8.5, -6, -18, -52,11,187.0, ⑬⑬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
