13年12月14日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年12月14日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝2880m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■10R  ダ1800m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,香取特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ａカウンタｰハッセキ, 63,江田照,, 63,*  5,  -1, 1,  3.5, ③③, 1, 6, ドリｰムチャｰジ,,難波剛,,,,, 2,  6.2,⑨④④, 1,11, リコルディ,---,松山弘,, 31,*-42,   1, 6, 12.5,④⑤③, 1, 4,Ａイッシンドウタイ, 86,ムｰア,, 76,  11,  11, 1,  4.2,④⑥④
 2,16,Ｍヒメスズラン, 39,石橋脩, 0.5, 57,   3,  -4, 4,  7.7, ⑦⑥, 2, 7, ドリｰムセｰリング,,石神深,195.9,,,, 1,  1.3,②①①, 2,10, スマイルエンジェル,---,田辺裕, 0.3, 27,*-40,  -4, 9, 29.3,③②②, 2, 7,Ｂワイルドドラゴン, 84,柴田善, 0.4, 76,   9,* 12, 7, 13.2,⑪⑪⑩
 3,14,Ｎベルウッドタイガ, 35,武士沢, 0.6, 52, -14,* 10,12,151.0, ⑯⑯, 3,12, ドリｰムパワｰ,,金子光,196.8,,,, 3,  9.5,⑥⑧⑦, 3, 1, ウルトラバロｰズ,---,戸崎圭, 0.4, 35, -48,* 10, 1,  2.6,⑪⑬⑩, 3,15,Ｈクワイアｰソウル, 79,左海誠, 0.6, 76,* 12,   4,11, 49.5,⑤④⑥
 4, 7,Ｃブラックソヴリン, 58,内田博, 0.6, 58,*  6,  -7, 7, 23.5, ②②, 4, 3, プレミアムウォｰズ,,江田勇,196.8,,,, 6, 42.4,③②②, 4, 7, ニシノカザブエ,---,江田照, 0.4, 33, -44,*  4, 2,  5.0,⑩⑩⑨, 4,13,Ｇトｰセンセカイオｰ, 80,田中勝, 0.8, 75,   8,  11,10, 28.3,⑬⑬⑫
 5, 1,Ｅトウカイマインド, 56,的場勇, 0.6, 60,*  7,  -8, 5,  7.9, ①①, 5, 9, キｰプトライン,,横山義,197.0,,,, 8, 52.3,⑤③③, 5,12, リタｰントゥジェム,---,田中勝, 0.5, 25,*-42,  -4, 5, 10.0,⑥④⑤, 5, 3,Ｃコスモメルハバ, 82,柴田大, 0.9, 74,  11,   3, 4,  6.7,⑥⑤③
 6,15,Ｊワイルドジｰク, 48,北村宏, 0.7, 55,   3,  -6, 2,  3.6, ⑧⑤, 6,11, ネフライト,,山本康,197.2,,,, 7, 45.1,④⑥⑥, 6, 4, リキマル,---,宮崎北, 0.5, 26, -43,  -3,12,126.5,⑫⑥⑥, 6, 6,Ｋウエスタンオウジ, 76,田辺裕, 1.0, 72,  10,   5, 3,  6.4,⑩⑦⑦
 7, 6,Ｂスリｰロンドン, 59,蛯名正, 1.1, 50,  -6,  -1, 3,  4.8, ⑫⑬, 7, 5, ヘリオスフィア,,草野太,197.5,,,, 9, 58.8,⑧⑤⑤, 7, 6, ハクタイノカカク,---,内田博, 0.6, 27, -44,  -1, 8, 19.0,⑤⑦⑦, 7, 8,Ｏランブリングマン, 73,武士沢, 1.0, 75,   6,* 11,13, 85.0,⑮⑮⑯
 8, 9,Ｉサイプリペディウム, 49,木幡初, 1.2, 50,  -4,  -3,14,240.5, ⑬⑪, 8, 8, アンシャンテルｰル,,高野和,197.6,,,, 5, 28.5,⑪⑩⑧, 8, 9, ロンギングケイシｰ,---,石橋脩, 0.7, 25, -43,  -4, 4,  9.6,⑦⑧⑧, 8,11,Ｄイッツガナハプン, 81,大野拓, 1.1, 75,   6,* 12, 9, 21.1,⑯⑯⑭
