13年 8月25日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 8月25日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 7R  芝1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■10R  芝1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,朝日岳特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｅアロｰズグリｰム, 45,池添謙,, 49,   2, -10, 4,  6.8, ⑥⑥, 1,11,Ａヴィルトグラｰフ, 68,木幡初,, 59,  -7,*  5, 1,  1.8,⑪⑦⑥, 1,15,Ｄカフェブリリアント, 62,福永祐,, 74,*  1,*  8, 1,  2.4,   , 1, 6,Ｅマイネボヌｰル, 76,柴田大,, 81,* -5,  17, 4,  6.8, ③③
 2, 7,Ａブラックチョコ, 57,嘉藤貴, 0.1, 49,*  4, -14, 2,  3.7, ③③, 2, 9,Ｃコスモナイスガイ, 63,柴田大, 0.1, 61, -11,* 13, 2,  4.6,⑮⑮⑬, 2, 8,Ｃシェｰル, 64,杉原誠, 0.4, 67,  -3,   5, 2,  3.5,   , 2, 4,Ｈミナレット, 75,嘉藤貴, 0.1, 77,* -4,  13, 8, 16.6, ②②
 3, 4,Ｉサンタレジｰナ, 39,北村宏, 0.3, 46,*  4, -15,10, 46.2, ④④, 3,12,Ｂワイピオバレｰ, 64,戸崎圭, 0.1, 58,  -6,   2, 3,  4.8,⑥④③, 3, 3,Ａサクラモンストｰル, 68,戸崎圭, 0.4, 67,*  3,   1, 4, 11.0,   , 3,18,Ｎエｰルブリｰズ, 70,川田将, 0.3, 77,  -8,  17, 3,  6.6, ⑦⑥
 4, 9,Ｊハナズチュｰリップ, 38,松岡正, 0.3, 46,   2, -14, 9, 27.9, ⑤⑤, 4, 8,Ｄドラゴンマッチョ, 58,福永祐, 0.4, 58,  -7,   4, 5, 29.6,⑬⑩⑨, 4, 6,Ｂバｰチャルツアｰ, 66,木幡初, 0.6, 63,  -7,   5, 3,  7.8,   , 4,13,Ｊエンドレスノット, 74,蛯名正, 0.3, 77,  -8,  16, 5,  8.7, ⑥④
 5,17,Ｈケルシャンス, 44,戸崎圭, 0.3, 43,  -8,* -1, 5, 13.2, ⑭⑭, 5,15,Ｅドゥリマｰズドリム, 56,三浦皇, 0.9, 54,  -7,  -1, 4, 12.8,⑨⑨⑩, 5,14,Ｈタイキロマネスク, 52,田辺裕, 0.6, 63,  -3,   2, 8, 23.8,   , 5, 1,Ｍレト, 71,北村宏, 0.4, 75,  -8,  15,11, 37.8, ④⑤
 6, 2,Ｌイｰグルアモン, 34,武士沢, 0.4, 42,  -9,*  0,14,162.9, ⑮⑮, 6, 4,Ｌロｰレルトレジャｰ, 45,松岡正, 1.1, 50,  -6,  -4, 6, 35.2,⑧⑥⑧, 6, 2,Ｏアクロコリントス, 37,嶋田純, 0.7, 60, -16,*  9,16,260.6,   , 6,14,Ａシルクドリｰマｰ, 80,戸崎圭, 0.4, 78, -14,* 24, 1,  3.8, ⑮⑰
 7,18,Ｂテイエムリキオｰ, 50,横山典, 0.4, 41,  -4,  -7, 1,  3.6, ⑫⑩, 7,13,Ｈテンジンキヨモリ, 51,江田照, 1.4, 48,* -5, -10, 9, 45.3,③③②, 7, 9,Ｅアイノタマテバコ, 62,大庭和, 0.9, 59,  -8,   2, 5, 14.1,   , 7, 9,Ｉインプロヴァイズ, 74,福永祐, 0.4, 77, -11,  18, 2,  6.5, ⑩⑧
 8, 3,Ｎテイエムペガサス, 32,杉原誠, 0.5, 43,   0, -14,13,153.4, ⑦⑦, 8, 3,Ｆミスズ, 54,花田大, 1.6, 49, -10,  -2,10, 50.8,⑭⑭⑫, 8, 4,Ｋクレメンタイン, 46,三浦皇, 1.2, 55, -12,   1,12,143.6,   , 8, 3,Ｂケイアイエレガント, 80,石橋脩, 0.5, 77, -16,* 23, 6,  8.8, ⑰⑮
 9, 8,Ｄレイズアセイル, 47,江田照, 0.6, 42,   0, -14, 6, 13.5, ⑧⑧, 9, 6,Ｇデラウメイア, 54,石神深, 1.6, 48,  -7,  -7, 7, 42.2,⑩⑧⑦, 9,17,Ｉディアラブクイｰン, 50,大野拓, 1.2, 54,  -5,  -5, 6, 15.0,   , 9, 8,Ｌアポロオラクル, 74,田辺裕, 0.5, 74,  -8,  13,13, 57.8, ⑤⑦
10,14,Ｍラララ, 34,長岡禎, 0.7, 39,  -4, -11,15,171.6, ⑩⑪,10, 7,Ｉスプリングカフェ, 50,伊藤工, 2.4, 42,  -7, -16, 8, 43.6,⑤⑤⑤,10, 7,Ｍスイｰトポルカ, 39,柴田善, 1.3, 50, -28,*  9,11, 71.7,   ,10, 2,Ｇドラゴンライズ, 75,柴田善, 0.6, 75, -12,  18,17,221.4, ⑬⑫
11,16,Ｃキネオダンサｰ, 48,内田博, 0.8, 39,   0, -18, 3,  4.8, ⑨⑨,11, 1,Ｊキョウエイカミング, 50,杉原誠, 2.9, 40, -10, -14,11, 52.3,⑫⑬⑪,11, 5,Ｆエレガントアゲン, 60,長岡禎, 1.5, 50,  -7,  -7,10, 55.4,   ,11,15,Ｏネオウィズダム, 69,三浦皇, 0.7, 72,  -9,  13,10, 30.8, ⑧⑨
12,11,Ｋオメガベントレｰ, 38,蛯名正, 0.9, 37, -11,* -5, 7, 18.5, ⑯⑯,12,14,Ｎダイワロｰジｰ, 39,北村宏, 3.5, 34,* -4, -30,13, 87.7,①①①,12,13,Ｌメテオラ, 43,柴田大, 1.7, 49,*  3, -17, 9, 37.5,   ,12,17,Ｃゴｰルドベル, 80,小牧太, 0.7, 73, -12,  16, 7, 11.2, ⑫⑪
13, 6,Ｆオルカアタック, 45,嶋田純, 1.0, 38,*  6, -28,11, 79.5, ②②,13, 5,Ｋイムディｰナ, 49,嶋田純, 4.8, 27,  -8, -33,12, 67.2,④⑪⑭,13, 1,Ｇカシノコゴロウ, 54,西田雄, 1.9, 42, -19,  -5,14,168.4,   ,13, 7,Ｆシェルエメｰル, 76,内田博, 0.7, 77, -17,* 24,12, 42.2, ⑱⑱
14,10,Ｐアキノムｰン, 24,原田和, 1.4, 32,  -7, -16,16,268.9, ⑬⑫,14,10,Ｍスマッシュパワｰ, 41,長岡禎, 5.2, 25,* -5, -43,14,212.3,②②④,14,18,Ｊクラウンビュレット, 48,山崎亮, 2.0, 41,  -8, -15, 7, 15.9,   ,14, 5,Ｒワンダフルジュエル, 63,大野拓, 0.8, 71, -11,  13,18,238.7, ⑨⑩
15, 1,Ｏマイネルシェルト, 30,柴田大, 1.4, 36,*  8, -34, 8, 19.8, ①①,15, 2,Ｏホットショットガン,-13,大庭和, 7.1, 17, -10, -50,15,269.8,⑦⑫⑮,15,10,Ｑカシノフェアリｰ, 18,原田和, 2.1, 40, -11, -13,18,461.3,   ,15,11,Ｄビッグスマイル, 79,松岡正, 0.8, 73, -15,  18, 9, 26.4, ⑯⑭
16, 5,Ｒカンタベリｰワルツ, 15,山崎亮, 1.9, 29, -15, -11,18,461.0, ⑱⑰,,,,,,,,,,,,,16,12,Ｐベルモントレｰヌ, 28,江田照, 2.1, 39, -15, -10,15,230.5,   ,16,16,Ｑミヤビアミュレット, 65,池添謙, 1.0, 69, -12,  12,14, 75.0, ⑪⑬
17,12,Ｇリネンスウィフト, 44,西田雄, 3.0, 17,  -3, -40,17,295.1, ⑪⑬,,,,,,,,,,,,,17,16,Ｎドライサンプ, 39,花田大, 2.4, 35, -19, -11,17,325.0,   ,17,10,Ｐゴｰルドスマイル, 68,江田照, 1.0, 65,* -1,  -1,15,195.6, ①①
