13年11月10日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年11月10日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝3000m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝1400m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｵｰﾛｶｯﾌﾟ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ａブリッツ, 63,戸崎圭,, 62,* -5,*  3, 2,  3.1, ①①, 1, 8, ケイアイドウソジン,,江田勇,,,,, 3,  7.7,③③③, 1,15,Ｄオリオンザスタｰ, 73,田辺裕,, 75,*  4,* 10, 3,  4.1, ③③, 1, 1,Ｎプリンセスメモリｰ, 78,後藤浩,, 89,   5,* 21,11, 28.3, ⑬⑭
 2,10,Ｅジｰニアイ, 53,ムｰア, 0.2, 61,* -6,*  3, 1,  2.4, ⑤③, 2,12, ワンダフルフェロｰ,,鈴木慶,206.2,,,, 6, 20.8,④②②, 2,12,Ａゴｰルドゼウス, 78,ルメｰ, 0.3, 72,   3,*  9, 2,  3.9, ⑤⑤, 2,11,Ｆテイエムオオタカ, 82,大野拓, 0.0, 87,* 12,   9, 6, 13.0, ④③
 3,16,Ｄバイタルワンダｰ, 53,石橋脩, 0.7, 57,* -5,  -2, 7, 29.3, ②②, 3,11, レッドグルｰヴァｰ,,高田潤,206.3,,,, 1,  2.5,②①①, 3, 2,Ｆエルマンボ, 70,ムｰア, 0.5, 73,*  4,   7, 1,  2.9, ④④, 3, 5,Ｌクラウンレガｰロ, 79,浜中俊, 0.2, 84,   9,  10, 5,  9.4, ⑧⑦
 4,13,Ｇキｰビスケット, 45,北村宏, 1.0, 54,  -8,  -2, 5,  9.4, ⑧⑥, 4, 6, バｰドバｰニング,,植野貴,206.6,,,, 2,  3.2,⑦④⑤, 4,10,Ｏオメガラヴィｰタ, 56,松山弘, 0.9, 71,   2,   6,14,101.6, ⑧⑧, 4, 6,Ｈシャイニｰホｰク, 81,柴田大, 0.2, 85,   9,   9, 8, 19.5, ⑦⑥
 5, 4,Ｆペイシャマシェリ, 49,宮崎北, 1.0, 55, -11,*  2, 9, 87.2, ⑥⑦, 5, 3, カフェディｰン,,山本康,207.1,,,, 4,  8.1,⑤⑦⑥, 5, 4,Ｂスリｰプレシャス, 74,後藤浩, 1.0, 70,   1,   7, 8, 25.3, ⑩⑩, 5,16,Ｃセイウンジャガｰズ, 85,田辺裕, 0.3, 83,  10,   7, 9, 25.1, ⑤⑤
 6, 5,Ｃトウカイリｰブル, 58,田辺裕, 1.5, 50,  -8,  -6, 4,  9.1, ④⑤, 6, 1, エリタｰジュ,,難波剛,207.4,,,, 8, 27.3,⑧⑨⑨, 6, 8,Ｅラブミｰニキｰタ, 72,戸崎圭, 1.2, 69,  -1,   7, 6, 19.3, ⑮⑬, 6,10,Ｍキングレオポルド, 78,丸田恭, 0.3, 84,   5,  15,17,127.0, ⑫⑫
 7, 6,Ｂキョウエイボヌｰル, 60,津村明, 1.6, 50, -12,  -1, 3,  6.2, ⑨⑨, 7, 2, カノヤミノリ,,黒岩悠,207.5,,,,11, 62.1,⑥⑤④, 7, 6,Ｉアップルハウス, 67,大野拓, 1.3, 69,   2,   3, 9, 34.5, ⑦⑦, 7, 9,Ｊモグモグパクパク, 79,北村宏, 0.3, 85,   3,* 17, 7, 17.0, ⑮⑰
 8,11,Ｈサンバデジャネイロ, 43,二本柳, 3.4, 36, -13, -15,12,187.4, ⑪⑫, 8,10, テイエムパラディｰ,,平沢健,207.9,,,,10, 60.1,⑨⑧⑦, 8,11,Ｎハｰストイｰグル, 62,横山典, 1.4, 65,   3,   1, 5, 15.3, ⑥⑥, 8,12,Ｅワイズリｰ, 82,松山弘, 0.3, 84,   7,  12, 3,  6.9, ⑩⑪
 9, 2,Ｋディアオｰブ, 40,松山弘, 3.4, 35,  -8, -23,10,116.0, ③④, 9,14, マイネルガヴロシュ,,西谷誠,208.1,,,, 7, 23.9,⑬⑬⑫, 9,14,Ｊレオパルドゥス, 66,柴田大, 1.7, 64,*  5,  -5,13,100.4, ②②, 9, 3,Ａカシノピカチュウ, 87,西田雄, 0.3, 84,   7,  12, 4,  9.3, ⑨⑩
10,15,Ｍカンタベリｰワルツ, 34,丸田恭, 3.6, 35, -17, -11,13,245.3, ⑭⑭,10, 7, ヒラボクビクトリｰ,,北沢伸,208.8,,,, 5, 11.1,⑪⑩⑩,10, 3,Ｃビットアレグロ, 73,丸田恭, 1.8, 63,  -2,   5, 7, 19.7, ⑭⑮,10, 2,Ｏクリｰンエコロジｰ, 78,宮崎北, 0.3, 84,   6,  12,16, 58.4, ⑥⑨
11, 9,Ｐタケショウレｰブ, 28,柴田大, 3.9, 31, -12, -23,11,128.8, ⑦⑧,11,13, ラッシュザワｰク,,金子光,210.5,,,,13,168.0,⑫⑫⑪,11, 9,Ｋネオヴァンデロア, 66,北村宏, 2.2, 60,   1,  -4,10, 37.7, ⑪⑪,11,18,Ｉザラストロ, 80,戸崎圭, 0.4, 82,   9,   8,12, 28.6, ⑪⑧
12, 1,Ｏリサ, 31,大庭和, 4.0, 34, -28,  -1, 8, 73.5, ⑯⑯,12, 4, トウショウドライヴ,,石神深,212.8,,,,12,155.6,⑭⑭⑭,12,13,Ｇザゲｰムイズオン, 69,松岡正, 2.8, 55,*  6, -16,12, 79.0, ①①,12,15,Ｇインプレスウィナｰ, 82,田中勝, 0.4, 84,   4,  15, 2,  5.0, ⑯⑯
13, 7,Ｉバラノカオリ, 42,的場勇, 4.0, 33, -14, -20,15,362.5, ⑫⑪,13, 9, ノボプレシャス,,五十嵐,213.1,,,, 9, 33.7,①⑥⑧,13, 7,Ｌアップアンカｰ, 64,石橋脩, 3.3, 53,  -2, -10,11, 69.1, ⑫⑭,13,14,Ｂオセアニアボス, 85,津村明, 0.5, 83,   1,* 17,15, 52.7, ⑱⑱
14, 3,Ｊトリノドリｰム, 42,武士沢, 4.0, 32, -13, -21,14,277.0, ⑩⑩,14, 5, スレイプニル,,上野翔,214.4,,,,14,311.9,⑩⑪⑬,14, 5,Ｍカシノペンダント, 63,二本柳, 4.6, 45,   0, -22,15,218.1, ⑬⑫,14,17,Ｄレオアクティブ, 85,横山典, 0.5, 82,   6,  12, 1,  3.8, ⑰⑬
15, 8,Ｌディバインドｰタｰ, 40,大野拓, 4.9, 24, -16, -26, 6, 22.7, ⑬⑬,,,,,,,,,,,,,15, 1,Ｈウエスタンムサシ, 68,田中勝, 4.7, 42,   1, -26, 4,  9.9, ⑨⑨,15, 8,Ｐヘニｰハウンド, 78,石橋脩, 0.6, 80,* 13,   0,13, 30.7, ②②
16,14,Ｎシゲルスルガ, 33,西田雄, 5.2, 22, -21, -22,16,371.6, ⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,,16, 7,Ｒクィｰンズバｰン, 75,四位洋, 0.7, 78,* 13,  -2,10, 27.7, ①①
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,13,Ｋサトノタイガｰ, 79,的場勇, 0.8, 79,   4,   9,18,151.0, ⑭⑮
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18, 4,Ｑブラボｰスキｰ, 77,松岡正, 1.0, 75,  10,  -2,14, 42.7, ③④
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-2),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:2),,,,,,,,,,,
単勝:310円 複勝:12=110円 10=130円 16=450円 枠連:380円,,,,,,,,,,,,単勝:770円 複勝:08=280円 12=360円 11=130円 枠連:620円,,,,,,,,,,,,単勝:410円 複勝:15=130円 12=150円 02=140円 枠連:610円,,,,,,,,,,,,"単勝:2,830円 複勝:01=840円 11=460円 05=380円 枠連:5,470円",,,,,,,,,,,
馬連:370円 ワイド:10-12=170円 12-16=780円 10-16=850円,,,,,,,,,,,,"馬連:8,210円 ワイド:08-12=1,830円 08-11=500円 11-12=650円",,,,,,,,,,,,馬連:600円 ワイド:12-15=230円 02-15=280円 02-12=260円,,,,,,,,,,,,"馬連:19,460円 ワイド:01-11=5,270円 01-05=5,030円 05-11=1,860円",,,,,,,,,,,
"馬単:830円 3連複:1,860円 3連単:7,230円",,,,,,,,,,,,"馬単:14,400円 3連複:6,760円 3連単:64,410円",,,,,,,,,,,,"馬単:1,290円 3連複:770円 3連単:4,210円",,,,,,,,,,,,"馬単:45,930円 3連複:47,910円 3連単:468,400円",,,,,,,,,,,
■ 2R  芝1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 5R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  芝2000m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■11R  ダ1600m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,東京中日ｽﾎﾟｰﾂ杯武蔵野ｽﾃｰｸｽ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｉイタリアンネオ, 40,田辺裕,, 65, -14,   7, 4,  6.2, ④③, 1,14, ショウナンワダチ,---,北村宏,, 62, -21,* 13, 3,  5.9, ⑫⑪, 1, 6,Ｃノｰブルジュピタ, 76,田中勝,, 72,*  6,   5, 2,  8.2,②②②, 1, 6,Ｂベルシャザｰル, 95,ルメｰ,, 86,  13,  15, 1,  3.5, ⑤⑤
