13年 5月 4日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 5月 4日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 7R  ダ1200m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■10R  芝2200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,胎内川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ａヤマニンブルジョン, 68,田中健,, 63,   1,*  5, 1,  2.2, ⑤⑤, 1, 4,Ｂベルウッドテラス, 63,大野拓,, 63,   0,*  3, 1,  2.3,⑩⑩⑨, 1, 9,Ｂルチャドルアスｰル, 71,平野優,, 75,* 21,  -1, 6, 11.5, ①①, 1,10,Ｆテナシティｰ, 65,伊藤工,, 73,  -3,*  8, 6,  9.0,⑨⑨⑨
 2, 4,Ｄサンマルヴィグラス, 58,松田大, 0.0, 62,*  4,   1, 7, 18.6, ①①, 2, 6,Ａライフトップガン, 63,菱田裕, 0.3, 62,   1,* -3, 2,  3.7,③⑥⑦, 2, 3,Ｆコスモイルダｰナ, 68,丹内祐, 0.7, 65,  10,*  3, 2,  5.1, ⑩⑩, 2, 6,Ｃスタｰトセンス, 69,大野拓, 0.0, 74,  -4,* 11, 1,  3.4,⑩⑩⑩
 3,11,Ｆクラウンプルｰトゥ, 54,勝浦正, 0.5, 58,  -1,   2, 2,  5.1, ⑦⑥, 3, 9,Ｄマイネルオルカｰン, 59,津村明, 0.3, 61,   2,* -3, 5, 12.8,⑤⑦⑥, 3, 5,Ａフランキンセンス, 74,西田雄, 0.8, 65,  16,  -4, 3,  5.9, ⑥⑥, 3, 7,Ａマルケサス, 72,松田大, 0.2, 69,  -3,   3, 2,  3.5,⑧⑦⑦
 4, 9,Ｈグロスヴァｰグ, 52,西村太, 0.5, 59,*  4,  -2,11,158.1, ②②, 4,12,Ｃブルｰボリウッド, 62,川須栄, 0.6, 59,   1,  -6, 6, 13.1,⑫⑤③, 4,15,Ｄマウントフジ, 70,丸田恭, 1.1, 61,  12,  -2, 8, 12.5, ⑨⑧, 4, 9,Ｂミライヘノカゼ, 69,川須栄, 0.4, 66,  -1,  -2, 4,  6.9,⑥⑥④
 5,12,Ｇウォｰタｰパｰク, 54,菱田裕, 1.0, 54,  -8,*  5, 6, 16.7, ⑫⑫, 5,14,Ｆサトノデプロマット, 56,丸山元, 0.9, 56,*  2, -10, 3,  5.6,④③①, 5,14,Ｊスズカブリザｰド, 66,鮫島良, 1.2, 61,  12,  -3,13,107.8, ⑧⑦, 5, 3,Ｈアドマイヤトライ, 63,中舘英, 0.5, 63,*  0,  -7, 5,  8.5,③②②
 6,13,Ｋスノｰドロップ, 36,丹内祐, 1.5, 50,  -2,  -6, 9, 79.7, ⑧⑧, 6, 3,Ｇマイネルエウロス, 55,丹内祐, 1.2, 56,   0,  -8, 8, 46.2,⑨⑨⑧, 6,11,Ｌダイシンサｰベル, 63,菱田裕, 1.2, 60,   7,*  1,14,117.1, ⑪⑪, 6, 2,Ｄフェニックスソｰド, 68,勝浦正, 0.6, 62,  -2,  -7, 3,  5.9,⑤③③
 7, 5,Ｍニイタカヤマ, 31,伴啓太, 1.6, 48,  -2,  -6,12,164.8, ⑥⑦, 7,15,Ｎヤマニンクレマ, 34,田中健, 1.4, 53,   1, -13, 7, 34.5,⑥④②, 7, 7,Ｅホンインボウ, 69,勝浦正, 1.3, 62,* 19, -11, 4,  6.5, ②②, 7, 8,Ｇカｰバ, 65,田中健, 0.7, 60,*  0, -11, 7, 17.1,①①①
 8, 1,Ｃエアｰウェｰブ, 61,吉田隼, 2.0, 44,  -5,  -8, 5,  9.8, ⑪⑪, 8, 2,Ｈトｰホウギルス, 53,吉田隼, 1.8, 51,   0, -13, 4,  9.3,⑦⑧⑩, 8,13,Ｋトｰホウサタｰン, 63,村田一, 1.6, 56,   8,  -3,12, 87.4, ⑫⑫, 8, 4,Ｅクリノメダリスト, 65,丸山元, 0.8, 60,  -1,  -8, 8, 19.2,④⑤⑥
 9, 6,Ｅオスカルアンドラス, 55,高倉稜, 2.0, 44,   2, -13, 3,  5.2, ④④, 9, 1,Ｌナリタアップスタｰ, 48,高倉稜, 2.1, 51,  -4,  -6,10,101.3,⑮⑮⑮, 9, 1,Ｍギルドマスタｰ, 62,津村明, 1.6, 54,   2,*  3,11, 86.0, ⑮⑮, 9, 1,Ｉリッカシェクル, 62,吉田隼, 0.9, 63,  -2,  -4,10, 84.6,⑦⑧⑧
10,15,Ｊショウナンハヤテ, 40,村田一, 2.0, 46, -11,  -1,10,146.3, ⑭⑭,10,13,Ｉクリノマッキンリｰ, 52,宮崎北, 2.6, 45,   0, -19,15,459.8,⑭⑪⑪,10, 2,Ｏサウンドストｰム, 24,丸山元, 1.9, 52,   3,  -1,10, 36.8, ⑭⑭,10, 5,Ｊカシノレインボｰ, 59,西田雄, 3.1, 39,  -1, -41, 9, 81.3,②④⑤
