13年 9月 8日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 9月 8日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  芝2970m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  ダ1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,夙川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ａフェブノヘア, 55,松山弘,, 60,*  4,* -5, 3,  7.7, ①①, 1, 4, アラタマユニバｰス,,中村将,,,,, 2,  3.1,②②②, 1, 6,Ａデウスウルト, 78,藤岡康,, 78,  11,  -4, 1,  2.1, ⑦⑥, 1, 1,Ｌスイｰトジュエリｰ, 70,川田将,, 87,   8,* 18, 2,  5.1, ③④
 2, 4,Ｇトラストフェアリｰ, 43,中井裕, 0.1, 60,   0,* -2, 6, 14.8, ⑥⑥, 2, 1, タマモショパン,,熊沢重,201.5,,,, 1,  2.3,①①①, 2, 1,Ｈテイエムレンジャｰ, 62,太宰啓, 0.3, 76,   5,*  2, 4, 12.3, ⑩⑪, 2, 3,Ａレギス, 80,浜中俊, 0.8, 80,*  9,  10, 1,  2.2, ②②
 3, 3,Ｄグラナディラ, 52,幸英明, 0.2, 57,   0,* -3, 1,  2.9, ⑤⑤, 3, 7, メイショウタｰビン,,難波剛,201.9,,,, 4, 12.5,④③③, 3, 2,Ｂエイティグロｰリｰ, 73,鮫島良, 0.5, 74,   7,  -4, 6, 13.0, ⑧⑨, 3, 5,Ｃカリスマサンスカイ, 78,国分優, 0.9, 78,  -2,* 19, 6, 13.8, ⑪⑪
 4,13,Ｅラシェネガ, 50,北村友, 0.3, 57,*  2,  -5, 4,  7.7, ④③, 4, 8, メルシｰサイレンス,,林満明,202.9,,,, 5, 17.9,⑤⑤⑥, 4,12,Ｋメイショウインロウ, 58,武幸四, 0.8, 70,   7,  -8, 7, 39.9, ⑪⑩, 4,15,Ｂミッキｰホワイト, 78,北村友, 1.1, 76,*  9,   7, 7, 17.5, ④③
 5, 1,Ｂジョｰヌダンブル, 55,岩田康, 0.9, 51,   1, -10, 2,  2.9, ③④, 5, 9, バｰドバｰニング,,植野貴,203.0,,,, 6, 22.5,⑥⑥⑤, 5, 5,Ｅダンツクロノス, 65,和田竜, 0.8, 70,   4,* -3, 3,  9.2, ⑭⑫, 5,11,Ｋアｰスゼウス, 71,岩田康, 1.1, 76,* 11,   5, 4,  9.1, ①①
 6, 2,Ｌカシノエｰデル, 27,小坂忠, 1.5, 47,  -4, -10,11,161.4, ⑩⑨, 6, 3, アイアンラチェット,,田村太,203.3,,,, 9, 60.5,③④④, 6, 4,Ｇスイｰトリリック, 62,国分恭, 0.9, 69,  10, -14,10,134.0, ⑥⑦, 6, 8,Ｄヒｰロｰ, 78,福永祐, 1.2, 75,   3,  11, 5,  9.3, ⑦⑦
 7, 7,Ｊロｰゼルキュｰト, 37,藤岡康, 1.7, 45,*  3, -19, 9, 31.2, ②②, 7, 5, モンテクリスエス,,北沢伸,205.6,,,, 3,  4.1,⑦⑦⑦, 7, 3,Ｆサトノエクセル, 64,秋山真, 1.0, 67,  11, -19, 8, 47.7, ③⑤, 7,10,Ｅエアカｰネリアン, 75,松田大, 1.4, 74,   6,   7, 8, 23.3, ⑤⑤
 8,12,Ｎアスカタキオン,  4,原田敬, 1.9, 39,  -9, -10,14,380.6, ⑫⑫, 8, 6, テｰオｰゼウス,,黒岩悠,207.7,,,, 7, 28.8,⑧⑧⑧, 8,10,Ｃグラｰネ, 72,浜中俊, 1.1, 66,* 13, -24, 2,  2.8, ②①, 8,12,Ｆヤマニンアルシェ, 74,森一馬, 1.6, 72,   1,  10,10, 89.5, ⑨⑨
 9,11,Ｆヘリオドｰル, 43,福永祐, 2.2, 38,   0, -21, 7, 21.5, ⑦⑦, 9, 2, オンワｰドアマンド,,小坂忠,229.9,,,, 8, 37.9,⑨⑨⑨, 9, 7,Ｉデンコウチャレンジ, 61,熊沢重, 1.3, 65,  10, -20,13,284.2, ⑨⑧, 9, 9,Ｎウエストハｰバｰ, 69,幸英明, 1.6, 72,   1,  10,13,196.5, ⑧⑧
10,15,Ｈダンシングバトｰ, 43,武豊  , 2.3, 37,  -7, -16, 8, 22.2, ⑪⑪,,,,,,,,,,,,,10,14,Ｄディパッション, 68,川田将, 1.5, 62,* 13, -29, 5, 12.5, ⑤④,10,16,Ｇトップオブザヘヴン, 74,武豊  , 1.6, 73,  -6,* 17, 3,  7.1, ⑬⑭
11, 8,Ｃアイディンラヴ, 53,太宰啓, 2.5, 36,  -5, -19, 5, 13.6, ⑨⑩,,,,,,,,,,,,,11,11,Ｊテイエムシングン, 60,菱田裕, 1.8, 59,* 12, -33,12,203.4, ④③,11, 6,Ｈガｰルズストｰリｰ, 74,川須栄, 1.7, 72,   5,   6,11,103.9, ⑥⑥
12, 9,Ｉカネツスペシャル, 38,藤懸貴, 2.7, 33,  -1, -25,10, 43.4, ⑧⑧,,,,,,,,,,,,,12,13,Ｌショウナンアズｰリ, 50,岩田康, 1.8, 61,   3, -14, 9, 98.6, ⑫⑭,12, 4,Ｐイチオカ, 66,小坂忠, 1.7, 74,  -2,  12,15,300.4, ⑩⑩
13,10,Ｋメアリｰアｰト, 28,国分恭, 2.9, 31, -11, -16,12,215.7, ⑭⑬,,,,,,,,,,,,,13, 9,Ｎアマクサハイヤ, 39,幸英明, 2.0, 59,   4, -19,14,417.6, ⑬⑬,13, 2,Ｊランドタカラ, 71,小牧太, 2.0, 69,  -6,  13,14,228.7, ⑭⑬
14,14,Ｍオｰミハンコック, 26,国分優, 3.6, 25, -10, -23,15,411.2, ⑬⑭,,,,,,,,,,,,,14, 8,Ｍラヴィアンフルｰル, 48,松山弘, 3.6, 45,* 13, -59,11,193.6, ①②,14,14,Ｍリアリｰサムシング, 70,鮫島良, 2.3, 67,  -8,  12, 9, 37.5, ⑮⑮
15, 6,Ｏテイエムセミヨン, -7,菱田裕, 4.4,  7, -22, -20,13,329.2, ⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,,15, 7,Ｉカンファｰネオ, 72,菱田裕, 2.3, 66, -10,  15,16,355.4, ⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,13,Ｏキクノフェｰデ, 69,和田竜, 2.9, 60,  -2,   1,12,161.2, ⑫⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:不良(指数:-10),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:稍重(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:重(指数:-10),,,,,,,,,,,
"単勝:770円 複勝:05=220円 04=390円 03=130円 枠連:6,450円",,,,,,,,,,,,単勝:310円 複勝:04=130円 01=110円 07=180円 枠連:300円,,,,,,,,,,,,単勝:210円 複勝:06=110円 01=260円 02=270円 枠連:930円,,,,,,,,,,,,単勝:510円 複勝:01=170円 03=120円 05=240円 枠連:640円,,,,,,,,,,,
"馬連:6,660円 ワイド:04-05=1,490円 03-05=470円 03-04=760円",,,,,,,,,,,,馬連:300円 ワイド:01-04=150円 04-07=340円 01-07=310円,,,,,,,,,,,,"馬連:1,190円 ワイド:01-06=470円 02-06=570円 01-02=1,240円",,,,,,,,,,,,"馬連:600円 ワイド:01-03=280円 01-05=1,060円 03-05=470円",,,,,,,,,,,
"馬単:11,770円 3連複:5,070円 3連単:47,260円",,,,,,,,,,,,"馬単:700円 3連複:700円 3連単:2,370円",,,,,,,,,,,,"馬単:1,620円 3連複:3,240円 3連単:10,730円",,,,,,,,,,,,"馬単:1,430円 3連複:2,230円 3連単:10,260円",,,,,,,,,,,
■ 2R  芝1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 5R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 8R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■11R  芝1200m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｾﾝﾄｳﾙｽﾃｰｸｽ ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｇモンラッシェ, 43,小牧太,, 47,   4, -22, 1,  3.1, ⑦⑦, 1, 4, ツィンクルソｰド,---,福永祐,, 45, -20,* -6, 1,  2.2, ④⑥, 1, 3,Ｂスマｰトレパｰド, 76,武豊  ,, 65,*  4,   1, 2,  2.9, ③③, 1,13,Ｂハクサンムｰン, 91,酒井学,, 94,* 14,  14, 2,  4.4, ①①
 2, 1,Ｏバｰンアウル, 22,池添謙, 0.0, 47,   2, -21,12, 59.2, ⑩⑨, 2, 5, トウシンムサシ,---,和田竜, 0.2, 42,*-17, -11, 2,  3.7, ②②, 2, 6,Ａマルヴァｰンヒルズ, 78,岩田康, 0.1, 63,   3,   0, 1,  2.1, ④⑤, 2, 9,Ａロｰドカナロア, 92,岩田康, 0.0, 94,  10,* 18, 1,  1.4, ④④
 3, 8,Ｊシゲルクシロ, 41,熊沢重, 0.0, 48,*  7, -28,14,113.4, ③③, 3, 2, スズカグランデ,---,中井裕, 0.4, 40, -20, -11, 5, 12.2, ③⑤, 3, 9,Ｅシュガｰシャック, 69,松田大, 0.3, 62,  -5,*  9, 6, 25.1, ⑬⑭, 3, 4,Ｃドリｰムバレンチノ, 87,松山弘, 0.6, 86,   7,  13, 3, 10.5, ⑥⑤
 4, 7,Ｃニシノチャステティ, 50,中井裕, 0.1, 45,   0,*-20, 5, 10.2, ⑪⑪, 4, 7, メイショウエフワン,---,武豊  , 0.4, 39, -19, -12, 3,  4.7, ⑤③, 4, 5,Ｃマサノボラｰレビア, 74,小牧太, 0.6, 59,   0,   0, 4, 12.5, ⑦⑦, 4, 3,Ｉマイネルエテルネル, 76,和田竜, 0.7, 84,   6,  12, 8, 72.4, ⑤⑥
 5, 5,Ｋナガラブレｰブ, 40,酒井学, 0.1, 47,*  7, -29,10, 29.2, ②②, 5, 3, カフジホｰク,---,国分恭, 0.5, 39, -22,  -9, 6, 41.4, ⑥⑦, 5, 2, ヒデサンスピリット,---,川田将, 0.8, 58,*  5,  -7, 3, 11.5, ②②, 5,11,Ｌビウイッチアス, 74,津村明, 0.7, 85,* 13,   6,11,263.2, ②②
 6,10,Ｄシュンブレイン, 45,太宰啓, 0.2, 44,   1, -22, 6, 11.3, ⑫⑫, 6, 6, ハニｰドント,---,幸英明, 0.8, 34, -20, -16, 7, 77.8, ⑦④, 6,11,Ｈメイショウマルマル, 67,浜中俊, 0.9, 56,   2,  -6, 5, 15.2, ⑤④, 6, 1,Ｆサドンストｰム, 79,川田将, 0.7, 85,   3,* 15, 6, 48.1, ⑧⑦
 7, 9,Ａディスクレｰション, 50,浜中俊, 0.2, 46,   3, -23, 7, 16.4, ⑨⑩, 7, 1, ダイシンロッソ,---,浜中俊, 1.1, 29,*-16, -24, 4,  5.3, ①①, 7, 1,Ｇグロシュラライト, 68,藤田伸, 0.9, 57,*  5,  -9, 9, 46.7, ①①, 7, 7,Ｄマヤノリュウジン, 83,福永祐, 0.8, 83,  10,   7, 7, 62.5, ③③
 8, 3,Ｂモンスタｰバロｰズ, 50,福永祐, 0.2, 45,   3, -25, 2,  4.2, ⑥⑥, 8, 8, ケイウンヘブンズ,---,森一馬, 2.4, 15, -33, -24, 8,123.2, ⑧⑧, 7,13,Ｊトｰコｰレガｰロ, 66,福永祐, 0.9, 57,  -1,   0,10, 49.4, ⑨⑩, 8, 5,Ｇロｰガンサファイア, 78,浜中俊, 1.1, 79,   1,  13, 4, 19.7, ⑩⑩
 9,13,Ｉピッツネイル, 41,川田将, 0.3, 43,   1, -24, 8, 20.0, ⑬⑬,,,,,,,,,,,,, 9,10,Ｋガッチリガッチリ, 65,菱田裕, 1.0, 57,  -4,   2,15,123.7, ⑭⑬, 9, 8,Ｅシュプリｰムギフト, 80,秋山真, 1.2, 78,   3,   9, 9, 72.6, ⑦⑧
10,15,Ｎルｰルウイニング, 37,幸英明, 0.3, 43,  -7,*-13,15,174.5, ⑮⑮,,,,,,,,,,,,,10, 7,Ｄアチｰヴ, 71,松山弘, 1.1, 55,  -1,  -2, 7, 28.1, ⑪⑨,10, 6,Ｍウインドジャズ, 71,幸英明, 1.2, 78,  -3,* 15,13,480.5, ⑫⑬
11,14,Ｌロｰドメビウス, 38,松山弘, 0.4, 41,  -3,*-20, 9, 28.2, ⑭⑭,,,,,,,,,,,,,11,12,Ｍカトラス, 65,熊沢重, 1.1, 59,   0,  -3, 8, 36.7, ⑧⑧,11,10,Ｈモグモグパクパク, 77,北村友, 1.4, 76,   4,   6,10, 98.3, ⑨⑨
12,12,Ｅテイエムリヴィエラ, 44,菱田裕, 0.7, 40,   5, -34,11, 49.0, ④⑤,,,,,,,,,,,,,12, 8,Ｆシゲルケンシン, 68,川須栄, 1.1, 57,  -3,   1,14,100.1, ⑫⑪,12,12,Ｊティｰハｰフ, 76,武豊  , 1.5, 74,  -2,  10, 5, 22.9, ⑬⑫
13, 6,Ｈヴァッフシュテルケ, 43,和田竜, 1.0, 36,   4, -35, 3,  6.6, ⑧⑧,,,,,,,,,,,,,13,14,Ｏスピログラフ, 61,北村友, 1.2, 55,  -9,*  7,12, 81.3, ⑯⑮,13, 2,Ｋクリｰンエコロジｰ, 75,中井裕, 1.5, 74,  -1,   9,12,446.6, ⑪⑪
14, 2,Ｍシゲルエチゼン, 37,川須栄, 1.0, 36,   5, -38,13, 70.5, ⑤④,,,,,,,,,,,,,14,15,Ｌシゲルオオカミザ, 65,藤懸貴, 1.3, 54,  -3,  -2,13, 81.8, ⑩⑫,,,,,,,,,,,,
15,11,Ｆグッドウェｰブ, 43,藤岡康, 1.1, 35,*  9, -44, 4,  9.4, ①①,,,,,,,,,,,,,15,16,Ｎディｰプジュジュ, 62,太宰啓, 1.6, 53,   1, -10,11, 63.8, ⑥⑥,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16, 4,Ｉタカノキング, 67,国分優, 3.4, 37,  -7, -15,16,276.8, ⑮⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-16 馬場:稍重(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:稍重(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:重(指数:-10),,,,,,,,,,,,ｸﾗｽ上位平均:91 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:-1),,,,,,,,,,,
"単勝:310円 複勝:04=160円 01=1,200円 08=1,450円 枠連:8,730円",,,,,,,,,,,,単勝:220円 複勝:04=110円 05=140円 02=220円 枠連:0円,,,,,,,,,,,,単勝:290円 複勝:03=130円 06=120円 09=390円 枠連:280円,,,,,,,,,,,,単勝:440円 複勝:13=120円 09=100円 04=150円 枠連:210円,,,,,,,,,,,
"馬連:8,130円 ワイド:01-04=3,740円 04-08=3,420円 01-08=13,510円",,,,,,,,,,,,馬連:420円 ワイド:04-05=180円 02-04=320円 02-05=460円,,,,,,,,,,,,馬連:300円 ワイド:03-06=170円 03-09=810円 06-09=780円,,,,,,,,,,,,馬連:240円 ワイド:09-13=140円 04-13=350円 04-09=190円,,,,,,,,,,,
"馬単:10,330円 3連複:133,790円 3連単:230,130円",,,,,,,,,,,,"馬単:680円 3連複:980円 3連単:3,330円",,,,,,,,,,,,"馬単:660円 3連複:2,540円 3連単:8,640円",,,,,,,,,,,,"馬単:670円 3連複:430円 3連単:2,420円",,,,,,,,,,,
■ 3R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 6R  芝1600m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 9R  芝1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■12R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,野分特別,,,,,,,,,,,,,,,,,,,,,,
