13年 1月21日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 1月21日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,■ 7R  ダ1200m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝1200m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｻﾝﾗｲｽﾞｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,,,,,,,,,,,,, 1, 3,Ｂトリニティチャｰチ, 73,柴田大,, 76,  -2,* 16, 4,  5.4, ⑭⑭, 1, 5,Ｇラフレｰズカフェ, 75,柴山雄,, 79, -14,* 22, 4,  6.5, ⑭⑭
,,,,,,,,,,,,,,,,,,,,,,,, 2,11,Ｅジツリキフォｰティ, 72,北村宏, 0.2, 74,  -1,* 12, 2,  4.4, ⑫⑨, 2, 4,Ａプリンセスメモリｰ, 86,北村宏, 0.1, 78, -11,* 18, 2,  4.1, ⑪⑪
,,,,,,,,,,,,,,,,,,,,,,,, 3,16,Ｃジャイアン, 72,石橋脩, 0.3, 74,*  5,   6, 1,  3.9, ③②, 3,14,Ｄアグネスウイッシュ, 78,蛯名正, 0.1, 77, -11,* 18, 1,  3.3, ⑬⑬
,,,,,,,,,,,,,,,,,,,,,,,, 4, 6,Ｉプリティｰマッハ, 67,勝浦正, 0.7, 71,  -5,* 13,13, 74.4, ⑯⑯, 4,12,Ｅメモリアルイヤｰ, 75,石橋脩, 0.2, 74,*  2,   4, 6, 14.4, ①①
,,,,,,,,,,,,,,,,,,,,,,,, 5,13,Ｋアｰクペガサス, 66,宮崎北, 0.7, 69,   4,   4,15,106.2, ④③, 5, 9,Ｆバクシンカｰリｰ, 75,吉田豊, 0.2, 73,* -2,   7, 8, 26.3, ③③
,,,,,,,,,,,,,,,,,,,,,,,, 6,15,Ｇクレバｰアポロ, 68,田辺裕, 1.0, 67,   2,   3, 6, 15.5, ⑨④, 6, 3,Ｍジャｰエスペランサ, 71,三浦皇, 0.4, 73,  -9,  11, 7, 25.6, ⑩⑧
,,,,,,,,,,,,,,,,,,,,,,,, 7,14,Ｆモリトブイコｰル, 70,横山和, 1.3, 65,   2,   0,10, 60.2, ⑧⑧, 7, 2,Ｊケンブリッジエル, 74,江田照, 0.4, 71,  -7,  10,12, 62.9, ⑦⑦
,,,,,,,,,,,,,,,,,,,,,,,, 8, 7,Ｌサルジュ, 65,丸山元, 1.4, 64,*  8,  -6, 8, 20.3, ①①, 8,15,Ｋウインバンディエラ, 73,岩田康, 0.4, 72,  -7,  10, 9, 27.1, ⑨⑩
,,,,,,,,,,,,,,,,,,,,,,,, 9, 4,Ａレッツゴｰマｰクン, 74,柴山雄, 1.4, 65,   2,   1, 5,  8.4, ⑩⑩, 9,10,Ｌバｰトラムガｰデン, 72,津村明, 0.4, 72,* -1,   4,10, 32.8, ②②
,,,,,,,,,,,,,,,,,,,,,,,,10,12,Ｍカプリｰスレディｰ, 61,丸田恭, 1.4, 64,  -3,   5,14,101.1, ⑮⑮,10, 7,Ｉダイメイザクラ, 74,内田博, 0.4, 72,  -5,   8, 5,  8.8, ⑤⑤
,,,,,,,,,,,,,,,,,,,,,,,,11, 5,Ｄトｰセントレジャｰ, 72,高嶋活, 1.4, 64,   3,  -2, 3,  5.2, ⑥⑦,11, 6,Ｃグロｰリｰルピナス, 78,武士沢, 0.4, 73, -11,  14,15,210.9, ⑫⑫
,,,,,,,,,,,,,,,,,,,,,,,,12, 9,Ｈエスペランサシチｰ, 68,岩田康, 1.8, 60,   0,  -2, 7, 16.5, ⑪⑪,12, 8,Ｎタｰニングポイント, 70,宮崎北, 0.5, 71,  -3,   5,13,122.7, ④④
,,,,,,,,,,,,,,,,,,,,,,,,13, 2,Ｎドリｰミングラヴ, 58,丹内祐, 2.0, 60,  -1,  -2,16,121.7, ⑬⑫,13,11,Ｈエスカｰダ, 74,田中勝, 0.6, 68,  -5,   5,11, 37.2, ⑥⑥
