13年 2月23日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 2月23日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝2880m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1200m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■10R  芝1200m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-12,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｱｸｱﾏﾘﾝｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ｅジャストザオネスト, 51,石橋脩,, 58,*  3, -10, 3,  5.7,②②②, 1,10, オヤシオ,,五十嵐,,,,, 1,  1.9,①①①, 1, 6,Ｃピグマリオン, 77,田中勝,, 77,   4,* 11, 2,  4.9, ⑥④, 1, 6,Ｄクリｰンエコロジｰ, 76,ベリｰ,, 77,   9,   9, 3,  4.7, ⑤⑤
 2, 7,Ｌメインタｰゲット, 44,田中博, 0.0, 61,  -4,*  4,11, 83.2,⑯⑮⑫, 2, 7, タニノハｰビｰビｰ,,高野和,194.0,,,, 3,  7.4,③②②, 2, 3,Ａジツリキフォｰティ, 79,北村宏, 0.0, 77,   1,* 13, 1,  3.2, ⑩⑤, 2, 4,Ｋビラゴｰティアラ, 71,武士沢, 0.0, 78,* 19,   0,13, 68.7, ①①
 3,11,Ｈヒシパシフィック, 48,嶋田純, 0.1, 56,*  3, -13, 8, 14.9,①①①, 3, 2, ランブリングロｰズ,,石神深,196.3,,,, 5, 10.3,④⑤④, 3, 9,Ｂバトルドミンゴ, 78,戸崎圭, 0.3, 72,*  6,   5, 3,  5.2, ②②, 3,10,Ｈコンサｰトレディ, 72,田中勝, 0.2, 75,  -1,* 17, 6, 12.9, ⑭⑫
 4, 4,Ｎナムライチバンボシ, 41,田辺裕, 0.2, 56,   1,  -9, 7, 14.2,⑦⑤③, 4, 4, ジョｰプラチネラ,,平沢健,196.7,,,, 8, 88.0,⑦⑦⑥, 4,14,Ｄデプロマトウショウ, 74,蛯名正, 0.7, 71,   3,   5, 5,  7.1, ⑦⑨, 4, 3,Ｆタｰニングポイント, 73,江田照, 0.3, 74,   8,   7, 9, 29.4, ⑥⑥
 4, 6,Ｃジュルヴォアソング, 56,田中勝, 0.2, 56,  -1,* -4, 5,  9.9,⑮⑫⑪, 5, 8, フェバリットアワｰ,,横山義,196.7,,,, 4,  7.5,⑥⑥⑤, 5, 8,Ｅリバティｰアゲイン, 73,田辺裕, 0.9, 69,   2,   4, 4,  5.3, ⑧⑥, 5, 8,Ｂジョｰオリオン, 79,吉田豊, 0.4, 73,   3,  11, 1,  3.4, ⑩⑨
 6, 5,Ａグランデアリュｰル, 63,蛯名正, 0.8, 54,  -1,  -9, 1,  3.5,⑭⑩⑦, 6, 3, ファｰトゥム,,大江原,197.6,,,, 7, 47.5,⑤④③, 6,16,Ｆフィンデルムンド, 71,石橋脩, 1.0, 68,   0,   5, 7, 22.5, ⑪⑩, 6,11,Ｐマスイデア, 67,杉原誠, 0.5, 72,   3,  10,12, 51.4, ⑪⑩
 7, 3,Ｍマイネルガリオン, 43,柴田大, 1.4, 49,   1, -19,12, 83.4,③④④, 7,11, マｰニｰ,,江田勇,198.1,,,, 9,101.8,⑨⑩⑨, 7, 1,Ｎルチャドルアスｰル, 51,平野優, 1.2, 66,*  8,  -4, 6, 20.0, ①①, 7,14,Ａヤマニングルノイユ, 82,柴田大, 0.5, 72,* 17,  -5, 2,  4.1, ②②
 8,13,Ｂマイネルゴスホｰク, 57,三浦皇, 1.4, 48,   2, -19, 2,  4.8,④⑥⑤, 8, 1, ビュｰビｰナス,,山本康,198.2,,,,11,170.2,⑩⑨⑧, 8, 2,Ｇミラクルミイクン, 67,三浦皇, 2.3, 55, -17,*  9,10, 56.5, ⑯⑮, 8, 5,Ｃウインバンディエラ, 76,横山典, 0.6, 69,   5,   6, 5, 11.3, ⑧⑦
 9, 1,Ｏエッフェル, 40,北村宏, 1.5, 48,   0, -18, 9, 18.9,⑨⑦⑥, 9, 5, アンブロｰクン,,蓑島靖,199.6,,,, 6, 15.9,⑧⑧⑦, 9, 5,Ｌズｰムイン, 54,武士沢, 2.3, 57,  -2,  -4,12,151.6, ⑬⑫, 9,12,Ｊエスカｰダ, 72,ブノワ, 0.7, 68,   0,  10, 7, 17.1, ⑫⑪
10, 9,Ｄポッドスタｰ, 54,ブノワ, 1.6, 48,   0, -18, 4,  9.2,⑧⑨⑩,10, 9, ヨドノエｰス,,小野寺,199.9,,,,10,162.4,⑫⑪⑩,10,13,Ｊゾクゾク, 59,ベリｰ, 2.5, 56,   5, -12, 9, 30.2, ⑤⑦,10,13,Ｉバｰトラムガｰデン, 72,戸崎圭, 0.8, 68,  11,  -2, 8, 22.2, ④③
11, 8,Ｇキンシバイ, 48,山崎亮, 2.0, 46,  -3, -16,14,125.3,⑫⑬⑬,11, 6, スズヨシｰズン,,鈴木慶,202.5,,,,12,174.3,⑪⑫⑪,11,11,Ｉシンボリシュテルン, 64,田中博, 2.6, 53, -11,   2,16,523.7, ⑮⑭,11, 9,Ｎファンドリノチカラ, 68,張田京, 0.9, 66,   5,   2,15,119.9, ⑨⑧
12,12,Ｊダイヤパッション, 44,平野優, 2.8, 41,  -3, -23,16,346.5,⑩⑭⑮,,,,,,,,,,,,,12, 7,Ｍマニッシュスマイル, 51,柴田大, 3.2, 49,  -1, -13,13,213.5, ⑫⑪,12,15,Ｍタバルナ, 69,松岡正, 0.9, 67,  -3,  10,11, 49.8, ⑮⑬
13,14,Ｉジｰランディア, 47,的場勇, 3.1, 40,  -6, -19,13,113.6,⑬⑯⑯,,,,,,,,,,,,,13, 4,Ｏスマイルゲｰト, 49,ブノワ, 3.3, 48,*  6, -20,11,104.0, ③③,13, 7,Ｏストロングポイント, 68,嶋田純, 1.1, 63,  -5,   9,10, 48.1, ⑯⑭
14, 2,Ｆクラウンストラｰダ, 51,中谷雄, 3.8, 35,   0, -36, 6, 10.7,⑪⑧⑨,,,,,,,,,,,,,14,12,Ｐクニノガンバレｰ, 18,張田京, 3.8, 45,  -9, -10,15,500.5, ⑭⑬,14,16,Ｌレイクエルフ, 69,嘉藤貴, 1.8, 54,  13, -18,16,251.9, ③④
15,10,Ｋベルウッドサロン, 44,ベリｰ, 3.8, 35,*  2, -42,10, 22.1,⑥③⑧,,,,,,,,,,,,,15,10,Ｋアサクサウタヒメ, 55,吉田豊, 4.9, 35,   5, -32,14,280.0, ④⑧,,,,,,,,,,,,
16,16,Ｐアルファエンゼル, 40,松岡正, 4.3, 32,  -1, -38,15,220.9,⑤⑪⑭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-12 馬場:良(指数:2),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:83 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:1),,,,,,,,,,,
"単勝:570円 複勝:15=250円 07=1,650円 11=560円 枠連:14,820円",,,,,,,,,,,,単勝:190円 複勝:10=110円 07=180円 02=230円 枠連:300円,,,,,,,,,,,,単勝:490円 複勝:06=200円 03=130円 09=190円 枠連:820円,,,,,,,,,,,,"単勝:470円 複勝:06=200円 04=1,190円 10=430円 枠連:3,330円",,,,,,,,,,,
"馬連:38,330円 ワイド:07-15=9,090円 11-15=1,780円 07-11=16,870円",,,,,,,,,,,,馬連:720円 ワイド:07-10=280円 02-10=430円 02-07=890円,,,,,,,,,,,,馬連:760円 ワイド:03-06=330円 06-09=630円 03-09=320円,,,,,,,,,,,,"馬連:15,200円 ワイド:04-06=4,680円 06-10=1,460円 04-10=10,670円",,,,,,,,,,,
"馬単:59,470円 3連複:181,460円 3連単:838,010円",,,,,,,,,,,,"馬単:1,060円 3連複:1,840円 3連単:5,040円",,,,,,,,,,,,"馬単:1,920円 3連複:1,510円 3連単:8,550円",,,,,,,,,,,,"馬単:26,580円 3連複:68,140円 3連単:381,210円",,,,,,,,,,,
■ 2R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-8,,,,,■ 5R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 8R  ダ1800m 4歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■11R  ダ1200m 4歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,千葉ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｃウインプロスパｰ, 61,三浦皇,, 57,   5,*  1, 1,  2.0, ⑧⑤, 1,14,Ｏライズトゥフェイム, 33,田中勝,, 58,   0,* -1, 8, 18.6,⑧⑧⑥, 1, 1,Ｃオｰシュペｰル, 80,田辺裕,, 80,   7,* 13, 1,  1.8,⑧⑦⑦, 1, 9,Ｃマルカバッケン, 89,横山典,, 82,  10,  15, 1,  3.6, ⑤④
 2,14,Ａタサジャラ, 63,ベリｰ, 0.0, 61,* 12,  -6, 2,  5.0, ②②, 2, 4,Ｈネコタイショウ, 54,江田照, 0.2, 57,*  3,  -9, 7, 16.9,①①①, 2, 5,Ａリアライズキボンヌ, 82,杉原誠, 0.1, 81,   5,* 15, 4,  9.5,⑨⑨⑧, 2, 1,Ｄデュアルスウォｰド, 88,ベリｰ, 0.4, 80,   7,  15, 2,  3.8, ⑦⑥
 3, 5,Ｂシュナップス, 61,吉田豊, 0.3, 60,  10,  -5, 3,  5.4, ⑤⑥, 3,10,Ａマデュｰロ, 65,北村宏, 0.2, 57,  -3,*  2, 3,  7.1,⑦⑩⑪, 3, 6,Ｂトップコマチ, 82,江田照, 0.7, 76,*  9,   3, 3,  8.1,④③③, 3, 5,Ｉサウンドアクシス, 86,松岡正, 0.5, 78,   3,* 17,10, 33.7, ⑬⑨
 4, 6,Ｆファインユニバｰス, 53,蛯名正, 1.0, 49,   3,  -6, 4,  7.5, ⑨⑨, 4, 3,Ｊノエルキャロル, 50,石橋脩, 0.3, 56,   0,  -6,11, 39.0,③④③, 4, 8,Ｉマイネフェリックス, 69,柴田大, 0.9, 74,* 10,   0,10, 68.0,①①①, 4,12,Ｇトｰホウチェイサｰ, 87,田辺裕, 0.7, 77,   4,  15, 9, 25.1, ⑪⑪
 5,12,Ｍフヨウムサシ, 28,杉原誠, 1.0, 47,  -5,*  2,14,227.0, ⑭⑬, 5,16,Ｇマイネルジェイド, 57,松岡正, 0.4, 57,  -1,* -2, 4,  8.0,⑩⑪⑨, 5, 4,Ｅリｰプオブフェイス, 78,横山典, 0.9, 72,   8,   3, 6, 11.1,⑤⑤⑤, 5,14,Ｈメイショウツチヤマ, 87,田中勝, 0.8, 75,   5,  13, 7, 14.5, ⑫⑬
 6, 1,Ｅバｰニｰズ, 55,江田照, 1.2, 50,   9, -14, 6, 18.2, ③③, 6, 9,Ｃケイアイホクトセイ, 63,横山典, 0.4, 52,   0,  -7, 1,  3.5,⑤⑥⑤, 6, 7,Ｈブラックアテナ, 73,三浦皇, 1.5, 70,   6,   3, 2,  8.0,⑩⑧⑨, 6,16,Ｎゴｰルドバシリスク, 81,三浦皇, 0.9, 75,  -1,* 17,15, 95.5, ⑮⑮
