13年 7月28日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 7月28日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 4R  芝1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 7R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝2200m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,日本海ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｌセイウンクロス, 38,田辺裕,, 57,*  2,*  2, 3,  4.8, ③③, 1, 9,Ｅミラクルアスク, 57,田中勝,, 64,  -5,*  5, 6, 11.0, ⑩⑪, 1, 8,Ｂカントリｰスノｰ, 76,嶋田純,, 79,*  7,* 13, 1,  3.8,②①①, 1, 8,Ａカルドブレッサ, 92,蛯名正,, 81,  11,*  3, 1,  3.3,⑤⑥⑥
 2,14,Ａペガサスジュニア, 53,吉田豊, 0.2, 54,   0,*  2, 1,  2.6, ⑤⑤, 2,14, レッドベルフィｰユ,---,北村宏, 0.0, 64,  -4,*  2, 8, 14.5, ⑯⑬, 2,11,Ｄインディｰグラブ, 75,田中勝, 0.3, 79,*  7,* 12, 3,  5.8,④③②, 2, 6,Ｃエｰシングングン, 84,横山典, 0.2, 77,   8,*  7, 3,  3.9,⑨⑨⑨
 3,13,Ｍラシアンカウボｰイ, 32,柴田大, 0.6, 49,  -3,*  1, 9, 28.8, ⑧⑦, 3,17,Ｇフィｰルフリｰリｰ, 53,大野拓, 0.1, 61,* -2,* -4, 7, 12.8, ④④, 3,14,Ｅコスモマイギフト, 74,柴田大, 1.6, 70,   4,   6, 4,  6.6,⑤⑦⑥, 3, 1,Ｅオマワリサン, 81,北村宏, 0.2, 78,  12,  -1, 6, 11.6,③④⑤
 4,10,Ｅサノイチ, 49,福永祐, 1.0, 47,   0,  -5, 2,  4.1, ④④, 4,10,Ｃイメｰジガｰル, 59,蛯名正, 0.5, 57,  -3,  -8, 4,  7.0, ⑥⑥, 4,12,Ａコパノウィリアム, 78,勝浦正, 1.8, 69,   4,   4, 5,  7.0,⑨⑥⑦, 4, 9,Ｄヒラボクビクトリｰ, 82,福永祐, 0.3, 78,  12,  -4, 5,  8.1,④⑤③
 5,15,Ｊダイチトゥルｰス, 40,武士沢, 1.5, 43,  -5,  -4, 8, 23.1, ⑨⑨, 5,18,Ｌサルサビｰン, 46,江田照, 0.6, 55,  -3, -10,15,179.2, ⑫⑧, 5, 1,Ｃクレバｰカイザｰ, 75,田辺裕, 2.1, 65,   4,  -1, 2,  4.9,③④③, 5, 3,Ｆマイネルグｰト, 80,柴田大, 0.4, 77,* 13,  -9, 4,  8.1,②②②
 6, 7,Ｇシゲルナガト, 45,松岡正, 1.8, 40,*  4, -16,11, 38.1, ②②, 6, 2,Ｆアンスｰリｰル, 55,長岡禎, 0.8, 54,  -4,  -8, 9, 19.7, ⑦⑨, 6, 5,Ｇドンビザッツウェイ, 71,大野拓, 2.2, 69,   1,   5,10, 64.4,⑬⑫⑫, 6, 4,Ｂヴァｰゲンザイル, 86,吉田豊, 0.5, 77,  11,  -1, 2,  3.6,⑧⑧⑧
 7,12,Ｏゴｰルドクレセント, 27,木幡初, 1.9, 36, -16,*  2,10, 36.7, ⑮⑮, 7,11,Ｈテンジンハルカゼ, 49,山崎亮, 0.8, 53,*  0, -17,14,148.9, ①①, 7, 2,Ｊスリｰプレシャス, 70,杉原誠, 2.3, 68,   0,   7,12, 94.0,⑮⑭⑬, 7, 2,Ｉメイショウドンタク, 73,石橋脩, 0.7, 74,  11,  -4, 8, 61.5,⑦⑦⑦
 8, 4,Ｃアｰネストミノル, 52,蛯名正, 2.1, 37,  -4, -11, 4, 11.2, ⑥⑧, 8, 3,Ｄクレバｰチャｰム, 58,横山典, 1.1, 49,  -2, -17, 1,  4.3, ⑤⑤, 8,10,Ｆモネロ, 73,江田照, 2.4, 68,   1,   6, 9, 37.2,⑭⑮⑮, 8, 7,Ｇメイショウジンム, 79,柴田善, 0.8, 73,  12, -12, 7, 17.1,⑥③④
