13年11月 3日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年11月 3日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 4R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 7R  ダ1150m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,檜原湖特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ｃブルｰヴァルキリｰ, 57,丸田恭,, 57,  -7,  -3, 4,  6.6, ⑤③, 1,10,Ｇバンブｰデルピエロ, 64,横山和,, 74,*  0,* 14, 3,  4.2,①①①, 1, 6,Ｄコップヒヤザケ, 69,伊藤工,, 69,*  4,   3, 1,  5.3, ②③, 1, 1,Ｂオメガユニコｰン, 74,吉田隼,, 73,   9,   2, 2,  3.7,④④③
 2, 4,Ｅボｰンレジェンド, 51,勝浦正, 0.1, 61, -29,* 17, 2,  3.6, ⑮⑭, 2, 8,Ｅアンスタンフィｰル, 68,小林徹, 0.7, 69,*  0,   9, 5, 11.5,②②②, 2, 5,Ｃヒルノケアンズ, 69,田中健, 0.3, 67,   2,   2, 5,  7.5, ④⑤, 2, 9,Ｅジェイケイネオ, 70,丸田恭, 0.0, 73,   8,*  6, 3,  6.1,⑩⑨⑨
 3,16,Ｇパｰリｰシェル, 48,吉田隼, 0.3, 53,  -8,  -7, 3,  6.0, ⑥⑥, 3, 4,Ａスタンドバイミｰ, 77,勝浦正, 0.7, 71,  -2,* 14, 1,  3.6,⑤⑤④, 3, 7,Ａトウカイチャｰム, 74,菅原隆, 0.3, 66,  -6,*  9, 2,  5.3, ⑫⑨, 3, 6,Ｇピタゴラスコンマ, 68,村田一, 0.1, 73,   8,   3, 7, 14.7,⑨⑩⑤
 4, 7,Ｆピッカピカヒメ, 49,柴山雄, 0.4, 53, -15,   0,10, 47.2, ⑩⑨, 4, 6,Ｄキョウエイショウリ, 69,宮崎北, 0.9, 67,*  0,   8, 8, 33.9,⑧③③, 4, 2,Ｅトウケイポイント, 69,伴啓太, 0.4, 65,*  3,   0, 3,  6.1, ③②, 4, 4,Ｊグランスエルテ, 58,勝浦正, 0.1, 74,   8,*  4, 8, 19.9,⑥⑧⑦
 5, 5,Ｄエタニティタイム, 53,横山和, 0.8, 47,  -7, -13, 1,  2.6, ④⑤, 5, 7,Ｃグランデアリュｰル, 70,木幡初, 1.2, 67,  -3,  11, 4,  4.3,③⑥⑥, 5, 1,Ｆノボジュピタｰ, 68,横山和, 0.4, 65,  -9,* 11, 6,  8.1, ⑮⑭, 5, 5,Ａコｰラルタワｰ, 78,丹内祐, 0.3, 72,  10,  -1, 1,  3.3,⑦⑥⑧
 6,15,Ｂナイスクオリア, 57,丸山元, 0.9, 46, -18,  -4,11, 65.0, ⑪⑪, 6, 5,Ｊニットウミュｰズ, 55,嘉藤貴, 1.7, 62,  -5,   9,11,131.8,⑦⑦⑦, 6, 8,Ｌリッシンロケット, 64,杉原誠, 0.4, 66,  -2,   5, 4,  7.2, ⑧⑦, 6, 3,Ｃデンコウアカツキ, 72,杉原誠, 1.0, 62,* 12, -20, 9, 28.6,②②②
 7, 2,Ｉデルマアッコチャン, 44,杉原誠, 0.9, 47, -14,  -8, 5, 16.6, ⑨⑧, 7, 1,Ｉトラスティｰ, 63,丸山元, 1.9, 63,  -8,  12, 6, 12.3,⑩⑩⑩, 7,10,Ｊアタッキングゾｰン, 66,平野優, 0.5, 67,   2,   0, 7,  9.4, ⑤④, 7, 8,Ｄブリリアントダンス, 70,木幡初, 1.0, 62,   9, -14, 4,  7.2,⑤⑤⑥
 8, 8,Ａミスマリキｰタ, 58,花田大, 0.9, 46,* -5, -17, 6, 19.5, ①①, 8,11,Ｆアイティテイオｰ, 67,丹内祐, 2.5, 59,  -2,  -2, 7, 28.8,④④⑤, 8,13,Ｇアファｰブル, 68,原田和, 0.6, 63,  -2,   3,13, 76.3, ⑨⑪, 8, 2,Ｆビバゴｰルデン, 69,横山和, 1.0, 61,* 14, -21, 6, 13.1,①①①
 9, 1,Ｎカシノリｰベ, 33,二本柳, 1.0, 44,  -8, -16, 8, 30.9, ③④, 9, 3,Ｈイｰスタリｰガスト, 64,原田和, 2.5, 58,  -6,   4, 9, 59.6,⑨⑨⑨, 9,11,Ｍミスネバｰ, 62,城戸義, 0.7, 63,  -1,   1,12, 76.1, ⑥⑧, 9,10,Ｈグランプリブラッド, 64,丸山元, 1.1, 62,  11, -16, 5,  7.5,③③④
