13年 6月 2日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 6月 2日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝2970m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-15,,,,,■10R  ダ1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,箕面特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｂグレｰトエンジェル, 62,国分恭,, 69,   0,*  6, 4,  8.4, ⑥⑤, 1, 6, トップミノル,,熊沢重,,,,, 6, 20.3,③②②, 1,16,Ｂサチノリｰダｰス, 59,国分優,, 63,   2,  -5, 1,  2.7, ⑥⑤, 1,15,Ａキズマ, 83,藤田伸,, 85,*  6,  15, 2,  3.4, ①①
 2, 8,Ｈメイショウアキヒメ, 48,難波剛, 1.3, 59,  -5,*  2,14,288.5, ⑮⑭, 2, 8, タマモオンゾウシ,,難波剛,200.1,,,, 1,  1.3,②①①, 2, 8,Ａレニンフェア, 61,菱田裕, 0.2, 57,  -1,  -6, 2,  5.0, ⑧⑦, 2, 5,Ｃフリｰトストリｰト, 82,川田将, 0.4, 82,   1,* 17, 1,  3.3, ⑧⑧
 3, 9,Ｇトｰホウシラギク, 48,松山弘, 1.5, 58,  -1,  -4,11,100.5, ⑩⑧, 3, 2, クレバｰベスト,,森一馬,200.8,,,, 2,  7.5,⑥③③, 3,10,Ｃハギノソフィア, 59,四位洋, 0.4, 54,  -5,* -4, 3,  6.1, ⑪⑩, 3, 6,Ｆダノンジュピタｰ, 77,和田竜, 0.6, 81,   2,  15, 8, 40.7, ⑦⑦
 4,11,Ｄアメリ, 60,川田将, 1.8, 57,*  2, -11, 2,  4.4, ③③, 4, 3, ニライジンク,,平沢健,202.1,,,, 8, 91.2,⑤④④, 4, 6,Ｅバアゼルザウバｰ, 54,川田将, 0.5, 55,   1, -12, 5, 12.6, ⑤⑥, 4, 1,Ｂカシノインカロｰズ, 82,国分優, 0.9, 79,  -2,* 18, 3,  4.5, ⑫⑫
 5, 3,Ｅジョディｰズロマン, 57,太宰啓, 1.9, 56,  -3,  -5, 7, 35.1, ⑫⑪, 5, 1, リアルブラック,,黒岩悠,203.3,,,, 4, 13.0,⑦⑤⑤, 5,12,Ｈメイショウオリヅル, 49,武幸四, 0.5, 53, -10,*  0, 7, 15.8, ⑭⑭, 5,14,Ｅモズベラベラ, 80,小牧太, 1.0, 77,*  4,   9, 4,  6.5, ⑤③
 6, 4,Ｆヒシダイヤ, 51,藤岡康, 2.1, 54,*  3, -15, 6, 28.1, ②②, 6, 4, シルヴァｰノ,,西谷誠,203.9,,,, 5, 13.1,④⑦⑦, 6, 5,Ｆエイティグロｰリｰ, 52,太宰啓, 0.6, 62,* 14, -25, 4,  7.0, ①①, 6, 7,Ｄシゲルモトナリ, 81,国分恭, 1.5, 72,   0,   9,10, 86.7, ⑩⑨
 7,16,Ｊハギノレビュｰ, 43,原田敬, 2.3, 52,   0, -12,16,381.9, ⑧⑦, 7, 9, ホホヲヨセテ,,小坂忠,204.6,,,, 9,115.4,⑧⑥⑥, 7, 9,Ｍドントタッチミｰ, 45,小牧太, 0.6, 53,  -5,  -6, 6, 13.4, ⑩⑪, 7, 9,Ｊピエナトップガン, 73,松山弘, 1.5, 74,  -5,  16, 5, 12.8, ⑭⑭
 8,12,Ｃアンジュプリエｰル, 61,小牧太, 2.3, 52,*  4, -19, 3,  6.6, ①①, 8, 5, マイネルソラｰナ,,上野翔,206.1,,,, 7, 88.7,⑨⑧⑧, 8, 1,Ｏショウナンタイタン,-64,中井裕, 0.7, 51,  -1, -12, 9, 30.7, ⑨⑧, 8,12,Ｉエｰシンイオマンテ, 73,太宰啓, 1.6, 73,   3,   4,15,160.9, ⑥⑤
