13年 3月31日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 3月31日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:16,,,,,■ 4R  芝2970m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1800m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1400m 3 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾏｰｶﾞﾚｯﾄｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｂティマイドリｰム, 66,酒井学,, 69,*  6,* -2, 9, 24.7,①①①, 1, 2, リリｰアタッカｰ,,熊沢重,,,,, 2,  3.8,②①①, 1, 9,Ｃファルスタｰ, 75,内田博,, 78,  -1,* 18, 3,  7.0, ⑥⑦, 1,12,Ｌロｰガンサファイア, 67,浜中俊,, 83,  -3,* 17, 2,  5.3, ⑯⑯
 2, 8,Ｆエｰティｰタラント, 60,熊沢重, 1.0, 65,   4,  -6, 6, 12.3,⑤⑦⑦, 2, 6, アルバトン,,西谷誠,205.4,,,, 1,  3.2,⑧⑥⑤, 2, 8,Ａエリモフラッシュ, 78,戸崎圭, 0.6, 68,*  6,  -1, 7, 16.2, ①①, 2,13,Ｃエｰルブリｰズ, 73,川田将, 0.2, 79,  -3,* 11, 1,  4.4, ⑭⑬
 3,14,Ｋブルｰボリウッド, 56,川須栄, 1.2, 62,   1,* -1,14,157.3,⑬⑭⑬, 3, 7, アスタｰコリント,,林満明,205.5,,,, 3,  4.7,④②②, 3, 2,Ｋウインサｰガ, 69,小牧太, 0.6, 72,   1,   7, 6, 12.9, ⑤⑥, 3, 4,Ａアットウィル, 79,内田博, 0.2, 77,*  3,   5, 4,  7.4, ③③
 4,16,Ｅトゥヴァビエン, 64,高田潤, 1.3, 60,   2,* -4, 8, 15.5,⑧⑪⑫, 4,10, マンノプロジェクト,,北沢伸,205.5,,,, 7, 37.6,⑤③④, 4,13,Ｂアドマイヤバｰトン, 78,川田将, 0.6, 74,  -3,* 16, 1,  2.2, ⑫⑩, 4, 3,Ｄワキノブレイブ, 72,四位洋, 0.3, 78,  -2,* 11, 8, 13.6, ⑬⑫
 5,13,Ｄヒキャクノアシ, 65,浜中俊, 1.4, 59,*  6, -11, 2,  5.8,⑪⑤③, 5, 5, ハｰトビｰトボｰイ,,平沢健,205.9,,,,10, 79.7,⑩⑦⑥, 5,10,Ｊトｰセンサミット, 70,四位洋, 0.7, 73,  -6,* 19, 9, 32.1, ⑬⑫, 5,14,Ｍラインミｰティア, 67,川須栄, 0.3, 78,  -1,   9,12, 41.6, ⑫⑪
 6, 7,Ｍメイショウジロキチ, 53,中井裕, 1.4, 60,   4,  -9, 7, 12.8,⑥⑥⑧, 6,12, エｰシンテュポｰン,,森一馬,205.9,,,, 5, 11.9,⑦⑧⑧, 6,11,Ｇフレンチボウ, 71,バルジ, 0.7, 69,   1,   5, 5,  9.4, ④④, 6,11,Ｈルミナスウイング, 69,大野拓, 0.4, 75,   2,   5,10, 26.8, ⑩⑥
 7,10,Ｌサトノフェニックス, 55,松山弘, 1.6, 56,*  6, -14,11, 48.0,②②②, 7, 3, ロトディパｰチャｰ,,黒岩悠,206.3,,,, 6, 13.9,③④③, 7, 3,Ｄメイショウテッサイ, 75,秋山真, 0.7, 70,   1,   6, 4,  8.2, ⑦⑤, 7, 1,Ｐハイマウンテン, 63,国分優, 0.6, 74,  -1,   5,14,129.6, ⑦⑩
 8, 5,Ｉリジカｰレ, 57,秋山真, 1.7, 56,   1,  -6,10, 46.2,⑫⑬⑮, 8,14, レｰザｰインパクト,,中村将,207.1,,,,12,133.2,⑨⑨⑨, 8, 6,Ｈウインミｰティア, 70,藤岡康, 0.7, 69,*  2,   2, 8, 23.3, ②③, 8,10,Ｂノｰブルコロネット, 75,池添謙, 0.6, 73,   0,   4, 3,  5.9, ⑪⑨
 9, 4, エｰシンネクスト,---,戸崎圭, 1.8, 54,*  6, -15, 5, 11.2,③③④, 9, 9, シグナリオ,,五十嵐,208.7,,,, 4,  5.2,⑪⑪⑩, 9, 1,Ｅユｰスティティア, 74,浜中俊, 1.0, 65,*  2,  -3, 2,  6.4, ③②, 9,16,Ｅプレイズエタｰナル, 70,デムｰ, 0.6, 71,*  5,  -4, 6, 11.9, ①①
10, 9,Ａマイネルハルカゼ, 68,バルジ, 1.8, 56,   4, -12, 1,  2.5,⑦⑧⑥,10,11, サｰドシアタｰ,,山本康,211.6,,,,11,120.2,⑫⑫⑫,10, 5,Ｉハギノトラスト, 70,松山弘, 1.0, 67,  -2,   6,10, 36.9, ⑧⑧,10, 9,Ｆタイセイドリｰム, 70,秋山真, 0.6, 72,   0,   3, 5,  8.2, ⑨⑧
11,12, レガリアシチｰ,---,岩崎翼, 2.1, 54,   3, -13,12, 54.0,⑨⑩⑪,11,13, ムジャウハラｰト,,草野太,212.2,,,,13,216.5,⑥⑤⑦,11, 7,Ｆサンライズアポロン, 73,岩崎翼, 1.2, 67,  -6,  13,11, 72.1, ⑪⑬,11, 7,Ｋミリオンフレッシュ, 67,太宰啓, 0.7, 74,  -4,   7,11, 31.5, ⑮⑮
12, 2,Ｎヨロシク, 37,武幸四, 2.1, 61,   1, -10,15,171.6,⑭⑮⑭,12, 4, スタｰマックス,,蓑島靖,212.3,,,,14,229.9,⑬⑬⑬,12, 4,Ｌナリタプリムロｰズ, 65,中井裕, 1.2, 66,  -3,   6,12, 89.7, ⑨⑨,12, 8,Ｎマイネルエテルネル, 67,バルジ, 0.8, 71,  -2,   4, 7, 13.1, ⑧⑭
