13年 3月10日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 3月10日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 4R  芝2970m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1800m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  ダ1800m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,甲南ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｅテイエムライオネス, 54,藤田伸,, 61,*  0,*  3, 5, 15.5,①①①, 1,12, シｰライフ,,小坂忠,,,,, 2,  3.6,①①①, 1, 6,Ｊダノンムｰン, 51,岩田康,, 79,* -1,  14, 1,  2.0, ②②, 1, 2,Ａエアハリファ, 92,岩田康,, 83,  12,  12, 1,  1.5,⑧⑧⑦
 2, 6,Ａセカイノカナ, 66,幸英明, 0.2, 60,  -1,*  3, 3,  4.6,③④③, 2, 8, アスタｰコリント,,林満明,204.5,,,, 6, 12.2,②③②, 2, 3,Ｆアドマイヤバｰトン, 69,川田将, 0.1, 80,  -5,* 19, 4,  6.5, ⑦⑧, 2, 3,Ｃマストハブ, 90,池添謙, 0.1, 84,  11,* 13, 3,  8.2,⑩⑨⑨
 3, 7,Ｄスイｰトリリック, 57,藤岡佑, 0.5, 60,  -2,*  3, 4,  8.1,⑤⑥⑤, 3, 9, リリｰアタッカｰ,,熊沢重,204.7,,,, 1,  3.0,⑥②③, 3, 1,Ｅメイショウテッサイ, 70,小牧太, 0.1, 80,  -5,* 19, 5, 12.5, ⑧⑦, 3, 4,Ｂヴァンヌｰヴォｰ, 90,大野拓, 0.1, 82,  11,* 14, 7, 32.7,⑨⑩⑩
 4, 2,Ｉサンレイフロｰラ, 42,花田大, 1.1, 55,  -5,*  3, 8,138.5,⑩⑩⑨, 4, 4, プレミアムパス,,五十嵐,205.3,,,,10, 83.2,③⑥⑦, 4, 4,Ｂユｰスティティア, 72,浜中俊, 0.2, 74,* -1,   9, 3,  6.3, ①①, 4, 9,Ｊライジングサン, 80,和田竜, 0.2, 84,  13,   9, 8, 43.5,⑥⑥④
 5, 9,Ｃスプリングデジレ, 58,和田竜, 1.2, 54,*  0,  -7, 2,  4.1,②②②, 5, 3, クリノスレンダｰ,,草野太,205.4,,,, 3,  6.4,⑤④④, 5, 9,Ａサウンドバスタｰ, 76,戸崎圭, 0.3, 73,* -1,   9, 2,  5.6, ③③, 5,13,Ｋジョウノボヘミアン, 76,藤田伸, 0.3, 83,  10,* 15,13,355.8,⑪⑫⑫
 6, 1,Ｂアムｰルポエジｰ, 60,戸崎圭, 1.2, 52,  -3,  -2, 1,  2.0,④⑤⑥, 6,14, ニシノファブレッド,,浜野谷,205.4,,,, 4,  7.0,④⑤⑥, 6, 5,Ｇナリタポセイドン, 68,池添謙, 0.5, 73,  -4,  10, 7, 13.8, ⑤⑤, 6, 1,Ｉステキナシャチョウ, 81,大下智, 0.7, 79,  11,  10,11, 94.5,⑬⑪⑧
 7, 5,Ｆクリノマッキンリｰ, 53,大野拓, 1.2, 52,  -1,  -5, 9,186.7,⑦③④, 7, 6, ピエナセレブ,,西谷誠,205.9,,,, 5,  9.0,⑨⑧⑧, 7,10,Ｃトｰセンサミット, 71,四位洋, 0.8, 67,  -4,   6, 6, 13.0, ⑥⑥, 7,12,Ｌグッドカレラ, 75,バルジ, 0.9, 76,  14,   1,12,129.7,④④②
 8, 8,Ｇクリノフジヤマ, 47,小林徹, 1.3, 53,  -4,   0,10,255.6,⑧⑦⑧, 8,13, パリスブルｰ,,横山義,206.5,,,, 7, 19.8,⑦⑦⑤, 8, 8,Ｄギリギリヒｰロｰ, 70,和田竜, 0.9, 71,  -6,  11, 9, 71.5, ⑨⑨, 8,11,Ｅマｰチャンテイマｰ, 86,川田将, 1.0, 77,  12,   4, 4, 11.3,⑦⑦⑤
 9,10,Ｈジョウショｰピアス, 44,国分恭, 2.2, 47,  -4,  -9, 7, 24.7,⑨⑧⑦, 9,11, アイアンセラヴィ,,田村太,207.1,,,,13,158.6,⑧⑨⑨, 9, 7,Ｉトｰアディアマンテ, 63,幸英明, 1.6, 63,  -4,   0, 8, 53.7, ⑩⑩, 9, 5,Ｄキングブレイク, 88,戸崎圭, 1.1, 73,* 16,  -4, 2,  5.0,②②①
10, 3, ダイヤモンドベリｰ,---,岩田康, 3.0, 41,  -5, -14, 6, 17.6,⑥⑨⑩,10,10, オｰプンセサミ,,白浜雄,212.8,,,, 8, 24.6,⑩⑩⑩,10, 2,Ｈグルｰヴィクイｰン, 65,藤岡佑, 2.0, 54,  -2, -12,10,115.3, ④④,10, 7,Ｆヴィンテｰジイヤｰ, 83,田中勝, 1.2, 72,  14,  -2, 9, 61.7,③③③
,,,,,,,,,,,,11, 5, ディジェスティフ,,山本康,212.8,,,,12,154.7,⑪⑪⑪,,,,,,,,,,,,,11, 6,Ｈタイガｰスラム, 82,藤岡佑, 1.6, 72,  12,  -3, 6, 31.3,⑤⑤⑥
,,,,,,,,,,,,12, 1, スズカミラクル,,平沢健,219.6,,,,14,173.1,⑫⑫⑫,,,,,,,,,,,,,12, 8,Ｇアドマイヤツバサ, 83,小牧太, 1.8, 71,  10,   2,10, 92.3,⑫⑬⑬
,,,,,,,,,,,,13, 2, ゼロレイテンシ,,石神深,220.0,,,,11,128.8,⑬⑬⑬,,,,,,,,,,,,,13,10,Ｍオメガホｰムラン, 74,浜中俊, 8.9, 33,* 15, -68, 5, 29.0,①①⑪
,,,,,,,,,,,,14, 7, ナリタシｰズン,,中村将,223.9,,,, 9, 67.3,⑭⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:1),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:7),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:1),,,,,,,,,,,
"単勝:1,550円 複勝:04=400円 06=150円 07=210円 枠連:3,490円",,,,,,,,,,,,"単勝:360円 複勝:12=150円 08=250円 09=140円 枠連:1,920円",,,,,,,,,,,,単勝:200円 複勝:06=120円 03=160円 01=210円 枠連:640円,,,,,,,,,,,,単勝:150円 複勝:02=110円 03=200円 04=460円 枠連:530円,,,,,,,,,,,
"馬連:2,940円 ワイド:04-06=910円 04-07=1,340円 06-07=390円",,,,,,,,,,,,"馬連:1,960円 ワイド:08-12=630円 09-12=250円 08-09=560円",,,,,,,,,,,,馬連:690円 ワイド:03-06=290円 01-06=540円 01-03=740円,,,,,,,,,,,,"馬連:510円 ワイド:02-03=240円 02-04=480円 03-04=1,840円",,,,,,,,,,,
"馬単:6,590円 3連複:6,200円 3連単:41,700円",,,,,,,,,,,,"馬単:3,410円 3連複:1,740円 3連単:12,140円",,,,,,,,,,,,"馬単:910円 3連複:2,120円 3連単:6,170円",,,,,,,,,,,,"馬単:650円 3連複:2,140円 3連単:4,700円",,,,,,,,,,,
