13年 2月 3日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 2月 3日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  ダ1400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 7R  ダ1200m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝1400m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,斑鳩ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｃキングソング, 61,秋山真,, 65,*  3,*  2, 1,  2.0, ①①, 1, 7,Ｃレアヴェントゥｰレ, 59,武豊  ,, 68,*  0,*  7, 2,  3.4, ②②, 1, 2,Ｂボストンサクラ, 66,和田竜,, 66,   4,  -3, 1,  2.9, ⑤④, 1, 4,Ａメジャｰアスリｰト, 85,浜中俊,, 82,   2,* 13, 2,  2.9, ⑤⑤
 2, 8,Ｇサンキストロｰド, 49,太宰啓, 0.4, 61,   0,*  0, 4,  8.0, ④②, 2, 5,Ｂタイザンホクト, 60,福永祐, 0.0, 68,*  0,*  6, 1,  2.0, ①①, 2, 8,Ｄメイショウオウヒ, 65,武豊  , 0.0, 63,  -1,*  1, 4,  7.5, ⑨⑧, 2, 8,Ｃウエストエンド, 80,和田竜, 0.1, 79,*  6,   7, 1,  2.4, ②②
 3, 4,Ａキョウワアｰサｰ, 64,武豊  , 0.5, 59,  -1,*  0, 2,  4.9, ⑤⑤, 3,13,Ｅヴｰドゥｰフェスト, 51,太宰啓, 1.0, 61,  -2,   0, 4, 12.0, ④③, 3, 1,Ｊエンプレスラブ, 55,酒井学, 0.3, 63,   3,  -5,10,123.5, ⑥⑥, 3, 3,Ｅクレバｰサンデｰ, 76,武豊  , 0.3, 78,   2,  10, 3,  5.7, ④③
 4,11,Ｂシュナップス, 63,勝浦正, 0.6, 59,  -1,*  1, 5,  8.6, ⑦⑦, 4, 9,Ｌチャンピオンゴッド, 39,勝浦正, 1.9, 54,  -6,  -2,11,159.2, ⑧⑨, 4, 3,Ａクィｰンオブライフ, 74,秋山真, 0.4, 61,   6, -10, 2,  3.9, ②②, 4, 6,Ｆメイショウゾウセン, 75,藤田伸, 0.4, 75,*  9,   1, 8, 31.1, ①①
 5, 5,Ｄアルペンクロｰネ, 52,川田将, 0.9, 57,  -2,  -1, 6, 13.4, ⑧⑧, 5, 2,Ｄメイショウゲンキ, 54,国分恭, 1.9, 55,  -8,   0, 7, 52.4, ⑪⑩, 5, 6,Ｃエイユｰラピス, 66,熊沢重, 0.4, 62,   6,  -9, 6, 10.5, ④⑤, 5, 1,Ｄオｰルブランニュｰ, 76,小牧太, 0.5, 78,  -3,* 14, 4,  8.5, ⑨⑧
 6, 2,Ｋフェブマルコ, 41,小林徹, 0.9, 57,*  2,  -6,14,476.8, ②④, 6,12,Ｆプリンセスムｰン, 50,池添謙, 2.1, 52,  -3,  -8, 3,  6.0, ⑥④, 6, 7,Ｈビュｰティサン, 62,荻野琢, 0.5, 60,   3,  -7, 9, 84.7, ⑦⑦, 6, 5,Ｉケンブリッジエル, 70,幸英明, 0.6, 77,  -3,  12, 5, 18.1, ⑧⑨
 7,12,Ｅリャナンシｰ, 52,福永祐, 1.5, 51,*  2, -11, 3,  7.3, ③③, 7,10,Ａペプチドマンボウ, 61,幸英明, 2.2, 50,  -2, -10, 6, 18.7, ⑤⑤, 7,10,Ｆタイセイクインス, 63,国分恭, 0.9, 59,*  9, -17, 7, 17.1, ①①, 7, 2,Ｇケンブリッジヒｰロ, 73,福永祐, 0.7, 74,   1,   7, 6, 22.4, ⑥⑥
 8, 3,Ｈタガノシェルム, 47,幸英明, 1.7, 48,  -3,  -7, 9, 60.5, ⑩⑨, 8, 3,Ｊエｰシンヘディング, 46,小牧太, 2.2, 52, -10,   1, 9, 70.2, ⑭⑭, 8, 5,Ｉカルナヴァレ, 60,太宰啓, 1.3, 53,   1, -12, 8, 26.9, ⑧⑨, 8, 7,Ｈモズ, 73,国分恭, 0.8, 70,   5,   0, 7, 24.2, ③④
