13年 5月 5日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 5月 5日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 4R  芝3170m 4歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  芝2000m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■10R  ダ1900m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
 3,12,Ｆトｰワフォｰエバｰ, 56,藤田伸, 0.4, 64,  -2,* -3, 2,  6.4, ⑬⑫, 3,11,Ｌマグナムボｰイ, 60,秋山真, 0.2, 68,* 13, -14, 8, 40.7,①①①, 3, 7,Ｇスカイキュｰティｰ, 65,川田将, 0.0, 68,   2,  -5, 1,  1.8,⑤⑤⑤, 3, 4,Ｅシゲルシバグリ, 75,幸英明, 0.8, 72,   5,   5,12, 97.7, ⑨⑨
 4,11,Ｂアンシャックルド, 60,川田将, 0.4, 63,  -1,* -6, 4, 14.3, ⑩⑩, 4,10,Ａコウエイアｰス, 80,太宰啓, 0.2, 74,   7,* -1, 3,  5.8,⑪⑫⑩, 4, 3,Ｆベッラヴォｰチェ, 66,秋山真, 0.3, 65,*  3, -11, 6, 17.2,③④③, 4,12,Ｉミリオンヴォルツ, 73,松山弘, 0.8, 72,   4,   7, 2,  6.0, ⑭⑮
 5, 7,Ｍクラシカルバリュｰ, 44,北村友, 0.7, 60,  -1, -10, 6, 21.0, ⑨⑨, 5, 4,Ｆレッドサクセサｰ, 70,北村友, 0.3, 69,   9,  -7, 2,  5.1,⑧⑥⑤, 5, 2,Ａインカンデセンス, 77,国分優, 0.6, 62,*  3, -18, 4,  9.5,①②②, 5, 3,Ｄガクニホシ, 75,村田一, 0.9, 71,   5,   4,10, 28.4, ⑧⑧
 6, 4,Ｅチョウワンダｰ, 57,村田一, 0.8, 58,   2, -17, 3, 13.2, ④④, 6, 7,Ｄタガノギャラクシｰ, 72,小牧太, 1.1, 64,  11, -17, 6,  9.9,④⑤④, 6, 6,Ｂエクスパｰシヴ, 71,村田一, 0.9, 58,*  4, -24, 5, 12.2,②①①, 6,10,Ｆネオシｰサｰ, 75,川島信, 0.9, 73,   1,* 10, 7, 18.8, ⑮⑭
 7, 2,Ｋビコｰピリラニ, 49,佐久間, 1.0, 55,   2, -20,14,242.0, ③③, 7, 8,Ｃアｰバンレジェンド, 72,川田将, 1.2, 64,   9, -15, 1,  2.9,⑦⑧⑧, 7, 4,Ｄポイントキセキ, 68,北村友, 1.2, 55,*  3, -24, 7, 20.1,④③④, 7,11,Ｊガｰルズストｰリｰ, 73,国分優, 0.9, 71,*  9,   0, 6, 18.3, ②②
 8,15,Ｈシゲルコウマザ, 52,川島信, 1.0, 59,  -6,* -5, 8, 36.3, ⑰⑮, 8,12,Ｂオレアリア, 73,和田竜, 1.3, 65,   8, -13, 5,  6.9,⑨⑪⑪,,,,,,,,,,,,, 8, 7,Ｃオｰミレイライン, 76,酒井学, 0.9, 71,   4,   5, 4, 10.6, ⑪⑪
 9,10,Ｄアティトラン, 58,酒井学, 1.2, 56,  -5, -11,11, 56.2, ⑫⑬, 9, 2,Ｇシゲルラシンバンザ, 70,国分優, 1.5, 62,  11, -20, 9, 41.2,③④⑥,,,,,,,,,,,,, 9, 2,Ｈタガノプリンス, 74,太宰啓, 0.9, 73,   4,   7, 5, 15.1, ⑫⑫
10, 6,Ｊハリバット, 51,幸英明, 1.7, 49,   1, -27, 7, 22.9, ⑧⑦,10, 3,Ｊアルテミシア, 63,岡田祥, 1.6, 61,* 12, -24,12,158.5,②②②,,,,,,,,,,,,,10, 6,Ｇペガサスヒｰロｰ, 74,和田竜, 1.1, 70,   6,   2, 8, 19.1, ⑩⑩
11, 3,Ｉアエテウレシイ, 52,和田竜, 1.7, 47,   1, -27,12, 63.4, ⑦⑤,11, 6,Ｈティマイドリｰム, 69,酒井学, 2.7, 56,   9, -27, 7, 25.1,⑥⑦⑫,,,,,,,,,,,,,11, 8,Ｋサウンドボルケｰノ, 72,小牧太, 1.1, 69,   1,*  8, 9, 23.3, ⑯⑯
12, 8,Ｐグラッソ, 37,上村洋, 1.7, 47,  -6, -16,18,496.0, ⑯⑭,12, 5,Ｉアトランティｰド, 65,武幸四, 3.1, 57,   8, -30, 4,  6.1,⑫⑨⑨,,,,,,,,,,,,,12, 5,Ｏイッツアチャンス, 68,岩崎翼, 1.1, 68,*  9,  -3,13,166.9, ①①
13, 9,Ｌアクメバイオ, 45,荻野琢, 1.9, 43,  -2, -26,13,215.1, ⑪⑪,,,,,,,,,,,,,,,,,,,,,,,,,13,13,Ｌドナリサ, 69,上村洋, 1.6, 66,   4,   0,15,305.1, ⑬⑬
14,18,Ｃウルフ, 58,秋山真, 2.0, 44,   1, -32, 9, 39.2, ⑥⑧,,,,,,,,,,,,,,,,,,,,,,,,,14,14,Ｎランドタカラ, 68,熊沢重, 1.7, 67,   6,  -4,14,227.1, ⑦⑦
15,16,Ｏハピネスウィッシュ, 40,太宰啓, 2.7, 38,  -6, -30,16,330.7, ⑮⑰,,,,,,,,,,,,,,,,,,,,,,,,,15,16,Ｐサンマルリジイ, 66,原田敬, 2.2, 60,*  8, -11,16,311.8, ④④
16,17,Ｎメイショウパルフェ, 41,武幸四, 2.7, 36,   2, -45,10, 45.5, ⑤⑥,,,,,,,,,,,,,,,,,,,,,,,,,16,15,Ｍレディワシントン, 69,北村友, 2.5, 58,*  8, -13,11, 45.7, ③③
17,13,Ｑリュウフォワｰド, 24,熊沢重, 4.3, 23,  -4, -58,15,306.1, ⑭⑯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-17 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:0),,,,,,,,,,,
"単勝:150円 複勝:14=110円 01=260円 12=160円 枠連:1,650円",,,,,,,,,,,,"単勝:4,250円 複勝:09=980円 01=1,470円 11=1,660円 枠連:12,190円",,,,,,,,,,,,単勝:570円 複勝:05=250円 08=210円 枠連:0円,,,,,,,,,,,,"単勝:210円 複勝:01=140円 09=180円 04=1,120円 枠連:430円",,,,,,,,,,,
