13年 5月 5日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 5月 5日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 4R  芝3170m 4歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  芝2000m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■10R  ダ1900m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,桃山ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｄハナズインパルス, 60,小牧太,, 63,  -2,*  7, 7, 15.4, ⑩⑧, 1,10, ルｰルプロスパｰ,,白浜雄,,,,, 1,  2.8,①①①, 1, 3,Ｄメイショウシレトコ, 67,国分優,, 71,  12,*-12, 5, 14.9,⑧⑦⑤, 1,10,Ｊマイネルバイカ, 84,藤田伸,, 83,* 12,  13, 5, 14.7,①①①
 2,16,Ｆサマニトップレディ, 60,幸英明, 0.8, 60,*  5,  -7, 6, 15.3, ③②, 2, 8, ブチカマシ,,草野太,212.7,,,, 8, 34.9,⑩④④, 2, 5,Ｃテｰオｰレジェンド, 68,秋山真, 0.0, 68,* 14, -20, 2,  2.7,①①①, 2, 1,Ｆコルポディヴェント, 85,北村友, 0.1, 82,   9,  17, 6, 15.0,③⑥⑤
 3, 6,Ａマリナｰズコンパス, 63,川田将, 0.9, 59,   4,  -6, 1,  2.3, ④④, 3, 1, コウエイキング,,植野貴,212.7,,,, 6, 12.8,③③③, 3, 4,Ｂベリｰフィｰルズ, 70,四位洋, 0.2, 67,  10,*-12, 3,  6.4,⑨⑧⑧, 3, 5,Ｄエｰシンリボルバｰ, 86,幸英明, 0.1, 83,   9,* 19, 1,  2.8,⑤⑦⑦
 4, 7,Ｈジョウショｰピアス, 58,国分優, 0.9, 54, -10,*  7,11, 40.6, ⑬⑫, 4,11, ユウタｰチェイサｰ,,北沢伸,212.9,,,, 5, 10.7,⑥⑥⑥, 4, 7,Ｆエメラルブライト, 61,岩崎翼, 0.5, 64,  11, -20, 7, 74.5,⑥⑥⑦, 4, 3,Ｃハリケｰン, 86,川田将, 0.3, 82,   7,* 20, 4,  5.8,⑬⑩⑨
 5, 2,Ｃプリｰズドスマイル, 61,北村友, 0.9, 59,*  5,  -8, 5, 13.6, ②③, 5,12, トｰセンマグナム,,江田勇,213.6,,,, 2,  4.3,②②②, 5, 6,Ｈロノ, 51,和田竜, 0.7, 62,* 14, -28, 4,  8.4,②②②, 5,11,Ｇラタｰシュ, 85,和田竜, 0.4, 82,   8,  17,12, 73.8,⑧⑧⑧
 6,10,Ｅチェリｰミルズ, 60,松山弘, 1.0, 55,   0,  -5, 2,  3.6, ⑧⑦, 6, 6, メイショウタクミ,,森一馬,213.6,,,,10, 53.7,⑬⑬⑫, 6, 8,Ａテイエムオペラドン, 72,川田将, 0.7, 64,  12, -22, 1,  2.3,⑤⑤⑥, 6, 7,Ｈヴァンヌｰヴォｰ, 85,武幸四, 0.6, 84,  10,  12, 2,  4.1,④④⑥
 7, 1,Ｉイニシャルダブル, 55,村田一, 1.1, 56,   0,  -5,10, 29.7, ⑦⑨, 7, 5, リバｰハイランド,,平沢健,213.7,,,, 4,  7.6,⑤⑤⑤, 7, 2,Ｉクランドｰルゲラン, 45,川島信, 1.0, 61,  13, -30, 6, 18.9,④④③, 7, 4,Ｌコウユｰヒｰロｰ, 81,国分優, 0.7, 78,  10,  11,11, 51.2,⑫⑤④
 8, 9,Ｊセレッソフロリｰド, 49,四位洋, 1.2, 57,*  7, -13, 4, 13.4, ①①, 8, 9, サウンドアフリｰト,,田村太,213.7,,,, 7, 16.8,⑦⑧⑨, 8, 1,Ｅツカサリボン, 61,原田敬, 2.3, 50,  11, -47, 9, 93.0,③③④, 8,12,Ｍヤマニンシャスｰル, 79,川島信, 0.9, 80,   5,* 20,14,216.7,⑭⑭⑭
 9, 3,Ｂオリエンタルエッグ, 63,原田敬, 1.3, 53,   1,  -9, 3, 12.1, ⑥⑥, 9,14, ゴｰルデンガッツ,,金子光,214.3,,,, 3,  5.2,⑧⑪⑩, 9, 9,Ｇエルマカロン, 57,森一馬, 2.3, 50,  10, -43, 8, 90.6,⑦⑨⑨, 9, 6,Ｂメタギャラクシｰ, 87,松山弘, 0.9, 78,   7,  16, 8, 41.1,⑥⑨⑪
10,11,Ｇヤマニンプチタルト, 59,酒井学, 1.4, 54,   3, -11, 8, 16.0, ⑤⑤,10,13, ミヤコデラックス,,小野寺,214.3,,,,13,146.8,⑪⑨⑦,,,,,,,,,,,,,10, 2,Ｋジャンナ, 81,酒井学, 1.1, 78,   7,  14, 9, 46.1,⑨⑫⑩
11,14,Ｋアギャント, 46,岡田祥, 1.7, 48,  -6,  -5,12,166.8, ⑪⑪,11, 4, シンワカントリｰ,,難波剛,214.4,,,,11, 84.4,⑨⑩⑪,,,,,,,,,,,,,11, 8,Ａマストハブ, 88,四位洋, 1.2, 79,   6,  14, 3,  5.7,⑪⑪⑫
12,12, テイケイカトレヤ,---,田村太, 2.1, 43, -14,  -1,14,321.6, ⑮⑮,12, 3, ボンバルディエｰレ,,蓑島靖,214.9,,,, 9, 37.1,⑫⑫⑬,,,,,,,,,,,,,12, 9,Ｎダイバｰシティ, 76,村田一, 1.2, 78,   6,  16,13,208.4,⑩⑬⑬
13, 5,Ｌテイエムジャズ, 30,佐久間, 2.2, 44,  -8,  -6,15,347.6, ⑫⑬,13, 2, シゲルゴユウサン,,熊沢重,215.0,,,,12,127.9,④⑦⑧,,,,,,,,,,,,,13,13,Ｉサクラブライアンス, 84,小牧太, 1.4, 72,* 11,   3, 7, 15.2,②②②
14,13, ストレｰガ,---,和田竜, 2.2, 43, -14,  -2, 9, 27.8, ⑭⑭,14, 7, シゲルハッサク,,黒岩悠,220.5,,,,14,165.9,⑭⑭⑭,,,,,,,,,,,,,14,14,Ｅファイヤｰ, 85,太宰啓, 1.4, 74,* 11,   3,10, 46.2,⑦③③
15, 4, ライブリハｰト,---,太宰啓, 2.6, 40, -18,  -2,13,176.8, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,15, ティアｰズ,---,荻野琢, 3.2, 35,   0, -24,16,350.9, ⑨⑩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:0),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-15 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:0),,,,,,,,,,,
"単勝:1,540円 複勝:08=330円 16=390円 06=130円 枠連:6,510円",,,,,,,,,,,,"単勝:280円 複勝:10=140円 08=630円 01=380円 枠連:3,900円",,,,,,,,,,,,"単勝:1,490円 複勝:03=260円 05=150円 04=190円 枠連:2,220円",,,,,,,,,,,,"単勝:1,470円 複勝:10=370円 01=450円 05=140円 枠連:13,080円",,,,,,,,,,,
"馬連:10,300円 ワイド:08-16=2,870円 06-08=670円 06-16=840円",,,,,,,,,,,,"馬連:5,600円 ワイド:08-10=1,570円 01-10=710円 01-08=4,480円",,,,,,,,,,,,"馬連:1,820円 ワイド:03-05=500円 03-04=800円 04-05=320円",,,,,,,,,,,,"馬連:13,840円 ワイド:01-10=3,610円 05-10=710円 01-05=1,060円",,,,,,,,,,,
"馬単:20,730円 3連複:7,760円 3連単:91,700円",,,,,,,,,,,,"馬単:8,000円 3連複:15,760円 3連単:53,860円",,,,,,,,,,,,"馬単:5,020円 3連複:2,630円 3連単:21,020円",,,,,,,,,,,,"馬単:25,490円 3連複:8,670円 3連単:109,940円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 5R  芝2400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 8R  ダ1400m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■11R  芝1200m 4歳上ｵｰﾌﾟﾝ(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鞍馬ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ａセイスコｰピオン, 71,川田将,, 66,   5,  -1, 1,  2.4,⑥⑤⑤, 1, 4,Ｆハイヤｰゾｰン, 59,北村友,, 74,*  7,* -5, 4, 10.5,④⑤④, 1, 1,Ｋケリｰダノビア, 66,酒井学,, 77,*  9,   2,11, 34.9, ①①, 1,17,Ａマコトナワラタナ, 87,川田将,, 87,  -7,* 20, 6, 14.0, ⑬⑭
 2, 2,Ｂゴｰルデンヒｰロｰ, 68,幸英明, 0.2, 65,   3,   0, 3,  4.4,⑦⑦⑦, 2,13,Ａサンライズウェイ, 71,太宰啓, 0.0, 74,*  7,* -5, 1,  1.7,⑧⑦⑦, 2, 2,Ｃリバｰタイキ, 75,川田将, 0.1, 75,   5,   6, 1,  3.5, ⑤⑤, 2,13,Ｂスギノエンデバｰ, 84,北村友, 0.1, 86,  -7,* 18, 2,  6.2, ⑮⑬
 3,12,Ｅニジノハヤテ, 59,小坂忠, 0.5, 67,   1,*  2, 9, 81.5,⑪⑧⑧, 3,11,Ｃプランスペスカ, 67,幸英明, 0.4, 70,*  7, -14, 3,  6.6,⑤④③, 3,15,Ｆツルオカハチマン, 72,幸英明, 0.2, 74,   3,   6, 3,  5.4, ⑧⑨, 3, 4,Ｊアｰスソニック, 78,川島信, 0.1, 85,  -4,  16, 5,  8.9, ⑫⑫
 4,10,Ｉテラノアパッチ, 55,松山弘, 0.6, 63,  -2,*  7,11,146.0,⑬⑬⑫, 4, 9,Ｂラカ, 68,川田将, 0.5, 69,*  7, -13, 2,  4.1,⑦⑥⑤, 4,12,Ａゴｰルデンオブジェ, 75,国分優, 0.7, 70,   4,   3, 4,  6.4, ⑩⑪, 4, 7,Ｆシュプリｰムギフト, 81,秋山真, 0.1, 84,  -2,  13, 3,  7.2, ⑨⑧
 5,11,Ｃゴッドマウンテン, 66,北村友, 0.6, 61,*  5,  -8, 2,  3.7,④④④, 5, 5,Ｄカナディアンリｰフ, 64,国分優, 0.7, 66,*  7, -19, 5, 10.7,②②②, 5,11,Ｉジョｰラプタｰ, 70,村田一, 0.7, 70,  -1,*  8, 6, 15.0, ⑭⑬, 5,12,Ｈケイアイアストン, 78,小牧太, 0.2, 81,*  4,   6,17,115.7, ④④
 6, 4,Ｎマキアｰジュシチｰ, 49,太宰啓, 0.9, 60,*  6, -13, 7, 27.7,①①①, 6,10,Ｈメイショウミヤジマ, 53,武幸四, 0.8, 66,   6, -13, 9,110.2,⑩⑧⑧, 6, 5,Ｊクラヴィコｰド, 66,岩崎翼, 0.8, 69,   4,   1,13, 68.4, ⑨⑦, 6,16,Ｅバｰバラ, 82,松山弘, 0.3, 80,   1,   8, 1,  3.7, ⑦⑥
 7, 7,Ｊアスカノトゥｰレ, 51,熊沢重, 1.2, 63,   0,  -2,10,124.0,⑫⑩⑩, 7, 2,Ｅマツカゼグリｰン, 62,岩崎翼, 2.2, 55,*  8, -44, 6, 41.8,①①①, 7,14,Ｇスマｰトアｰサイト, 72,松山弘, 0.9, 68,   3,   2, 8, 22.3, ⑪⑩, 7,15,Ｍアフォｰド, 76,村田一, 0.3, 83,  -8,  17, 7, 14.9, ⑯⑯
 8, 3,Ｌポラｰルリヒト, 50,酒井学, 1.4, 57,   4, -12, 4,  9.3,③⑥⑥, 8,12,Ｇニホンピロホウオｰ, 55,酒井学, 2.2, 58,*  7, -39, 7, 61.7,③③⑥, 8,13,Ｅエｰシンバサラ, 72,小牧太, 1.0, 66,  -2,   6, 7, 19.1, ⑮⑭, 8, 2,Ｋハノハノ, 76,酒井学, 0.3, 81,   0,   9, 8, 15.8, ⑤⑦
 9, 9,Ｋフｰルフォアラブ, 50,村田一, 1.7, 56,   1,  -8,14,423.0,⑧⑨⑨, 9, 7,Ｉフェブサクセス, 51,熊沢重, 3.1, 50,   1, -29,12,328.6,⑪⑩⑨, 9, 9,Ｏハネムｰンゴシップ, 37,和田竜, 1.0, 68,  -4,*  9,14,101.0, ⑯⑯, 9,14,Ｑラフレｰズカフェ, 70,岡田祥, 0.4, 81, -11,* 18,16,101.1, ⑰⑰
10,13,Ｆジリオン, 58,和田竜, 2.0, 53,*  5, -21, 5, 10.2,⑨③③,10, 6,Ｍパｰプルシャイン, 36,森一馬, 3.7, 48,  -1, -36,10,286.6,⑥⑨⑩,10, 4,Ｄキｰブランド, 74,岡田祥, 1.2, 66,*  8,  -7, 2,  5.3, ②②,10,11,Ｃテイエムタイホｰ, 83,太宰啓, 0.6, 75,*  4,   1,10, 20.4, ③③
11, 8,Ｈメイキングドラマ, 55,国分優, 2.0, 54,  -1,  -6, 8, 70.5,⑭⑭⑪,11, 3,Ｌクリノサガルマｰタ, 42,花田大, 4.4, 45,  -4, -36,11,295.6,⑬⑬⑬,11, 7,Ｌエｰシンブラスタｰ, 66,北村友, 1.5, 64,   1,   0,15,122.1, ⑬⑫,11, 9,Ｌボストンエンペラｰ, 76,和田竜, 0.6, 76,  -2,   6,11, 31.5, ⑩⑩
12, 1,Ｇシゲルウミヘビザ, 57,秋山真, 2.2, 51,  -1,  -9,13,234.8,⑩⑫⑭,12, 1,Ｊウエスタンストｰム, 50,原田敬, 4.6, 44,  -1, -46, 8, 82.5,⑨⑪⑫,12, 8,Ｍアルボランシｰ, 64,熊沢重, 2.0, 62,   4, -10,16,136.0, ⑥⑧,12, 1,Ｄクリｰンエコロジｰ, 83,荻野琢, 0.7, 75,  -8,  11, 9, 16.8, ⑭⑮
13, 6,Ｄファインスマッシュ, 61,荻野琢, 2.9, 47,  -1, -15,12,170.7,⑤⑪⑬,13, 8,Ｋファインドラゴン, 45,岡田祥, 4.8, 45,   0, -51,13,343.0,⑫⑫⑪,13,10,Ｈシルクアポロン, 70,秋山真, 2.4, 56,   5, -14, 5,  9.6, ⑦⑥,13, 6,Ｏレオンビスティｰ, 73,幸英明, 0.8, 73,   1,   1,12, 34.3, ⑥⑤
14, 5,Ｍアサクサライジン, 50,武幸四, 3.1, 51,*  7, -31, 6, 24.6,②②②,,,,,,,,,,,,,14, 3,Ｂサｰランスロット, 75,原田敬, 2.6, 55,   6, -17, 9, 24.4, ④④,14,10,Ｉサクラアドニス, 78,武幸四, 0.8, 73,   0,   2,14, 54.7, ⑪⑪
,,,,,,,,,,,,,,,,,,,,,,,,15, 6,Ｎタツスティンガｰ, 52,川島信, 2.6, 55,   6, -18,10, 26.0, ③③,15, 8,Ｎエｰシンヒットマン, 75,藤田伸, 0.9, 71,   0,   1,13, 38.7, ⑧⑨
,,,,,,,,,,,,,,,,,,,,,,,,16,16, イチゲキヒッサツ,---,水口優, 3.6, 47,   1, -19,12, 42.3, ⑫⑮,16, 5,Ｇエｰシンダックマン, 79,四位洋, 1.1, 67,*  5,  -7, 4,  7.5, ②②
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17, 3,Ｐオｰセロワ, 71,国分優, 1.1, 68,*  6,  -9,15, 83.4, ①①
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:87 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-4),,,,,,,,,,,
単勝:240円 複勝:14=130円 02=140円 12=980円 枠連:400円,,,,,,,,,,,,"単勝:1,050円 複勝:04=220円 13=110円 11=170円 枠連:490円",,,,,,,,,,,,"単勝:3,490円 複勝:01=740円 02=150円 15=200円 枠連:6,000円",,,,,,,,,,,,"単勝:1,400円 複勝:17=400円 13=260円 04=330円 枠連:750円",,,,,,,,,,,
"馬連:490円 ワイド:02-14=230円 12-14=2,270円 02-12=2,410円",,,,,,,,,,,,馬連:900円 ワイド:04-13=340円 04-11=790円 11-13=240円,,,,,,,,,,,,"馬連:5,660円 ワイド:01-02=1,700円 01-15=3,560円 02-15=480円",,,,,,,,,,,,"馬連:4,410円 ワイド:13-17=1,480円 04-17=1,820円 04-13=1,220円",,,,,,,,,,,
"馬単:750円 3連複:5,790円 3連単:15,160円",,,,,,,,,,,,"馬単:2,750円 3連複:1,620円 3連単:11,420円",,,,,,,,,,,,"馬単:14,660円 3連複:12,080円 3連単:108,100円",,,,,,,,,,,,"馬単:9,560円 3連複:12,130円 3連単:82,120円",,,,,,,,,,,
■ 3R  芝1600m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 6R  ダ1800m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 9R  芝2000m 3 歳500万(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■12R  ダ1400m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,矢車賞,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ａプラチナテｰラｰ, 63,四位洋,, 66,*  5, -10, 1,  1.5, ②②, 1, 9,Ｅイスカンダル, 71,松山弘,, 72,   8,* -2,10, 42.5,⑩⑩⑦, 1, 5,Ｃレッドジゼル, 71,四位洋,, 67,   1,* -2, 3,  5.7,⑥⑦⑦, 1, 1,Ａデザｰトオアシス, 79,川田将,, 78,   6,* 10, 1,  2.1, ⑤⑤
 2, 1,Ｇシゲルヘビザ, 53,松山弘, 0.2, 63,*  6, -16, 5, 20.4, ①①, 2, 1,Ｋロｰレルベロボｰグ, 62,幸英明, 0.2, 70,  11, -10,11, 62.6,⑤③③, 2, 8,Ｅセンティナリｰ, 67,小牧太, 0.0, 69,   2,* -4, 2,  4.4,⑦⑥⑥, 2, 9,Ｂオビｰディエント, 76,秋山真, 0.7, 72,   7,   4, 3,  6.3, ⑥⑥
