13年 5月12日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 5月12日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-15,,,,,■ 4R  芝2910m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1200m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  芝1200m 3 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,葵ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｃアルカナ, 62,高倉稜,, 67,  -6,* 13, 4, 20.4, ⑩⑨, 1,10, ジｰクジオン,,植野貴,,,,, 2,  3.6,④④②, 1, 2,Ｆサｰカスタウン, 68,四位洋,, 72,*  9,   2, 2,  4.6, ①①, 1, 3,Ａティｰハｰフ, 74,武豊  ,, 77,  -2,* 13, 1,  1.8, ⑮⑬
 2, 6,Ａゼンノコンゴウ, 71,秋山真, 0.0, 69,*  7,  -4, 1,  1.2, ①①, 2, 7, タマモオンゾウシ,,難波剛,195.7,,,, 1,  1.8,①①①, 2,14,Ｇトウカイチャｰム, 67,藤田伸, 0.1, 71,   4,*  6, 1,  4.1, ⑤⑤, 2, 1,Ｐカゼニタツライオン, 51,小坂忠, 0.0, 81,* 13,  -3,14,231.7, ②②
 3,11,Ｄウォｰタｰポルトス, 59,武幸四, 0.2, 70,*  3,  -1, 2,  7.8, ③②, 3, 6, アイアンセラヴィ,,田村太,196.1,,,,11, 75.4,⑤⑤⑤, 3, 1,Ｃシンボリエクレｰル, 71,小牧太, 0.1, 69,*  7,   2, 4,  7.5, ③②, 3,11,Ｈプレイズエタｰナル, 70,秋山真, 0.0, 78,   5,*  5, 2,  8.5, ⑦⑦
 4, 2,Ｌカミングアップ, 34,幸英明, 0.3, 66,  -3,*  6, 5, 38.0, ⑧⑧, 4, 8, ジョｰマダガスカル,,林満明,196.3,,,, 5, 20.4,③③③, 4,11,Ｊキョウワリベラル, 65,武豊  , 0.5, 66,*  8,  -2, 8, 11.3, ②③, 4, 9,Ｏカシノランナウェイ, 58,国分優, 0.1, 78,   6,   2,16,323.7, ⑥⑥
 5, 4,Ｇオリエンタルサン, 52,小林徹, 0.6, 64,   1,  -1, 8, 46.2, ④④, 5,13, アドマイヤサイモン,,西谷誠,197.0,,,, 3,  6.6,⑧⑥⑥, 5, 3,Ａシルクフラッシュ, 72,国分優, 0.7, 65,  -1,*  5, 3,  7.4, ⑨⑩, 5, 2,Ｎヴァンフレｰシュ, 62,四位洋, 0.2, 77,   8,   0, 3,  9.1, ④④
 6,15,Ｈエｰシンジョｰイ, 52,古川吉, 0.8, 64,   1,  -2, 3, 13.1, ⑥⑤, 6, 5, マイティｰアゲン,,草野太,198.0,,,,13,155.7,⑨⑨⑦, 6, 5,Ｄデンコウリョウ, 68,秋山真, 0.8, 63,  -2,*  5,10, 69.8, ⑪⑧, 6,10,Ｆヤマノレオ, 71,岡田祥, 0.2, 78,* 10,  -3,11, 45.2, ③③
 7,16,Ｆエｰシンヘディング, 52,小牧太, 1.1, 59,  -1,  -3, 6, 42.1, ⑦⑦, 7, 9, ノンパッサｰレ,,石神深,199.1,,,, 8, 44.4,②②④, 7,10,Ｂメイショウクロシオ, 72,高倉稜, 0.9, 62,  -2,   4, 5,  7.6, ⑩⑪, 7, 6,Ｄシｰブリｰズライフ, 72,熊沢重, 0.4, 72,   2,   4, 4, 10.9, ⑩⑨
 8,13,Ｅメイショウゲンキ, 54,藤田伸, 2.5, 47, -16,   3, 9, 68.9, ⑭⑫, 8,12, ニライジンク,,熊沢重,200.0,,,,10, 71.9,⑩⑩⑩, 8,12,Ｍエイユｰラピス, 59,熊沢重, 0.9, 65,   2,   1,13, 97.4, ⑧⑥, 8,15,Ｉジンセイハオマツリ, 69,幸英明, 0.7, 71,   8,  -7, 7, 17.8, ⑤⑤
