13年 9月21日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 9月21日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 4R  芝2970m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝1800m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,夕月特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｌメイショウシンシア, 32,武豊  ,, 59,  -7,*  8, 4, 10.6, ⑨⑧, 1, 9, タマモショパン,,熊沢重,,,,, 1,  1.5,③③①, 1, 1,Ｄスミデロキャニオン, 73,幸英明,, 83,  16,* -2, 3,  4.5,⑤⑥⑤, 1, 7,Ｄスマｰトレイアｰ, 78,武豊  ,, 79,  12,*  4, 1,  1.8, ⑦⑧
 2,10,Ａゼンノロンゴ, 56,福永祐, 0.1, 56,  -6,*  5, 1,  1.6, ⑤⑥, 2, 3, バｰドバｰニング,,植野貴,199.2,,,, 4, 12.6,④④④, 2, 4,Ｅゴｰルドテｰラｰ, 73,川田将, 0.1, 81,  13,*  1, 1,  3.3,⑧⑨⑧, 2, 4,Ｂエアジェルブロワ, 80,浜中俊, 0.2, 77,  13,   0, 4,  9.5, ⑤⑥
 3, 9,Ｃニシノナｰガ, 46,中井裕, 1.2, 49,* -3,  -9, 3,  7.1, ③③, 3, 6, ニジブルｰム,,小坂忠,200.0,,,, 3,  9.2,②②②, 3,14,Ｉダンツクロノス, 68,和田竜, 0.4, 78,  11,*  1, 6, 13.8,⑭⑬⑫, 3, 8,Ｅイリュミナンス, 78,福永祐, 0.3, 77,  10,*  4, 2,  5.1, ⑨⑩
 4, 6,Ｄパｰプルパルピナ, 43,秋山真, 1.3, 47, -13,*  3,11,107.8, ⑯⑯, 4, 1, ピンクピアリス,,黒岩悠,202.2,,,, 2,  5.4,①①③, 4,13,Ｃステイザコｰス, 75,池添謙, 0.6, 76,  14,  -9, 2,  3.9,⑨⑦⑦, 4, 6,Ｃアドマイヤギャラン, 79,池添謙, 0.5, 75,  12,  -3, 3,  6.0, ⑧⑦
 5,12,Ｇヒャクマンバリキ, 38,藤懸貴, 1.5, 45,  -7,  -7, 6, 24.7, ⑦⑦, 5, 5, エリタｰジュ,,難波剛,202.8,,,, 7, 30.2,⑧⑦⑥, 5,10,Ｎアドマイヤアロング, 60,岩田康, 1.0, 71,* 17, -19,12, 57.9,⑥③③, 5,10,Ｈデルマイザナミ, 75,川須栄, 0.6, 75,   8,*  4,11, 53.5, ⑫⑭
 6, 2,Ｊテイエムロカビリｰ, 36,岩崎翼, 1.6, 44,  -8,  -7,12,112.8, ⑧⑩, 6, 8, タマモダイナミック,,林満明,204.0,,,, 6, 19.2,⑥⑤⑤, 6, 5,Ｈスイｰトリリック, 68,高倉稜, 1.0, 73,  10,  -3,14,141.3,⑬⑭⑬, 6, 3,Ｉタガノルミナｰレ, 74,松山弘, 0.7, 71,* 15, -11,13,161.0, ④④
 7,11,Ｂピンクプリンセス, 55,岩田康, 1.6, 44,  -5, -10, 2,  6.0, ⑥④, 7,10, ソラコマチ,,平沢健,215.0,,,,10, 90.3,⑦⑧⑦, 7, 7,Ｍキングデザイヤｰ, 62,松田大, 1.0, 69,  13, -12, 8, 19.8,⑫⑪⑨, 7,13,Ｆサンレガｰロ, 76,藤岡康, 0.7, 72,   9,   0, 6, 24.1, ⑭⑬
 8, 7,Ｋカシノクロｰネ, 33,小坂忠, 1.7, 47, -11,  -2,10, 71.1, ⑮⑭, 8, 2, ベストドロップ,,中村将,216.1,,,, 9, 84.0,⑨⑨⑧, 8, 8,Ｂフレイムコｰド, 76,藤懸貴, 1.0, 69,* 18, -24, 5, 12.5,②②①, 8, 5,Ｇアルアマｰナ, 76,和田竜, 0.9, 71,  11,  -4, 7, 26.1, ⑪⑨
