13年 8月17日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 8月17日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 4R  芝1000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 7R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝2200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿賀野川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｃペガサスジュニア, 56,吉田豊,, 60,   1,* -2, 1,  1.8, ④④, 1, 6,Ｏアスペンサミット, 36,江田照,, 64,  -1,*  5, 9, 32.2,   , 1, 1,Ｅミストフェリｰズ, 58,田辺裕,, 59,*  7, -12, 8, 18.4,①①①, 1, 1,Ａエックスマｰク, 84,福永祐,, 85,   2,* 16, 1,  3.5,⑥⑦⑥
 2, 6,Ｄラシアンカウボｰイ, 53,嘉藤貴, 0.1, 59,*  3,  -5, 4, 12.6, ②②, 2, 8,Ｈアイノタマテバコ, 51,大庭和, 0.2, 62,   0,   3,10, 38.3,   , 2, 4,Ｃウインフェロｰ, 59,戸崎圭, 0.3, 58,   5, -12, 4,  8.0,④④③, 2, 9,Ｊアロヒラニ, 74,大野拓, 0.0, 83,*  4,  12, 8, 20.5,④④④
 3, 1,Ｇアンクト, 44,北村宏, 0.4, 59,*  6, -10, 3,  8.2, ①①, 3,16,Ａサクラカレン, 70,横山典, 0.4, 56, -11,*  7, 3,  5.5,   , 3,11,Ｂキネオハレｰ, 60,大野拓, 0.4, 58,   4, -12, 1,  3.5,⑥⑥⑥, 3, 4,Ｋトｰセンハルカゼ, 74,横山典, 0.2, 82,   2,  14, 6, 11.6,⑧⑧⑨
 4,13,Ｈダイチトゥルｰス, 43,武士沢, 0.7, 52, -11,*  4,11,115.0, ⑬⑬, 4, 1,Ｂバｰチャルツアｰ, 69,木幡初, 0.4, 60,*  8,  -6, 1,  3.2,   , 4, 7,Ａドラゴンロックス, 66,松岡正, 0.8, 53,*  6, -18, 2,  3.6,②②②, 4, 7,Ｈマイネルディｰン, 76,松岡正, 0.2, 82,*  4,  11, 4,  7.4,⑤⑤⑤
 5,11,Ｊバイタルワンダｰ, 37,嶋田純, 1.0, 49,  -4,  -6,15,262.8, ⑩⑩, 5, 3,Ｋシアｰジュ, 46,福永祐, 0.7, 55,*  5,  -8, 8, 30.4,   , 5,12,Ｏブラックジャック, 43,的場勇, 0.9, 55,   5, -18, 9, 29.5,⑤⑤④, 5, 2,Ｂラスヴェンチュラス, 83,蛯名正, 0.2, 85,   3,  15, 3,  4.6,⑩⑨⑧
 6, 3,Ｂダイチヴュルデ, 58,宮崎北, 1.2, 49,   1, -12, 6, 14.0, ⑤⑤, 6,14,Ｅモシモシ, 55,蛯名正, 0.9, 52,  -4,  -4, 5,  9.6,   , 6, 2,Ｌヤマニンデリシュｰ, 49,花田大, 0.9, 54,   0,* -9,13,156.5,⑭⑫⑩, 6,12,Ｅシャドウバンガｰド, 79,戸崎圭, 0.3, 83,   1,  15, 2,  4.1,⑨⑩⑩
 7,10,Ｅナカヤマボルト, 53,蛯名正, 1.3, 48,  -1, -12, 7, 17.5, ⑦⑦, 7,15,Ｒイノチノカギリ, 30,伊藤工, 0.9, 48, -23,*  8,14,143.6,   , 7, 5,Ｊクリノグランデ, 50,長岡禎, 1.0, 55,  -2,* -5,12, 96.1,⑮⑮⑬, 7, 5,Ｆトウシンイｰグル, 77,石橋脩, 0.3, 85,   1,* 17, 9, 20.9,⑪⑪⑪
 8, 7,Ｆサノイチ, 50,戸崎圭, 1.3, 47,  -3,  -9, 8, 19.4, ⑨⑧, 8,12,Ｉエイコオムｰン, 49,松岡正, 0.9, 53,*  6, -11, 7, 21.9,   , 8,14,Ｆロｰランズソング, 58,嶋田純, 1.2, 51,   2, -15, 7, 17.4,⑨⑦⑦, 8, 3,Ｇカｰマイン, 77,吉田豊, 0.4, 80,   2,  10,10, 66.4,⑦⑥⑦
 9,14,Ｉオクリモノ, 42,長岡禎, 1.4, 47,  -1, -13, 5, 12.7, ⑧⑨, 9,11,Ｃアイティコスモス, 62,田辺裕, 1.0, 50,   2,  -9, 4,  7.2,   , 9, 8,Ｎマイネルバリスタｰ, 46,杉原誠, 1.3, 53,   0,*-10,11, 73.0,⑫⑭⑫, 9, 8,Ｌロケットダイヴ, 72,田中勝, 0.5, 75,*  5,   2,11,177.4,③②②
10, 9,Ｏウィｰクエンド, 29,江田照, 2.4, 36, -13, -10, 9, 39.3, ⑭⑭,10,13,Ｍマネタイザｰ, 40,杉原誠, 1.1, 47, -11,  -3,13,118.1,   ,10,15,Ｇバトルスプレンダｰ, 52,山崎亮, 2.3, 46,   0, -19,15,429.6,⑬⑬⑭,10,11,Ｄレオプログレス, 80,北村宏, 0.5, 76,*  4,   5, 5, 11.4,②③③
11,15,Ｎパイストロピカル, 32,原田和, 2.4, 37,  -4, -18,13,163.5, ⑪⑫,11, 2,Ｊラノララク, 49,嘉藤貴, 1.3, 46,*  8, -18, 6, 12.6,   ,11,10,Ｄフレｰミングトｰチ, 58,田中勝, 2.4, 44,   1, -24, 6, 14.0,⑦⑩⑪,11,13,Ｃセミニョン, 80,田辺裕, 0.6, 73,*  5,  -1, 7, 14.0,①①①
12, 2,Ａエスティレイズ, 60,西田雄, 2.5, 41,*  4, -26, 2,  6.4, ③③,12, 9,Ｌミキノロココ, 44,西田雄, 1.4, 41, -12,  -6,16,209.4,   ,12, 3,Ｍヘイブンズギフト, 47,西田雄, 2.7, 45,   5, -33,14,198.8,③③⑤,12,10,Ｍシンボリロｰレンス, 68,伊藤工, 0.7, 81,  -1,  14,13,306.8,⑫⑫⑫
13, 5,Ｋスプリグロウス, 36,福永祐, 2.5, 38,   1, -23,12,128.8, ⑥⑥,13, 4,Ｑピュアブロッサム, 32,長岡禎, 1.4, 40, -24,   1,12,104.4,   ,13, 6,Ｉイｰグルモア, 52,石橋脩, 3.1, 41,   3, -30, 5, 10.0,⑧⑨⑨,13, 6,Ｉギムレットアイ, 76,江田照, 1.5, 73,  -2,   8,12,290.7,⑬⑬⑬
