13年 9月28日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 9月28日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-9,,,,,■ 4R  芝2880m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝2200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  芝2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,習志野特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｅショウナンアチｰヴ, 48,戸崎圭,, 61,  -1,*  1, 1,  2.6, ⑨⑩, 1, 1, ケイジｰウィンザｰ,,五十嵐,,,,, 1,  2.6,①①①, 1, 8,Ｇコスモユウチャン, 68,柴田大,, 78,* -1,   9, 7, 15.0,④③②, 1, 7,Ｂダノンジェラｰト, 86,三浦皇,, 89, -10,* 30, 1,  1.7,⑬⑬⑫
 2,10,Ａアルマエルナト, 73,勝浦正, 0.2, 60,   1,* -3, 3,  5.0, ⑧②, 2, 6, ドリｰムセｰリング,,石神深,192.9,,,, 3,  5.1,③②②, 2,15,Ａライトヴァｰス, 77,石橋脩, 0.1, 79,  -4,  15, 3,  6.0,⑥⑤④, 2, 8,Ｇマイネルディｰン, 78,柴田大, 0.0, 87,  -8,* 26, 3,  7.6,⑫⑪⑩
 3,16,Ｇエｰスワン, 46,江田照, 0.7, 54,*  4, -14, 9, 40.1, ④①, 3,12, ドリｰムチャｰジ,,難波剛,193.2,,,, 2,  4.2,⑥④④, 3,11,Ｋアポロテイスト, 64,勝浦正, 0.3, 72,*  0,   2, 5,  7.3,①①①, 3, 1,Ｏロｰドエフォｰル, 64,柴山雄, 0.2, 83,  -9,  25,10, 58.0,⑩⑫⑬
 4, 3,Ｃクリノイザナミ, 49,北村宏, 0.8, 53,   1, -11, 4, 11.9, ⑦⑥, 4,10, ツクバヤマノオｰ,,上野翔,193.6,,,, 4,  6.1,②③③, 4, 7,Ｃマグメル, 73,吉田豊, 0.4, 78,  -5,  13, 4,  6.3,⑤⑥⑥, 4, 4,Ａユキノサムライ, 87,横山典, 0.2, 80,  -7,  22, 5, 16.9,⑧⑨⑨
 5,13,Ｄカンタベリｰツルギ, 49,田中博, 0.8, 50, -10,*  0, 7, 21.6, ⑭⑪, 5,13, メルシｰサイレンス,,林満明,194.6,,,, 5,  9.7,⑦⑥⑤, 5, 5,Ｌコｰラルタワｰ, 63,丹内祐, 0.6, 77,  -7,  15, 8, 17.2,⑦⑦⑧, 5,10,Ｃタツミリュウ, 83,田辺裕, 0.2, 78,  -5,  14, 7, 19.7,④⑤④
 6, 6,Ｎグランツ,  7,嶋田純, 0.9, 49,  -1, -11, 5, 15.8, ⑩⑦, 6, 2, クレバｰブレｰド,,大江原,196.2,,,, 7, 31.8,④⑦⑦, 6, 2,Ｂエイダイポイント, 76,岩部純, 0.6, 81,  -8,* 21, 2,  5.1,⑭⑫⑪, 6,13,Ｆマイネルシュライ, 78,戸崎圭, 0.3, 76,  -5,  13, 8, 21.5,⑦⑦⑥
 7,14,Ｂフレンチフェロｰ, 58,木幡初, 0.9, 51,   2, -14, 2,  3.3, ⑥⑤, 7,11, キｰメｰル,,江田勇,196.7,,,, 8, 37.1,⑤⑤⑥, 7,12,Ｈセプテントリオ, 65,内田博, 0.6, 76,  -6,  13, 1,  3.9,⑧⑧⑦, 7,14,Ｊコスモバタフライ, 75,丹内祐, 0.3, 75,* -3,   9,12, 89.5,②③②
 8, 9,Ｋプラウドワンダｰ, 37,杉原誠, 1.4, 42,  -9, -10,13,158.8, ⑫⑫, 8, 4, ネフライト,,山本康,196.8,,,,11, 87.8,⑨⑩⑩, 8, 3,Ｉトウカイプリｰズ, 64,戸崎圭, 0.7, 76,  -8,* 16,10, 22.2,⑩⑨⑨, 8, 3,Ｉフェイルノｰト, 76,松岡正, 0.4, 79,  -8,  19,13,130.4,⑪⑩⑪
 9,12,Ｆマイネルパナケｰア, 47,丹内祐, 1.4, 43, -14,  -4,10, 50.8, ⑮⑮, 9, 8, ビレッジトレンディ,,浜野谷,197.1,,,, 9, 40.0,⑩⑧⑧, 9,13,Ｍウルフキングボｰイ, 62,長岡禎, 0.7, 68,* -2,  -1,11,136.3,②②③, 9, 6,Ｈアイスフォｰリス, 78,内田博, 0.5, 75,  -5,  10, 2,  6.2,⑥⑥⑦
10, 7,Ｈコスモピンチョス, 45,柴田大, 1.5, 45,*  4, -24, 6, 17.4, ③④,10, 5, ブラックテラｰ,,高野和,197.8,,,, 6, 22.2,⑧⑨⑨,10,16,Ｆファｰストエバｰ, 69,田中勝, 1.1, 71,  -8,  11, 6, 11.4,⑪⑩⑩, 9, 2,Ｋアルティスト, 72,二本柳, 0.5, 82, -11,* 26, 9, 43.7,⑭⑭⑭
11, 1,Ｊギンザプレスト, 39,石橋脩, 1.6, 43,   3, -24, 8, 28.1, ⑤⑧,11, 7, ポロロッカ,,蓑島靖,207.0,,,,12, 96.2,⑫⑫⑪,11,14,Ｅカンタベリｰナイト, 70,二本柳, 1.3, 70,  -8,  10, 9, 18.7,⑯⑬⑬,11,12,Ｅエｰブフウジン, 79,大野拓, 0.6, 71,* -3,   6,11, 87.4,⑤④⑤
12, 5,Ｌウｰルｰシュヴァル, 35,原田和, 2.2, 35,*  5, -33,12,129.1, ②⑨,12, 9, ブラックユニバンス,,草野太,208.1,,,,13,114.9,⑬⑬⑫,12, 9,Ｊニシノレゾネ, 64,山崎亮, 1.3, 72, -10,  13,14,209.5,⑮⑭⑮,12, 9,Ｄオペラダンシング, 79,吉田豊, 0.6, 76,  -6,  13, 4, 16.2,⑨⑧⑧
13, 8,Ｐタカミルシエル, -6,大庭和, 2.2, 33,  -6, -22,14,338.2, ⑪⑬,,,,,,,,,,,,,13,10,Ｎフォントネｰ, 56,吉田隼, 1.4, 62,  -4,  -4,13,200.0,③④⑤,13,11,Ｍネコタイショウ, 70,勝浦正, 0.6, 68,*  0,  -2, 6, 18.3,①①①
14,15,Ｏシゲルチョウシュウ, -3,嘉藤貴, 2.6, 32, -19, -15,16,513.2, ⑯⑯,,,,,,,,,,,,,14, 1,Ｄアｰドバｰク, 72,鈴木慶, 1.6, 70, -11,  12,15,217.4,⑬⑯⑭,14, 5,Ｌラゴディラゴライ, 70,武士沢, 0.8, 79, -12,  23,15,295.8,⑮⑮⑮
15,11,Ｍイスズヒメ, 18,武士沢, 2.8, 28, -10, -26,15,414.4, ⑬⑭,,,,,,,,,,,,,15, 4,Ｏプレドマンシュ, 52,武士沢, 1.9, 61,  -8,   0,12,153.5,⑫⑪⑫,15,15,Ｎトｰセンノｰブル, 69,江田照, 1.0, 64,* -2,  -4,14,136.1,③②③
16, 4,Ｉオモイイレ, 42,山崎亮, 3.7, 16,*  6, -55,11,100.7, ①③,,,,,,,,,,,,,16, 6,Ｐコモリスｰザン, 36,杉原誠, 3.9, 41, -10, -23,16,239.6,⑨⑮⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:0),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:0),,,,,,,,,,,
単勝:260円 複勝:02=140円 10=180円 16=860円 枠連:590円,,,,,,,,,,,,単勝:260円 複勝:01=120円 06=180円 12=140円 枠連:780円,,,,,,,,,,,,"単勝:1,500円 複勝:08=380円 15=250円 11=240円 枠連:850円",,,,,,,,,,,,単勝:170円 複勝:07=110円 08=200円 01=710円 枠連:340円,,,,,,,,,,,
"馬連:760円 ワイド:02-10=430円 02-16=1,640円 10-16=1,840円",,,,,,,,,,,,馬連:820円 ワイド:01-06=390円 01-12=300円 06-12=500円,,,,,,,,,,,,"馬連:3,170円 ワイド:08-15=930円 08-11=1,470円 11-15=820円",,,,,,,,,,,,"馬連:570円 ワイド:07-08=280円 01-07=1,310円 01-08=3,410円",,,,,,,,,,,
"馬単:1,420円 3連複:8,570円 3連単:27,360円",,,,,,,,,,,,"馬単:1,430円 3連複:1,300円 3連単:4,630円",,,,,,,,,,,,"馬単:7,070円 3連複:8,480円 3連単:59,130円",,,,,,,,,,,,"馬単:770円 3連複:7,800円 3連単:20,360円",,,,,,,,,,,
■ 2R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-19,,,,,■ 5R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1200m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■11R  芝1600m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,秋風ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ｎレッツサッチャｰ, -6,勝浦正,, 61,   0,*  5,12,153.2,⑤⑥⑤, 1, 4, オｰゴンボルト,---,吉田豊,, 55,  -1,  -7,12,105.7, ⑦⑥, 1,15,Ｇクロタカ, 66,嶋田純,, 71,   4,* 11, 2,  4.2, ⑪⑦, 1, 2,Ｊブレイズアトレイル, 80,田中勝,, 87,* 10,  11, 1,  4.0,③③③
 2, 9,Ａイントロダクション, 52,北村宏, 0.0, 62,  -3,* 10, 1,  3.5,⑧⑦⑦, 2, 9, トルセドｰル,---,内田博, 0.2, 53,  -4,  -6, 1,  1.7, ⑧⑧, 2, 8,Ａプリティｰキャロル, 73,杉原誠, 0.7, 67,   6,   3, 4,  8.6, ⑧⑩, 2,15,Ｌフラアンジェリコ, 78,田辺裕, 0.1, 87,   5,  16,11, 35.7,⑨⑨⑨
 3, 4,Ｆマイネルゲｰル, 38,柴田大, 0.6, 55,  -7,*  6, 5, 10.7,⑪⑪⑧, 3, 3, サンアナハイム,---,松岡正, 0.4, 52,  -1, -10, 5, 13.1, ⑥⑤, 3, 5,Ｃレディｰピンク, 71,西村太, 0.7, 70,  11,  -1, 9, 20.0, ④④, 3, 6,Ａパワｰスポット, 90,横山典, 0.3, 84,   4,* 18, 2,  4.5,⑪⑪⑩
 4, 7,Ｃオｰドヴィ, 44,内田博, 0.7, 52,   1,  -9, 8, 17.7,④④③, 4,13, ダテノトライアンフ,---,石橋脩, 0.4, 53,*  1, -12, 3,  7.8, ③②, 4, 3,Ｆマイネエレｰナ, 70,柴田大, 0.8, 65,   2,*  7, 8, 17.6, ⑬⑬, 4,14,Ｋケイアイエレガント, 78,吉田豊, 0.3, 84,* 11,   5, 7, 18.2,②②②
 5,12,Ｅパｰリｰシェル, 41,戸崎圭, 0.8, 49,*  4, -14, 2,  4.0,①②②, 5,16, ベニノラブリｰ,---,丹内祐, 0.6, 50,  -5,  -7, 8, 29.0, ⑩⑪, 5, 1,Ｄフランスギャル, 71,吉田豊, 1.0, 62,  -1,*  6, 5, 14.4, ⑭⑭, 5,10,Ｅコスモソｰンパｰク, 82,柴田大, 0.3, 86,   6,  14, 8, 19.2,⑩⑧⑧
 6,13,Ｄウェルヴァｰスト, 44,大野拓, 0.9, 50,  -4,  -1, 6, 11.3,⑨⑩⑩, 6, 1, コスモグラウベ,---,柴田大, 0.8, 49,   0, -13, 2,  7.2, ⑤③, 6,16,Ｂピオニエトウショウ, 73,内田博, 1.1, 67,* 13,  -6, 1,  4.1, ③③, 6, 1,Ｆエスピナアスｰル, 81,平野優, 0.4, 82,* 13,   1,12, 45.7,①①①
 7, 6,Ｇセクシイガｰル, 38,山崎亮, 1.2, 47,  -7,  -1, 9, 25.5,⑭⑫⑪, 7,10, アイアムルミエｰル,---,嶋田純, 0.9, 44, -19,*  2,11, 71.3, ⑬⑬, 7,11,Ｊセトノブロッサム, 66,花田大, 1.1, 64,   8,  -3, 6, 14.8, ⑥⑥, 7,16,Ｂクッカｰニャ, 87,石橋脩, 0.4, 83,   8,   8, 5, 11.2,⑥⑥⑤
 8, 2,Ｊドリスバロｰズ, 25,吉田隼, 1.5, 43,   0, -16,11,116.2,⑥⑤⑥, 8, 5, タガノエｰクラス,---,吉田隼, 1.0, 48,*  2, -18, 4, 11.5, ①①, 8,13,Ｈオリアｰナ, 66,石橋脩, 1.2, 61,   3,   1,14, 62.6, ⑫⑪, 8,12,Ｃオリｰビン, 85,内田博, 0.4, 84,   8,   8, 3,  4.8,⑤⑤⑦
