13年 7月13日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 7月13日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 7R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大森浜特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ａフクノドリｰム, 51,横山和,, 64,* -1,*  7, 1,  1.6, ①①, 1, 7,Ａヒラボクプリンス, 72,菱田裕,, 72,*  3,*  7, 1,  1.8,④②②, 1,13,Ｇアスタｰピｰス, 71,古川吉,, 75,*  1,* 12, 3,  6.7,①①①, 1, 8,Ｂヤマイチパｰトナｰ, 73,武豊  ,, 78,*  4,  14, 1,  3.3,⑥⑤④
 2, 5,Ｇディアゴッホ, 33,勝浦正, 1.0, 52, -18,*  8, 7, 34.6, ⑧⑦, 2, 8,Ｂメイショウユニオン, 65,川島信, 1.0, 66,  -1,*  7, 4, 14.2,⑨⑥④, 2, 6,Ｃハｰドロッカｰ, 73,柴山雄, 0.4, 71,*  1,  10, 5, 12.8,②②②, 2, 4,Ａアルティスト, 74,四位洋, 0.0, 81,  -2,* 26, 2,  3.7,⑪⑪⑪
 3, 4, マイネルボルソｰ,---,丹内祐, 1.1, 54,  -9,   2, 2,  5.7, ⑤③, 3, 6,Ｋプラスティックボム, 47,勝浦正, 1.8, 58,*  4,  -9, 9,103.1,①①①, 3,11,Ａサナシオン, 78,藤田伸, 0.7, 72,  -1,  10, 1,  2.4,⑥⑤④, 3, 6,Ｄメイショウテッサイ, 72,吉田隼, 0.0, 79,   0,* 22, 3,  4.9,⑩⑩⑧
 4, 3,Ｃアイナマｰリエ, 49,菱田裕, 1.6, 48,  -5,  -5, 5, 17.5, ②②, 4,12,Ｅベストブライアン, 58,村田一, 2.2, 59,  -3,   2, 5, 33.4,⑪⑧⑧, 4, 3,Ｂアポロダッシュ, 75,勝浦正, 0.8, 69,  -2,  11, 4,  7.7,⑦⑥⑥, 4, 1,Ｆマイネルアルティマ, 69,丹内祐, 0.4, 71,*  4,   5, 8, 15.4,②②②
 5,10,Ｆコスモラヴモア, 37,三浦皇, 1.6, 46, -16,   2, 4,  8.0, ⑦⑤, 5, 5,Ｈメジャｰプレゼンス, 50,菅原隆, 2.3, 56,  -3,  -2, 7, 56.2,⑥⑦⑦, 5, 2,Ｅペガサスヒルズ, 72,吉田隼, 1.1, 68,  -3,  10, 7, 19.0,⑪⑧⑧, 5,10,Ｅブリリアントダンス, 70,木幡初, 0.5, 70,*  5,   1, 7, 15.0,①①①
 6, 2,Ｄファビン, 39,村田一, 2.1, 41, -21,   0,10,140.0, ⑨⑧, 6, 4,Ｄクリノコトノオｰ, 61,丸田恭, 2.5, 54,  -5,   1, 3, 11.0,⑬⑪⑨, 6,10,Ｈロックシンガｰ, 70,津村明, 1.2, 67,  -5,* 12, 9, 29.1,⑬⑫⑪, 6, 2,Ｇピタゴラスコンマ, 67,大野拓, 0.5, 73,   2,   9, 5,  9.6,⑦⑦⑦
 7, 8,Ｂサリレモンド, 49,武豊  , 3.0, 32, -15, -12, 3,  7.2, ⑥⑨, 7,10,Ｇヤマニンイリｰズ, 52,柴山雄, 2.8, 50,*  2, -15,10,108.0,②③③, 7,12,Ｌキョウエイヒドラ, 64,三浦皇, 1.3, 67,  -6,* 12,12,329.3,⑫⑬⑫, 7, 7,Ｃコスモユウチャン, 73,三浦皇, 0.5, 72,*  4,   4, 6, 12.0,③③③
 8, 9,Ｉワイドアミｰゴ, 10,大野拓, 3.1, 34,  -6, -17, 8, 42.8, ④⑥, 8,13,Ｆエｰティｰダンガン, 57,城戸義, 2.8, 52,  -1,  -9, 8, 82.3,⑤⑤⑥, 8, 8,Ｄナリタロック, 73,川島信, 1.5, 63,*  0,   1, 2,  3.8,③③③, 8, 9,Ｈサトノレオパｰド, 65,藤田伸, 0.7, 70,*  4,   3, 4,  9.5,⑤⑥⑤
 9, 7,Ｈディアエトワｰル, 29,吉田隼, 3.1, 30, -32,  -1, 6, 31.6, ⑩⑩, 9, 9,Ｌゴｰルデンリｰフ, 46,小林徹, 3.8, 47,  -6,  -8,13,200.8,⑫⑬⑫, 9, 5,Ｉミッキｰバルｰン, 67,岩田康, 1.5, 63,  -1,   3, 8, 28.1,⑤④⑤, 9,11,Ｋアグネスロｰザ, 62,丸山元, 0.7, 71,   0,  11,10,187.7,⑨⑨⑩
10, 6,Ｅコスモクラヴィス, 39,丸山元, 3.6, 27,  -5, -24, 9, 75.4, ③④,10, 1,Ｉトｰホウリンドウ, 49,黛弘人, 4.4, 38,  -6, -13,11,131.9,⑦⑫⑬,10, 4,Ｆサチゴロウ, 71,丸山元, 1.6, 63,  -2,   5, 6, 18.5,④⑦⑦,10, 3,Ｉチャｰムドライフ, 65,菱田裕, 0.7, 72,   0,  11,11,211.1,⑧⑧⑨
,,,,,,,,,,,,11,11,Ｍマイネアラベスク, 41,丹内祐, 4.4, 44,  -5, -16,12,145.6,⑧⑩⑩,11, 7,Ｍナンゴクユニバｰス, 51,横山和, 2.4, 58,  -5,   1,11, 95.7,⑧⑪⑩,11, 5,Ｊネヴァｰハｰツ, 63,岩田康, 2.5, 52,*  4, -23, 9, 22.1,④④⑥
,,,,,,,,,,,,12, 3,Ｊエアサラディン, 48,松田大, 5.6, 34,  -5, -27, 6, 53.8,⑩⑨⑪,12, 1,Ｊロレｰヌクロス, 66,松山弘, 2.6, 56,  -5,  -1,10, 33.8,⑩⑩⑨,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,13, 9,Ｋディアボンボン, 64,松田大, 3.4, 51,  -4,  -9,13,381.4,⑨⑨⑬,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
