13年 2月24日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 2月24日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  ダ1800m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 7R  芝1200m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ1200m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾌﾞﾗｯﾄﾞｽﾄｰﾝｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ｊグラスソニック, 45,津村明,, 61,* -7,   6, 9, 33.2,②②②, 1, 1,Ｅショウナンダイラ, 64,蛯名正,, 70,   6,* -1, 3,  4.1,⑦⑤③, 1, 4,Ｅアポロオラクル, 60,田辺裕,, 63, -14,*  7, 8, 17.4, ⑪⑨, 1, 2,Ｅハッピｰカオル, 85,田辺裕,, 85,  14,   8, 5, 11.9, ③③
 2,13,Ｅケイジｰタイタン, 57,岩部純, 0.0, 59,* -7,   5, 5, 12.5,①①①, 2, 2,Ｃヤンキｰソヴリン, 66,木幡初, 0.7, 66,   4,  -2, 6, 21.3,⑨⑨⑨, 2, 9,Ａチェリｰペトルズ, 73,北村宏, 0.0, 61,  -9,   1, 1,  3.3, ⑥⑥, 2,14,Ｋタマブラックホｰル, 80,石橋脩, 0.0, 81,   3,* 17, 1,  3.2, ⑭⑬
 3, 6,Ｄクレバｰセレクト, 58,田辺裕, 0.3, 57,  -9,   6, 2,  5.1,⑤⑥④, 3,10,Ｉダノンアイガｰ, 61,田辺裕, 0.9, 63,*  7, -11, 1,  2.6,③①①, 3,12,Ｉウエスタンソｰレ, 58,石橋脩, 0.0, 61,* -6,  -2, 7, 16.7, ②②, 3, 4,Ａカフェシュプリｰム, 87,柴田善, 0.1, 85,* 17,   3, 2,  3.3, ②②
 4,11,Ａキネオハレｰ, 61,蛯名正, 0.4, 56,* -8,   3, 1,  2.0,④③③, 4, 8,Ａケイアイリブラ, 73,石橋脩, 1.1, 63,   6,  -8, 4, 10.3,⑩⑧⑦, 4,11,Ｇナカナカ, 59,三浦皇, 0.2, 60,  -7,  -3, 3,  5.9, ④⑤, 4, 9,Ｃケｰジｰハヤブサ, 85,内田博, 0.5, 79,  12,   5, 4,  7.7, ⑥⑤
 5, 1,Ｇアイディドゥイット, 54,三浦皇, 0.7, 55,  -9,   5, 4,  8.4,⑦⑨⑦, 5, 7,Ｄゲマインシャフト, 65,松岡正, 1.2, 63,   2,* -1, 7, 22.6,⑫⑫⑩, 5, 7,Ｃジョアンシｰピン, 62,柴田大, 0.2, 59, -10,   0, 5, 10.0, ⑧⑧, 5, 1,Ｄダンシングマオ, 85,北村宏, 0.5, 78,   8,   9, 7, 16.7, ⑩⑩
 6, 2,Ｃマイネルエウロス, 58,柴田大, 0.7, 56,  -9,   5, 7, 28.4,⑧⑩⑧, 6,11,Ｇキタノイットウセイ, 63,津村明, 1.2, 64,   2,  -4, 5, 16.3,⑪⑩⑧, 6, 6,Ｂヒュウガミズキ, 64,横山典, 0.3, 56, -10,  -2, 4,  7.9, ⑦⑦, 6, 7,Ｈチャンピオンラブ, 83,蛯名正, 0.6, 78,  10,   6, 9, 37.7, ⑦⑥
 7, 7,Ｈトｰセンワイルド, 50,平野優, 0.7, 57, -12,* 10, 8, 31.2,⑭⑮⑫, 7,12,Ｌケツァルコアトル, 50,中谷雄, 1.3, 61,   6, -10,12,305.9,⑥⑦⑥, 7,16,Ｆホオポノポノ, 60,松岡正, 0.3, 59,* -3,  -8, 2,  4.9, ①①, 7,10,Ｍトｰセンナスクラ, 79,ベリｰ, 0.6, 77,   7,   9, 6, 14.4, ⑪⑪
 8, 3,Ｉサルジェンツチェリ, 48,武士沢, 0.7, 57, -11,*  7,13,152.8,⑩⑫⑪, 8, 3,Ｊディｰエスコマンド, 56,江田照, 1.4, 61,   6, -11,11, 81.4,④⑥⑤, 8, 2,Ｊクインスウィｰティ, 58,杉原誠, 0.4, 58, -14,   1,10, 30.4, ⑩⑪, 8, 8,Ｂエイコオウイング, 86,横山典, 0.8, 76,  11,   3, 3,  7.2, ⑧⑦
 9,12,Ｋプリズンブレｰク, 45,木幡初, 1.1, 53,  -8,   0,12,125.1,⑥⑦⑨, 9, 5,Ｆコスモアリュｰル, 64,柴田大, 2.0, 58,   7, -17,10, 71.8,②④④, 9,13,Ｋエフティチャｰミｰ, 58,蛯名正, 0.4, 56,* -6,  -7,12, 54.3, ③③, 9,13,Ｇカフェマｰシャル, 83,松岡正, 0.9, 75,   9,   4,10, 38.1, ⑨⑧
10, 4,Ｍアンサングヒｰロｰ, 43,松岡正, 1.1, 51,  -9,   0,14,241.2,⑫⑧⑥,10, 6,Ｂヘイロｰフォンテン, 67,柴田善, 2.1, 54,*  7, -21, 2,  3.4,⑤②②,10,15,Ｎミナレット, 50,嘉藤貴, 0.6, 53, -10,  -6,14,151.9, ⑨⑩,10,15,Ｎチャンピオンヤマト, 76,津村明, 1.1, 80,* 20,  -7,11, 48.0, ①①
11,16,Ｆタカラプリンス, 56,内田博, 1.2, 51,* -8,  -2, 3,  5.8,⑨④⑤,11, 9,Ｋマイネルガブリエル, 55,ベリｰ, 5.1, 39,*  8, -45, 9, 49.6,⑧③⑪,11, 3,Ｍモンサンスピカ, 54,津村明, 0.6, 56, -21,*  5,11, 47.2, ⑭⑬,11,12,Ｊハンマｰプライス, 80,木幡初, 1.1, 72,   4,   7,14,211.5, ⑬⑭
