13年 1月 6日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 1月 6日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 4R  芝2910m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1200m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝3000m 4歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,万葉ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｆシャトｰブランシュ, 54,池添謙,, 66,* -5,*  6, 5, 12.4,②②②, 1, 3, ハイロｰラｰ,,小坂忠,,,,, 1,  1.8,③③③, 1, 2,Ａエｰシングリズリｰ, 79,福永祐,, 73,*  8,   5, 1,  1.9, ②②, 1,13,Ｂデスペラｰド, 89,武豊  ,, 99,   5,* 27, 1,  2.9,⑬⑬⑫
 2,15,Ｉポイントキセキ, 50,浜中俊, 0.2, 63,  -6,*  6, 1,  2.0,⑧⑤③, 2,12, シゲルキョクチョウ,,中村将,196.1,,,, 2,  5.5,①①①, 2,15,Ｃジョウショｰキング, 71,国分恭, 0.2, 71,   4,*  7, 3, 10.5, ⑧⑦, 2, 8,Ｅタニノエポレット, 88,岩田康, 0.0, 95,   6,* 21, 2,  5.3,⑩⑦⑧
 3, 8,Ａメイショウブリエ, 63,武豊  , 1.1, 57,* -3,  -4, 2,  5.1,①①①, 3, 6, メイショウヨウドウ,,西谷誠,196.7,,,, 3,  7.0,②②②, 3, 3,Ｂワンダｰゴヴェルノ, 75,水口優, 0.3, 69,   6,   5, 6, 15.9, ⑥④, 3, 3,Ｍエｰシンジｰライン, 79,太宰啓, 0.0, 91,*  9,  13, 7, 14.7,①①①
 4,16,Ｂメモリｰロワジｰル, 59,古川吉, 1.7, 56,  -7,  -2, 4, 11.9,⑫⑪⑧, 4,11, テイエムセイリュウ,,植野貴,197.3,,,, 5, 14.1,⑦⑥⑥, 4,13,Ｄジャマイカジョｰ, 70,酒井学, 0.4, 71,   6,   3, 2,  4.6, ⑤⑤, 4, 9,Ｆサイモントルナｰレ, 87,川須栄, 0.4, 93,   7,  18,11, 44.1,⑭⑩⑪
 5, 1,Ｎアモｰルミｰオ, 42,松山弘, 1.8, 54, -10,   1,10, 35.1,⑮⑭⑪, 5, 4, アラタマユニバｰス,,田村太,197.5,,,, 9, 50.6,④④⑤, 5, 4,Ｉタガノプラｰジュ, 65,藤懸貴, 0.5, 67,   1,*  6, 5, 13.5, ⑨⑩, 5, 2,Ｊマイネルキッツ, 82,三浦皇, 0.5, 89,   7,  13, 8, 19.2,④⑥⑥
 6, 7,Ｈスｰサンリラ, 50,和田竜, 1.9, 53,  -5,  -8,16,226.6,③③④, 6, 9, ウォｰクラウン,,林満明,197.6,,,, 4, 11.1,⑤⑤④, 6,11,Ｆマッキンリｰ, 67,和田竜, 0.7, 67,*  8,  -2, 4, 10.6, ③③, 6, 5,Ｌフォゲッタブル, 80,ビュイ, 0.7, 85,*  8,   7, 5,  8.9,③④④
 7, 2,Ｌスイｰトリリック, 47,藤岡佑, 2.0, 53,  -6,  -6,11, 51.8,⑬⑧⑦, 7, 8, ピエナセレブ,,北沢伸,197.7,,,,10, 62.1,⑥⑦⑦, 7, 5,Ｊエイユｰラピス, 63,北村友, 0.8, 65,   3,   2, 7, 31.6, ⑦⑧, 7, 7,Ｋモンテクリスエス, 80,幸英明, 0.8, 84,*  8,   4,12, 57.0,②③②
 8,13,Ｐファｰマブライド, 41,荻野琢, 2.5, 50, -10,  -2, 7, 26.1,⑯⑯⑯, 8, 5, トｰセンタイガｰ,,五十嵐,199.3,,,, 6, 14.2,⑩⑨⑧, 8, 6,Ｇオリｰブ, 66,幸英明, 0.8, 63,  -5,* 10,14,121.1, ⑬⑬, 8,12,Ａマストハブ, 90,福永祐, 0.8, 86,   6,  10,10, 31.5,⑥⑧⑦
 9, 6,Ｍショウナンカメリア, 43,幸英明, 2.7, 46,  -8, -10,13, 83.4,⑨⑫⑨, 9, 1, シゲルマスカット,,黒岩悠,200.5,,,,11,146.7,⑧⑧⑨, 9,14,Ｅカシノチョッパｰ, 67,小坂忠, 0.9, 64,   1,   4, 8, 32.8, ⑩⑨, 9, 4,Ｃセイカプレスト, 88,高倉稜, 0.9, 90,   5,  17, 3,  7.4,⑫⑫⑬
10,12,Ｅミキノティｰタイム, 56,太宰啓, 2.7, 48,  -5, -15, 3,  8.5,④④⑤,10,10, エｰシンハクレイ,,熊沢重,200.8,,,, 7, 25.0,⑨⑩⑩,10, 8,Ｎエクスプレミオン, 57,松田大, 1.2, 61,* 10,  -8,16,239.2, ①①,10, 6,Ｄトウカイトリック, 88,内田博, 1.0, 86,   7,  10, 6, 10.7,⑧⑨⑨
11, 5,Ｄフｰルフォアラブ, 56,ルメｰ, 2.9, 45,  -7, -13, 8, 27.5,⑩⑨⑬,11, 2, スリリングレディ,,大江原,200.9,,,,12,190.6,⑪⑪⑪,11,12,Ｋユリオプスデイジｰ, 61,池添謙, 1.8, 57,   6, -10,12, 76.7, ④⑥,11,11,Ｇエナｰジバイオ, 86,酒井学, 1.0, 91,   4,  18, 9, 30.1,⑮⑮⑮
12, 9,Ｊミラフロｰレス, 49,内田博, 3.0, 43,  -6, -15, 9, 29.4,⑤⑦⑩,12, 7, エｰシンテュポｰン,,白浜雄,200.9,,,, 8, 26.5,⑫⑫⑫,12, 1,Ｐエンプレスラブ, 50,菱田裕, 1.8, 55,  -4,   0,11, 76.1, ⑪⑪,12, 1,Ｉピエナファンタスト, 82,古川吉, 1.1, 86,   4,  16,13,101.5,⑪⑭⑭
13,14,Ｋエリモグラマｰ, 47,中井裕, 3.0, 49, -10,  -9,15,214.3,⑭⑮⑮,,,,,,,,,,,,,13,16,Ｌツバキ, 60,太宰啓, 1.9, 55,  -6,   1,15,153.7, ⑭⑮,13,10,Ｎブルｰスタｰキング, 75,藤懸貴, 1.1, 84,   6,   8,15,194.3,⑨⑪⑩
14, 3,Ｇサポｰトソング, 52,川島信, 3.1, 45,  -6, -16,12, 54.0,⑥⑥⑥,,,,,,,,,,,,,14, 9,Ｍデイジｰバロｰズ, 58,秋山真, 1.9, 53,  -8,   4, 9, 33.6, ⑯⑯,14,15,Ｈマカニビスティｰ, 83,川島信, 1.1, 81,*  8,   2, 4,  7.6,⑦⑤⑤
