13年12月 7日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年12月 7日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝2000m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 7R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■10R  芝1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,幕張特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ａキョウエイハピネス, 68,松岡正,, 58,  -8,*  5, 1,  2.1, ④③, 1, 6,Ｅラインカグラ, 62,蛯名正,, 60,*-13,*  3, 3,  6.4,⑧⑦⑧, 1, 3, エクセレントビュｰ,---,戸崎圭,, 52,  -9,  -5, 2,  3.3,⑦⑧⑥, 1, 6,Ｂバロンドゥフォｰル, 79,蛯名正,, 83,   5,  13, 1,  2.4,⑥⑥⑥
 2, 9,Ｇブラックメイプル, 47,戸崎圭, 0.3, 55, -11,*  4, 6, 12.9, ⑧⑦, 2,16,Ａキネオペガサス, 71,戸崎圭, 0.1, 55,*-14,  -1, 1,  2.6,⑦⑥④, 2,12, キスカラハジメヨウ,---,蛯名正, 0.2, 54, -13,*  2, 4, 10.9,⑩⑪⑪, 2, 1,Ｉコスモバタフライ, 74,丹内祐, 0.1, 82,   6,  10, 9, 26.2,⑤⑤④
 3,14,Ｊコスモピンチョス, 45,丹内祐, 0.3, 56,* -8,   1, 7, 14.7, ②②, 3,14,Ｉガラハッド, 55,大野拓, 0.3, 53,*-12,  -6,14,211.0,④③③, 3, 8, トｰセンマルシェ,---,江田照, 0.3, 50, -12,  -5,10, 50.5,⑨⑨⑩, 3,10,Ｆシベリアンスパｰブ, 77,松岡正, 0.1, 83,   2,* 17, 4,  8.7,⑧⑧⑦
 4, 7,Ｃデルマオソマツ, 57,柴田善, 0.5, 53, -13,*  5, 2,  5.6, ⑬⑭, 4,12,Ｃギブアンドテイク, 67,柴田善, 0.3, 58, -16,*  3, 2,  3.7,⑭⑮⑮, 4,14, ライロア,---,横山典, 0.3, 47,* -5, -16, 3,  4.2,⑤④⑤, 4, 9,Ｃダイワブレイディ, 78,内田博, 0.2, 79,   9,   1, 2,  4.1,②③③
 5,10,Ｌオｰドヴィ, 43,蛯名正, 0.7, 52,* -6,  -4, 4,  8.5, ①①, 5, 5,Ｆレッドクラリス, 59,北村宏, 0.4, 53, -15,  -2, 4,  8.1,⑩⑪⑨, 5, 7, サｰベラス,---,内田博, 0.4, 48,* -4, -19, 8, 22.3,②②②, 5, 4,Ａキングロンシャｰプ, 80,田中勝, 0.4, 79,   3,  13, 6, 18.9,⑦⑦⑧
 6,12,Ｏサマｰラヴ, 27,江田照, 0.8, 52, -15,*  4,13,154.4, ⑯⑯, 6, 4,Ｐパイストロピカル, 50,西田雄, 0.5, 53, -15,  -3,13,143.4,⑨⑩⑫, 6,10, モンドクラッセ,---,柴田善, 0.7, 45,* -6, -22, 1,  3.1,④③④, 6, 5,Ｅタマラマ, 77,吉田豊, 0.4, 81,   0,* 18, 3,  4.7,⑩⑩⑩
 7,11,Ｉカプチｰノ, 45,西田雄, 0.9, 51, -12,   0,14,175.7, ⑩⑩, 7,11,Ｂビレッジソング, 70,横山典, 0.5, 48,*-12, -10, 6, 16.8,①①①, 7, 4, テルライド,---,木幡初, 0.7, 46, -12,  -9,11, 67.4,⑪⑩⑨, 7, 7,Ｇコスモバルバラ, 76,戸崎圭, 0.7, 73,   8,  -1, 7, 23.9,④④⑤
 8,15,Ｄファビン, 55,田中勝, 1.0, 49,  -9,  -3, 5, 11.5, ⑥⑤, 8,17,Ｇサトノバイタル, 56,内田博, 0.6, 48,*-12, -12,10, 60.4,②②②, 8,13, ペイシャンスアリア,---,宮崎北, 0.8, 43,  -8, -19,14,189.8,⑧⑦⑧, 8,11,Ｈロｰレルソラン, 74,横山典, 0.7, 75,   1,  11, 8, 25.0,⑨⑨⑨
