13年11月30日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年11月30日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝2970m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1600m 2 歳新馬 馬齢,,,,,,,,,,,,■10R  芝1600m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,千両賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｂテンマティｰニ, 63,戸崎圭,, 55,* -5,   2, 2,  2.3, ③③, 1, 1, ウォンテッド,,平沢健,,,,, 2,  2.8,②①①, 1, 8, サングレアル,---,岩田康,, 62, -28,* 18, 1,  1.6, ⑧⑨, 1, 3,Ｆウインフルブルｰム, 61,和田竜,, 75,*  6,   5, 2,  4.9, ①①
 2, 4,Ｄフジノゴｰルド, 59,国分恭, 0.1, 55, -11,*  8, 4, 11.9, ⑪⑨, 2, 3, バｰドバｰニング,,植野貴,202.8,,,, 1,  2.7,③③②, 2,10, アイアムナチュラル,---,浜中俊, 0.2, 55, -26,  10, 2,  4.7, ⑤⑤, 2,11,Ｉアズマシャトル, 58,松山弘, 0.5, 71,  -4,* 13, 3,  5.9, ⑨⑨
 3,10,Ｌショウナンサンタ, 32,福永祐, 0.2, 54,  -9,   5, 6, 23.2, ⑧⑥, 3, 2, ナシュワンヒｰロｰ,,林満明,203.6,,,, 6, 12.0,①②③, 3, 2, ホッコｰファイン,---,国分恭, 0.2, 60, -31,* 20,11,132.0, ⑩⑩, 3,10,Ｈエイシンブルズアイ, 58,福永祐, 0.6, 72,  -5,* 15, 1,  1.9, ⑩⑩
 4,12,Ａクリアザコｰスト, 63,岩田康, 0.6, 50,* -6,  -4, 1,  2.3, ②②, 4, 7, アルゴリズム,,小坂忠,205.4,,,, 4,  7.9,⑤④④, 4, 4, ウィルソン,---,ウィリ, 0.3, 52,*-23,   5, 6, 20.1, ①①, 4, 8,Ｂフェルメッツァ, 66,浜中俊, 0.7, 69,   0,   6, 4,  6.1, ⑤⑤
 5, 6,Ｉコスモフラッグ, 42,バルザ, 0.7, 50,  -7,  -2, 8, 27.4, ⑤⑤, 5, 6, レッドアｰヴィング,,西谷誠,205.9,,,, 3,  5.6,⑥⑥⑥, 5, 9, ミッキｰボクサｰ,---,秋山真, 0.4, 52,*-23,   4,10,126.1, ②②, 5, 7,Ａコスモグラウベ, 67,バルザ, 0.7, 69,  -2,   8, 6, 18.6, ⑦⑦
 6, 7,Ｆホワイトクリスマス, 54,浜中俊, 0.8, 49, -11,   1, 7, 25.4, ⑨⑪, 6, 4, ヒカリサスペンス,,白浜雄,206.6,,,, 5, 11.5,④⑤⑤, 6,11, マイネルクリュソス,---,ムｰア, 0.6, 50, -24,   4, 7, 56.1, ③④, 6, 6,Ｅサンシカゴ, 63,秋山真, 0.8, 66,   2,  -1, 5, 17.7, ④③
 7, 8,Ｋフミノホクトセイ, 33,太宰啓, 0.8, 51,  -9,   0,12,257.4, ⑦⑧,,,,,,,,,,,,, 7, 1, ランドオザリｰル,---,バルザ, 0.6, 50, -28,   6, 4, 10.0, ⑦⑥, 7, 9,Ｋファイトバック, 53,ウィリ, 0.9, 65,   1,   2,11,264.4, ⑥⑥
 8,11,Ｃショウナンガッチャ, 60,川原正, 0.8, 50, -14,*  6, 5, 19.7, ⑬⑬,,,,,,,,,,,,, 8, 3, アルマミｰア,---,福永祐, 0.6, 52, -27,   7, 5, 11.2, ④⑦, 8, 2,Ｄアマノウインジｰ, 64,幸英明, 0.9, 67,   2,  -1, 9, 55.4, ③④
 9, 3,Ｅコウザンバニｰ, 56,秋山真, 1.0, 47,  -7,  -5, 3, 10.4, ④④,,,,,,,,,,,,, 9, 7, メイショウネイロ,---,松山弘, 0.8, 48, -27,   5, 8,106.4, ⑥⑧, 9, 4,Ｃキタサンラブコｰル, 65,武幸四, 1.1, 63,*  5, -10, 7, 45.0, ②②
10, 5,Ｈテイエムロカビリｰ, 44,和田竜, 1.1, 47,  -9,  -3, 9,110.0, ⑥⑦,,,,,,,,,,,,,10, 5, ラテラルアｰク,---,四位洋, 1.1, 41, -25,  -6, 3,  7.4, ⑨③,10, 5,Ｇナムラアッパｰ, 60,太宰啓, 1.4, 62,  -1,   0, 8, 49.6, ⑧⑧
11, 2,Ｊカゼヲアツメテ, 34,内田博, 2.3, 38, -10, -13,10,123.6, ⑩⑩,,,,,,,,,,,,,11, 6, サウザンドエｰス,---,内田博, 1.4, 42, -30,   0, 9,117.2, ⑪⑪,11,12,Ｊマイネルフォルス, 56,ムｰア, 2.0, 54,  -8,  -1,10,168.5, ⑪⑪
12, 9,Ｍクロップ, 31,松山弘, 2.4, 36,* -6, -20,11,202.6, ①①,,,,,,,,,,,,,,,,,,,,,,,,,12, 1,Ｌコパノサムタイム, 52,国分恭, 2.1, 54,  -7,  -1,12,398.1, ⑫⑫
13, 1,Ｇスプリグロウス, 45,藤懸貴, 2.5, 36, -13, -11,13,307.8, ⑫⑫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:0),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-13 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:68 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-2),,,,,,,,,,,
単勝:230円 複勝:13=120円 04=270円 10=590円 枠連:630円,,,,,,,,,,,,単勝:280円 複勝:01=150円 03=130円 枠連:0円,,,,,,,,,,,,"単勝:160円 複勝:08=110円 10=150円 02=1,500円 枠連:300円",,,,,,,,,,,,"単勝:490円 複勝:03=140円 11=170円 10=110円 枠連:1,190円",,,,,,,,,,,
"馬連:1,360円 ワイド:04-13=500円 10-13=1,100円 04-10=2,160円",,,,,,,,,,,,馬連:310円 ワイド:01-03=180円 01-02=370円 02-03=390円,,,,,,,,,,,,"馬連:380円 ワイド:08-10=190円 02-08=2,310円 02-10=4,250円",,,,,,,,,,,,"馬連:1,220円 ワイド:03-11=370円 03-10=200円 10-11=250円",,,,,,,,,,,
"馬単:2,070円 3連複:6,380円 3連単:22,010円",,,,,,,,,,,,"馬単:700円 3連複:830円 3連単:2,960円",,,,,,,,,,,,"馬単:500円 3連複:8,530円 3連単:19,620円",,,,,,,,,,,,"馬単:2,360円 3連複:780円 3連単:6,790円",,,,,,,,,,,
■ 2R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 5R  芝2000m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 8R  ダ2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■11R  ダ1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013ｺﾞｰﾙﾃﾞﾝ ﾌﾞﾗｲﾄﾞﾙ ﾄﾛﾌｨ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｃテｰオｰイｰジス, 53,ウィリ,, 61,*  0,   0, 1,  2.1,②②②, 1, 8,Ｇワｰルドインパクト, 48,岩田康,, 55,*  0,*  3, 1,  1.3,④④④, 1, 6,Ａセブンフォｰス, 81,川田将,, 79,   7,*  7, 1,  1.9,⑥⑤④, 1,11,Ｄクリノスタｰオｰ, 86,ムｰア,, 81,* 11,  13, 3,  6.8,①①①
 2, 2,Ｉエリｰザベスト, 41,秋山真, 0.0, 57,*  1,  -2, 4,  6.1,①①①, 2, 2,Ｉダンディｰズムｰン, 46,ムｰア, 0.3, 52,*  0,  -1, 4, 14.1,③③③, 2,11,Ｅエルマンボ, 74,ムｰア, 0.3, 71,   6,   6, 2,  3.7,⑩⑧⑦, 2, 3,Ａアメリカンウィナｰ, 89,ヒュｰ, 0.2, 86,   9,* 17, 1,  2.2,⑤⑦⑥
 3, 7,Ｂセントコロナ, 54,ギュイ, 0.2, 56,  -1,  -1, 2,  5.6,③③③, 3, 1,Ｃピュアエクセル, 58,福永祐, 0.5, 52,  -4,*  5, 5, 22.3,⑪⑩⑬, 3, 2,Ｆハワイアンソルト, 72,内田博, 0.6, 73,*  8,   1, 6, 17.3,③③⑤, 3, 7,Ｋトミケンアルドｰル, 79,ホワイ, 0.2, 85,* 10,* 14, 5, 11.5,②③③
 4, 9,Ａガンジｰ, 56,幸英明, 0.2, 59,  -4,*  6, 5,  6.6,⑫⑪⑧, 4, 7,Ａマイネルフレスコ, 61,バルザ, 0.5, 51,  -4,*  4, 6, 35.4,⑫⑫⑫, 4,10,Ｉジェットブリット, 70,戸崎圭, 0.7, 73,   4,*  7, 9,133.5,⑪⑪⑩, 4,15,Ｂハリケｰン, 88,川原正, 0.8, 80,* 10,   9, 4,  9.5,⑥④④
 5,10,Ｅボｰルドジャパン, 50,川田将, 0.7, 54,  -1,  -4, 3,  5.6,⑤④④, 5, 3,Ｊショウナンアトラス, 46,浜中俊, 0.6, 48,  -2,  -3, 2,  5.7,⑤⑤⑤, 5, 9,Ｂキングスバｰン, 80,小牧太, 0.8, 72,*  8,  -4, 3,  7.3,①①①, 5,14,Ｌハルカフジ, 78,スマレ, 0.8, 81,   9,  11,10, 56.9,⑨⑥⑤
 6, 1,Ｄアドミッション, 53,川原正, 1.3, 49,  -4,  -3, 7, 35.6,⑨⑩⑩, 6, 9,Ｋパラプリュイ, 44,内田博, 0.8, 49,  -3,  -2, 7, 37.7,⑧⑦⑨, 6, 3,Ｃスズカルパン, 77,福永祐, 0.9, 71,*  8,  -2, 4,  7.7,④④③, 6,12,Ｊリアライズキボンヌ, 81,浜中俊, 0.9, 80,* 11,   6, 8, 27.7,④②②
 7, 8,Ｊテイエムイチリュウ, 37,和田竜, 1.4, 49,  -1,  -9,10,149.0,⑩⑦⑤, 7,15,Ｏオミキ, 23,幸英明, 0.8, 51,  -4,*  3,15,371.4,⑭⑭⑭, 7, 1,Ｄエクチュア, 74,ウィリ, 1.4, 73,   7,  -3, 5, 15.9,⑤⑦⑥, 7,13,Ｇマストハブ, 85,ウィリ, 0.9, 83,   8,  11, 6, 19.5,⑦⑧⑨
 8, 5,Ｇマルカブラン, 43,竹之下, 1.6, 48,  -4,  -6, 9,135.5,⑧⑨⑨, 8, 5,Ｂサンライズレｰヴ, 59,松山弘, 1.0, 43,*  0, -13, 3, 12.8,②②②, 8, 4,Ｈタｰフジェニック, 72,幸英明, 1.9, 66,*  8, -12, 7, 40.3,②②②, 8, 5,Ｃグレイレジェンド, 86,内田博, 1.1, 80,   7,  13, 9, 53.1,⑩⑭⑭
 9,11,Ｌブラックグランデ, 34,森一馬, 2.0, 45,  -1, -14, 6, 28.1,⑥⑤⑥, 9, 6,Ｅスプルス, 53,和田竜, 1.0, 46,  -1,  -7,10, 73.2,⑦⑧⑥, 9, 8,Ｊサチゴロウ, 69,川原正, 2.0, 65,   6,  -8, 8, 55.1,⑦⑨⑧, 9, 4,Ｉコウユｰヒｰロｰ, 81,福永祐, 1.2, 78,   7,  10,11, 66.9,⑫⑫⑪
10, 6,Ｆシゲルエッチュウ, 44,藤懸貴, 2.1, 45,  -4,  -9,12,198.4,⑪⑫⑪,10,14,Ｌクリノダイコクテン, 41,国分恭, 1.4, 41,  -3, -10, 8, 53.1,⑬⑬⑧,10, 7,Ｇガッテンキャンパス, 72,藤懸貴, 2.2, 64,   7, -10,11,212.1,⑨⑥⑨,10, 2,Ｈアグネスミヌエット, 83,戸崎圭, 1.3, 79,   7,  13,14,209.2,⑭⑮⑮
11, 3,Ｈヤマニンカリヨン, 43,岩田康, 2.8, 39,  -2, -19, 8, 43.5,⑦⑧⑦,11, 4,Ｍメモリｰビビッド, 41,藤懸貴, 1.5, 37,*  1, -23,14,259.0,①①①,11, 5,Ｋブルｰボンボヤｰジ, 57,太宰啓, 2.6, 64,   5, -11,10,138.2,⑧⑩⑪,11, 9,Ｅメタギャラクシｰ, 85,岩田康, 1.3, 78,   7,  10, 7, 23.6,⑪⑪⑩
12,12,Ｋウイットウ, 37,佐久間, 6.2, 22,  -2, -45,11,190.2,④⑥⑫,12,12,Ｎメイショウブｰケ, 37,武幸四, 1.9, 39,  -5, -11,13,257.4,⑮⑮⑮,,,,,,,,,,,,,12, 8,Ｆスズカルｰセント, 85,スティ, 1.4, 77,   8,   8, 2,  4.0,⑬⑩⑦
,,,,,,,,,,,,13,13,Ｄダイシンウィン, 55,戸崎圭, 1.9, 35,  -3, -19,11,158.8,⑩⑨⑩,,,,,,,,,,,,,13,10,Ｍシルクシンフォニｰ, 77,シュタ, 2.0, 74,   7,   5,12,125.5,⑮⑬⑫
,,,,,,,,,,,,13,11,Ｆテイエムハヤカゼ, 49,佐久間, 1.9, 36,  -3, -17,12,159.2,⑨⑪⑪,,,,,,,,,,,,,14, 1,Ｎイチエイクリッパｰ, 76,川田将, 3.0, 67,   8,  -6,13,202.4,⑧⑨⑬
,,,,,,,,,,,,15,10,Ｈアズマムｰン, 47,川田将, 2.4, 31,  -1, -28, 9, 66.3,⑥⑥⑦,,,,,,,,,,,,,15, 6,Ｏブルｰソックス, 68,ギュイ, 5.0, 53,   9, -25,15,213.2,③⑤⑧
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:0),,,,,,,,,,,
単勝:210円 複勝:04=110円 02=180円 07=150円 枠連:690円,,,,,,,,,,,,単勝:130円 複勝:08=110円 02=260円 01=340円 枠連:210円,,,,,,,,,,,,単勝:190円 複勝:06=110円 11=140円 02=330円 枠連:330円,,,,,,,,,,,,単勝:680円 複勝:11=230円 03=130円 07=320円 枠連:980円,,,,,,,,,,,
馬連:720円 ワイド:02-04=310円 04-07=200円 02-07=420円,,,,,,,,,,,,"馬連:760円 ワイド:02-08=350円 01-08=500円 01-02=1,290円",,,,,,,,,,,,馬連:310円 ワイド:06-11=170円 02-06=470円 02-11=980円,,,,,,,,,,,,"馬連:970円 ワイド:03-11=460円 07-11=1,530円 03-07=590円",,,,,,,,,,,
"馬単:1,300円 3連複:950円 3連単:4,370円",,,,,,,,,,,,"馬単:870円 3連複:2,710円 3連単:6,070円",,,,,,,,,,,,"馬単:530円 3連複:1,500円 3連単:3,940円",,,,,,,,,,,,"馬単:2,780円 3連複:3,660円 3連単:23,570円",,,,,,,,,,,
■ 3R  芝1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 6R  ダ1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 9R  芝1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■12R  ダ1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,2013ｺﾞｰﾙﾃﾞﾝ ｻﾄﾞﾙ ﾄﾛﾌｨｰ,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｆナムラマサシゲ, 52,福永祐,, 60,*-14,*  2, 7, 15.9, ①①, 1,13, ハギノセゾン,---,和田竜,, 57,  -3,* -3, 8, 57.7, ⑨⑧, 1, 4,Ａメイショウヤタロウ, 84,戸崎圭,, 88,   5,* 15, 1,  3.8, ⑥⑥, 1,14,Ｐアクションバイオ, 56,国分恭,, 80,* 11,   7, 2,  6.4, ②②
 2, 2,Ｃリングランドムｰン, 56,幸英明, 0.1, 61, -17,*  5, 5, 13.2, ③⑤, 2, 9, エイシンジャドゥｰ,---,福永祐, 0.0, 56,  -1,  -7, 2,  3.5, ⑦⑤, 2, 6,Ｋスリｰアルテミス, 74,福永祐, 0.6, 81,   5,   6,14,103.2, ⑤⑤, 2,12,Ｄセイラ, 78,ギュイ, 0.2, 79,   1,* 15, 8, 23.5, ⑬⑪
 3,14,Ｇジョｰウォルタｰ, 52,川田将, 0.3, 58, -17,*  2, 4,  7.9, ⑤⑥, 3, 8, タガノビｰンズ,---,藤懸貴, 0.3, 54,  -2,  -7, 3,  8.9, ⑧⑨, 3, 1,Ｅマカハ, 79,シュタ, 0.7, 80,   4,   8, 2,  4.0, ⑦⑧, 3,11,Ｂクロタカ, 79,ムｰア, 0.3, 75,   1,* 14, 3,  6.9, ⑪⑫
 4, 9,Ｂメイショウラバンド, 62,武幸四, 0.4, 56,*-14,  -3, 3,  5.6, ②②, 4, 6, アサカファルコン,---,松山弘, 0.5, 53,*  0, -12, 1,  1.9, ③③, 4, 8,Ｇスリｰカｰニバル, 78,ウィリ, 0.8, 79,  -1,* 13, 6, 15.1, ⑭⑭, 4,10,Ｌアメｰジングタクト, 72,秋山真, 0.4, 77,   3,  12, 7, 17.1, ⑩⑩
 5,13,Ｄヨッテウタッテ, 55,戸崎圭, 0.7, 52, -17,  -3, 6, 14.1, ⑧⑧, 5, 5, アカイツバサ,---,幸英明, 0.6, 52,  -2, -11,12,156.3, ⑥⑥, 5, 7,Ｂアドマイヤオウジャ, 82,ギュイ, 0.8, 79,   2,   9, 3,  4.1, ⑪⑩, 5, 6,Ｆラインオブナイト, 77,岩田康, 0.5, 76,   6,   8, 5, 12.6, ⑦⑦
