13年10月 5日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年10月 5日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 4R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 7R  芝1400m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,飛翼特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｊコスモリトライ, 37,丹内祐,, 52,* -4,* -2, 8, 39.3,⑥④③, 1, 6,Ａゲンパチメジャｰ, 77,勝浦正,, 74,*  7,* 10, 1,  3.4, ②②, 1, 9,Ｆナオミノユメ, 71,荻野琢,, 77,  -3,* 15, 7, 16.5, ⑮⑭, 1,12,Ａエンプレスラブ, 71,鮫島良,, 69,*  5,   3, 1,  5.1,   
 2, 4,Ｆセクシｰボｰイ, 41,村田一, 0.3, 49,* -3,  -7, 6, 11.8,①①①, 2, 8,Ｋヒルノケアンズ, 64,川島信, 1.0, 66,  -3,* 10,13, 66.6, ⑧⑩, 2,11,Ｍチェネレントラ, 63,秋山真, 0.1, 75,   1,*  9, 5, 13.3, ⑪⑨, 2,15,Ｌモｰニングムｰン, 62,西村太, 0.2, 66,*  6,   0, 7, 20.3,   
 3, 9,Ｃコスモラヴモア, 45,中井裕, 0.8, 49,* -4,  -9, 4,  8.4,④⑤④, 3, 3,Ｄデルマダイコク, 71,西村太, 1.1, 65,   0,   6, 6,  9.4, ⑤⑤, 3,14,Ｃシンジュボシ, 72,嶋田純, 0.1, 73,   4,   2, 3,  6.7, ④④, 3,16,Ｃジャパンイモン, 66,黛弘人, 0.2, 67,  -4,*  7, 5,  9.3,   
 4, 6,Ｅマンボプリンス, 41,木幡初, 0.9, 46,  -9,*  0,12, 56.7,⑪⑪⑩, 4,15,Ｃタマノエスペランサ, 74,伴啓太, 1.2, 64,  -2,   7, 5,  9.0, ⑩⑨, 4, 5,Ｄコリｰヌ, 72,吉田隼, 0.1, 74,   2,   6, 4, 10.0, ⑨⑦, 4,14,Ｐサウンドアドバイス, 53,勝浦正, 0.3, 65,  -4,   6,11, 25.0,   
 5, 3,Ｈマイネルガヴァナｰ, 38,高倉稜, 1.2, 42,* -4, -12, 7, 11.9,③③⑥, 5,14,Ｊピｰスオブアイ, 66,杉原誠, 1.2, 64,*  5,   1,10, 47.6, ③③, 5, 6,Ｊラパｰジュ, 66,丸山元, 0.3, 71,   4,   1, 6, 16.3, ⑤⑤, 5, 2,Ｑツヴァイハンダｰ, 48,柴山雄, 0.3, 64,  -7,*  7, 9, 20.8,   
 6,14,Ｋジョｰチャｰリｰ, 35,鮫島良, 1.4, 44,  -7,  -9, 5, 10.8,⑨⑨⑨, 6,11,Ｈプリンシペアスｰル, 66,中井裕, 1.2, 66,  -2,   7, 7, 16.6, ⑨⑧, 6, 3,Ｅオメガセニョリｰナ, 71,横山和, 0.3, 71,  -3,* 10, 2,  4.1, ⑯⑰, 6, 8,Ｄアイファｰコラソン, 66,丸山元, 0.6, 60, -19,* 11,12, 29.7,   
 7,11,Ｌシリウスフォンテン, 32,松田大, 1.5, 42,  -9,  -5,11, 48.9,⑫⑫⑪, 7,13,Ｇエリモタフネス, 67,嶋田純, 1.4, 61,*  7,  -3, 8, 22.3, ①①, 7, 7,Ｏカシノワルツ, 58,二本柳, 0.4, 70,*  8,  -7,15,132.9, ①①, 7, 9,Ｂイッセキニチョウ, 69,岩部純, 0.7, 58,  -4,   0, 4,  8.6,   
 8,12,Ｇバロンドｰル, 41,柴山雄, 1.7, 42, -12,* -2,10, 44.1,⑭⑭⑭, 8, 5,Ｂタッチシタイ, 74,藤懸貴, 1.5, 61,   1,   2, 4,  8.3, ⑥⑥, 8,10,Ｈサトノネネ, 69,中井裕, 0.4, 71,   1,   5,10, 26.6, ⑫⑩, 8, 6,Ｉエッフェル, 63,伴啓太, 0.7, 58, -11,   4,18,115.3,   
