13年 7月13日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 7月13日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1150m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝2770m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝2600m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,信夫山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5, ジャリｰヴ,---,北村宏,, 57,*  0,* -4, 5,  9.7, ①①, 1, 7, ウマテック,,高野和,,,,, 2,  4.0,④②①, 1, 9,Ｃリボントリコロｰル, 62,横山典,, 67,  -1,*  5, 1,  2.0,⑦⑥⑤, 1,14,Ｇエｰシングングン, 77,横山典,, 84,  17,* -2, 5, 11.6,⑬⑨④
 2, 1,Ｂエスティレイズ, 62,西田雄, 0.5, 53,  -3,* -5, 4,  8.7, ④③, 2, 3, ラインミッシェル,,大江原,184.8,,,, 3,  4.5,③④③, 2, 3,Ｂイオンドライブ, 65,的場勇, 0.3, 64,*  2,  -6, 2,  5.7,②②②, 2, 5,Ａフェデラルホｰル, 86,蛯名正, 0.2, 83,  20, -13, 1,  2.1,⑦⑥⑦
 3,14,Ａレイヨンヴェｰル, 65,横山典, 1.2, 44,  -3, -11, 1,  2.4, ⑤⑤, 3, 4, ショウナンバｰズ,,横山義,185.1,,,, 1,  2.6,②③②, 3,10,Ｆシングンジャガｰ, 57,江田照, 0.7, 62,  -2,  -2, 7, 16.8,⑧⑨⑦, 3, 4,Ｏアップルジャック, 69,西田雄, 0.6, 80,  19, -17, 9, 39.2,④⑤③
 4, 4,Ｆディアキンカク, 37,蛯名正, 1.3, 44,* -2, -13, 6, 13.1, ②②, 4,10, メジロハクリュウ,,山本康,186.6,,,, 6, 22.1,⑥⑥⑥, 4,15,Ｇダイワフォｰス, 56,大庭和, 0.7, 64,  -3,*  4, 6, 15.0,⑫⑭⑫, 4, 8,Ｂマイネルテンクウ, 83,田辺裕, 0.9, 77,* 21, -27, 2,  5.7,②②②
 5, 7,Ｅホトトヤエ, 45,山崎亮, 1.5, 42,* -2, -15, 3,  6.0, ③④, 5, 2, カワキタバルク,,小野寺,186.9,,,, 7, 27.5,⑧⑦⑦, 5,13, レッドレイラ,---,北村宏, 1.0, 59,  -3,  -2, 9, 34.3,⑭⑫⑬, 5, 9,Ｄヴェイロン, 80,吉田豊, 1.2, 77,  14,* -9,12, 88.5,⑭⑬⑫
 6, 6,Ｄグレイトハスラｰ, 46,内田博, 1.6, 40,  -7, -12, 2,  3.8, ⑥⑦, 6, 1, ツクバヤマノオｰ,,上野翔,187.2,,,, 8, 37.1,⑤⑤④, 6,14,Ｈヒカルスタｰダスト, 55,武士沢, 1.1, 60,  -6,*  4, 8, 23.5,⑯⑯⑮, 6, 1,Ｊミッキｰレモン, 76,田中勝, 1.7, 72,  17, -26,10, 49.6,⑧⑩⑨
 7, 3,Ｈカシノワンダラｰ, 33,二本柳, 1.7, 39,  -9, -11,10,110.1, ⑧⑥, 7, 8, スリｰマンボ,,草野太,188.2,,,, 9, 38.9,⑦⑧⑧, 7, 2,Ｋウルフキングボｰイ, 47,長岡禎, 1.1, 56,*  2, -15,16,309.7,④④④, 7,15,Ｌポセイドンバロｰズ, 75,内田博, 1.8, 72,  19, -38, 4, 11.4,⑤④⑥
 8,10,Ｋウインブレット, 31,嶋田純, 1.9, 34, -11, -12,13,273.9, ⑩⑧, 8, 5, ダイキチチョウナン,,浜野谷,190.9,,,, 5, 16.7,①①⑤, 8,16,Ａトｰホウギルス, 69,嶋田純, 1.3, 55,  -1, -13, 5, 14.8,⑥⑦⑩, 8, 3,Ｈシンボリロｰレンス, 77,伊藤工, 2.2, 69,  13, -19,15,137.2,⑯⑭⑭
 9,11,Ｃディアジｰスタｰ, 49,田中勝, 2.4, 31, -11, -16, 7, 19.6, ⑪⑪, 9, 9, ウメニウグイス,,金子光,196.8,,,,10, 44.1,⑨⑨⑨, 9, 7,Ｉノｰブルシャトル, 55,山崎亮, 1.6, 51,   1, -20,11, 84.3,⑤⑤⑥, 9, 6,Ｉテｰオｰストｰム, 77,武士沢, 2.3, 69,  18, -37,14,127.9,⑨⑧⑧
10, 2,Ｇトｰホウレオポルド, 33,松岡正, 2.7, 29, -22,  -9, 9, 86.5, ⑬⑬,,,,,,,,,,,,,10, 8,Ｊポｰトドラルｰン, 51,戸崎圭, 1.6, 53,  -6,  -3, 4,  9.9,⑮⑮⑯,10,12,Ｍニシキホマレ, 74,嶋田純, 2.4, 68,  15, -30,11, 62.0,⑪⑫⑪
11,13,Ｍオベリスク, 11,江田照, 2.7, 29,  -7, -22, 8, 38.1, ⑦⑨,,,,,,,,,,,,,11, 1,Ｄウエスタンオウジ, 61,田中勝, 1.7, 49,*  4, -28, 3,  7.1,①①①,11,16,Ｅスｰサングレｰト, 79,石橋脩, 2.5, 69,* 22, -56, 3,  6.0,①①①
12,12,Ｉマイネルモヒｰト, 33,武士沢, 3.0, 27, -11, -21,11,120.4, ⑫⑫,,,,,,,,,,,,,12, 6,Ｍブライトオリｰヴ, 44,西田雄, 1.9, 50,  -4, -13,15,248.8,⑬⑬⑭,12,10,Ｃアドマイヤカｰリン, 82,戸崎圭, 2.6, 67,  19, -49, 6, 14.2,③③⑤
13, 8,Ｌアポロキュｰト, 14,長岡禎, 3.1, 27, -22, -12,12,229.3, ⑭⑭,,,,,,,,,,,,,13, 4,Ｅコスモライセンス, 58,松岡正, 2.1, 48,  -2, -21,10, 45.5,⑨⑧⑨,13,11,Ｋトｰセンノｰブル, 76,北村宏, 2.7, 67,  18, -45, 8, 26.5,⑥⑦⑩
14, 9,Ｊシゲルチクゴ, 31,原田和, 3.7, 20, -10, -28,14,325.6, ⑨⑩,,,,,,,,,,,,,14,12, サクラブレイブ,---,田辺裕, 2.3, 46,  -2, -21,13,102.4,⑩⑪⑪,14,13,Ｐナンヨｰスラッガｰ, 59,西村太, 3.6, 63,  13, -38,16,458.0,⑫⑮⑮
,,,,,,,,,,,,,,,,,,,,,,,,15, 5,Ｌホワイトチェイサｰ, 46,石橋脩, 2.3, 46,  -2, -23,12, 97.2,⑪⑩⑧,15, 2,Ｎテラノコブラ, 73,江田照, 3.9, 63,  15, -53,13,112.7,⑩⑪⑬
,,,,,,,,,,,,,,,,,,,,,,,,16,11,Ｎサラマジック, 35,平野優, 2.5, 44,*  2, -35,14,107.8,③③③,16, 7,Ｆマイネルリヒト, 78,松岡正, 4.1, 61,  13, -44, 7, 16.6,⑮⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-11 馬場:良(指数:-1),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:-19 馬場:良(指数:1),,,,,,,,,,,
