13年 6月15日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 6月15日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝2970m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝1200m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水無月ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ａマダムリシェス, 46,福永祐,, 67,   2,* -2, 1,  1.5, ④③, 1, 4, テイエムオウショウ,,高田潤,,,,, 2,  3.0,③②②, 1,13,Ａオレニホレルナヨ, 74,国分恭,, 71,   4,   4, 3,  6.3, ④④, 1, 7,Ｆサドンストｰム, 77,武豊  ,, 73,  -5,*  4, 1,  2.7, ⑨⑧
 2, 3,Ｂタガノウォｰリア, 42,太宰啓, 0.2, 67,*  7, -10, 2,  3.8, ①①, 2, 1, タッチドヘヴンリｰ,,北沢伸,201.2,,,, 3,  3.7,⑤③③, 2,15,Ｅアドマイヤクｰガｰ, 69,川田将, 0.1, 72,  -8,* 14, 8, 20.2, ⑮⑭, 2, 4,Ｇサカジロロイヤル, 76,国分優, 0.2, 69,*  2,  -7, 7, 15.9, ②②
 3, 5,Ｆコウエイユニバｰス, 27,幸英明, 0.4, 61,   0,  -7, 5, 24.0, ⑥④, 3,11, プレミアムパス,,浜野谷,201.5,,,, 4,  8.4,②①①, 3, 1,Ｂベルライン, 72,福永祐, 0.1, 71,   3,   4, 1,  3.5, ⑤⑤, 3, 8,Ｂテイエムタイホｰ, 78,幸英明, 0.3, 68,*  7, -12, 5,  8.7, ①①
 4, 6,Ｄノｰブルサイレンス, 38,浜中俊, 0.7, 59,*  6, -15, 3,  6.2, ②②, 4, 7, ヤマニンメダイユ,,平沢健,201.8,,,, 7, 31.3,⑥④④, 4, 3,Ｐサイキセキ, 58,森一馬, 0.1, 71,*  5,   1,13,111.0, ②②, 4,10,Ｉマッキｰコバルト, 75,北村友, 0.3, 68,*  3,  -8,12,170.9, ③③
 5, 1,Ｃアサケマツカゼ, 38,熊沢重, 0.7, 57,  -1,  -9, 6, 31.2, ⑤⑥, 5, 6, ピンクピアリス,,難波剛,203.1,,,, 6, 22.4,④⑥⑥, 5,12,Ｌアグネスキズナ, 62,岩田康, 0.2, 70,  -5,* 10, 5,  9.5, ⑬⑫, 5, 5,Ｌセレスマジェスティ, 69,国分恭, 0.3, 70, -13,*  8,14,186.7, ⑬⑫
 6, 4,Ｅバンブｰカッサｰノ, 30,高倉稜, 0.8, 56,   0, -12, 4, 16.3, ③⑤, 6, 2, キレイナダケデス,,森一馬,203.2,,,,10,120.7,⑦⑤⑤, 6,10,Ｈダｰクアイリス, 65,中井裕, 0.2, 69,*  9,  -4,11, 42.9, ①①, 6,14,Ｊアンヴァルト, 73,高倉稜, 0.5, 65,  -1,  -7, 8, 34.6, ⑤⑤
,,,,,,,,,,,, 7,10, ファイヤｰ,,熊沢重,204.8,,,, 1,  3.0,⑧⑧⑦, 7,11,Ｄサンキストロｰド, 70,藤岡康, 0.3, 68,  -7,* 10, 2,  4.0, ⑫⑬, 7, 2,Ｃミヤジエムジェイ, 77,川田将, 0.6, 63,  -4,  -6, 3,  7.2, ⑥⑥
,,,,,,,,,,,, 8, 3, カレンシュガｰレイ,,小坂忠,206.3,,,, 8, 31.5,①⑦⑧, 8,14,Ｇカノヤミノリ, 69,武幸四, 0.4, 67,   1,   1, 7, 16.5, ⑥⑥, 8, 3,Ａポアゾンブラック, 79,太宰啓, 0.7, 62,  -2, -10, 2,  4.2, ④④
