13年 8月 3日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 8月 3日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1000m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝2850m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■10R  芝2000m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,信濃川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ｂデサフィナｰド, 49,長岡禎,, 50,  -7,*-12, 1,  2.2,   , 1, 1, リキサンヒｰロｰ,,大江原,,,,, 4,  6.8,②②②, 1, 1,Ｃモンプレジｰル, 62,伊藤工,, 68,   0,*  2, 8, 21.6,⑧⑫⑪, 1,13,Ｅクランモンタナ, 80,内田博,, 84,*  7,  19, 2,  4.6, ④④
 2,10,Ｅサクセスフィリア, 42,内田博, 0.1, 53,* -3, -15, 2,  4.9,   , 2,11, ファイヤｰ,,横山義,191.2,,,, 1,  2.2,⑥④④, 2, 7,Ｂカネトシエタｰナル, 63,柴田善, 0.0, 68,   1,*  1, 2,  3.9,⑮⑪⑬, 2,15,Ｃサトノノブレス, 81,岩田康, 0.0, 83,   6,* 20, 1,  2.3, ⑦⑦
 3, 5,Ｊコスモワッショイ, 33,柴田大, 0.3, 45, -15,*-10, 6, 22.1,   , 3, 5, ショウナンガｰデン,,金子光,191.8,,,,10, 90.3,⑧⑥⑤, 3,14,Ｌシャンピオナ, 57,石橋脩, 0.2, 64,   1,  -5, 9, 24.3,⑦⑨⑧, 3, 1,Ｄレオプログレス, 81,田辺裕, 0.5, 77,   6,  13, 8, 40.2, ⑤⑤
 4, 7,Ｈアイティダイヤ, 36,田辺裕, 0.3, 45,  -9, -14, 5, 11.2,   , 4,12, オリオンザアルファ,,鈴木慶,191.9,,,, 2,  4.2,③③③, 4,15,Ｍリネンウインド, 56,杉原誠, 0.4, 64,   0,  -4,14,125.6,⑱⑬⑫, 4,17,Ｋダｰビｰフィズ, 74,蛯名正, 0.5, 78,   5,  16, 4,  9.2, ⑩⑩
 5,12,Ｄユメノナカヘ, 42,嘉藤貴, 0.5, 40, -13, -14, 7, 22.6,   , 5, 4, トｰセンタイガｰ,,五十嵐,192.2,,,, 3,  6.3,⑨⑦⑦, 5,17,Ａイオンドライブ, 67,的場勇, 0.4, 62,*  4, -12, 1,  3.8,⑥⑤④, 5, 8,Ｂファルスタｰ, 84,福永祐, 0.6, 76,   6,  13, 3,  6.8, ⑥⑥
 6, 8,Ｍキンメリジャン, 28,西村太, 0.8, 36, -11, -20,13,164.5,   , 6, 3, ツクバヤマノオｰ,,上野翔,192.7,,,, 8, 37.2,①①①, 6,11,Ｅアンナチュラル, 61,北村宏, 0.4, 62,   1,  -8, 5,  9.8,⑤⑧⑩, 6,10,Ａゴｰルドブライアン, 85,高倉稜, 0.6, 81,   1,* 26, 7, 21.4, ⑯⑯
 7,13, ミスリバティｰ,---,嶋田純, 1.0, 41,* -3, -25,10, 29.4,   , 7,10, メジロハクリュウ,,山本康,193.6,,,, 7, 25.5,④⑤⑥, 7, 6,Ｉゼニガタセｰジ, 58,西村太, 0.4, 67,   0,*  2,10, 30.2,⑩⑭⑭, 7, 6,Ｊトウシンイｰグル, 76,松岡正, 0.7, 78,   3,  19,12, 48.9, ⑬⑬
 8, 1,Ｉガｰネットアイ, 36,松岡正, 1.4, 30, -11, -25, 9, 25.8,   , 8, 7, ビッグプレゼンタｰ,,原田和,194.6,,,, 9, 42.9,⑦⑨⑨, 8,16,Ｇインキュベｰタｰ, 58,内田博, 0.7, 59,   2, -15, 3,  6.3,⑨⑥⑥, 8,12,Ｆビｰムライフル, 80,北村宏, 0.7, 75,   5,  13, 6, 16.8, ⑨⑨
 9,11,Ａウｰルｰシュヴァル, 51,江田照, 1.4, 29,  -7, -31, 3,  6.2,   , 9, 6, オマモリ,,浜野谷,195.1,,,,12,136.9,⑩⑧⑧, 9, 5,Ｊエルインペレイタｰ, 58,西田雄, 0.7, 58,*  4, -18, 7, 14.3,②③③, 9, 2,Ｎインプロヴァイズ, 72,戸崎圭, 0.8, 76,   2,  19, 5,  9.4, ⑭⑭
10, 9,Ｆクリノヨウキヒ, 40,山崎亮, 1.4, 27, -15, -25, 8, 24.3,   ,10, 8, リアルクラシック,,石神深,196.2,,,, 6, 22.1,⑤⑩⑩,10,12,Ｎコスモアンカｰ, 50,柴田大, 0.8, 59,*  5, -22,11, 52.4,⑪②②,10, 3,Ｉスノｰドン, 76,大野拓, 1.0, 72,   5,  10,10, 43.8, ⑧⑧
11, 2,Ｃバクダン, 46,戸崎圭, 1.4, 26, -12, -26, 4, 10.8,   ,11, 9, セイカミカワ,,高野和,197.0,,,,11,128.5,⑪⑪⑪,11, 4,Ｆミュｰル, 59,田中勝, 0.9, 58,   3, -17,12, 56.7,③④⑤,11, 7,Ｇヒカルアカツキ, 80,柴田善, 1.0, 74,   3,  13,13,106.8, ⑪⑪
12,14,Ｎメスイドｰル, 22,原田和, 1.6, 24, -16, -26,15,266.3,   ,,,,,,,,,,,,,12, 3,Ｋドクタｰルキア, 57,原田和, 1.1, 54,*  5, -25,13, 60.2,①①①,12,14,Ｈコスモアンドロメダ, 80,柴田大, 1.3, 68,*  7,  -4, 9, 43.0, ②②
