13年10月13日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年10月13日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 4R  芝2000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  芝1200m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,壬生特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12,12,Ｊクリノツネチャン, 40,幸英明, 2.1, 36,* -1, -24, 9, 26.3, ④④,12, 8, ハギノアルソｰレ,---,吉田豊, 2.0, 43, -13, -11,13,169.0,⑨⑫⑧,11,18,Ｌデンコウスカイ, 64,北村友, 1.5, 62,  -6,*  9,14,189.5, ⑰⑰,12,14,Ｉワｰルンガ, 71,松山弘, 0.9, 67,   8,  -6, 4, 11.5, ④⑤
13,13,Ｌカネトシメティス, 31,和田竜, 2.5, 30,  -5, -26,10, 50.5, ⑩⑩,13,10, アテッサ,---,上村洋, 5.0,  7, -12, -61,12,142.6,③⑤⑬,13, 9,Ｑメイケイペガムｰン, 55,国分恭, 1.6, 62,   1,   1,15,207.1, ⑬⑭,13,13,Ｎリッカコウユウ, 61,藤懸貴, 1.0, 65,   2,  -2,14,182.4, ⑩⑩
,,,,,,,,,,,,,,,,,,,,,,,,14,13,Ｅアグネスフィズ, 68,武豊  , 1.8, 63,* 14, -15, 9, 31.4, ②②,14, 7,Ｌタイセイジｰニアス, 70,小牧太, 1.1, 65, -10,*  9,11, 54.0, ⑭⑭
,,,,,,,,,,,,,,,,,,,,,,,,15, 8,Ｉライブリシュネル, 67,酒井学, 1.8, 58,  -8,*  7,11, 33.2, ⑱⑱,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16, 7,Ｇカレンシェリｰメイ, 67,浜中俊, 1.9, 63,  11, -12, 4, 13.5, ⑥⑧,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,17,11,Ｐミスマルシゲ, 58,鮫島良, 2.5, 52,   5, -15,18,454.8, ⑫⑫,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,18,15,Ｒジョｰハット, 53,吉田豊, 2.6, 49,  -3,  -9,17,440.4, ⑮⑯,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-3),,,,,,,,,,,
"単勝:1,150円 複勝:02=300円 01=250円 04=190円 枠連:2,860円",,,,,,,,,,,,"単勝:410円 複勝:09=210円 13=300円 05=1,890円 枠連:1,510円",,,,,,,,,,,,単勝:220円 複勝:12=130円 02=170円 03=440円 枠連:530円,,,,,,,,,,,,"単勝:170円 複勝:01=110円 02=1,750円 10=350円 枠連:4,490円",,,,,,,,,,,
"馬連:2,440円 ワイド:01-02=810円 02-04=810円 01-04=580円",,,,,,,,,,,,"馬連:1,950円 ワイド:09-13=660円 05-09=3,760円 05-13=6,340円",,,,,,,,,,,,"馬連:610円 ワイド:02-12=270円 03-12=820円 02-03=1,160円",,,,,,,,,,,,"馬連:7,400円 ワイド:01-02=2,710円 01-10=500円 02-10=11,860円",,,,,,,,,,,
