13年 6月30日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 6月30日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝2200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 7R  ダ1400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■10R  ダ1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御嶽特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｃレッドムｰヴ, 62,藤岡康,, 60,*  7,  -6, 4,  8.6, ⑤⑤, 1,13,Ａサンライズウェイ, 72,福永祐,, 76,* -7,* 16, 1,  1.5,⑧⑧⑦, 1, 6,Ｇアスタｰフレンチ, 51,岡部誠,, 60,   2,* -1, 8, 34.9, ⑨⑨, 1, 4,Ｇサトノプリンシパル, 80,武豊  ,, 85,* 10,  13, 2,  4.3,①①①
 2, 9,Ｏグロｰブ, 35,中井裕, 0.1, 57,   0,*  0, 7, 30.6, ⑮⑭, 2, 9,Ｃラルプデュエズ, 66,北村友, 0.3, 68,* -6,   6, 3,  5.4,②②②, 2, 5,Ｅダノンチャコ, 60,松山弘, 0.4, 57,*  6, -10, 3,  5.0, ①①, 2,12,Ｃエｰシンバリントン, 84,川田将, 0.1, 85,*  9,  14, 7, 14.1,③③③
 3, 4,Ａアンジュエ, 66,川田将, 0.1, 59,*  8,  -9, 1,  2.7, ④④, 3,10,Ｂチェイスザゴｰルド, 67,松山弘, 0.4, 72,  -9,* 14, 2,  4.7,⑪⑨⑫, 3, 2,Ｃブラックシャリオ, 61,岩崎翼, 0.5, 57,*  5,  -9, 1,  2.8, ③②, 3, 6,Ｂインカンテｰション, 84,小牧太, 0.4, 86,   1,* 27, 3,  6.1,⑯⑮⑭
 4, 7, インプレショニスト,---,鮫島良, 0.3, 54,  -3,*  3, 6, 17.5, ⑯⑯, 4, 8,Ｆホットサマｰホット, 57,岡部誠, 0.8, 67,  -8,   9, 9, 98.6,⑫⑬⑬, 4, 4,Ｄスマｰトレバレッジ, 61,武豊  , 0.5, 58,   4,  -8, 4,  7.7, ⑤⑤, 4,14,Ｉコルｰジャ, 80,国分優, 0.6, 82,   7,  14,11,110.9,⑪⑩⑩
 5,12,Ｂエインセル, 64,浜中俊, 0.3, 55,   3,  -5, 2,  3.3, ⑩⑨, 5, 1,Ｊメイキングドラマ, 53,太宰啓, 1.0, 64,  -8,   4,14,281.8,⑨⑪⑩, 5,12,Ｈスイングタキオン, 43,福永祐, 0.5, 57,   3,  -7, 7, 31.3, ⑥⑥, 5,15,Ｈクリノヒマラヤオｰ, 80,浜中俊, 0.9, 79,   8,  10, 4,  7.2,⑧⑥⑥
 6,14,Ｉムｰンビスコッティ, 43,国分優, 0.6, 52,   0,  -6,13,164.7, ⑭⑬, 6,15,Ｉオｰスミアイビス, 54,中井裕, 1.1, 65, -11,   8,10,103.1,⑭⑯⑮, 6, 7,Ａアドマイヤコング, 62,小牧太, 0.6, 55,   1,  -5, 2,  4.0, ⑧⑦, 6,10,Ｋブロｰドソｰド, 79,鮫島良, 1.0, 79,* 10,   5, 5,  9.3,②②②
 7,16,Ｍペプチドパｰル, 39,武幸四, 0.7, 50,   2,  -9,12,115.2, ⑪⑩, 7,18,Ｏサンダｰバｰド, 46,小牧太, 1.1, 58,* -4,  -7, 6, 43.1,①①①, 7, 8,Ｂレゾンドｰルシチｰ, 62,岡田祥, 0.9, 52,  -3,  -3, 5,  9.3, ⑪⑪, 7,11,Ｊシルクタｰンベリｰ, 79,武幸四, 1.3, 85,   5,  13,10, 82.8,⑬⑫⑫
 8,17,Ｈカシノハｰトフル, 44,岡田祥, 0.8, 49,   4, -14,16,260.1, ⑧⑧, 8, 6,Ｅブラックコｰル, 58,高倉稜, 1.2, 61,  -8,   0, 5, 41.5,⑯⑩⑨, 8,11,Ｆアスカノトゥｰレ, 55,太宰啓, 1.1, 52,  -4,  -3, 9, 43.4, ⑭⑬, 8, 5,Ａタナトス, 86,高倉稜, 1.5, 75,   8,   4, 6, 11.5,⑤⑤⑤
