13年12月14日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年12月14日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 4R  芝2970m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1200m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  ダ1800m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,摩耶ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｅカレンコティヤｰル, 51,和田竜,, 67,* -2,*  8, 9, 89.3, ①①, 1, 9, マイネルフィエスタ,,熊沢重,,,,, 2,  2.4,②①①, 1, 6,Ａキタサンラブコｰル, 68,藤田伸,, 71,   0,   4, 4,  6.8, ④④, 1, 4,Ｋヒルノマドリｰド, 82,四位洋,, 85,*  4,  18, 1,  4.0,②②②
 2, 2,Ｃハンマｰクラビア, 60,ルメｰ, 0.3, 63,  -7,* 12, 3,  3.9, ⑫⑩, 2, 2, マｰリンシチｰ,,植野貴,203.7,,,, 3,  6.5,⑥⑥⑥, 2, 3,Ｊベルルミエｰル, 50,秋山真, 0.0, 70,  -3,*  7, 5, 12.9, ⑤⑤, 2, 9,Ｉマイネルバイカ, 84,和田竜, 0.0, 84,*  5,  16, 7, 14.9,①①①
 3, 9,Ａワディ, 62,浜中俊, 0.3, 64,  -5,*  9, 2,  3.3, ⑤④, 3, 3, メイショウムシャ,,森一馬,203.8,,,, 7, 59.6,③②②, 3, 7,Ｈカシノヒカル, 53,小坂忠, 0.2, 67,  -7,*  8, 8, 44.7, ⑦⑦, 3,14,Ｂハリケｰン, 88,川田将, 0.1, 85,   3,* 20, 3,  5.5,⑥⑥⑤
 4, 1,Ｈサダムアリガトウ, 49,川田将, 1.0, 59,  -5,   3, 4,  9.0, ④⑤, 4,11, アルゴリズム,,小坂忠,204.3,,,, 5, 15.3,⑧⑦⑦, 4, 2,Ｆテイエムチュラッコ, 55,太宰啓, 0.2, 67,*  4,  -2, 7, 17.6, ①①, 4, 3,Ｇマイネルクロップ, 85,デムｰ, 0.4, 79,   4,  15, 2,  4.8,③③③
 5, 7,Ｉヒロノメビウス, 48,国分優, 1.1, 57,  -5,   1,13,236.9, ③③, 5, 8, コウエイロックオン,,平沢健,204.4,,,,11,183.5,④④④, 5, 8,Ｄブルｰヴァルキリｰ, 61,藤岡康, 0.4, 65,  -3,   2, 6, 15.4, ⑥⑥, 5, 7,Ａアサクサショパン, 89,ルメｰ, 0.5, 78,   3,  17, 5,  6.9,⑧⑧⑨
 6,13,Ｇダンシングバトｰ, 49,太宰啓, 1.3, 57,  -6,   1, 5, 18.9, ⑦⑥, 6, 7, ジョｰマダガスカル,,林満明,204.4,,,, 4, 10.3,①③③, 6, 1,Ｂアラタマシャトル, 63,浜中俊, 0.6, 62,   0,  -3, 2,  2.9, ③③, 6,12,Ｄピンウィｰル, 86,秋山真, 0.7, 79,   2,  16, 8, 15.2,⑨⑨⑥
 7,10,Ｋパンズラビリンス, 45,デムｰ, 1.7, 53, -10,   4,10, 93.4, ⑯⑮, 7,12, トキノフウジン,,西谷誠,205.2,,,, 1,  2.3,⑨⑨⑧, 7, 5,Ｃハッピｰロングラン, 61,川田将, 1.0, 58, -12,   4, 3,  6.4, ⑩⑩, 7, 1,Ｃバトｰドｰル, 86,藤岡康, 0.7, 79,   3,  14,11, 85.3,⑦⑦⑦
 8, 8,Ｂトｰセンクラウド, 61,岩田康, 1.9, 51,  -7,  -3, 1,  2.4, ⑧⑧, 8,10, ショウナンワヒネ,,田村太,205.4,,,, 8, 86.3,⑤⑤⑤, 8, 4,Ｅインヴォｰク, 60,和田竜, 1.0, 58,*  1,  -9, 1,  2.7, ②②, 8, 2,Ｈコルｰジャ, 84,国分優, 0.8, 80,   0,* 20, 6,  9.2,⑫⑬⑬
