13年 8月31日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 8月31日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:14,,,,,■ 4R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 7R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,羊ヶ丘特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｂツァｰリ, 54,川須栄,, 59,*  0,* -5, 3,  5.0,①①①, 1, 1,Ｍタカラプリンス, 55,横山和,, 79,* 29, -14,11, 27.2,①①①, 1,10,Ａブルｰバレット, 75,横山和,, 75,*  6,*  6, 2,  5.5,②①①, 1, 1,Ｏビｰナストリック, 65,津村明,,107,* 37,  -8, 6, 17.6, ①①
 2,11,Ｅライトオブホｰプ, 50,柴山雄, 0.1, 58,* -1,* -5, 6, 12.3,②②②, 2, 9,Ｋショウナンカリｰノ, 58,蛯名正, 0.2, 79,* 28,*-11,16,151.5,③②②, 2, 1,Ｄアドマイヤキュｰト, 73,四位洋, 0.0, 78,*  6,*  9, 1,  1.6,⑤③②, 2, 5,Ａヤマニンプチガトｰ, 76,松田大, 0.4, 93,* 28,* -3, 2,  6.6, ②③
 3,10,Ａドラゴンスパン, 56,蛯名正, 0.8, 53,  -5,* -5, 1,  3.9,⑦⑧⑦, 3, 2,Ｊコスモサンチャン, 60,柴田大, 0.5, 78,* 27,*-13, 4,  7.3,②③③, 3, 2,Ｅコスモレイラ, 72,丹内祐, 1.0, 71,   3,   4,12, 57.9,⑧⑦⑥, 3,14,Ｈマイネサヴァラン, 71,柴田大, 1.1, 84,  23,  -7, 4,  9.4, ⑤④
 4, 9,Ｊルヴェソンヴェｰル, 38,三浦皇, 1.0, 52,  -3,  -9, 2,  4.0,⑧⑥⑤, 4, 4,Ｄフロレント, 68,丸田恭, 0.9, 72,  25, -14, 8, 14.9,⑦⑤④, 4, 4,Ｃホワイトアルバム, 74,小林徹, 1.1, 67,*  5,  -2, 5, 17.5,③④③, 4,11,Ｆユｰルフェスト, 72,岩田康, 1.4, 83,* 28, -15, 1,  2.0, ③②
 5, 6,Ｉコスモチャイム, 38,丹内祐, 1.0, 53,  -2, -11, 4,  7.8,⑥④③, 5, 7,Ｈテイエムプリンセス, 62,松田大, 1.0, 71,  24,*-13, 5, 12.9,⑩⑨⑨, 5, 3,Ｍスカイグラフィティ, 63,三浦皇, 1.1, 69,   1,   5, 9, 38.0,⑨⑩⑨, 5, 2,Ｍダブルスパｰク, 69,菱田裕, 1.5, 74,  12,* -1,10, 29.3, ⑫⑬
 6, 2,Ｃクリノエビスジン, 54,伴啓太, 1.2, 50,  -3, -10, 9, 24.9,⑤⑤⑥, 6,16,Ｂレッドオｰディン, 72,戸崎圭, 1.0, 72,  25, -14, 3,  6.4,⑭⑧⑧, 6, 5,Ｂシンワウォッカ, 75,柴山雄, 1.2, 68,   2,   4, 7, 24.7,⑩⑧⑩, 6, 3,Ｋツクバリンカｰン, 70,古川吉, 2.3, 66,  19, -17,15,121.9, ⑦⑦
 7, 8,Ｇジェイケイニュｰス, 45,丸田恭, 1.5, 47,  -4, -11, 5,  8.1,⑩⑨⑧, 7,13,Ｅフェイマスシｰン, 64,吉田豊, 1.2, 71,  22,*-12, 9, 17.9,⑫⑩⑩, 7,11,Ｇジャズダンサｰ, 70,丸田恭, 1.5, 64,   4,  -2, 6, 18.4,⑥⑤④, 7,16,Ｄストロングロビン, 74,丸田恭, 2.5, 64,  19, -20, 9, 28.9, ⑧⑧
 8, 7,Ｆコスモトレント, 49,柴田大, 2.0, 45,  -6, -12, 8, 18.5,⑪⑪⑪, 8,11,Ａスカｰレットポピｰ, 72,勝浦正, 1.6, 67,  25, -23, 2,  4.5,⑨⑦⑤, 8, 8,Ｉトｰワフォｰエバｰ, 68,藤田伸, 1.5, 67,   1,   3, 3, 11.8,⑪⑪⑧, 8, 7,Ｌタマニュｰホｰプ, 70,伴啓太, 2.5, 63,  10, -10,16,132.5, ⑭⑭
