13年 2月23日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 2月23日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝2970m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1800m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝2400m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御堂筋ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｇサｰシスリｰフ, 62,ビュイ,, 74,*  8,   0, 5, 12.0, ①②, 1, 9, テイエムセイリュウ,,植野貴,,,,, 2,  4.5,①①①, 1, 2,Ｉネヴァｰハｰツ, 55,岩田康,, 73,*  1,  10, 3,  4.3,①①①, 1, 4,Ｄアドマイヤフライト, 88,福永祐,,104,   2,* 33, 1,  2.6,④④⑤
 2, 5,Ａロレｰヌクロス, 69,藤岡佑, 0.4, 67,  -2,*  6, 1,  2.1, ⑩⑥, 2, 6, トｰセンタイガｰ,,草野太,204.5,,,, 8, 27.8,⑦⑥⑥, 2, 8,Ｂメイショウキラリ, 70,飯田祐, 0.0, 74,  -1,* 14, 2,  3.7,④④④, 2, 7,Ｊカレンミロティック, 83,池添謙, 0.0,102,*  4,  29, 5, 11.4,②②②
 3,16,Ｂトウケイムｰン, 65,飯田祐, 0.4, 71,*  8,  -4, 2,  4.2, ②①, 3,10, リリｰアタッカｰ,,熊沢重,204.8,,,, 3,  4.5,②②②, 3, 5,Ａアランロド, 75,太宰啓, 0.5, 74,  -2,* 14, 1,  3.3,⑧⑧⑧, 3, 8,Ｌニュｰダイナスティ, 79,浜中俊, 0.1, 99,*  5,  26, 4,  8.9,①①①
 4, 7,Ｄカトラス, 64,熊沢重, 0.5, 69,   4,   0, 7, 42.4, ④③, 4, 7, ダイヤモンドハウス,,小坂忠,204.9,,,,10, 50.9,⑨⑦⑦, 4,10,Ｄストレｰトラブ, 68,川田将, 0.8, 71,  -3,  13, 4,  5.5,⑨⑨⑨, 4, 2,Ａカワキタフウジン, 97,内田博, 0.4,103,   1,* 35, 7, 16.7,⑧⑪⑫
 5,12,Ｉウォｰタｰチュｰン, 49,国分優, 1.0, 62,   0,  -1, 8, 45.2, ⑥⑧, 5, 8, アスタｰコリント,,林満明,204.9,,,, 6, 19.5,⑤⑤⑤, 5, 6,Ｆニｰレンベルギア, 66,内田博, 0.9, 69,  -3,  11, 5,  8.0,⑩⑩⑩, 5,11,Ｆタイキプレミアム, 87,川田将, 0.7, 98,   1,  28, 8, 30.3,⑪⑩⑩
 6,13,Ｐアッピアス, 35,池添謙, 1.8, 54,  -6,  -2,11,119.2, ⑫⑩, 6, 5, サウンドアフリｰト,,田村太,204.9,,,, 4,  7.2,④④④, 6, 4,Ｅスピカシチｰ, 68,長岡禎, 1.0, 67,  -1,   6,10, 82.1,⑤⑤⑤, 6, 3,Ｉユウキソルジャｰ, 84,秋山真, 0.7, 95,*  4,  22, 3,  5.8,⑤⑤④
 7,15,Ｌカシノガｰネット, 46,小坂忠, 2.0, 54,  -3,  -7,10,102.0, ⑧⑨, 7, 3, テイエムオウショウ,,白浜雄,205.0,,,, 1,  2.8,⑧⑨⑨, 7, 9,Ｃクリノソｰニャ, 70,国分優, 1.1, 66,   0,   3, 8, 30.9,③③②, 7, 1,Ｅカルドブレッサ, 88,ビュイ, 0.7, 97,   2,  26, 2,  3.7,⑥⑧⑧
 8, 8,Ｈタｰンザタイド, 50,川島信, 2.2, 53,   2, -13, 9, 87.6, ⑤⑦, 8, 4, エｰシンテュポｰン,,中村将,205.0,,,, 7, 23.6,⑥⑧⑧, 8, 3,Ｈアグネスロｰザ, 64,武豊  , 1.6, 64,  -1,   4, 6, 17.1,⑥⑦⑥, 8,10,Ｂトウカイオｰロラ, 90,武豊  , 0.9, 97,   1,  28, 9, 34.8,⑫⑫⑬
 9,10,Ｅユウキチュモン, 64,秋山真, 2.5, 51,   5, -19, 6, 13.2, ③④, 9,11, クレバｰベスト,,黒岩悠,205.9,,,, 9, 41.9,③③③, 9, 7,Ｇニホンピロルノン, 64,秋山真, 1.8, 62,  -2,   1, 7, 29.7,⑦⑥⑦, 9, 6,Ｃタニノエポレット, 89,四位洋, 1.0, 93,   1,  23, 6, 16.6,⑬⑬⑪
10, 9,Ｃアンジュプリエｰル, 65,小牧太, 2.7, 44, -15,  -2, 3,  5.6, ⑭⑬,10, 1, シルヴァｰノ,,西谷誠,212.7,,,, 5,  7.9,⑩⑩⑩,10, 1,Ｊファｰザｰリｰプ, 53,国分恭, 3.8, 47,   0, -20, 9, 81.2,②②③,10,12,Ｇネオブラックダイヤ, 86,国分恭, 1.2, 88,   2,  18,10, 55.0,⑦⑥⑥
11, 4,Ｋカワキタミラクル, 46,国分恭, 3.0, 44,  -1, -18,13,435.5, ⑦⑤,11, 2, ニシノアイリス,,北沢伸,214.7,,,,11,128.2,⑪⑪⑪,,,,,,,,,,,,,11, 9,Ｍロｰドラテアｰト, 76,岩田康, 1.4, 85,*  3,  11,11, 65.7,③③③
12,11,Ｎレモンスカッシュ, 40,津村明, 3.0, 45,  -8, -10,14,445.1, ⑪⑫,,,,,,,,,,,,,,,,,,,,,,,,,12, 5,Ｋマナクｰラ, 80,小牧太, 1.4, 90,   1,  19,12,144.2,⑨⑨⑨
13, 6,Ｊサニｰデイグッド, 46,小林徹, 3.7, 38,  -4, -20,15,464.5, ⑨⑪,,,,,,,,,,,,,,,,,,,,,,,,,13,13,Ｈセイカプレスト, 85,津村明, 1.4, 88,   2,  15,13,202.3,⑩⑦⑦
14, 1,Ｏゴｰイングビｰト, 39,太宰啓, 4.4, 34, -19, -13,12,151.5, ⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,14,Ｍマンテンタテヤマ, 42,佐久間, 5.0, 28, -16, -21,16,630.9, ⑬⑭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
