13年10月27日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年10月27日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 4R  芝2000m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  ダ1600m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,秋嶺ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,,,,,,,,,,,,,12, 2,Ｈトクラットリバｰ, 71,北村宏, 2.8, 51,* 14, -59, 7, 19.1,①①①,12, 6,Ｈゴｰルドアカデミｰ, 79,北村宏, 1.6, 72,   5,   9,12,160.6, ⑫⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13, 3,Ｊセイカフォルテ, 79,石橋脩, 1.7, 71,   6,   6, 9, 51.5, ⑨⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,12,Ｍセトノメジャｰ, 77,武士沢, 2.3, 68,   8,  -3,13,223.2, ⑥⑥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-20 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:稍重(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-13 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:稍重(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-14 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:重(指数:-5),,,,,,,,,,,
"単勝:1,230円 複勝:05=410円 02=210円 08=390円 枠連:3,830円",,,,,,,,,,,,単勝:340円 複勝:01=120円 02=120円 04=110円 枠連:620円,,,,,,,,,,,,"単勝:2,000円 複勝:08=480円 06=230円 10=310円 枠連:2,490円",,,,,,,,,,,,単勝:310円 複勝:07=130円 08=130円 14=150円 枠連:540円,,,,,,,,,,,
"馬連:2,800円 ワイド:02-05=1,020円 05-08=2,130円 02-08=860円",,,,,,,,,,,,馬連:580円 ワイド:01-02=190円 01-04=150円 02-04=160円,,,,,,,,,,,,"馬連:6,110円 ワイド:06-08=1,750円 08-10=1,590円 06-10=890円",,,,,,,,,,,,馬連:520円 ワイド:07-08=220円 07-14=350円 08-14=320円,,,,,,,,,,,
"馬単:7,360円 3連複:7,970円 3連単:57,460円",,,,,,,,,,,,"馬単:1,190円 3連複:280円 3連単:2,200円",,,,,,,,,,,,"馬単:14,980円 3連複:13,570円 3連単:117,930円",,,,,,,,,,,,"馬単:1,080円 3連複:770円 3連単:3,760円",,,,,,,,,,,
■ 2R  芝1600m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 5R  ダ1600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 8R  芝1400m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■11R  芝2000m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,くるみ賞,,,,,,,,,,,,天皇賞(秋) ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ｆダイワレジェンド, 53,北村宏,, 65,* -1,* -3, 1,  2.3, ⑤③, 1, 5,Ｂソラニｰ, 75,武豊  ,, 71,*  5,   6, 1,  1.5, ①①, 1, 8,Ｆマイネルディアベル, 57,メンデ,, 70,*  7,  -7, 9, 27.1, ①①, 1, 7,Ｂジャスタウェイ, 98,福永祐,,104,  27,*  3, 5, 15.5,⑪⑪⑨
 2,12,Ｂフライングスキップ, 64,三浦皇, 0.2, 66, -11,* 11, 3,  7.0, ⑮⑬, 2,10,Ｅアチｰヴ, 70,北村友, 0.0, 71,  -1,* 17, 4, 14.6, ⑫⑫, 2, 1,Ｈコスモエルデスト, 55,松岡正, 0.1, 69,   3,  -2,11, 67.8, ⑦⑤, 2, 9,Ｄジェンティルドンナ, 93,岩田康, 0.7, 95,* 29, -14, 1,  2.0,③③②
 3, 6,Ａシニョリｰナ, 70,蛯名正, 0.7, 59,  -4,  -7, 4, 10.7, ④⑤, 3,14,Ａプリュキエｰル, 75,川田将, 0.1, 70,   2,* 10, 3,  7.4, ⑦⑥, 3, 9,Ｂショウナンアチｰヴ, 62,戸崎圭, 0.2, 65,  -1,*  1, 2,  4.5, ⑨⑧, 3, 6,Ａエイシンフラッシュ,100,デムｰ, 1.0, 92,  25,*-10, 3,  4.7,⑧⑨⑩
 4,15,Ｍベストギフト, 37,吉田豊, 1.0, 55,*  0, -19, 9, 36.4, ②②, 4, 8,Ｍファミｰユ, 55,福永祐, 0.4, 67,   3,   7,10, 55.2, ⑥⑤, 4, 4,Ｌヴァイサｰリッタｰ, 51,リスポ, 0.3, 66,*  5,  -9, 7, 16.6, ③③, 4,13,Ｊアンコイルド, 88,吉田隼, 1.1, 91,  28, -17, 8, 46.8,⑥⑦⑥
 5, 1,Ｃユズノカオリ, 60,松岡正, 1.1, 54,  -5, -11, 6, 29.1, ⑥⑥, 5,12,Ｊヴェルフェン, 64,内田博, 0.6, 65,   1,   7, 2,  7.3, ⑩⑨, 5,11,Ｇネロ, 57,内田博, 0.3, 65,  -1,*  1, 6, 11.3, ⑩⑩, 5, 1,Ｃコディｰノ, 96,リスポ, 1.3, 90,  28, -18, 4, 14.9,⑤⑥⑦
 6, 5,Ｄラインハｰディｰ, 60,福永祐, 1.2, 53,  -8,  -9, 2,  3.2, ⑩⑫, 6,13,Ｃチェリｰサタｰン, 74,北村宏, 0.9, 63,   0,   7, 7, 24.5, ⑬⑪, 6,12,Ｃダイワダルタニアン, 59,デムｰ, 0.5, 62,  -1,  -3, 4,  5.9, ⑧⑨, 6, 2,Ｋナカヤマナイト, 87,柴田善, 1.6, 88,  25, -17,13, 85.8,⑩⑩⑪
 7,10,Ｊコスモメリｰ, 45,柴田大, 1.4, 52,  -6, -13,10, 44.3, ⑧⑨, 7, 9,Ｆレオパルドゥス, 70,柴田大, 1.1, 61,   0,   5,12, 98.4, ⑧⑩, 7, 6,Ａアラマサクロフネ, 62,吉田豊, 0.6, 62,   4, -11, 5,  7.7, ④④, 7, 8,Ｍヒットザタｰゲット, 86,北村友, 1.7, 87,  24, -16,11, 72.8,⑭⑭⑭
 8,13,Ｋエスティリリｰ, 40,リスポ, 1.4, 50, -10,  -9,12, 60.7, ⑫⑮, 8,11,Ｌウエスタンソｰレ, 59,柴田善, 1.1, 60,   1,   3,11, 72.5, ⑨⑧, 8, 2,Ｋメイショウカイモン, 52,武豊  , 0.7, 59,  -5,*  1, 8, 17.3, ⑭⑭, 8,17,Ｈヴェルデグリｰン, 91,田辺裕, 1.8, 86,  24, -15, 7, 38.7,⑮⑮⑮
 9,14,Ｏオｰガンディｰ, 33,川須栄, 1.7, 47,*  1, -30,14,168.2, ①①, 9, 7,Ｈオンライン, 68,田辺裕, 1.1, 60,*  4,  -2,13,117.8, ④③, 9,10,Ｄクリノコマチ, 59,北村宏, 0.9, 59,   3, -12,10, 33.9, ⑥⑦, 9,12,Ｐフラガラッハ, 81,高倉稜, 2.0, 84,  23, -16,15,182.1,⑰⑰⑰
