13年 2月10日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 2月10日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 4R  芝2910m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1400m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝1800m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,飛鳥ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｃハヤブサユウサン, 61,浜中俊,, 61,  -1,* -3, 7, 17.8,⑤⑤⑦, 1, 5, リキアイクロフネ,,横山義,,,,, 2,  3.7,③②②, 1,11,Ｂプリムラブルガリス, 70,浜中俊,, 76,   0,   9, 1,  2.7, ⑥⑥, 1, 9,Ｇミルドリｰム, 78,内田博,, 90,   0,* 18, 3,  6.0, ⑨⑪
 2, 2,Ｂチャｰムドヴェｰル, 63,福永祐, 0.1, 60,  -2,* -2, 1,  2.9,⑧⑧⑥, 2, 9, タマモオンゾウシ,,熊沢重,195.6,,,, 1,  1.8,①①①, 2, 7,Ａエｰルブリｰズ, 78,川田将, 0.2, 73,  -4,* 11, 2,  2.7, ⑨⑦, 2, 1,Ａランリョウオｰ, 86,浜中俊, 0.0, 88,   1,* 15, 1,  3.2, ⑤⑦
 3, 6,Ｅスプリングデジレ, 60,国分恭, 0.2, 59,*  2, -10, 4,  9.4,①①①, 3,12, フクノゴｰルド,,江田勇,197.3,,,,12, 73.6,②③③, 3, 9,Ｇサイモンラムセス, 61,幸英明, 0.3, 74,  -3,* 12, 4, 14.0, ⑩⑨, 3, 8,Ｃエｰシンミズｰリ, 83,太宰啓, 0.2, 82,*  4,   5, 7, 16.0, ②②
 4, 4,Ａセカイノカナ, 68,幸英明, 0.2, 59,  -2,* -4, 3,  4.6,⑥⑥⑤, 4, 4, ニシノファブレッド,,浜野谷,197.5,,,, 4, 10.4,⑤⑤⑤, 4,10,Ｅケイアイヴァｰゲ, 63,福永祐, 0.6, 70,   0,   4, 8, 22.1, ⑧⑧, 4, 4,Ｆヒラボクビクトリｰ, 79,福永祐, 0.4, 82,   3,   5, 5, 10.0, ③③
 5, 3,Ｍモズマッテタワ, 47,藤田伸, 0.3, 60,  -3,* -2, 8, 18.6,⑬⑩⑧, 5, 2, トｰセンマグナム,,五十嵐,197.6,,,, 7, 37.0,⑦⑦⑦, 5, 2,Ｊタカノヒｰロｰ, 55,酒井学, 0.9, 67,*  4,  -8,10, 36.1, ②②, 5, 2,Ｅヴィクトリｰスタｰ, 82,小牧太, 0.4, 85,   0,  12, 2,  4.1, ⑪⑩
 6, 5,Ｇボンジュｰルノゾミ, 57,宮崎北, 1.1, 50,*  0, -15,10,115.7,③③②, 6, 1, アムｰルクエスト,,植野貴,198.0,,,, 8, 41.6,⑧⑥⑥, 6, 8,Ｄルゴス, 64,内田博, 1.0, 65,*  4,  -9, 5, 15.1, ④③, 6, 5,Ｊサクラボｰルド, 74,武豊  , 0.5, 81,   1,   8, 8, 25.9, ⑦⑧
 7, 1,Ｋスズカルミナリｰ, 51,小牧太, 1.2, 52,  -4,  -7,14,238.8,⑫⑪⑩, 7,10, アラタマユニバｰス,,田村太,198.2,,,, 5, 18.8,⑨⑧⑧, 7, 4,Ｃアグネスキズナ, 65,武豊  , 1.1, 64,*  6, -12, 3,  6.1, ①①, 7, 3,Ｋメイショウゾウセン, 74,藤田伸, 0.6, 77,*  5,  -2, 9, 34.8, ①①
 8,13,Ｊニホンピロオｰロラ, 51,酒井学, 1.9, 52,  -2, -17, 2,  3.9,⑦⑦⑨, 8,14, テルバイク,,山本康,198.3,,,, 3,  9.4,④④④, 8, 5,Ｈマンドレイク, 57,小牧太, 1.1, 64,   2,  -7, 9, 27.0, ⑤⑤, 8, 7,Ｂナムラオウドウ, 85,池添謙, 0.7, 78,   1,   4, 4,  6.4, ⑧⑥
 9,12,Ｄサンマルジュエリｰ, 61,秋山真, 2.0, 45,*  0, -23, 6, 12.2,④④④, 9, 8, イクシカナイダロウ,,中村将,199.1,,,,11, 68.1,⑥⑨⑨, 9, 6,Ｆハドソンシチｰ, 62,国分恭, 1.2, 63,*  5, -12, 7, 20.4, ③④, 9, 6,Ｈテｰオｰケンジャ, 77,秋山真, 0.7, 78,   0,   6,10, 38.7, ⑩⑨
10,15,Ｆテイエムレオネッサ, 57,太宰啓, 2.2, 47,  -3, -18, 9, 62.8,⑨⑨⑫,10,11, ジョｰマダガスカル,,林満明,202.6,,,, 9, 48.8,⑩⑩⑩,10, 3,Ｉガムザッティ, 57,秋山真, 1.6, 56,  -7,   0, 6, 19.9, ⑪⑪,10,11,Ｄベストクルｰズ, 83,川田将, 0.9, 75,   3,  -1, 6, 10.2, ④④
11,11,Ｈコウエイレディｰ, 53,高倉稜, 2.2, 46,  -5, -13,13,225.3,⑩⑬⑬,11,13, エクスビｰト,,蓑島靖,203.2,,,,14,227.1,⑫⑪⑪,11, 1, リュウノタケシツウ,---,大山真, 1.9, 54,  -3,  -9,11,232.7, ⑦⑩,11,10,Ｉエドノヤマト, 75,幸英明, 1.1, 73,   3,  -4,11, 39.4, ⑥⑤
12,14,Ｎスマｰトジュメイラ, 41,武幸四, 2.3, 45,  -5, -17,11,147.9,⑪⑫⑪,12, 7, プラチナフォンテン,,草野太,205.5,,,,10, 63.7,⑪⑫⑫,,,,,,,,,,,,,,,,,,,,,,,,
13,10,Ｉメメキュｰティｰ, 51,武豊  , 2.3, 44,*  1, -26, 5, 11.5,②②③,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14, 9,Ｌショウナンカメリア, 48,藤岡佑, 2.9, 44,  -9, -13,12,181.5,⑮⑮⑭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15, 8,Ｏトｰホウスズラン, 39,大山真, 4.1, 36,  -8, -22,15,264.5,⑭⑭⑮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
