13年 8月 4日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 8月 4日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 4R  芝2850m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,飯豊特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｎファｰストオｰサｰ, 37,石橋脩,, 55,  -6,*  2,13, 78.1, ⑯⑰, 1, 2, コウユｰタイセイ,,平沢健,,,,, 3,  5.8,⑤⑧⑥, 1,10,Ｅサクラレグナム, 75,戸崎圭,, 79,* 10,*  7, 1,  3.8,④③③, 1,16,Ａプレイズエタｰナル, 81,横山典,, 74,  -1,  19, 1,  3.5, ⑨⑩
 2,16,Ｆエリｰフェアリｰ, 46,内田博, 0.0, 55,  -3,* -3, 3,  8.5, ⑪⑪, 2, 5, ボンジュｰルヒカリ,,山本康,185.7,,,, 8, 27.5,①①①, 2, 5,Ｄグレｰトチャｰルズ, 76,蛯名正, 0.4, 77,   9,   5, 2,  4.2,⑥⑤⑤, 2,15,Ｌアステｰルネオ, 68,石崎隆, 0.1, 74,  -6,* 23,14, 69.8, ⑬⑬
 3,11,Ｇハッピｰセｰラｰ, 46,伊藤工, 0.0, 54,  -3,* -3,10, 45.4, ⑩⑩, 3, 7, ビｰアウェイク,,高野和,186.0,,,, 2,  3.6,⑥⑤⑤, 3, 2,Ｃドラゴンピｰス, 77,杉原誠, 1.1, 73,   6,*  6, 5,  6.8,⑪⑩⑨, 3,14,Ｂコンサｰトレディ, 75,田辺裕, 0.3, 71,   9,   6, 4,  8.6, ⑥⑦
 4, 2,Ｋウインオリアｰト, 42,岩田康, 0.1, 54,  -1,  -7, 6, 13.7, ⑦⑧, 4, 4, ワンダｰムシャ,,北沢伸,186.0,,,, 4, 10.3,②③③, 4, 4,Ｈワルトユニヴァｰス, 73,高倉稜, 1.2, 72,   7,   5, 6, 24.7,⑨⑨⑧, 4, 3,Ｋレト, 69,北村宏, 0.3, 71,  -3,  18, 5, 12.4, ⑩⑨
 5,17,Ｂレッドグルック, 51,北村宏, 0.3, 50,*  0, -13, 8, 33.3, ⑨⑥, 5, 6, ボンバルディエｰレ,,鈴木慶,186.1,,,,11,125.2,⑧②②, 5,12,Ｊマイネルソウル, 69,岩田康, 1.4, 71,   8,  -1,13, 90.3,⑩⑥⑥, 5, 4,Ｍシャドウエミネンス, 67,田中勝, 0.4, 70,  -6,  19,10, 27.5, ⑫⑪
 6, 1,Ｌガラパゴス, 40,柴田善, 0.3, 51,  -2, -10, 4,  9.7, ⑥⑦, 6,12, ミラクルオブレナ,,中村将,186.2,,,, 6, 15.6,⑨⑩⑨, 6, 9,Ｆマイネルガネｰシャ, 73,松岡正, 1.4, 69,* 12,  -8, 7, 27.9,②②②, 6, 5,Ｃフレイムヘイロｰ, 74,大庭和, 0.4, 70,* 16,  -4,11, 29.3, ①①
 7, 6,Ａキネオダンサｰ, 51,田辺裕, 0.4, 49,*  0, -14, 1,  2.1, ④④, 7,13, ロｰレルエルヴェル,,草野太,186.7,,,, 7, 19.1,⑫④④, 7, 7,Ｂシュガｰヒル, 77,北村宏, 1.6, 68,* 12,  -9, 3,  4.4,①①①, 7,13,Ｅストロングロビン, 72,木幡初, 0.4, 70,  10,   3, 8, 22.6, ③③
 8,12,Ｍダンディゴｰルド, 38,戸崎圭, 0.7, 46,  -5,  -8, 9, 39.7, ⑭⑭, 8, 9, モルエラン,,上野翔,187.7,,,,13,162.1,⑪⑫⑫, 8,15,Ｋサルジェンツチェリ, 65,武士沢, 2.0, 69,   2,*  6, 8, 57.9,⑭⑭⑬, 8, 8,Ｈエｰルブリｰズ, 70,岩田康, 0.5, 69, -10,* 21, 3,  5.0, ⑰⑯
 9, 8,Ｈコスモミヅハノメ, 44,松岡正, 0.7, 47,*  2, -21,11, 49.2, ②②, 9,10, アイアムエレガント,,大江原,187.8,,,, 9, 33.9,③⑦⑧, 9, 3,Ｇシンボリプロント, 73,木幡初, 2.0, 67,   8,  -4,11, 74.6,⑦⑧⑦, 9,17,Ｇアポロノカンザシ, 71,西村太, 0.6, 68,  10,   1, 6, 17.6, ④④
10,14,Ｃロッカバラｰド, 49,蛯名正, 0.8, 46,*  0, -21, 2,  5.1, ⑤⑤,10, 1, ネオレボルｰション,,五十嵐,187.8,,,, 5, 15.6,④⑨⑩,10,13,Ａタイガｰシｰド, 84,小牧太, 2.5, 64,   4,  -2, 4,  4.7,⑫⑫⑫,10, 2,Ｊサクラインザスカイ, 69,蛯名正, 0.8, 66,   3,   5,12, 44.0, ⑧⑧
11, 9,Ｄウインサラ, 47,武士沢, 0.8, 47,  -5, -10,15,266.8, ⑬⑬,11,14, ブレイクチャンス,,浜野谷,188.6,,,, 1,  2.4,⑦⑥⑦,11,14,Ｉリｰサムポイント, 71,内田博, 2.6, 64,   3,   0, 9, 58.3,⑬⑬⑭,11, 6,Ｏニシノマナザシ, 65,小牧太, 0.8, 65,  -7,  15,15,157.0, ⑭⑮
12, 3,Ｏモｰレアモｰレ, 36,西村太, 0.9, 45,  -6, -10,17,304.2, ⑮⑯,12,11, リリｰスバｰジョン,,金子光,189.3,,,,10, 90.5,⑩⑪⑪,12, 6,Ｍルｰ, 56,西田雄, 2.8, 62,   5,  -7,14,224.0,⑧⑪⑪,12, 9,Ｎツクバアラモｰド, 65,柴田善, 0.9, 64,  -5,  11, 7, 18.8, ⑪⑫
13, 5,Ｉティｰエスギムレ, 44,幸英明, 1.0, 45,*  0, -23, 7, 20.1, ③③,13, 3, ティンバｰウルフ,,横山義,190.8,,,,12,136.0,⑬⑬⑬,13,11,Ｏロゼオ, 47,原田和, 3.3, 59,   0,  -3,15,250.9,⑮⑮⑮,13, 1,Ｄナムラハヤテ, 73,内田博, 1.0, 63,   9,  -3, 2,  4.2, ⑤⑤
14,10,Ｅゴｰルドシェンロン, 47,杉原誠, 1.0, 43,*  1, -28, 5, 11.6, ①①,,,,,,,,,,,,,14, 8,Ｎムｰンベックカフェ, 51,田中勝, 3.7, 54,   9, -22,10, 68.4,⑤④④,14,11,Ｑコスモアンダルシア, 56,嘉藤貴, 1.0, 62,   6,  -1,16,176.6, ⑦⑥
15, 7,Ｊマイネルゲｰル, 44,大野拓, 1.3, 39,  -2, -25,12, 66.2, ⑧⑨,,,,,,,,,,,,,15, 1,Ｌブライテストソｰド, 64,伊藤工, 4.9, 48,   8, -30,12, 80.0,③⑦⑩,15, 7,Ｉグラスソニック, 70,大野拓, 1.2, 60, -10,  12, 9, 25.9, ⑮⑭
16,13,Ｑヴァンクレメンツ, 21,高倉稜, 1.8, 35,  -4, -28,16,299.5, ⑫⑫,,,,,,,,,,,,,,,,,,,,,,,,,16,10,Ｆチャンピオンヤマト, 71,松岡正, 1.9, 51,* 17, -23,13, 48.5, ②②
17,15,Ｐマスソングウインド, 36,二本柳, 3.6, 21,  -6, -50,14,144.0, ⑰⑮,,,,,,,,,,,,,,,,,,,,,,,,,17,12,Ｐファンアットコｰト, 56,宮崎北, 1.9, 50, -10,   3,17,315.4, ⑯⑰
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:0),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:稍重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:0),,,,,,,,,,,
"単勝:7,810円 複勝:04=1,970円 16=320円 11=1,300円 枠連:17,710円",,,,,,,,,,,,"単勝:580円 複勝:02=190円 05=610円 07=170円 枠連:5,870円",,,,,,,,,,,,単勝:380円 複勝:10=160円 05=140円 02=180円 枠連:770円,,,,,,,,,,,,"単勝:350円 複勝:16=160円 15=1,290円 14=230円 枠連:1,950円",,,,,,,,,,,
"馬連:43,110円 ワイド:04-16=9,250円 04-11=25,930円 11-16=5,090円",,,,,,,,,,,,"馬連:10,540円 ワイド:02-05=2,180円 02-07=440円 05-07=1,390円",,,,,,,,,,,,馬連:840円 ワイド:05-10=350円 02-10=470円 02-05=380円,,,,,,,,,,,,"馬連:8,980円 ワイド:15-16=3,390円 14-16=410円 14-15=5,270円",,,,,,,,,,,
"馬単:113,550円 3連複:348,280円 3連単:7,039,220円",,,,,,,,,,,,"馬単:19,990円 3連複:9,750円 3連単:72,780円",,,,,,,,,,,,"馬単:1,670円 3連複:1,560円 3連単:6,850円",,,,,,,,,,,,"馬単:14,720円 3連複:19,570円 3連単:129,430円",,,,,,,,,,,
■ 2R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 5R  芝1600m 2 歳新馬 馬齢,,,,,,,,,,,,■ 8R  ダ1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■11R  ダ1800m 3 歳ｵｰﾌﾟﾝ(国) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ新潟,,,,,,,,,,,,,,,,,,,,,,,,ﾚﾊﾟｰﾄﾞｽﾃｰｸｽ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｂエタｰナルスタｰ, 65,嶋田純,, 63,  -3,*  3, 1,  2.2, ⑤⑤, 1,15, スｰリｰル,---,石橋脩,, 55, -23,   8, 7, 26.0, ⑤⑤, 1,10,Ａランドシャｰク, 79,石橋脩,, 73,*  4,   5, 1,  3.8, ①①, 1, 5,Ｄインカンテｰション, 88,大野拓,, 86,* 12,* 16, 1,  3.3,②③②
 2, 1,Ｉナスノクロス, 52,田中勝, 0.0, 63,*  1,  -1, 6, 20.5, ①①, 2, 3, シｰサイドバウンド,---,戸崎圭, 0.0, 52,*-20,   3, 3, 10.6, ②②, 2, 2,Ｈフリスコベイ, 70,横山典, 0.3, 68,  -5,* 11, 5,  9.5, ⑫⑪, 2, 7,Ｃサトノプリンシパル, 89,蛯名正, 0.4, 80,* 12,  10, 4,  5.7,①①①
 3,15,Ｅナルミチャン, 60,柴田善, 0.3, 61,*  0,  -1, 3,  5.6, ③③, 3,12, レッドメイヴ,---,岩田康, 0.1, 55, -24,   8, 1,  1.5, ⑥⑥, 3,13,Ｋエトルアンフルｰル, 67,松岡正, 0.4, 68,   0,   5, 9, 29.4, ④③, 3,11,Ｆケイアイレオｰネ, 81,幸英明, 0.6, 81,* 11,  11, 2,  4.8,⑦⑤④
 4, 2,Ｇマリｰズミイ, 59,内田博, 0.5, 60,  -1,  -2, 2,  5.6, ④④, 4, 4, ハッピｰベリンダ,---,内田博, 0.3, 55, -27,* 11, 6, 25.2, ⑫⑫, 4,14,Ｅアンウォンド, 73,北村宏, 0.5, 67,*  2,   2, 6, 11.6, ②②, 4,12,Ａジェベルムｰサ, 90,田辺裕, 1.0, 77,   8,* 14, 3,  5.1,⑪⑪⑪
 5,14,Ｈヤマニンソルシェ, 58,江田照, 0.8, 57,*  1,  -6, 9, 29.5, ②②, 5,14, スマイルシャワｰ,---,木幡初, 0.3, 50,*-22,   2, 8, 29.4, ③④, 5, 6,Ｂファンデルワｰルス, 77,嘉藤貴, 0.6, 66,  -2,   6, 3,  4.9, ⑤⑧, 5, 2,Ｏドコフクカゼ, 69,竹之下, 1.2, 76,  11,   8,13,136.3,⑤⑥⑤
 6,10,Ｄキｰプザサミット, 61,山崎亮, 0.9, 56,  -4,  -3, 8, 29.4, ⑥⑥, 6, 5, ケンタッキｰミント,---,田中勝, 0.4, 52, -26,   7, 2,  7.5, ⑨⑩, 6, 5,Ｉジョバイロ, 69,柴田善, 0.7, 65,  -3,   6, 4,  7.2, ⑧⑨, 6, 6,Ｂシグナルプロシｰド, 89,内田博, 1.4, 75,   9,   9, 6, 12.8,⑧⑩⑦
 7,11,Ａハルカナルブルｰ, 66,横山典, 1.0, 54, -11,*  2, 4,  6.4, ⑪⑪, 7, 9, モンスタｰバロｰズ,---,松岡正, 0.4, 49, -23,   1, 4, 13.6, ④③, 7, 1,Ｏフォルメン, 64,大野拓, 0.8, 66,  -9,* 10,14, 91.4, ⑬⑬, 7, 3,Ｊオメガインベガス, 76,戸崎圭, 1.7, 72,* 12,   0, 8, 19.3,③②③
 8, 5,Ｋアワｰドリング, 46,大野拓, 1.1, 55, -12,*  4,12,121.4, ⑬⑬, 8, 7, ユキノサンブライト,---,北村宏, 0.5, 54, -30,* 14,10, 32.6, ⑱⑱, 8, 9,Ｄスピｰディｰドｰタ, 74,田辺裕, 0.9, 64,  -2,   3, 7, 20.1, ⑦⑥, 8,10,Ｅリキサンステルス, 81,北村宏, 2.0, 72,   6,  11, 9, 31.3,⑮⑭⑭
 9, 4,Ｃグランデミルク, 62,的場勇, 1.1, 54,  -7,  -2, 5, 10.2, ⑦⑦, 9, 1, ディスクレｰション,---,蛯名正, 0.5, 51, -24,   4,11, 78.6, ⑦⑦, 9, 8,Ｃロｰレンルｰナ, 75,幸英明, 1.0, 64,   1,   0, 2,  3.9, ③④, 9, 1,Ｎアムｰルポエジｰ, 71,岩田康, 2.1, 71,   7,   7, 5, 10.1,⑫⑫⑫
10, 6,Ｊタイキオｰラム, 47,長岡禎, 1.3, 53, -10,  -1,13,246.0, ⑩⑩,10,16, ロイヤルグラッセ,---,江田照, 0.6, 47, -24,   2, 5, 21.3, ⑧⑧,10, 4,Ｇノボジュピタｰ, 71,横山義, 1.0, 64,  -6,   6,12, 66.1, ⑪⑩,10,13,Ｉモリトリュウコ, 77,武士沢, 2.1, 72,   7,   7,11, 79.8,⑬⑬⑬
11, 7,Ｆヒメシャラ, 59,武士沢, 1.6, 50, -12,  -2, 7, 27.6, ⑭⑭,11,11, ケイビエント,---,西村太, 0.9, 49, -33,* 11,12, 81.3, ⑰⑰,11, 3,Ｍサイレンスバｰド, 65,木幡初, 1.0, 63,  -9,*  8,11, 51.4, ⑭⑭,11,15,Ｇハイパｰチャｰジ, 79,横山典, 2.4, 66,   9,   0, 7, 18.3,⑨⑨⑨
