13年11月24日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年11月24日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 4R  芝2000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1600m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝2000m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,ﾍﾞｺﾞﾆｱ賞,,,,,,,,,,,,ｳｪﾙｶﾑｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｂトップアドバンス, 65,石橋脩,, 65,  -7,* 13, 3,  4.5, ⑤⑤, 1,16, クワトロガッツ,---,北村宏,, 72, -18,* 20, 3,  6.5,⑩⑨⑨, 1, 4,Ｆショウナンワダチ, 62,北村宏,, 76, -11,* 17, 4,  8.6, ⑮⑮, 1, 5,Ａアロマカフェ, 83,ムルタ,, 87,*  9,  11, 5,  9.5,③②④
 2,12,Ｍレッドウォｰリア, 42,北村宏, 0.2, 62,* -7,*  9, 2,  3.9, ④④, 2, 6, キネオペガサス,---,戸崎圭, 0.0, 69, -16,* 15, 5,  8.5,⑥⑥⑥, 2,12,Ｋロサギガンティア, 58,柴田善, 0.1, 74, -10,* 11, 3,  5.9, ⑨⑩, 2,11,Ｂシャドウバンガｰド, 81,戸崎圭, 0.0, 88,   8,* 16, 2,  4.3,⑨⑨⑨
 3, 2,Ｄドラゴンスパン, 63,蛯名正, 0.4, 61,* -7,*  9, 1,  3.4, ③③, 3, 3, ハヤブサゴッド,---,吉田豊, 0.5, 67, -20,* 16, 9, 40.4,⑪⑩⑩, 3,17,Ｒダノンマッキンレｰ, 48,横山典, 0.3, 66,* -6,   2, 7, 17.6, ⑤⑤, 3, 8,Ｍガチバトル, 73,後藤浩, 0.1, 87,   6,* 16,10, 35.0,⑩⑩⑩
 4, 1,Ｃクインズストｰム, 63,松岡正, 0.7, 58,* -5,   4, 5,  7.7, ①①, 4, 8, デルマシシマル,---,浜中俊, 0.5, 59,*-14,   3, 7, 13.3,④④④, 4,15,Ｃテスタメント, 67,松岡正, 0.3, 72,  -9,  10, 1,  3.0, ⑭⑭, 4, 6,Ｉエｰシングングン, 76,福永祐, 0.2, 86,*  9,  10, 4,  5.3,⑤⑥⑤
 5, 7,Ｆキタサンダイチ, 56,丸田恭, 0.8, 56,* -6,   4,10, 51.2, ②②, 5,15, ジョニｰ,---,ビュイ, 0.5, 59,*-13,   1, 6,  9.0,③②②, 5, 7,Ｊモンラッシェ, 58,デムｰ, 0.4, 72, -14,* 16,11, 38.9, ⑱⑱, 5, 3,Ｇヴァｰゲンザイル, 77,吉田豊, 0.4, 86,   5,* 15, 9, 34.1,⑪⑪⑪
 6,15,Ｋサリレモンド, 45,内田博, 0.8, 58,  -8,   6, 8, 31.4, ⑥⑥, 6,12, ブリｰジョ,---,丸山元, 0.5, 60,*-15,   4, 8, 14.0,⑤⑤⑤, 6, 2,Ａアルバｰト, 70,ムｰア, 0.4, 69, -10,   8, 2,  4.7, ⑫⑫, 6,10,Ｆアｰデント, 78,ウィリ, 0.6, 79,* 10,   0, 6,  9.9,②③②
 7,13,Ａブラックシェンロン, 65,三浦皇, 1.2, 56,  -9,   5, 4,  7.3, ⑨⑨, 7,10, ゴｰルドアクタｰ,---,蛯名正, 0.6, 63, -17,  10,11, 60.1,⑨⑧⑧, 7,11,Ｏキンシノキセキ, 56,岩田康, 0.4, 68,  -7,   2, 9, 24.3, ⑦⑥, 7, 7,Ｅメイショウドンタク, 79,横山典, 0.6, 78,* 10,   0, 8, 24.5,①①①
 8,16,Ｇジョックロック, 55,大野拓, 1.2, 57, -10,   7,13, 71.7, ⑬⑫, 8,14, スペルオンミｰ,---,武豊  , 0.7, 55,*-13,  -3, 1,  3.5,②①①, 8,14,Ｇルナレディ, 61,石橋脩, 0.4, 65,* -4,  -2,13, 68.5, ②②, 8,12,Ｃダイワズｰム, 80,北村宏, 0.6, 79,*  9,   3, 1,  4.1,⑧⑧⑦
