13年 7月 7日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 7月 7日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  芝3300m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■10R  芝1600m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,長久手特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｃナムラアッパｰ, 47,高倉稜,, 63,   2,* -3, 1,  1.7, ③③, 1,13, ハｰドダダンダン,,森一馬,,,,, 1,  3.0,②②②, 1, 6,Ｂナムラマンジロウ, 64,武豊  ,, 59,*  2,  -7, 4,  8.2,①①①, 1, 7,Ｊマジェスティハｰツ, 77,森一馬,, 82,* 15,   9, 4,  7.9,⑥④④
 2, 4,Ｄキエレメムｰチョ, 42,浜中俊, 0.5, 54,  -3,* -5, 3,  8.3, ⑥⑥, 2,14, オｰスミムｰン,,高田潤,218.7,,,, 2,  3.1,①①①, 2,14,Ｄラカ, 60,岩田康, 0.0, 61,  -1,*  1, 1,  2.9,⑭⑪⑪, 2,16,Ｅハｰキュリｰズ, 80,川田将, 0.0, 83,  13,  12, 3,  6.7,⑧⑧⑦
 3, 8,Ｅナイルエクスプレス, 42,松山弘, 0.8, 53,*  5, -18, 4, 11.3, ②②, 3, 2, シンワカントリｰ,,難波剛,220.6,,,, 6, 14.8,③③③, 3,15,Ｅテラノアパッチ, 59,松山弘, 0.1, 59,  -1,* -2, 7, 28.0,⑫⑩⑩, 3,13,Ｍイデア, 68,国分優, 0.2, 82,  11,  12,14,102.8,⑪⑪⑪
 4, 9,Ｈアメイジングゲイル, 35,太宰啓, 0.9, 51,   0, -13, 8, 36.6, ⑤⑤, 4,11, マサライト,,植野貴,221.4,,,, 7, 16.2,⑥⑦⑤, 4,10,Ａエイシンガリレイ, 64,和田竜, 0.3, 58,   1,  -7, 3,  5.1,⑦⑦⑥, 4, 9,Ｉシゲルモトナリ, 78,吉田晃, 0.2, 80,  11,  12,15,104.1,⑩⑩⑩
 5, 6,Ｇシゲルクシロ, 37,熊沢重, 1.4, 44,  -3, -16, 9, 37.7, ⑦⑦, 5, 9, ミヤコデラックス,,小野寺,222.8,,,,14,240.7,⑧⑤⑦, 5, 8,Ｌスリｰエスペラント, 52,国分優, 0.8, 55,  -4,* -1,14,198.0,⑮⑮⑮, 5, 6,Ｄメイショウヤタロウ, 81,武豊  , 0.3, 80,  13,   9, 1,  3.1,⑨⑨⑧
 6, 7,Ｂデクラレｰション, 50,中井裕, 1.5, 44,   0, -21, 2,  4.6, ④④, 6, 1, シャイニｰブラック,,浜野谷,223.1,,,, 3,  6.8,⑤⑥⑥, 6, 1,Ｆテイエムダイトッパ, 58,田中健, 0.9, 54,  -3,  -4,10, 60.7,⑪⑭⑭, 6,11,Ｋアドマイヤオウジャ, 76,岩田康, 0.5, 79,   4,* 19, 2,  4.8,⑬⑬⑬
 7, 1,Ｊタガノロマリア, 24,鮫島良, 2.0, 38,  -7, -19,10, 42.2, ⑩⑩, 7, 5, ハッピｰティア,,鈴木慶,223.1,,,,11,121.6,④④④, 7, 3, エアマデレｰン,---,福永祐, 1.1, 52,  -3,  -8, 8, 28.8,⑬⑬⑬, 7, 3,Ｇサトノジョリｰ, 79,藤岡康, 0.6, 76,  12,   6,12, 74.2,⑦⑦⑨
 8, 5,Ａバンブｰカッサｰノ, 52,和田竜, 2.0, 40,*  5, -34, 6, 18.3, ①①, 8, 8, ネオレボルｰション,,五十嵐,223.2,,,, 4,  7.3,⑦⑩⑨, 8, 4,Ｃヴィンチトｰレ, 62,川田将, 1.3, 51,   1, -16, 2,  2.9,⑤⑤④, 8, 8,Ａリフトザウイングス, 85,小牧太, 0.6, 77,   1,* 23, 6, 12.1,⑭⑯⑯
