13年 8月31日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 8月31日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝2900m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝2000m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,玄海特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｄワクワクキリシマ, 52,小坂忠,, 58, -14,*  6, 3,  5.9, ⑪⑧, 1, 8, メイショウヨシミツ,,田村太,,,,, 4,  7.8,①①①, 1, 9,Ｃダノンシンフォニｰ, 63,川田将,, 70,* 11, -12, 1,  2.2,⑤②②, 1,11,Ｆスノｰドン, 74,北村友,, 90,   5,* 27, 6, 14.4,⑭⑬⑦
 2,14,Ｈアラタマシャトル, 46,幸英明, 0.1, 62,* -1,* -8, 7, 17.7, ②②, 2, 3, マイネルフィエスタ,,熊沢重,195.2,,,, 2,  3.5,②③③, 2, 8,Ｆシゲルコウマザ, 61,高倉稜, 0.0, 70,   7,* -4, 7, 26.4,⑦⑧③, 2, 6,Ｎユキノサムライ, 70,国分恭, 0.2, 86,   8,* 18,10, 38.7,⑫⑦⑤
 3, 1,Ｃフェブノヘア, 53,松山弘, 0.1, 61,* -1,* -8, 2,  5.8, ①①, 3, 1, リアルブラック,,林満明,195.8,,,, 3,  7.5,⑥⑤⑤, 3,10,Ｄサトノユニコｰン, 63,小牧太, 0.1, 69,   8,  -9, 4,  8.4,⑧④④, 3, 2,Ｂサンライズピｰク, 78,浜中俊, 0.2, 83,* 12,   8, 1,  2.9,②②①
 4, 2,Ｍウェザｰストｰム, 33,和田竜, 1.0, 46,  -7, -14, 8, 22.1, ⑤⑤, 4, 6, ツィンクルブｰケ,,難波剛,196.0,,,, 8, 55.8,⑤④④, 4, 2,Ｈディオｰサシチｰ, 57,国分恭, 0.2, 68,   5,* -4, 5,  9.5,⑪⑪⑬, 4, 4,Ａマｰティンボロ, 79,川田将, 0.3, 84,   9,  13, 2,  4.6,④④③
 5,13,Ａニシノナｰガ, 58,藤懸貴, 1.1, 46,* -4, -19, 4,  6.6, ③③, 5, 7, ピンクピアリス,,黒岩悠,196.2,,,, 1,  1.8,③②②, 5,13,Ａアグネスリズム, 67,幸英明, 0.6, 63,* 12, -23, 2,  5.1,①①①, 5, 8,Ｈカリスマミッキｰ, 73,和田竜, 0.5, 80,* 12,   4, 8, 25.1,①①②
 6, 7,Ｆシゲルオワリ, 47,太宰啓, 1.1, 46,  -9, -12,11, 78.9, ⑨⑦, 6, 5, レｰザｰインパクト,,中村将,196.6,,,, 7, 38.5,⑦⑦⑥, 6,15,Ｅベストブレｰン, 62,北村友, 0.8, 62,   6, -15, 6, 26.2,⑫⑨⑦, 6, 1,Ｅアイファｰファルコ, 76,幸英明, 0.9, 78,   8,   6, 4,  8.4,⑥⑤⑥
 7,15,Ｇラインスピリット, 47,浜中俊, 1.3, 41, -14, -11, 5, 10.0, ⑬⑫, 7, 2, ブラックイレブン,,平沢健,199.7,,,, 5, 16.1,④⑥⑦, 7,16,Ｍトスカニｰニ, 45,和田竜, 0.9, 61,   8, -19,10, 69.1,⑨⑤⑥, 7,12,Ｃジャイアントリｰプ, 78,松山弘, 1.4, 71,* 10,  -6, 3,  5.0,⑤③④
 8,18,Ｂプロスパｰ, 55,小牧太, 1.3, 44,* -3, -22, 1,  2.7, ④④, 8, 4, ワンダフルフェロｰ,,小坂忠,205.2,,,, 6, 20.3,⑧⑧⑧, 8,14,Ｂピエナインパクト, 66,武豊  , 0.9, 62,   4, -10, 3,  5.2,⑯⑬⑩, 8, 3,Ｄロｰドランパｰト, 76,小牧太, 1.7, 70,   8,  -3, 7, 24.6,⑦⑨⑨
 9, 8,Ｉコスモフラッグ, 46,中井裕, 1.3, 43,  -7, -18, 9, 25.7, ⑦⑨,,,,,,,,,,,,, 9, 7,Ｌブライトグロｰリイ, 51,鮫島良, 1.1, 58,   6, -21,12,103.5,③⑥⑫, 9, 5,Ｇメイショウシレトコ, 74,国分優, 2.0, 68,   6,  -4, 9, 26.3,⑪⑪⑫
10,12,Ｊナムラユキヒメ, 44,国分優, 1.4, 41, -13, -13,10, 33.7, ⑫⑩,,,,,,,,,,,,,10, 6,Ｉビットビエント, 55,松山弘, 1.2, 57,   5, -19, 9, 60.5,⑩⑩⑤,10, 7,Ｍスｰパｰオｰビット, 70,藤岡康, 2.1, 66,   4,   0,12, 84.5,⑮⑮⑬
11,10,Ｋカシノステイタス, 37,水口優, 1.9, 34, -21, -12,17,342.0, ⑭⑬,,,,,,,,,,,,,11, 4,Ｇセｰノｰクイン, 60,酒井学, 1.4, 55,   5, -21, 8, 30.4,⑥⑫⑪,11,13,Ｉメイショウブシン, 72,武豊  , 2.2, 63,   9, -14, 5,  8.9,⑧⑥⑧
12, 4,Ｅピエナブラウニｰ, 51,武豊  , 1.9, 35,  -7, -25, 6, 11.6, ⑥⑥,,,,,,,,,,,,,12, 3,Ｎモスコｰミュｰル, 45,岩崎翼, 1.7, 51,   6, -29,11, 70.3,④⑦⑨,12,15,Ｊタマモグランプリ, 71,太宰啓, 2.2, 65,   6,  -7,14,211.5,⑩⑫⑭
13, 3,Ｐシゲルサヌキ, 22,北村友, 2.6, 29, -23, -18,12,195.3, ⑮⑯,,,,,,,,,,,,,13, 1, シルバｰペガサス,---,国分優, 2.1, 50,   1, -23,14,120.9,⑬⑭⑭,13,10,Ｏナンヨｰスラッガｰ, 55,藤懸貴, 2.3, 63,   3,  -5,15,266.3,⑬⑭⑮
14, 5,Ｎヒデノシスタｰ, 33,高倉稜, 2.6, 28, -26, -16,16,338.9, ⑰⑰,,,,,,,,,,,,,14, 5,Ｋモユルオモイ, 52,川島信, 2.3, 47,  -2, -20,15,161.6,⑮⑯⑯,14, 9,Ｌタガノエンブレム, 70,高倉稜, 2.6, 60,   8, -16,11, 64.0,③⑧⑪
15,16,Ｏシゲルタンバ, 31,熊沢重, 2.7, 24,  -7, -36,14,214.8, ⑧⑪,,,,,,,,,,,,,15,12,Ｊサダムフォルトゥナ, 53,藤懸貴, 2.3, 46,   7, -41,13,113.9,②③⑧,15,14,Ｋホｰマンベルウィン, 71,酒井学, 2.6, 60,   8, -17,13, 88.0,⑨⑩⑩
16,17,Ｌクリノプリムラ, 37,酒井学, 3.1, 20, -11, -37,15,297.3, ⑩⑭,,,,,,,,,,,,,16,11,Ｏシャッツ, 34,武幸四, 2.6, 45,  -2, -25,16,344.1,⑭⑮⑮,,,,,,,,,,,,
