13年 9月 1日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 9月 1日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 4R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 7R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■10R  芝1200m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,すずらん賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｂアグネスドリｰム, 56,藤田伸,, 71,* 18,*-23, 7, 15.9,①①①, 1,11,Ｃレディオブオペラ, 67,藤田伸,, 99,* 26,*  0, 1,  4.1, ①①, 1, 2,Ｉブラインドサイド, 70,四位洋,, 77,   1,* 18, 2,  5.3,⑬⑫⑫, 1, 6,Ｂフクノドリｰム, 59,横山和,, 92,* 32,*-13, 1,  3.4, ①①
 2, 4,Ｈカアナパリビｰチ, 44,吉田隼, 1.3, 58,* 15,*-34, 2,  3.9,③③③, 2, 2,Ａコウヨウチャンス, 73,古川吉, 1.5, 78,* 22, -14, 4,  6.8, ②②, 2, 1,Ｂランドルト, 74,菱田裕, 0.2, 72,   4,   9, 7, 12.6,⑧⑧⑥, 2, 1,Ｈファソン, 51,吉田隼, 1.0, 75,  25, -17, 5, 10.4, ⑤④
 3,13,Ｅブレイヴリｰ, 52,津村明, 1.5, 57,* 16, -40, 6, 13.7,②②②, 3,10,Ｇメリｰウェザｰ, 63,岩田康, 2.5, 67,* 23, -27, 2,  4.6, ③③, 3,13,Ｊダブルファンタジｰ, 70,古川吉, 0.2, 73,*  8,   4, 9, 23.7,④②③, 3, 5,Ａシシャモオｰジ, 70,松田大, 2.1, 64,* 28, -34, 2,  5.4, ③②
 4, 5,Ｇアクアマリンブレス, 51,丸田恭, 2.3, 49,   9, -35, 4,  8.3,⑨⑧⑦, 4,15,Ｆウエスタンパピヨン, 63,菱田裕, 2.5, 62,  15, -19, 7, 21.1, ⑨⑧, 4,10,Ａラロｰザブル, 76,勝浦正, 0.3, 70,*  8,   3, 3,  5.3,⑥③②, 4,14, ヒワノスｰパｰ,---,宮崎光, 2.1, 58,   6,*-12,14, 84.0, ⑮⑫
 5, 9,Ｉジェイケイカルミア, 40,三浦皇, 3.1, 46,   8, -41,10, 99.6,⑩⑪⑨, 5, 9,Ｊレイヌドネｰジュ, 59,松田大, 2.6, 59,  11, -16, 8, 24.3, ⑬⑩, 5, 8,Ｃメイプルリンカｰン, 73,三浦皇, 0.5, 71,   3,   8, 1,  4.7,⑩⑨⑦, 5,11,Ｇマイネルディアベル, 52,柴田大, 2.2, 59,  17, -24, 3,  6.4, ⑨⑨
 6, 1,Ｌウインボナンザ, 38,黛弘人, 3.2, 44,  11, -51, 5, 11.0,⑥⑥⑥, 6,12,Ｄストライクルｰト, 65,三浦皇, 2.6, 63,  16, -21, 6, 11.3, ⑦⑦, 6, 5,Ｄプリティｰマッハ, 73,横山和, 0.6, 71,   3,  10,10, 28.1,⑫⑪⑩, 6, 8,Ｅコスモエルデスト, 54,丹内祐, 2.4, 56,  16, -25, 8, 17.7, ⑧⑧
 7, 6,Ｋデルマコテツ, 39,宮崎光, 3.5, 42,   5, -41,13,177.2,⑪⑬⑬, 7, 4,Ｉオリオンザレヴリ, 59,丸田恭, 2.6, 59,   9, -14,12, 50.6, ⑭⑪, 7, 7,Ｋラブトゥオｰル, 69,伴啓太, 0.9, 68,   2,   6,12, 86.6,⑨⑩⑪, 7, 3,Ｄヴォラｰタ, 55,勝浦正, 2.5, 57,  21, -31, 6, 12.1, ⑦⑥
 8, 3,Ｊキクノリｰガ, 39,城戸義, 3.9, 41,   8, -52,11,102.2,⑧⑩⑫, 8, 1,Ｈスリｰラグタイム, 61,川須栄, 2.6, 60,   8, -12, 9, 24.6, ⑯⑬, 8,11,Ｆトランザムスタｰ, 72,岩田康, 1.0, 66,   7,  -2, 4,  6.1,②④⑤, 8,13, キタサンシンゲキ,---,津村明, 2.5, 56,  22, -33,15,124.2, ⑥⑦
