13年 9月 7日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 9月 7日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 4R  芝2880m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  ダ1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鋸山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｅエキマエ, 41,柴山雄,, 52,*  1,* -4, 6, 12.3,③③②, 1, 1, トｰセンプラチナ,,石神深,,,,, 8, 28.5,②②①, 1,13,Ｈコｰラルタワｰ, 59,丹内祐,, 61,   0,   1, 4, 15.8,⑤⑤⑤, 1, 3,Ｅハコダテナイト, 77,石橋脩,, 79,   1,* 19, 4,  5.3,⑨⑨⑧
 2, 3,Ｊボンジュｰルキラリ, 32,三浦皇, 0.6, 48,*  1, -10, 2,  7.8,①①①, 2, 3, ラインミッシェル,,大江原,193.2,,,, 2,  3.6,⑤④④, 2, 8,Ｃスワンソング, 62,横山和, 0.2, 56,*  2,  -8, 2,  4.6,①①①, 2, 2,Ｂトウショウギフト, 77,戸崎圭, 0.2, 76,   3,  15, 1,  2.5,⑤⑥④
 3,12,Ｂトゥインクリング, 48,北村宏, 0.6, 47,  -1,  -6, 3,  8.1,⑫⑦⑥, 3, 6, ツクバヤマノオｰ,,上野翔,193.9,,,, 5, 10.4,③③③, 3, 1,Ｒリップル, 39,柴山雄, 0.2, 59,  -1,   1,10, 30.9,⑦⑦⑦, 3, 5,Ｈガムラン, 75,北村宏, 0.2, 75,*  4,  12, 2,  4.5,②②②
 4, 2,Ｃリンガスアリュｰル, 45,柴田善, 1.0, 44,  -1, -10, 1,  1.8,⑤⑤③, 4,10, マテンロウカフェ,,横山義,194.0,,,, 3,  5.3,④⑤⑤, 4,14,Ｆアンスｰリｰル, 59,長岡禎, 0.3, 56,*  0,  -7, 6, 17.7,②②②, 4, 1,Ａコスモイｰチタイム, 78,柴田大, 0.6, 74,   3,  12, 7, 20.8,③⑤③
 5, 9,Ｈラフェットデメｰル, 37,江田照, 1.6, 43,*  1, -15, 9, 29.6,⑧④⑤, 5, 7, ビッグプレゼンタｰ,,原田和,195.8,,,, 7, 22.3,⑦⑦⑥, 5, 2,Ｅスイｰトクラウン, 60,西村太, 0.4, 57,  -2,   0,12, 44.9,⑪⑫⑨, 5, 4,Ｇトｰセンブリッツ, 76,吉田隼, 0.7, 73,*  4,   8, 6, 13.3,①①①
 6, 7,Ｋニシノモリンガ, 28,田辺裕, 1.8, 41,  -4,  -9, 7, 27.8,⑪⑪⑩, 6, 9, ヤラマイカ,,五十嵐,196.1,,,, 1,  2.6,①①②, 6, 7,Ｊモンビジュｰ, 58,戸崎圭, 0.4, 56,  -2,  -1, 7, 24.7,⑧⑩⑩, 6, 8,Ｆエイトプリンス, 76,杉原誠, 0.7, 75,   2,  14, 9, 60.4,⑧⑧⑦
 7, 8,Ｉキングオブキック, 33,山崎亮, 1.9, 40,  -1, -17,15,276.1,⑥⑥⑦, 7, 8, ブラックテラｰ,,高野和,196.4,,,,10, 74.0,⑥⑥⑦, 7,11,Ｇコウヨウセレクト, 59,江田照, 0.5, 56,  -2,  -2, 8, 25.6,⑫⑪⑥, 7, 7,Ｊスギノハルバｰド, 75,内田博, 1.1, 69,*  4,   6, 3,  4.7,⑥④⑥
 8,10,Ａバイタルワンダｰ, 52,嶋田純, 1.9, 39,  -2, -14, 4,  9.8,⑩⑩⑨, 8, 2, プロヴィデンス,,金子光,220.2,,,, 6, 16.6,⑧⑨⑧, 8, 4,Ｌレッドレイラ, 52,内田博, 0.5, 60,  -5,*  7,13, 51.1,⑯⑰⑭, 8, 9,Ｄリベラルアｰツ, 77,大野拓, 1.1, 71,   2,   8, 5, 12.6,⑦⑦⑨
