13年 8月18日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 8月18日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 7R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,西部ｽﾎﾟﾆﾁ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａキンシノキセキ, 63,福永祐,, 58,   5,*-10, 1,  1.6, ⑥⑥, 1, 8,Ｆマイネノンノ, 52,柴田大,, 67,*  3,   4, 6, 20.4, ③③, 1,10,Ｄシャトｰウインド, 62,小坂忠,, 73,*  9,* -5, 2,  4.1,②②②, 1, 5,Ｇマコトブリジャｰル, 67,柴田大,, 83,* -9,  21, 7, 22.0,②②①
 2, 4,Ｅニシノナｰガ, 40,中井裕, 0.2, 58,*  9, -16, 6, 28.9, ③③, 2,17,Ｂメイショウホノボノ, 64,武幸四, 0.0, 65,*  2,   3, 3,  4.6, ⑤④, 2,12,Ａメイショウソラｰレ, 70,藤岡康, 0.3, 66,*  7,* -6, 1,  2.6,③③③, 2, 3,Ｄレインフォｰル, 75,幸英明, 0.2, 81,* -7,  18, 2,  3.7,①①②
 3, 9,Ｂジョｰヌダンブル, 56,太宰啓, 0.5, 53,   8, -19, 2,  3.2, ④④, 3, 7,Ｃシンハディｰパ, 63,福永祐, 0.2, 63,*  4,   0, 2,  3.5, ①②, 3, 8,Ｃマンハッタンケイ, 62,国分優, 0.8, 62,   5,* -6, 5, 10.4,⑤⑤⑤, 3, 4,Ｂタマラマ, 80,松山弘, 0.5, 80, -13,* 24, 6, 17.6,⑦⑤③
 4, 1,Ｄシゲルオワリ, 41,小牧太, 0.7, 50,   2, -14,10,112.7, ⑧⑦, 4, 9,Ｄワンダｰノブレス, 56,酒井学, 0.4, 60,*  2,  -2, 4,  5.9, ④⑤, 4,16,Ｅゴッドマウンテン, 61,北村友, 0.8, 60,*  8, -13, 4,  8.6,①①①, 4, 9,Ｃジャイアントリｰプ, 77,北村友, 0.7, 77, -14,  21, 1,  2.6,⑤⑦⑤
 5, 5,Ｇユウキファイン, 37,藤岡康, 0.8, 47,   5, -20, 3, 13.1, ⑤⑤, 5,11,Ａサンライズウォｰ, 64,国分恭, 0.4, 61,*  5,  -4, 1,  3.2, ②①, 5, 9,Ｆクリノコトノオｰ, 60,国分恭, 1.2, 59,   2,* -3, 8, 23.6,⑩⑨⑨, 5, 6,Ｅアルバタックス, 74,藤岡康, 1.0, 71, -15,  18, 4,  5.6,④⑥⑥
 6,11,Ｃテイエムリヴィエラ, 48,鮫島良, 1.2, 42,  -8,*-12, 7, 48.1, ⑨⑧, 6,13,Ｈウインドエｰデル, 50,松山弘, 0.4, 61,  -6,*  6, 8, 32.3, ⑪⑩, 6,14,Ｇメイショウムシャ, 58,太宰啓, 1.5, 59,   6, -14, 6, 14.7,④④④, 6, 8,Ａアドマイヤブルｰ, 82,福永祐, 1.2, 68, -13,  12, 3,  4.6,③③④
 7, 3,Ｈタウトナ, 37,酒井学, 1.8, 37,* 10, -39, 5, 17.6, ②②, 7,16,Ｅドルチェダモｰレ, 56,岡田祥, 0.5, 59,  -2,   1, 7, 24.1, ⑨⑥, 7,11,Ｊパワフルスズカ, 46,熊沢重, 1.9, 59,   4, -14,10, 54.3,⑥⑥⑦, 7, 2,Ｈタガノエンブレム, 67,高倉稜, 1.2, 72, -16,  20, 5, 12.3,⑨⑧⑨
 8, 7,Ｆカシノステイタス, 38,国分優, 2.2, 34, -14, -20, 9,110.0, ⑩⑩, 8,15,Ｊカシノハｰトフル, 49,大下智, 0.8, 55,  -3,  -2,10, 87.8, ⑩⑦, 8, 1,Ｋオｰプンディｰル, 45,福永祐, 2.1, 52,   2, -13, 7, 22.8,⑦⑦⑥, 8, 7,Ｆホｰマンベルウィン, 70,酒井学, 1.4, 70, -16,  17, 8, 69.4,⑧⑨⑦
 9, 8,Ｊアイファｰフィリア, 25,幸英明, 2.3, 32, -14, -21, 8, 82.5, ⑪⑪, 9,14,Ｉオアシスムｰン, 49,国分優, 0.9, 54, -13,*  6, 5, 12.3, ⑭⑫, 9, 7,Ｉメタリックゴｰルド, 53,水口優, 2.7, 50,   2, -18,15,211.2,⑨⑧⑧, 9, 1,Ｉナンヨｰスラッガｰ, 60,藤懸貴, 3.0, 44, -13, -12, 9,181.0,⑥④⑧
10, 2,Ｉエルカミｰノレアル, 36,松山弘, 2.3, 31,* 11, -45, 4, 13.6, ①①,10,10,Ｋドングラッチェ, 48,小牧太, 1.0, 53, -18,* 10, 9, 59.4, ⑱⑭,10, 4, ラグリｰバニヤン,---,鮫島良, 2.7, 53,  -1, -11, 9, 46.5,⑪⑪⑫,,,,,,,,,,,,
11,12,Ｋシゲルイガ, 14,熊沢重, 2.7, 23,   5, -45,11,189.6, ⑦⑨,11, 4,Ｇプリｰズユアラヴ, 51,鮫島良, 1.3, 48, -10,  -2,11, 88.0, ⑬⑬,11, 3,Ｂコマノアｰティスト, 67,中井裕, 2.8, 51,   2, -18, 3,  6.3,⑧⑩⑩,,,,,,,,,,,,
