13年 7月21日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 7月21日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  芝2770m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ1700m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,横手特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ｏコロナプリンセス, -5,二本柳,, 52,* -2,  -5,15,334.3, ②②, 1, 8, シンボリルルド,,山本康,,,,, 5,  6.9,④②②, 1, 2,Ｄソムニアシチｰ, 59,田中勝,, 66,*  2,  -4, 3,  4.7,①①①, 1, 7,Ｅサトノプライマシｰ, 80,石橋脩,, 84,*  8,* 16, 1,  2.5,③③①
 2, 2,Ｃニシノハイツリｰ, 50,蛯名正, 0.0, 51,  -5,* -3, 4,  6.9, ⑤⑥, 2, 6, ブリッサ,,上野翔,185.5,,,, 1,  3.0,①①①, 2, 4,Ａショウナンダイチ, 67,柴田善, 0.2, 66,  -4,*  6, 1,  2.6,⑧⑨⑥, 2,15,Ｂセイカフォルトゥナ, 82,伊藤工, 0.0, 84,*  8,* 17, 5, 12.1,⑤④③
 3,13,Ｋグランプリブレイド, 30,杉原誠, 0.0, 52,* -1,  -6, 5, 10.4, ①①, 3,10, アンシャンテルｰル,,高野和,186.7,,,, 2,  4.7,⑦⑦⑦, 3,15,Ｃワナビｰザベスト, 60,石橋脩, 0.4, 62,  -1,  -4, 2,  4.1,⑥④③, 3, 4,Ｇミッキｰオｰラ, 79,田辺裕, 0.7, 78,   7,  12, 7, 17.8,⑥⑤④
 4,12,Ｅデサフィナｰド, 46,長岡禎, 0.1, 50,* -3,  -5, 8, 32.0, ③③, 4, 3, ビッグプレゼンタｰ,,原田和,188.6,,,,10, 88.9,⑧⑧⑧, 4,16,Ｏゼニガタセｰジ, 42,西村太, 0.7, 62,  -6,*  4,11,159.2,⑫⑪⑪, 4,11,Ａキングブレイク, 84,吉田豊, 0.9, 78,   5,  14, 2,  3.3,⑩⑨⑦
 5, 8,Ａボｰンレジェンド, 53,横山典, 0.1, 49,  -5,* -4, 1,  2.1, ⑥⑤, 5,11, アルフェロア,,浜野谷,189.1,,,, 7, 23.8,⑥④④, 5, 5,Ｂミシシッピデルタ, 64,吉田豊, 0.9, 60,  -8,*  3, 4,  6.5,⑭⑬⑫, 5, 5,Ｃプロモントｰリオ, 82,横山典, 1.1, 74,   4,  14, 6, 17.1,⑨⑩⑨
 6,11,Ｂコスモドｰム, 52,嶋田純, 0.3, 46,  -6,  -5, 3,  5.7, ⑦⑧, 6, 9, ツィンクルブｰケ,,難波剛,189.9,,,, 3,  5.0,②⑤⑤, 6, 9,Ｇアンサングヒｰロｰ, 57,大庭和, 0.9, 56,*  0, -13, 7, 21.2,②②④, 6,14,Ｉケイアイアポロン, 76,横山義, 1.1, 78,   2,* 16,12, 68.8,⑪⑪⑩
 7,16,Ｆアマアマ, 45,北村宏, 0.4, 46,  -7,  -5, 7, 28.3, ⑪⑨, 7, 7, プラサスティ,,草野太,190.2,,,, 8, 66.9,⑤⑥⑥, 7, 8,Ｋクリノアルプス, 49,伊藤工, 1.4, 54,  -9,   0,12,189.9,⑬⑮⑬, 7,12,Ｆデルマヌラリヒョン, 79,柴田善, 1.2, 74,   7,   8, 4,  9.7,⑧⑥⑤
 8,14,Ｉレッドキャンティｰ, 33,西田雄, 0.5, 45,* -3, -10,12,174.9, ④④, 8, 5, ジョｰプラチネラ,,五十嵐,190.2,,,, 4,  6.3,③③③, 8,13,Ｌキョウエイカミング, 48,嶋田純, 1.4, 50,  -3, -15, 9, 60.1,⑤⑥⑤, 8, 6,Ｏコスモコルデス, 70,平野優, 1.8, 72,   7,   4,14,203.3,⑦⑧⑧
