13年12月 7日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年12月 7日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 4R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 7R  芝2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  ダ1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,浜名湖特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ｅアヴァｰル, 60,後藤浩,, 58,  -2,   3, 2,  4.2, ⑤⑤, 1,18,Ｂハッピｰロングラン, 59,北村友,, 64,  -6,* 10, 1,  2.2, ⑪⑩, 1, 4,Ｂエインセル, 77,岩崎翼,, 84,  -3,  20, 1,  4.8,⑦⑦⑦, 1, 8,Ａメイショウコロンボ, 86,武幸四,, 89,*  6,* 18, 1,  1.8,①①①
 2, 4,Ｆシゲルミマサカ, 59,秋山真, 0.0, 59,  -5,*  6, 1,  3.5, ⑥⑥, 2, 2,Ｆハンサムオウジ, 55,荻野琢, 0.1, 61,  -3,   6,11, 88.4, ⑧⑧, 2,14,Ａエイダイポイント, 79,横山和, 0.1, 87,  -7,* 28, 3,  8.1,⑯⑮⑭, 2, 7,Ｄシンゼンレンジャｰ, 82,川島信, 0.7, 84,   0,* 24, 4, 10.2,⑩⑫⑫
 3,13,Ａエゴイスト, 70,北村友, 0.3, 56,*  1,  -3, 3,  4.4, ②②, 3,15,Ｃシゲルリクチュウ, 58,川須栄, 0.2, 60, -10,* 11, 3,  5.9, ⑬⑭, 3,11,Ｉスカイキュｰティｰ, 71,田中健, 0.2, 77,   0,   8, 6, 10.3,③③④, 3, 5,Ｎケツァルコアトル, 72,柴山雄, 0.8, 78,*  6,  12,12,107.7,②②②
 4,10,Ｂティアップシンガｰ, 64,黛弘人, 0.4, 55,*  2,  -5, 6, 11.3, ①①, 4,11,Ｐフジノグランデ, 37,三浦皇, 0.4, 58, -12,*  9, 7, 23.8, ⑭⑬, 4,10,Ｌノｰヒッタｰ, 70,伴啓太, 0.3, 82,  -6,  20, 4,  8.8,⑪⑪⑨, 4, 1,Ｊアグネスダリム, 75,丸田恭, 1.0, 76,   3,  15,10, 44.2,⑤⑦⑤
 5,15,Ｄネイティヴコｰド, 61,杉原誠, 0.4, 55,* -1,  -3, 5,  9.6, ③④, 5,16,Ｊトウカイメｰル, 49,藤懸貴, 0.6, 55,  -3,  -1,13,117.6, ⑨⑨, 5,18,Ｎリスヴェリアｰト, 65,中井裕, 0.4, 80,  -2,  13, 2,  6.2,⑨⑧⑧, 5, 2,Ｂプルｰフポジティブ, 82,高倉稜, 1.2, 76,*  5,  10, 2,  7.3,③③③
 6, 6,Ｉフリメｰル, 45,花田大, 0.8, 52,  -9,   2,12,120.3, ⑧⑧, 6, 8,Ｅカシノケトル, 55,柴山雄, 0.6, 55,*  2,  -6, 5, 10.3, ③③, 6, 6,Ｈティンホイッスル, 71,杉原誠, 0.4, 76,   0,   7,13, 40.1,⑤④③, 6,10,Ｈスリｰタイタン, 77,中井裕, 1.4, 80,   2,  16, 8, 27.1,⑫⑪⑪
 7,11,Ｃウィットウォｰタｰ, 62,国分恭, 0.8, 51,  -6,  -1, 4,  5.8, ⑦⑦, 7,14,Ｉベルモントラハイナ, 50,吉田隼, 0.6, 55, -14,*  9,14,122.1, ⑮⑮, 7,15,Ｃグレイスフラワｰ, 74,西村太, 0.5, 84,  -8,* 25, 5,  9.7,⑱⑰⑰, 7,12,Ｃミッキｰオｰラ, 82,松山弘, 1.4, 76,   2,  13, 5, 12.1,⑨⑨⑨
 8, 5,Ｇオクリモノ, 52,大庭和, 0.8, 51, -18,* 11,11,115.3, ⑬⑬, 8,12,Ｎマイネルスコｰプ, 40,中井裕, 0.6, 55, -18,* 13,15,132.7, ⑰⑰, 8,13,Ｍマイネルランスタン, 67,菅原隆, 0.7, 73,  -1,   6,11, 35.1,④⑤⑤, 8, 3,Ｆアｰバンレジェンド, 80,丸山元, 1.4, 75,   4,  10, 3,  8.1,⑥⑤⑥
