13年 5月25日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 5月25日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝3000m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1400m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  ダ1600m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,薫風ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｄナムライチバンボシ, 61,津村明,, 65,   2,*  5, 4,  7.8, ④④, 1, 1, ビｰビｰマイセン,,山本康,,,,, 1,  1.7,③③②, 1, 6,Ｆラブリｰスタｰ, 70,柴山雄,, 72,   2,*  9, 6, 17.9, ⑤⑤, 1, 9,Ｋロンギングスタｰ, 81,吉田豊,, 86,   8,* 18,10, 19.7, ⑬⑬
 2,11,Ｃバンクシｰ, 62,吉田豊, 0.3, 64,  -4,* 13, 6, 10.7, ⑮⑮, 2, 8, ランブリングロｰズ,,石神深,200.9,,,, 2,  5.2,②①①, 2, 4,Ａジツリキフォｰティ, 78,北村宏, 0.2, 70,*  4,   5, 1,  1.6, ③③, 2, 1,Ｈタマブラックホｰル, 83,石橋脩, 0.1, 86,   7,* 18, 5, 10.1, ⑭⑭
 3, 8,Ｅキネオハレｰ, 61,大野拓, 0.9, 58,   2,  -4, 2,  3.7, ③③, 3, 7, サニｰサイレンス,,蓑島靖,201.6,,,, 3,  5.9,⑧⑧⑧, 3, 2,Ｌシｰクレットアｰム, 64,石橋脩, 0.4, 69,   1,   7,13,136.5, ⑥⑥, 3, 8,Ｆシルクシュナイダｰ, 83,戸崎圭, 0.5, 82,  10,   9, 2,  5.8, ⑩⑨
 4, 7,Ｆメイラｰド, 58,三浦皇, 1.2, 57,  -1,  -1, 8, 29.7, ⑩⑩, 4, 6, アサクサマリンバ,,浜野谷,202.2,,,, 4,  8.3,⑨⑦⑦, 4, 7,Ｃドリｰムリｰグ, 73,大野拓, 0.4, 68,*  5,   2, 7, 21.9, ②②, 4,14,Ｇスズカロジック, 83,内田博, 0.5, 81,  11,   7, 7, 13.9, ⑦⑥
 5, 1,Ｇサトノロｰタス, 58,戸崎圭, 1.4, 55,*  4, -10, 3,  5.5, ②②, 5,10, プロジェクトブルｰ,,山崎亮,202.7,,,, 5, 14.5,⑤④④, 5,11,Ｇフェアリｰライン, 70,蛯名正, 0.4, 70,  -4,* 14, 5, 14.8, ⑮⑮, 5,10,Ｍエンジョイタイム, 78,丸田恭, 0.6, 80,   9,  10,14,105.6, ⑨⑪
 6, 2,Ｎレｰザｰビｰム, 23,勝浦正, 1.5, 54,   0,  -5,12, 84.5, ⑦⑦, 6,11, アミフジガガ,,小野寺,203.1,,,, 8, 44.4,⑦⑤⑤, 6, 5,Ｄビットアレグロ, 72,柴田大, 0.6, 67,   1,   5, 3, 11.1, ⑦⑦, 6, 7,Ｂスズカヴィグラス, 85,吉田隼, 0.7, 80,* 12,   4, 1,  3.1, ④④
 7,12,Ｂサルジェンツチェリ, 64,武士沢, 1.8, 53,   2, -10, 5, 10.0, ⑥⑤, 7, 4, ダｰリブ,,大江原,203.8,,,, 7, 29.9,⑥⑥⑥, 7, 1,Ｉトｰセンブリッツ, 67,ウィリ, 0.7, 69,   0,   6, 4, 11.2, ⑨⑨, 7, 3,Ａダブルスタｰ, 86,田辺裕, 0.8, 78,  10,   5, 3,  6.5, ⑧⑦
 8, 4,Ｉレッドエンブレム, 50,田中博, 1.9, 52,   0,  -8, 9, 35.0, ⑧⑧, 8, 9, トウカイチェッカｰ,,上野翔,204.5,,,,11,132.6,⑩⑨⑨, 8,15,Ｋデリケｰトアｰチ, 64,三浦皇, 0.8, 66,  -1,   6,11,102.9, ⑪⑪, 8, 5,Ｅサトノジョリｰ, 84,丸山元, 0.9, 80,   9,   8, 9, 17.6, ⑫⑫
