13年 8月10日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 8月10日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 7R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝1800m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｺｽﾓｽ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｂウインレｰベン, 53,五十嵐,, 47, -30,*  6, 3,  4.6, ②②, 1, 8,Ｆシャッセロｰル, 54,川須栄,, 66,*  0,*  5, 3,  5.7, ③③, 1, 9,Ｃピュアダイヤモンド, 72,黛弘人,, 73,* 12,  -1, 4,  7.2,③②②, 1,11,Ａマイネルフロスト, 66,三浦皇,, 62,* -2,   8, 2,  3.7,④④③
 2, 7,Ａアイノデンドウシ, 54,三浦皇, 0.0, 49, -31,*  7, 1,  1.5, ④③, 2,12,Ｇヒシダイヤ, 49,藤田伸, 0.6, 59,  -5,   3, 7,  9.8, ⑥⑥, 2, 3,Ｆクロカミノオトメ, 69,三浦皇, 0.3, 73,   9,*  1, 7, 38.1,⑨⑥⑤, 2, 5,Ｇサトノフェラｰリ, 49,北村宏, 0.0, 62,  -5,* 13, 1,  2.8,⑨⑦⑥
 3, 2,Ｃコパノハリｰ, 40,柴山雄, 0.3, 43, -34,*  5, 2,  4.2, ⑤⑤, 3, 2,Ｅラサイニ, 56,横山和, 0.7, 57,  -9,*  4, 5,  6.5, ⑦⑦, 3, 1,Ｈブルｰバレット, 67,横山和, 0.3, 72,* 12,  -4, 6, 12.0,①①①, 3,14,Ｂマイネグレヴィル, 65,丹内祐, 0.0, 60,* -2,   7, 5,  8.1,②②②
 4, 3,Ｅカンタベリｰツルギ, 29,田中博, 0.9, 34, -32,  -4, 7, 60.9, ③④, 4, 1,Ｄホワイトコｰヒｰ, 58,北村宏, 0.9, 56,  -5,   0, 6,  7.7, ④④, 4, 4,Ｂホワイトアルバム, 72,小林徹, 0.4, 72,  10,  -2, 5,  7.9,⑥④③, 4, 6,Ｆセレッソレアル, 50,丸山元, 0.7, 56,  -7,* 10, 8, 47.2,⑫⑫⑪
 5, 6,Ｄルｰクインザスカイ, 36,小林徹, 1.1, 31, -35,  -5, 4, 17.4, ⑥⑥, 5,10,Ｃクリノアンデス, 60,菱田裕, 1.1, 53, -10,   2, 2,  5.2, ⑨⑧, 5, 6,Ａフｰラブライド, 76,古川吉, 0.4, 74,   9,*  0, 1,  2.1,⑧⑧⑧, 5, 1,Ｃハッピｰスプリント, 57,宮崎光, 0.7, 54,  -5,   4, 3,  4.9,⑥⑥⑦
 6, 1,Ｇメスイドｰル, 21,黛弘人, 1.4, 28,*-27, -14, 6, 53.2, ①①, 6, 5,Ｉメイショウオニグマ, 47,伴啓太, 1.2, 53,* -1,  -6, 8, 21.8, ②②, 6, 8,Ｅアドマイヤゼファｰ, 70,四位洋, 0.8, 71,   9,  -3, 3,  5.7,⑦⑦⑥, 6, 9,Ｉリタｰンラルク, 44,松田大, 0.8, 53,  -6,   4, 4,  6.6,⑪⑩⑧
 7, 4,Ｆレプロンドｰル, 24,古川吉, 1.7, 23, -37, -10, 5, 34.8, ⑦⑦, 7,11,Ｌクレバｰムレイニｰ, 40,丹内祐, 1.3, 52,  -5,  -4,11,120.6, ⑤⑤, 7, 2,Ｄコスモレイラ, 71,丹内祐, 0.8, 71,   9,  -3, 8, 52.2,⑤⑤⑦, 7, 3,Ｅウインイルソｰレ, 50,丸田恭, 1.4, 42,  -3, -10, 9, 53.6,③③④
,,,,,,,,,,,, 8, 3,Ｊリリｰゴｰゴｰ, 45,丸田恭, 1.4, 50, -14,   2,10, 45.5, ⑪⑪, 8, 5,Ｇマイティマックス, 68,菱田裕, 2.0, 60,  10, -16, 2,  4.9,②③④, 8,13, モリデンボス,---,松井伸, 1.4, 46,  -6,  -4,11,105.0,⑦⑨⑩
