13年 7月27日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 7月27日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 7R  ダ2400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,仁山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ａディアゴッホ, 55,勝浦正,, 46, -11,*  2, 1,  2.5, ⑤⑤, 1, 9,Ａバクシンパワｰ, 70,城戸義,, 63,*  7,  -4, 2,  2.3, ③③, 1, 4,Ａリアライズブラザｰ, 79,岩田康,, 76,*  5,  11, 1,  1.7,②②①, 1, 1,Ａヴァリアシオン, 79,古川吉,, 80,   8,*  6, 5,  7.8,③③②
 2, 2,Ｂマイネルボルソｰ, 54,丹内祐, 0.7, 41,  -7,  -7, 2,  2.5, ④④, 2, 4,Ｊゴｰルドマズル, 47,古川吉, 0.2, 60,  -8,*  4, 9,171.6, ⑩⑩, 2, 7,Ｇロックシンガｰ, 67,津村明, 0.0, 77,*  5,* 12, 5, 13.9,⑥③②, 2, 7,Ｃメイショウテッサイ, 75,吉田隼, 0.3, 79,   5,* 10, 3,  5.9,⑩⑩⑦
 3, 5,Ｄオクリモノ, 40,柴山雄, 0.8, 38,  -8,  -8, 3,  5.7, ③③, 3, 7,Ｆクリノアンデス, 57,菱田裕, 0.2, 60,  -5,*  3, 8, 83.0, ⑧⑦, 3, 3,Ｃメイスンキャプテン, 78,丹内祐, 0.2, 77,   5,* 12, 2,  4.5,⑧④⑤, 3, 2,Ｈアサクサベルｰガ, 67,岩田康, 0.4, 79,   7,   3, 7, 13.1,⑥⑥④
 4, 4,Ｆコスモロザラム, 35,菱田裕, 0.8, 38, -10,  -6, 5, 18.8, ⑥⑥, 4,12,Ｂマコトクオバディス, 61,三浦皇, 0.4, 58,   1,  -4, 3,  6.1, ④⑤, 4, 1,Ｂナリタタイフｰン, 78,丸田恭, 0.4, 75,   5,  11, 3,  8.6,④⑤④, 4,10,Ｇキワミ, 71,秋山真, 0.5, 75,* 11,  -8, 9, 27.2,①①①
 5, 8,Ｃファビン, 41,吉田隼, 1.0, 37,  -4, -11, 6, 23.8, ②②, 5, 2,Ｇアｰケオプテリクス, 54,柴山雄, 0.5, 56,  -6,   0, 4, 23.2, ⑦⑥, 5, 2,Ｅブルｰスイショウ, 70,勝浦正, 0.7, 74,   3,* 12, 8, 28.1,⑨⑧⑦, 5, 8,Ｆマウイノカオイ, 71,三浦皇, 0.6, 77,   7,   1, 4,  7.4,⑨⑧⑧
 6, 7,Ｅワイドアミｰゴ, 36,伴啓太, 1.2, 36,* -2, -14, 7, 47.1, ①①, 6, 5,Ｅマルトクスパｰト, 58,小林徹, 0.8, 54,  -2,  -6, 7, 28.1, ⑤④, 6, 6,Ｄジャｰラベンナ, 73,三浦皇, 1.3, 70,   4,   5, 4, 11.9,⑤⑦⑥, 6, 4,Ｂコスモユウチャン, 76,丹内祐, 0.7, 74,   8,  -2, 8, 22.4,④⑤⑤
 7, 6,Ｇヒュウガ, 28,古川吉, 1.9, 26, -25,  -6, 4,  6.8, ⑦⑦, 7, 6,Ｄプレシャスデイズ, 58,横山和, 0.9, 54,*  7, -12, 6, 26.4, ②②, 7,10,Ｆエアラｰテル, 69,松田大, 2.0, 65,*  6,  -5, 7, 22.6,①①③, 7, 6,Ｄアラドヴァル, 75,勝浦正, 1.5, 67,   7, -11, 6, 12.1,⑧⑨⑨
 8, 1,Ｈルックアラウンド, 17,黛弘人, 2.7, 15, -36,  -7, 8,117.6, ⑧⑧, 8, 3,Ｈメネフネ, 53,黛弘人, 0.9, 50,  -8,  -2,10,172.1, ⑨⑨, 8, 5,Ｈオズフェスト, 66,柴山雄, 2.5, 62,   5,  -7, 9, 44.3,③⑥⑧, 8, 5,Ｅリメインサイレント, 75,柴山雄, 1.7, 63,   8, -18, 2,  5.7,⑤④⑥
