13年 7月 6日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 7月 6日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝3000m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  ダ1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,香嵐渓特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｄイスルギ, 43,福永祐,, 65,  -8,   6, 1,  2.1, ③③, 1, 3, ヤマニンメダイユ,,平沢健,,,,, 5,  8.9,⑥⑤⑤, 1,10,Ａショウリュウバイオ, 68,福永祐,, 73, -14,* 17, 1,  3.5, ⑥⑦, 1, 3,Ｃナリタスｰパｰワン, 85,福永祐,, 76,  10,   6, 1,  1.7, ④⑤
 2, 3,Ｃエイシンソルティｰ, 43,川田将, 0.0, 63, -14,* 10, 4,  6.1, ⑦⑦, 2, 9, ゴｰルデンウィナｰ,,熊沢重,199.3,,,, 9, 30.9,④②②, 2,13,Ｋウルトラサウンド, 49,池添謙, 0.2, 67,* -8,   6, 9, 46.0, ④③, 2,14,Ｎトップオブザヘヴン, 72,太宰啓, 0.0, 78,   5,  13,10,107.5, ⑩⑫
 3, 7,Ａタガノウォｰリア, 64,太宰啓, 0.6, 57,  -1,  -9, 2,  3.1, ②②, 3,12, ピンクピアリス,,黒岩悠,199.9,,,, 6, 19.6,①③③, 3,15,Ｅエｰシンケツァｰル, 59,高倉稜, 0.4, 70, -18,* 17, 7, 14.8, ⑬⑬, 3, 6,Ｇデンコウデア, 78,松山弘, 0.1, 75,  11,   4, 6, 23.3, ⑤③
 4, 5,Ｂスマｰトエビデンス, 45,武豊  , 0.8, 53,*  1, -14, 3,  4.8, ①①, 4, 4, グッドスピｰド,,小坂忠,201.2,,,, 3,  7.6,⑦⑧⑧, 4,17,Ｂベストブレｰン, 66,川田将, 0.4, 67, -14,  12, 2,  3.7, ⑨⑧, 4,10,Ｆカリスマサンスカイ, 78,高倉稜, 0.3, 74,   4,  12, 8, 36.8, ⑬⑬
 5, 2,Ｅデンコウガイア, 41,幸英明, 1.1, 51, -12,  -5, 5, 20.9, ⑥⑤, 5, 1, タッチドヘヴンリｰ,,北沢伸,201.6,,,, 1,  2.6,⑤④④, 5,18,Ｉマコトラヴィッサン, 53,国分優, 0.5, 66, -12,   8,10, 48.5, ③⑤, 5,15,Ｄコスタアレグレ, 83,川田将, 0.3, 74,  11,   2, 5, 13.2, ⑥⑥
 6, 1,Ｇラブセレクタｰ, 22,中井裕, 2.2, 36, -11, -20, 6, 67.1, ④④, 6, 7, ネオファッショ,,難波剛,202.5,,,, 4,  7.9,⑨⑦⑦, 6, 4,Ｆファインスマッシュ, 58,岡田祥, 0.5, 69, -19,* 18,16,262.3, ⑭⑮, 6,11,Ｏクｰルヴェント, 72,中井裕, 0.4, 75,   3,  12,15,335.1, ⑪⑩
 7, 8,Ｈカシノクロｰネ, 16,国分優, 2.3, 35, -26,  -8, 8,167.4, ⑧⑧, 7, 5, アプフェルヴァイン,,植野貴,203.1,,,,13,145.2,⑪⑨⑨, 7, 6,Ｇサンライズムｰン, 58,藤岡康, 0.6, 63, -12,   6, 4,  8.8, ⑤④, 7, 5,Ｍスプリングオスロ, 73,酒井学, 0.4, 73,* 13,  -1,14,260.5, ②②
 8, 6,Ｆコウエイロンド, 37,松山弘, 2.3, 33, -12, -21, 7, 89.8, ⑤⑥, 8, 8, アスタｰコリント,,林満明,203.5,,,, 2,  3.7,⑧⑥⑥, 8,12,Ｃリッシュレｰヴ, 63,武豊  , 0.7, 64, -15,  10, 3,  5.2, ⑪⑩, 8, 2,Ｐリアリｰサムシング, 70,国分優, 0.4, 74,   4,  11,12,112.1, ⑫⑪
,,,,,,,,,,,, 9, 6, レッドアｰヴィング,,西谷誠,204.5,,,, 7, 23.8,②①①, 9,11,Ｌラッキｰレディ, 44,武幸四, 1.1, 63, -21,  15,15,248.7, ⑯⑯, 9,13,Ｋラパヌイ, 74,小牧太, 0.5, 73,   2,  13,11,109.9, ⑮⑮
,,,,,,,,,,,,10,10, ユキノサイレンス,,白浜雄,211.4,,,,11, 76.5,③⑩⑩,10, 5,Ｏキチ, 40,和田竜, 1.2, 57, -14,   1,12, 65.9, ⑦⑥,10, 8,Ｊメモリｰパｰミット, 74,池添謙, 0.5, 73,   2,  13,13,149.1, ⑭⑭
,,,,,,,,,,,,11, 2, オｰスミマリオン,,高田潤,212.4,,,, 8, 29.4,⑩⑪⑪,11, 2,Ｄパラッパラッパｰ, 62,松山弘, 1.4, 55, -17,   3, 6, 10.8, ⑩⑪,11, 9,Ｉエアカｰネリアン, 77,浜中俊, 0.6, 72,   9,   2, 7, 33.2, ⑧⑦
,,,,,,,,,,,,,,,,,,,,,,,,12,16,Ｐテイエムシシｰポス, 39,佐久間, 1.5, 50,* -8, -10,11, 55.3, ②②,12,16,Ｌピュアマリｰン, 73,佐久間, 0.7, 73,  -4,* 19,16,621.7, ⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,13,14,Ｍオｰネットサクセス, 43,浜中俊, 1.6, 48,* -6, -13, 5,  9.2, ①①,13,12,Ｅレアヴェントゥｰレ, 79,和田竜, 0.7, 71,* 12,  -3, 4,  9.3, ③④
,,,,,,,,,,,,,,,,,,,,,,,,14, 1,Ｈシゲルリブラ, 55,森一馬, 1.7, 50, -14,  -4,14,166.0, ⑧⑨,14, 7,Ａキクノストｰム, 87,宮崎北, 0.9, 68,  10,  -2, 3,  7.1, ⑦⑨
,,,,,,,,,,,,,,,,,,,,,,,,15, 9,Ｎライブリヘイロｰ, 40,水口優, 1.8, 52, -23,   6,17,379.5, ⑰⑰,15, 1,Ｂベストサｰパス, 85,藤岡康, 1.1, 67,* 13,  -7, 2,  6.0, ①①
,,,,,,,,,,,,,,,,,,,,,,,,16, 8, ビｰチブレイブ,---,酒井学, 2.1, 46, -18,  -5, 8, 40.0, ⑫⑫,16, 4,Ｈシンコｰプリンス, 78,幸英明, 1.1, 69,  10,  -3, 9, 49.5, ⑨⑧
,,,,,,,,,,,,,,,,,,,,,,,,17, 7, アグネスサクシｰド,---,中井裕, 2.9, 36, -19, -13,13, 95.0, ⑮⑭,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:2),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-5),,,,,,,,,,,
単勝:210円 複勝:04=110円 03=140円 07=110円 枠連:0円,,,,,,,,,,,,"単勝:890円 複勝:03=270円 09=1,060円 12=620円 枠連:1,820円",,,,,,,,,,,,"単勝:350円 複勝:10=160円 13=1,000円 15=400円 枠連:850円",,,,,,,,,,,,"単勝:170円 複勝:03=110円 14=1,060円 06=340円 枠連:2,310円",,,,,,,,,,,
馬連:610円 ワイド:03-04=220円 04-07=140円 03-07=250円,,,,,,,,,,,,"馬連:19,070円 ワイド:03-09=4,960円 03-12=2,260円 09-12=11,590円",,,,,,,,,,,,"馬連:8,230円 ワイド:10-13=2,080円 10-15=1,120円 13-15=9,320円",,,,,,,,,,,,"馬連:5,100円 ワイド:03-14=1,820円 03-06=530円 06-14=10,590円",,,,,,,,,,,
"馬単:1,200円 3連複:470円 3連単:2,680円",,,,,,,,,,,,"馬単:23,490円 3連複:104,730円 3連単:498,040円",,,,,,,,,,,,"馬単:11,550円 3連複:39,150円 3連単:188,680円",,,,,,,,,,,,"馬単:7,120円 3連複:19,630円 3連単:91,490円",,,,,,,,,,,
■ 2R  ダ1400m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 5R  ダ1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  芝2000m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■11R  芝1400m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中京,,,,,,,,,,,,,,,,,,,,,,,,豊明ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｂワンダｰテルヌｰラ, 60,武豊  ,, 63,* -5,*  7, 1,  1.8, ④③, 1, 8, ロｰブデソワ,---,浜中俊,, 49, -14,*  1, 3,  8.8, ⑤⑤, 1, 4,Ａアドマイヤギャラン, 77,池添謙,, 80,  -4,* 17, 1,  2.6,⑩⑩⑩, 1, 1,Ａプリムラブルガリス, 91,小牧太,, 91,   1,* 23, 1,  3.6, ⑧⑦
 2, 2,Ｆセイウンラｰドゥガ, 50,岩崎翼, 0.9, 55,  -6,   0, 6, 23.8, ⑥⑤, 2, 1, グラナディラ,---,幸英明, 0.1, 49,*-12,  -2, 2,  3.0, ①①, 2, 3,Ｄゴｰルドテｰラｰ, 72,国分優, 0.1, 82,  -5,* 18, 4,  7.8,⑪⑬⑫, 2,13,Ｊオリｰビン, 79,川田将, 0.2, 89,   1,  20, 5,  9.0, ⑦⑧
 3,16,Ｃヴィトレスク, 59,高倉稜, 1.0, 55,  -7,*  2, 2,  3.7, ⑪⑦, 3, 7, トラディション,---,武豊  , 0.1, 49, -14,*  0, 1,  2.0, ④④, 3, 8,Ｂマイネアルナイル, 75,中井裕, 0.1, 79,  -6,* 16, 5,  8.0,⑨⑫⑪, 3,14,Ｃネオザウイナｰ, 85,松山弘, 0.2, 86,   5,  15, 4,  8.2, ⑥⑥
 4,13,Ａミラフロｰレス, 60,藤岡康, 1.0, 54,  -6,   0, 4, 10.1, ⑦⑥, 4,10, ハッシュ,---,藤岡康, 0.5, 46,*-12,  -5, 8, 36.7, ③③, 4,10,Ｇアルアマｰナ, 69,和田竜, 0.4, 74,* -2,   7, 6, 15.3,⑤⑤④, 4, 3,Ｋサイレントソニック, 78,武豊  , 0.4, 83,*  8,   9, 6, 13.1, ③③
 5,11,Ｅピサノカルメン, 50,和田竜, 1.2, 53,* -5,  -5,12,147.9, ②②, 5, 2, シゲルウゴ,---,高倉稜, 1.4, 37,*-12, -14, 6, 26.9, ②②, 5,11,Ｊウインクルキラリ, 66,熊沢重, 0.4, 70,*  0,   1, 8, 29.5,①①①, 5, 6,Ｂノｰブルジュエリｰ, 88,福永祐, 0.5, 82,   5,  10, 3,  4.6, ④④
 6, 4,Ｌエｰシンタヒチ, 38,熊沢重, 1.2, 56,  -8,   0,11, 97.6, ⑨⑩, 6, 6, アｰムストロング,---,福永祐, 1.4, 39, -17,  -6, 5, 14.3, ⑧⑥, 6, 9,Ｅオｰキッドレイ, 71,川田将, 0.7, 69,* -3,   4, 2,  3.7,④⑥⑤, 6, 4,Ｍエスピナアスｰル, 78,国分優, 0.5, 84,   4,  13, 9, 49.8, ⑤⑤
