13年 3月 2日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 3月 2日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  芝2880m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1200m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■10R  芝1800m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｽﾋﾟｶｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｅハｰトアンドハｰト, 56,田中勝,, 58,* -9,   8, 9, 31.8,①①①, 1,10, フリｰダムシチｰ,,草野太,,,,, 3,  6.0,③③③, 1, 6,Ａクロムレック, 77,戸崎圭,, 69,* 15,  -2, 1,  2.3, ②②, 1, 2,Ｄカフナ, 83,内田博,, 83,  21,*-13, 1,  2.3,⑨⑨⑦
 2,16,Ｂフュｰジリア, 61,横山典, 0.0, 57,* -9,   8, 1,  1.8,②②②, 2,11, トｰセンマグナム,,五十嵐,193.6,,,, 2,  5.7,①①①, 2,10,Ｆエジル, 62,北村宏, 0.0, 69,* 13,*  0, 4, 10.6, ③③, 2, 9,Ｂソウルフルヴォイス, 87,蛯名正, 0.1, 82,  21,*-14, 2,  4.9,⑧⑧⑧
 3, 5,Ｃネコイッチョクセン, 58,内田博, 0.2, 59, -12,* 13, 4, 14.4,⑤⑧⑦, 3, 8, セイカペガサス,,大江原,193.6,,,,10, 98.3,②②②, 3, 8,Ｃホワイトポピｰ, 68,吉田豊, 0.7, 66,* 17,  -8, 3,  8.2, ①①, 3, 6,Ａアロマカフェ, 89,田中勝, 0.1, 81,  24, -19, 5,  8.6,⑤⑥③
 4, 6,Ｆゴｰルデンパピオン, 55,戸崎圭, 0.5, 53,*-10,   5, 3,  8.0,⑫④⑥, 4,12, シグナリオ,,横山義,195.5,,,, 1,  1.6,④④④, 4, 5,Ｇジョｰジジョｰジ, 59,田中勝, 0.7, 59,   4,*  3, 5, 17.0, ⑪⑨, 4, 7,Ｅサクラボｰルド, 80,北村宏, 0.3, 79,  24, -22, 6, 11.2,⑦⑦⑥
 5, 4,Ａガチ, 66,柴田善, 0.5, 57, -13,* 13, 2,  3.7,⑩⑨⑨, 5, 6, ユニバｰサルアゲン,,平沢健,198.1,,,, 6, 19.5,⑧⑥⑤, 5, 1,Ｈプリティｰキャロル, 58,杉原誠, 0.7, 61,   8,  -1, 9, 66.6, ④④, 5,10,Ｃアドマイヤブルｰ, 85,バルジ, 0.3, 79,  23, -23, 3,  5.2,⑥⑤⑤
 6,11,Ｊレアンデル, 48,江田照, 0.8, 54, -11,   4, 8, 30.2,⑨⑦⑧, 6, 1, フォレストリｰダｰ,,江田勇,198.4,,,, 9, 71.9,⑦⑦⑥, 6,11,Ｄキネオリリｰ, 65,蛯名正, 1.3, 55,   7,  -6, 8, 21.4, ⑦⑧, 6,11,Ｈケイアイエレガント, 75,吉田豊, 0.6, 76,* 26, -32, 7, 37.7,③②②
 7,15,Ｈヤギリハｰツ, 53,嘉藤貴, 1.3, 51, -11,   0,13,342.6,⑥⑥⑤, 7, 7, ペイトリッツデイ,,蓑島靖,200.3,,,, 7, 52.1,⑩⑪⑨, 7, 9,Ｅアイムオンファイア, 63,三浦皇, 1.3, 55,   8,  -7, 6, 17.5, ⑥⑥, 7, 8,Ｆニシノジャブラニ, 79,戸崎圭, 0.6, 76,  25, -30, 4,  7.6,④③④
 8,12,Ｄジオメトリｰ, 56,松岡正, 1.3, 50, -11,   0, 6, 27.2,③⑤④, 8, 2, ビｰビｰマイセン,,山本康,200.4,,,, 8, 53.7,⑨⑨⑦, 8,12,Ｋベラベラ, 52,嘉藤貴, 1.5, 54,   8,  -8,11,135.3, ⑧⑩, 8, 3,Ｉユキノハリケｰン, 75,武士沢, 1.0, 72,* 26, -39, 8, 44.3,①①①
