13年10月14日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年10月14日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  ダ2100m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,赤富士ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12, 6,Ｆマｰシャラｰ, 47,勝浦正, 1.9, 40, -12,  -4,11, 69.2, ⑫⑫,12, 2, ニシノテレポｰト,---,勝浦正, 1.2, 46, -25,   0,12, 41.0, ⑧⑦,12, 1,Ｇテイエムブシドｰ, 72,横山典, 1.9, 62,  -5,   0, 6, 13.6,④④④,12, 3,Ｈニシノヴァンクｰル, 85,北村宏, 2.0, 73,   9,   5,12, 60.6,⑦⑧⑥
13,15,Ｐロングアンドリｰン,  7,福永祐, 2.0, 40, -11,  -7, 4, 10.0, ⑩⑩,13, 1, ヴェルサイユパｰク,---,吉田隼, 1.6, 38, -23,  -9,10, 28.6, ④④,13, 4,Ｌロｰレルアルトス, 61,石橋脩, 2.0, 62,* -4,  -4,12,157.2,②②②,13,11,Ｋホノカアボｰイ, 81,田中博, 2.2, 73,* 10,   2,13,100.3,④③④
14,16,Ｎフリメｰル, 30,嘉藤貴, 2.3, 36,* -8, -15,10, 59.2, ③②,14,16, タイキグランツ,---,戸崎圭, 1.7, 41, -31,   1, 4,  9.0, ⑮⑮,,,,,,,,,,,,,14, 1,Ｍアントニオピサ, 78,武豊  , 3.8, 63,* 10, -14, 6,  8.7,①①①
15, 9,Ｌシゲルブンゴ, 38,松岡正, 2.4, 37, -13,  -6,13, 71.2, ⑬⑬,15,14, フウジンライジン,---,武士沢, 1.8, 42, -33,   4,16,181.8, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,
16,13,Ｏブックマｰクレット, 30,吉田豊, 2.5, 38, -15,  -5,16,172.5, ⑭⑯,16,13, ショウナンアラジン,---,吉田豊, 2.1, 37, -25,  -9,14,115.5, ⑫⑫,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-12 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:1),,,,,,,,,,,
単勝:220円 複勝:04=110円 14=230円 03=140円 枠連:700円,,,,,,,,,,,,"単勝:1,230円 複勝:08=360円 09=340円 10=1,410円 枠連:1,790円",,,,,,,,,,,,単勝:200円 複勝:02=110円 13=160円 09=220円 枠連:370円,,,,,,,,,,,,"単勝:490円 複勝:12=200円 14=660円 04=270円 枠連:1,070円",,,,,,,,,,,
馬連:930円 ワイド:04-14=330円 03-04=160円 03-14=400円,,,,,,,,,,,,"馬連:5,310円 ワイド:08-09=1,650円 08-10=8,020円 09-10=6,800円",,,,,,,,,,,,馬連:480円 ワイド:02-13=240円 02-09=400円 09-13=680円,,,,,,,,,,,,"馬連:8,610円 ワイド:12-14=2,140円 04-12=770円 04-14=2,240円",,,,,,,,,,,
"馬単:1,570円 3連複:870円 3連単:6,000円",,,,,,,,,,,,"馬単:11,240円 3連複:97,010円 3連単:524,350円",,,,,,,,,,,,"馬単:700円 3連複:1,580円 3連単:4,100円",,,,,,,,,,,,"馬単:12,620円 3連複:17,160円 3連単:85,010円",,,,,,,,,,,
■ 2R  芝1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 5R  ダ1600m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 8R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■11R  芝1800m 3歳上ｵｰﾌﾟﾝ(牝) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,府中牝馬ｽﾃｰｸｽ ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｂヒカルカミヒコｰキ, 50,横山典,, 52, -10,*  7, 1,  2.1, ⑦⑥, 1, 9,Ｅスペクトロライト, 66,戸崎圭,, 69,   4,*  6, 5,  6.2, ⑤⑤, 1, 6,Ｄゲマインシャフト, 69,松岡正,, 73,  -4,* 18, 4, 10.6, ⑨⑩, 1,11,Ｍホエｰルキャプチャ, 75,蛯名正,, 93,*-12,  32, 4,  6.8,③③③
 2,10,Ｄマリｰズケイ, 46,柴田大, 0.1, 51,  -7,   2, 7, 22.7, ④④, 2, 6,Ａフィアレス, 76,丹内祐, 0.0, 71,   5,*  6, 2,  3.6, ⑥⑥, 2, 2,Ｂアルデグロリア, 72,武士沢, 0.1, 72,   2,  10, 5, 11.4, ④④, 2,13,Ｆドナウブルｰ, 87,メンデ, 0.1, 91,*-12,  29, 5,  8.1,②②②
 3, 9,Ｈメイショウボイス, 41,武豊  , 0.2, 48,* -6,  -2, 3,  5.2, ②②, 3, 3,Ｂタニセンヴォイス, 72,吉田隼, 0.0, 69,*  6,   3, 1,  3.5, ③③, 3,10,Ｃトミケンプレミオ, 70,戸崎圭, 0.1, 71,   0,  12, 3,  6.5, ⑤⑤, 3, 3,Ａスイｰトサルサ, 95,田中勝, 0.1, 91, -13,  32, 7, 13.7,④④④
 4,12,Ａオｰトクレｰル, 50,戸崎圭, 0.3, 52, -14,* 10, 2,  4.5, ⑪⑪, 4, 2,Ｄマルシアｰノ, 67,内田博, 0.1, 68,*  6,   2, 3,  4.8, ②②, 4, 9,Ｆケイティｰプライド, 68,川田将, 0.1, 72,*  3,   9, 2,  5.1, ③③, 4, 7,Ｈコスモネモシン, 85,柴田大, 0.2, 89,*-11,  26,10, 38.2,①①①
 5, 6,Ｅクラウンデュナミス, 43,松岡正, 0.4, 48, -10,   2, 6, 12.5, ⑤⑤, 5, 1,Ｊモリミヤビ, 51,木幡初, 1.4, 59,   3,  -3, 9,149.6, ⑦⑧, 5, 3,Ａタイザンホクト, 73,福永祐, 0.5, 67,*  3,   4, 1,  1.8, ①①, 4, 6,Ｃマイネイサベル, 92,松岡正, 0.2, 93, -15,  35, 2,  5.1,⑧⑦⑧
 6, 4,Ｆサンタレジｰナ, 43,北村宏, 0.4, 46,  -9,  -1, 4,  7.3, ③③, 6, 7,Ｃショウリノウタゲ, 70,三浦皇, 1.4, 59,   3,  -4, 4,  5.0, ⑧⑦, 6, 8,Ｉハヤブサフィｰバｰ, 63,吉田隼, 0.6, 68,  -5,  13, 8, 51.0, ⑪⑪, 6, 8,Ｂゴｰルデンナンバｰ, 92,横山典, 0.2, 94, -18,* 41, 6, 11.7,⑪⑬⑬
 7, 3,Ｉエイプキング, 30,三浦皇, 0.9, 44, -16,   3, 8,112.1, ⑫⑫, 7,10,Ｉヒアルロンサン, 53,大庭和, 1.5, 59,   1,  -1, 8, 93.6, ⑩⑩, 7, 1,Ｊバルザック, 61,大野拓, 0.8, 67,   0,   7, 9, 92.4, ⑥⑥, 7, 4,Ｄアロマティコ, 88,福永祐, 0.3, 92, -16,  35, 1,  3.6,⑩⑧⑦
 8,11,Ｃロココ, 49,江田照, 0.9, 43, -13,   0, 5, 12.1, ⑧⑨, 8, 8,Ｈラヴェンナ, 59,花田大, 1.5, 58,   1,  -2,10,160.7, ⑨⑨, 8, 4,Ｈディｰプランマ, 63,勝浦正, 1.0, 63,*  3,   1,10,109.5, ②②, 7, 2,Ｉマルセリｰナ, 84,川田将, 0.3, 91, -14,  32, 8, 15.1,⑥⑥⑤
 9, 7,Ｋスイｰトイレｰヌ, 23,木幡初, 1.0, 41, -13,  -2,11,309.1, ⑨⑧, 9, 5,Ｇヒュウガミズキ, 60,横山典, 1.8, 53,*  7, -14, 6, 18.9, ①①, 9, 5,Ｅイデアルモルソｰ, 68,田中勝, 1.7, 58,  -3,   1, 6, 12.3, ⑦⑦, 9, 5,Ｅハナズゴｰル, 88,武豊  , 0.3, 91, -14,  32, 3,  5.3,⑦⑤⑥
10, 1,Ｇクリキントン, 42,西田雄, 1.4, 36, -12,  -8, 9,126.1, ⑥⑦,,,,,,,,,,,,,10, 7,Ｋキングアドバンス, 55,北村宏, 1.8, 57,  -4,   2, 7, 42.8, ⑩⑨,10, 1,Ｌミッドサマｰフェア, 79,内田博, 0.3, 94, -16,* 36,11, 67.2,⑤⑩⑨
