13年 5月25日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 5月25日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  芝2200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 7R  ダ1400m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1800m 3 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,白百合ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｈグレイングロｰス, 57,川田将,, 71,*  9,   0, 3,  7.2, ①①, 1, 2,Ｆヒュラｰス, 62,デムｰ,, 71,  -6,* 12, 1,  3.4,⑦⑨⑦, 1, 8,Ａリバｰタイキ, 77,川田将,, 74,   1,* 12, 1,  2.0, ⑦⑦, 1,13,Ｈノボリディアｰナ, 69,幸英明,, 79,*  8,  -1, 9, 16.5, ①①
 2, 3, ハｰロンベイ,---,北村友, 0.1, 67,  -3,* 12, 8, 39.8, ⑮⑬, 2, 4,Ｃダイワユニティｰ, 67,小牧太, 0.2, 66,* -3,*  2, 5,  8.0,①①①, 2,15,Ｂツルオカハチマン, 75,幸英明, 0.4, 70,   2,   6, 2,  5.7, ⑤⑤, 2,11,Ｆウリウリ, 72,浜中俊, 0.2, 79,   0,* 14, 6, 10.4, ⑫⑩
 3, 9,Ａゴッドドリｰム, 67,幸英明, 0.4, 66,   3,   3, 2,  4.7, ⑤⑤, 3, 7,Ａプランスペスカ, 69,幸英明, 0.4, 65,* -3,   0, 4,  5.9,②②②, 3,12,Ｅジョｰラプタｰ, 72,松山弘, 0.6, 69,  -2,* 11, 4, 12.2, ⑫⑫, 3, 4,Ｄバッドボｰイ, 74,小牧太, 0.3, 79,  -2,* 13, 1,  3.4, ⑧⑨
 4, 2,Ｇサカジロリュウオｰ, 58,松山弘, 0.9, 61,   1,   0,10, 62.9, ⑧⑦, 4,12,Ｂゴｰルドテｰラｰ, 68,川田将, 0.8, 63,* -4,   0, 2,  3.8,⑧⑦⑨, 4, 3,Ｌメイショウジェｰン, 63,武豊  , 0.7, 68,*  4,   3, 5, 14.1, ③③, 4, 8,Ｌマイネルマエストロ, 66,菱田裕, 0.6, 76,  -3,* 14,11, 38.0, ⑪⑪
 5, 1,Ｅパｰプルアイズ, 60,池添謙, 1.1, 60,  -1,   1, 5, 14.5, ⑩⑨, 5, 3,Ｌシャルパンテ, 55,太宰啓, 0.8, 62,  -6,   1,10, 52.2,⑨⑩⑧, 5, 6,Ｏメイショウゲンカイ, 49,武幸四, 0.7, 72,  -1,   8, 9, 26.7, ⑨⑨, 5,10,Ｊサンガヴィｰノ, 68,松山弘, 0.7, 75,  -6,* 17,13, 67.1, ⑬⑭
 6, 8,Ｍロデム, 50,浜中俊, 1.2, 56,  -8,*  6, 9, 40.3, ⑯⑯, 6, 5,Ｋサトノユニコｰン, 55,川須栄, 0.9, 60,* -5,  -3, 6, 14.3,③④③, 6,14,Ｈタマモデザイア, 68,和田竜, 0.9, 68,   2,   4,10, 35.9, ⑧⑧, 6, 1,Ａタガノミュｰチャン, 76,岩田康, 1.1, 68,   2,  -7, 2,  5.5, ④③
 7, 7,Ｊウォｰタｰパｰク, 55,菱田裕, 1.4, 57,  -3,   0,11, 63.3, ⑬⑭, 7,15,Ｄシｰクレットレシピ, 65,福永祐, 1.0, 60,* -5,  -3, 3,  5.4,⑩⑧⑩, 7,10,Ｍテラノココロ, 62,池添謙, 1.0, 67,   4,   2,13,143.7, ④④, 7,12,Ｅピュアソルジャｰ, 73,武豊  , 1.2, 69,  -2,   2, 4,  8.7, ⑭⑬
 8,12,Ｋテイエムダイトッパ, 55,太宰啓, 1.6, 56,  -2,  -2,12, 84.3, ⑭⑫, 8, 6,Ｊエｰシンザヘッド, 56,古川吉, 1.2, 57,* -5,  -8, 7, 20.4,⑤⑤④, 8, 2,Ｃシンボリエクレｰル, 73,小牧太, 1.1, 64,   1,   2, 3,  8.1, ⑥⑥, 8, 2,Ｎタンスチョキン, 63,国分優, 1.3, 67,  -1,  -4,10, 33.4, ⑦⑧
 9,15,Ｆマルトクスパｰト, 59,秋山真, 1.6, 56,*  9, -13, 7, 30.3, ②②, 9,17,Ｈヒｰトヘイズ, 58,川島信, 1.2, 61,  -7,  -1,12, 91.7,⑬⑬⑬, 9,11,Ｉトルネｰドミノル, 67,北村友, 1.2, 64,  -4,   7,12, 99.4, ⑭⑮, 9, 9,Ｋケントヒｰロｰ, 67,秋山真, 1.3, 65,   2, -10,12, 64.4, ⑤⑤
10,11,Ｄキンシジェネラル, 62,武豊  , 1.6, 54,  -2,  -4, 1,  1.9, ⑪⑩,10, 1,Ｇメイショウゴリン, 58,池添謙, 1.3, 58,  -7,  -4, 9, 50.5,⑪⑪⑪,10, 5,Ｊサワヤカユウタ, 67,中井裕, 1.5, 63,  -5,   6,14,252.8, ⑯⑭,10, 6,Ｉディアマイベイビｰ, 68,川田将, 1.3, 65,   4, -12, 8, 12.8, ③④
11,13,Ｎビップイシマツ, 49,中井裕, 1.7, 54,  -1,  -5,15,270.5, ⑨⑪,11,10,Ｅメイショウミヤジマ, 63,武幸四, 1.7, 54,  -7,  -8,11, 77.7,⑭⑭⑭,11,13,Ｄエスペリア, 72,松田大, 1.5, 61,  -1,   1,11, 44.8, ⑩⑩,11, 7,Ｇラシｰマ, 71,デムｰ, 1.4, 64,   1,  -8, 5,  9.6, ⑩⑦
12, 6,Ｃカネトシエフォｰト, 64,原田敬, 1.9, 52,   2, -10, 4,  8.3, ⑥⑥,12,13,Ｒブラックコｰル, 36,酒井学, 1.8, 55,  -9,  -5,14,350.0,⑮⑮⑮,12, 9,Ｎジｰピｰクロス, 52,岩田康, 1.6, 60,*  5,  -8, 6, 15.2, ①①,12, 3,Ｂウイングリｰト, 74,和田竜, 1.5, 64,   1,  -8, 3,  6.6, ⑥⑥
13, 5,Ｏウォｰタｰグッデイ, 43,武幸四, 2.1, 54,  -3,  -6,16,312.5, ⑫⑮,13,11,Ｐダイシンソリッド, 44,荻野琢, 2.4, 45,  -7, -18,13,272.6,⑫⑫⑫,13,16,Ｇタガノレガｰロ, 69,浜中俊, 1.7, 60,*  5,  -7, 8, 18.9, ②②,13,14,Ｃマッケンジｰ, 74,福永祐, 1.7, 59,*  5, -21, 7, 11.2, ②②
14,14,Ｂテイエムトリック, 65,福永祐, 2.2, 51,*  6, -15, 6, 25.7, ③③,14,14,Ｍフェブサクセス, 51,岩崎翼, 2.5, 47, -10, -11,17,609.7,⑯⑰⑰,14, 4,Ｆアルティザン, 71,川須栄, 1.8, 60,  -4,   2, 7, 15.8, ⑬⑬,14, 5,Ｍタプロｰム, 65,高倉稜, 1.8, 61,  -2,  -7,14,219.6, ⑨⑫
15,16,Ｌコンラッドヘンケル, 54,酒井学, 2.9, 44,   2, -19,13, 84.9, ⑦⑧,15, 8,Ｏファインドラゴン, 45,城戸義, 2.7, 46, -11, -12,18,728.2,⑰⑯⑱,15, 7,Ｋサンマルリバティ, 64,菱田裕, 2.2, 57,  -5,   0,15,318.3, ⑮⑯,,,,,,,,,,,,
16,10,Ｉモンタｰジュ, 55,小牧太, 3.4, 40,   4, -24,14,101.4, ④④,16,16,Ｑアグネスエッジ, 41,松田大, 3.2, 39,* -5, -38,16,551.8,⑥⑥⑥,16, 1,Ｐアイファｰアプリル, 46,岩崎翼, 3.1, 50,  -1, -12,16,481.5, ⑪⑪,,,,,,,,,,,,
,,,,,,,,,,,,17, 9,Ｉトレザイｰル, 57,浜中俊, 3.3, 38,* -4, -41, 8, 46.9,④③⑤,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18,18,Ｎショウサンメグレス, 46,中井裕, 3.3, 39,  -9, -27,15,409.7,⑱⑱⑯,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:78 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:0),,,,,,,,,,,
