13年 7月21日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 7月21日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 7R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,八雲特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｇサンダラス, 37,四位洋,, 44,  -7,* -5, 2,  5.3,⑤⑤④, 1, 8,Ｆニュｰハウン, 56,三浦皇,, 62,  -3,   7, 2,  6.7,⑥⑤②, 1, 3,Ｈサンバビｰン, 53,小林徹,, 73,*  4,*  7, 7, 36.1,①①①, 1,10,Ｂゼロス, 81,丸山元,, 79,*  2,  10, 1,  1.9,①①①
 2, 7,Ｂアクシア, 45,黛弘人, 0.2, 42,* -4, -13, 3,  5.4,①①①, 2, 5,Ｄレッドエンブレム, 58,田中博, 0.0, 63,  -3,   7, 4, 10.2,④④③, 2, 8,Ｄピュアダイヤモンド, 68,黛弘人, 0.1, 68,   3,*  7, 3,  5.8,④④③, 2, 5,Ｅアイスフォｰリス, 78,岩田康, 0.3, 82,  -2,* 15, 3,  5.3,⑥⑦⑦
 3, 8,Ｉウインボナンザ, 30,大野拓, 0.7, 37,* -4, -19, 5, 16.4,②②②, 3, 1,Ａメイショウユニオン, 68,川島信, 0.1, 63,  -4,*  9, 1,  1.5,⑩⑦⑦, 3, 2,Ａハヤブサペコチャン, 77,岩田康, 0.1, 72,*  4,   6, 1,  1.8,⑤②②, 3, 6,Ｇニシノテキｰラ, 78,丸田恭, 0.5, 75,  -1,   8, 4,  8.0,④④④
 4, 3,Ａコスモソラフネ, 45,三浦皇, 0.9, 37,  -8, -15, 6, 17.5,⑦⑦⑦, 4, 6,Ｉクインポルカ, 51,菱田裕, 0.7, 58,* -1,  -2, 7, 23.5,①①①, 4, 5,Ｂシンワウォッカ, 71,吉田隼, 0.2, 72,   3,   6, 4, 15.6,②③④, 4, 7,Ａロｰドエフォｰル, 82,三浦皇, 0.6, 77,  -2,   9, 5, 13.0,⑦⑥⑥
 5, 6,Ｆオイダシダイコ, 39,荻野琢, 1.0, 33,  -6, -20, 1,  1.7,④③⑤, 5, 4,Ｇマイネルゲイナｰ, 54,丹内祐, 0.8, 59,* -1,  -1, 5, 12.4,③③⑤, 5, 4,Ｃコスモレイラ, 70,丹内祐, 0.8, 69,   2,   3, 5, 16.7,③⑤⑥, 5, 1,Ｊギムレットアイ, 67,勝浦正, 0.7, 78,  -3,* 13, 8,140.0,⑧⑧⑧
 6, 9,Ｃコスモディクシｰ, 44,五十嵐, 1.2, 34, -13,* -9, 8, 49.0,⑨⑨⑨, 6,10,Ｅエｰティｰダンガン, 58,城戸義, 0.9, 59,  -9,* 10, 9, 60.9,⑧⑩⑩, 6, 6,Ｆファストソング, 64,丸田恭, 1.0, 64,   3,   0, 2,  3.5,⑧⑥⑤, 6, 2,Ｄショウナンカミング, 79,松田大, 0.8, 71,  -1,   4, 6, 14.7,③③③
 7, 1,Ｅアスカクイン, 41,丸山元, 1.5, 28, -11, -18, 4,  9.7,⑧⑧⑧, 7, 2,Ｂヒキャクノアシ, 61,丸山元, 1.0, 57,  -5,   4, 6, 21.9,⑦⑨⑧, 7, 1,Ｇヴェリｰヌ, 61,丸山元, 1.6, 62,   2,  -1, 8, 64.7,⑥⑦⑧, 7, 3,Ｃタニノシュヴァリエ, 79,菱田裕, 0.9, 70,*  1,  -1, 2,  4.5,②②②
 8, 2,Ｄコスモチャイム, 41,丹内祐, 1.5, 28,  -7, -26, 7, 41.6,③④③, 8, 3,Ｃテイエムプリンセス, 60,伴啓太, 1.1, 55,  -5,   0, 3,  9.9,⑤⑥⑥, 8, 7,Ｅスリｰカｰニバル, 67,古川吉, 1.6, 63,   1,  -2, 6, 17.9,⑦⑧⑦, 8, 9,Ｆメジロマリアン, 78,黛弘人, 0.9, 71,*  1,   1, 7, 23.0,⑤⑤⑤
 9, 4,Ｈゾナパラ, 31,嘉藤貴, 1.7, 29,  -8, -24, 9,147.6,⑥⑥⑥, 9, 7,Ｈクリノロｰガン, 51,宮崎光, 2.4, 47,  -5,  -8,10,173.9,⑨⑧⑨,,,,,,,,,,,,, 9, 8,Ｉシャイニｰダンディ, 71,古川吉, 2.6, 54,  -5, -10, 9,154.2,⑨⑨⑨
,,,,,,,,,,,,10, 9,Ｊインペリウム, 44,岩田康, 2.6, 43,* -2, -17, 8, 30.0,②②④,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
