13年 6月30日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 6月30日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1150m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 4R  芝2750m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,さくらんぼ特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｈブライティアミル, 57,横山典,, 59,*  1,  -3, 4, 11.9, ①①, 1, 3, アイアムエレガント,,浜野谷,,,,, 3,  5.1,②①①, 1,12,Ｆスギノハルバｰド, 56,和田竜,, 66,*  4,*  8, 2,  6.0,⑤④②, 1,10,Ｂメイショウハガクレ, 76,蛯名正,, 85,*  4,* 15, 2,  4.1, ②②
 2, 6,Ｄイｰグルカッタｰ, 60,戸崎圭, 0.0, 60,  -7,*  3, 1,  1.7, ⑧⑧, 2, 5, アンシャンテルｰル,,高野和,181.8,,,,10, 98.4,⑨⑧⑤, 2,13,Ｇランドブリｰズ, 56,石橋脩, 1.1, 57,   0,*  4, 5, 18.7,⑫⑧⑦, 2, 7,Ａツインクルスタｰ, 81,江田照, 0.1, 83,*  7,   9, 1,  2.3, ①①
 3, 9,Ｆレッドキュラス, 60,松岡正, 0.2, 59,  -1,  -3, 8, 17.2, ⑤⑤, 3, 9, ブリッサ,,上野翔,182.0,,,, 4,  5.6,④③③, 3, 1,Ｎアポロンバロｰズ, 26,田辺裕, 1.4, 55,  -2,*  6,11,111.6,⑭⑪⑪, 3,12,Ｆケイアイエレガント, 73,吉田豊, 0.6, 76,   2,   8, 3,  5.7, ③③
 4,10,Ｃマキャヴェッリ, 61,大野拓, 0.2, 59,  -4,   0, 2,  8.7, ⑦⑦, 4,10, シンボリルルド,,山本康,183.4,,,, 5,  6.8,⑥⑨⑩, 4, 9,Ｃドラゴンロックス, 58,柴田大, 1.6, 52,   3,  -4, 3,  6.0,④⑤⑤, 4, 3,Ｌフレイムヘイロｰ, 62,大庭和, 0.8, 74,  -1,   8,11, 62.8, ⑤⑤
 5, 2,Ｅジョアキｰノ, 60,吉田豊, 0.3, 57,  -4,  -2, 5, 12.8, ⑥⑥, 5, 8, パリスブルｰ,,山崎亮,183.5,,,, 7, 47.7,⑩⑦⑧, 5, 6,Ｈヤマトツバキ, 53,花田大, 1.8, 53,   0,  -1, 8, 49.7,⑧⑨⑨, 5, 1,Ｄビットスタｰダム, 74,和田竜, 1.0, 72,  -3,   8, 4,  8.8, ⑦⑦
 6, 1,Ｊヤマニンモントル, 43,田中勝, 0.6, 54, -13,*  4,11, 83.0, ⑫⑪, 6, 6, トｰセンプラチナ,,小野寺,183.8,,,, 9, 70.2,①②②, 6,15,Ｉウインフェロｰ, 53,宮崎北, 1.9, 50,   1,  -4,13,152.6,⑥⑥⑥, 6, 2,Ｃトキノゲンジ, 75,西田雄, 1.1, 71, -10,* 13, 8, 27.9, ⑩⑨
 7,16,Ｌキョウエイラｰケン, 34,的場勇, 0.7, 53,  -8,  -2,12,163.2, ⑨⑩, 7, 1, ジョｰプラチネラ,,五十嵐,183.9,,,, 2,  3.7,③④④, 7, 8,Ａキネオハレｰ, 62,大野拓, 1.9, 52,*  4,  -9, 1,  1.7,③③④, 7, 5,Ｉエキナシア, 68,松岡正, 1.2, 69,  -1,   3, 7, 27.6, ④④
 8, 5,Ａグロスヴァｰグ, 62,嶋田純, 0.8, 52,  -1,  -8, 9, 46.9, ③③, 8, 7, トップカミング,,大江原,184.5,,,, 1,  3.1,⑧⑩⑨, 8, 5,Ｅメロｰペ, 56,武士沢, 2.0, 51,*  4, -10,10, 87.4,①①①, 8,11,Ｇエクレウス, 70,伊藤工, 1.3, 69, -13,* 13,12, 94.8, ⑫⑫
 9, 8,Ｇキョウエイナイト, 59,岩部純, 0.9, 53,  -1,  -9, 3,  9.6, ④④, 9, 2, ダイキチチョウナン,,草野太,185.2,,,, 8, 53.5,⑦⑥⑦, 9, 2,Ｋアレックスキッド, 51,江田照, 2.4, 49,  -2,  -1,12,112.3,⑬⑫⑫, 9, 6,Ｈハンタｰワディ, 69,戸崎圭, 1.3, 67,  -7,   8, 9, 33.3, ⑨⑩
10,15,Ｂチェリｰシェル, 62,山崎亮, 1.1, 50,*  1, -13, 7, 14.3, ②②,10, 4, ノンパッサｰレ,,横山義,185.3,,,, 6, 13.1,⑤⑤⑥,10,11,Ｄルルドバシリカ, 57,大庭和, 2.5, 49,   0,  -5, 9, 72.6,⑩⑩⑩,10, 8,Ｊドラゴンサクラ, 68,柴田善, 1.3, 68,  -1,   2, 5, 11.8, ⑥⑥
