13年 7月28日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 7月28日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 7R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝1800m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,北洋特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ａヴォラｰタ, 50,松田大,, 56,* -1,*-10, 1,  2.2, ①①, 1, 5,Ａポイントブランク, 71,岩田康,, 62,   7,* -3, 1,  1.2,②②②, 1,11,Ｇショウナンワヒネ, 65,岩田康,, 68,*  1,   3, 7, 14.5, ③③, 1, 4,Ｂヤマニンリップル, 81,三浦皇,, 85,* 11,*  6, 4,  6.5,③③③
 2, 4,Ｄキクノリｰガ, 32,城戸義, 0.9, 43,  -6, -16, 5, 19.0, ④②, 2, 7,Ｅマイネルゴスホｰク, 59,三浦皇, 0.6, 58,*  9, -10, 5, 19.0,①①①, 2, 2,Ｄモリトブイコｰル, 68,横山和, 0.2, 65,  -2,   3, 3,  5.8, ⑥⑤, 2, 8,Ｈマイネヒメル, 75,戸崎圭, 0.2, 81,* 12,   0, 2,  4.8,②②②
 3, 3,Ｃハッツオフ, 42,三浦皇, 1.2, 39,  -7, -21, 3,  4.4, ⑤④, 3,10,Ｈエアセノｰテ, 53,松田大, 0.9, 56,   7, -10, 3, 14.9,③④③, 3,12,Ｊアグネスチャンス, 59,藤田伸, 0.2, 65,  -7,   6, 6, 11.4, ⑧⑦, 3, 6,Ｅエディン, 79,藤田伸, 0.3, 82,* 12,  -1, 6, 11.8,①①①
 4, 2,Ｆルｰクインザスカイ, 10,小林徹, 1.5, 36,* -3, -28, 4, 18.7, ②③, 4, 2,Ｃイニシャルダブル, 60,吉田隼, 1.1, 57,   6,  -9, 6, 26.7,⑥⑥⑥, 4,10,Ｆタイキマｰシャ, 67,伴啓太, 0.2, 65,*  2,   0, 8, 22.9, ②②, 4, 5,Ｃインダクティ, 81,丸田恭, 0.3, 82,   9,*  8, 3,  5.2,⑦⑦⑥
 5, 5,Ｂヴォルカヌス, 45,菱田裕, 1.6, 35,  -4, -28, 2,  2.3, ③⑤, 5,11,Ｇヤマニンイリｰズ, 53,柴山雄, 1.3, 53,   5, -11, 9, 90.4,⑤⑤⑤, 5, 1,Ｃカルブンクルス, 69,菅原隆, 0.4, 63,  -1,   0, 1,  3.3, ④④, 5,10,Ｉアドマイヤオウジャ, 75,岩田康, 0.8, 77,* 11,  -5, 1,  3.5,④④④
 6, 6,Ｅカンタベリｰツルギ, 22,田中博, 2.0, 29,  -5, -32, 6, 56.2, ⑥⑥, 6, 9,Ｄカンタベリｰリュウ, 60,丹内祐, 1.4, 54,   6, -14, 8, 49.9,④③④, 6, 9,Ｅオンワｰドセジｰル, 68,丸山元, 0.4, 62,  -7,   4, 5, 10.6, ⑦⑧, 6, 1,Ｆグリｰンラヴ, 78,吉田隼, 1.3, 70,   5,  -1, 5,  7.7,⑩⑪⑪
,,,,,,,,,,,, 7, 6,Ｆイクラン, 53,田中博, 2.0, 51,  -2,* -4,11,223.5,⑩⑨⑨, 7, 7,Ｋギルドマスタｰ, 58,川須栄, 0.5, 61, -13,*  8,12,179.1, ⑩⑨, 7,12,Ｇルロワ, 76,柴山雄, 1.3, 70,* 11, -12,10, 40.1,⑥⑤⑤
,,,,,,,,,,,, 8, 4,Ｉマイネルハイネス, 49,菱田裕, 2.0, 50,   5, -16, 4, 15.2,⑦⑦⑦, 8, 3,Ａバトルドミンゴ, 76,津村明, 0.6, 61,*  3,  -5, 2,  3.7, ①①, 8,11,Ｌミリオンフレッシュ, 65,松田大, 1.4, 71,   3,*  4,11, 63.1,⑫⑫⑫
