13年 4月14日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 4月14日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 4R  ダ1150m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 7R  ダ1150m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-8,,,,,■10R  芝1200m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,雪うさぎ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｆカミｰリア, 55,藤岡康,, 64,   6,*  0, 5,  9.4,③⑤②, 1, 2,Ｅタイセイスウィｰプ, 52,今野忠,, 64,* -8,*  9, 2,  4.8, ①①, 1, 4,Ｉジャストフレンズ, 60,中谷雄,, 63,  -9,  10,15,167.9, ⑤④, 1,12,Ｈワンダフルジュエル, 58,大野拓,, 66, -20,* 14,12, 41.7, ⑮⑭
 2, 1,Ｈレオソルシエｰル, 53,丸山元, 0.3, 63,   5,*  0,10, 27.0,⑤⑦④, 2, 8,Ａヤマニンブルジョン, 70,田中健, 0.8, 57,* -9,   3, 1,  1.7, ④②, 2, 1,Ｎカシノデュｰク, 41,西田雄, 0.0, 61, -13,* 12,10, 46.9, ⑨⑥, 2, 2,Ｂヴァレンティｰネ, 66,西田雄, 0.0, 62,* -4,  -1, 3,  5.7, ①①
 3, 8,Ａティアップサニｰ, 62,黛弘人, 0.3, 63,*  7,  -5, 3,  7.1,①①①, 3,12,Ｆアヴェンタドｰル, 50,中井裕, 1.2, 53, -15,   3, 6, 20.6, ⑦⑦, 3, 3,Ｄドキドキガｰル, 67,杉原誠, 0.0, 62,* -7,   6, 8, 26.4, ①①, 3,10,Ｄベラベラ, 63,嘉藤貴, 0.1, 62,  -9,   3, 5,  9.9, ⑦⑦
 4, 4,Ｊビｰインラプチャｰ, 53,丸田恭, 0.8, 59,   2,*  2, 7, 12.6,⑫⑬⑬, 4, 1,Ｇエアサラディン, 49,丸山元, 1.2, 52, -16,   5, 5, 16.2, ⑩⑧, 4,14,Ｈタイセイクインス, 62,古川吉, 0.1, 62,  -9,   8, 7, 24.1, ④⑤, 4, 5,Ｆレディｰ, 61,吉田隼, 0.2, 62, -16,*  8, 8, 19.2, ⑬⑬
 5, 7,Ｄアルマネアン, 59,津村明, 0.9, 59,   6,  -7, 4,  8.3,⑥⑥⑥, 5, 3,Ｊヒアルロンサン, 42,嘉藤貴, 1.4, 51, -20,*  8,10,125.3, ⑪⑩, 5,12,Ｅエルウェｰオｰジャ, 67,藤岡康, 0.3, 59, -13,   9, 4,  7.7, ⑪⑫, 5,13,Ｊグレカｰレ, 56,嶋田純, 0.2, 61,* -4,  -4,13, 46.5, ②②
 6,13,Ｅダイアゴナルクロス, 55,今野忠, 1.0, 58,   2,  -2, 8, 21.3,⑬⑫⑧, 6,14,Ｃベルモントラヴ, 58,大野拓, 1.6, 49, -11,  -3, 7, 25.4, ⑤③, 6, 5,Ａアグネスピンキｰ, 79,丸田恭, 0.4, 58,* -7,   4, 3,  4.8, ②②, 6,14,Ｋハクサンレガシｰ, 55,西村太, 0.3, 59, -12,   3,11, 36.9, ⑪⑩
 7, 9,Ｏナデシコウｰマン, 44,田中博, 1.5, 56,   3,  -7,15,152.4,⑧⑩⑨, 7, 9,Ｈテヅルモヅル, 47,柴山雄, 1.6, 49, -10,  -3, 9, 36.2, ③④, 7, 7,Ｃロイヤルサルｰト, 68,平野優, 0.4, 58, -13,   8, 5,  8.1, ⑩⑩, 7, 3,Ｇドラゴンサクラ, 60,杉原誠, 0.3, 61, -13,   4, 1,  4.1, ⑫⑪
 8,14,Ｂフィｰルザロマンス, 61,杉原誠, 2.1, 51,*  6, -18, 1,  2.9,④③③, 8, 4, エクセレンテ,---,岩部純, 1.9, 46, -30,* 11,13,268.6, ⑭⑭, 8, 2,Ｆリアリｰサムシング, 66,鮫島良, 0.4, 58, -15,* 10, 6, 12.3, ⑬⑭, 8, 7,Ｅカシノワルツ, 63,二本柳, 0.4, 58,  -8,  -2, 6, 10.8, ⑥⑥
