13年12月 1日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年12月 1日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝2880m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1200m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1200m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,市川ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ａモリトビャクミ, 69,吉田豊,, 65,*  6,* -4, 1,  1.4, ①①, 1,10, レッドグルｰヴァｰ,,高田潤,,,,, 1,  1.9,②②②, 1,10,Ｊキタサンシンゲキ, 53,武士沢,, 65,   4,   1, 5, 12.3, ⑨⑨, 1,12,Ｃツインクルスタｰ, 79,江田照,, 79,* 14,   2, 3,  5.0, ②②
 2, 6,Ｄカウンタｰハッセキ, 54,江田照, 0.3, 62,   4,* -3, 7, 26.7, ④③, 2, 2, ドリｰムセｰリング,,石神深,195.1,,,, 2,  2.8,①①①, 2, 1,Ｃサノイチ, 66,田辺裕, 0.1, 62,   3,   1, 1,  3.5, ⑦⑥, 2, 1,Ｅセイコｰライコウ, 77,柴田善, 0.0, 79,  -1,* 16, 1,  2.6, ⑫⑬
 3,11,Ｈギンザデスポット, 47,松岡正, 0.5, 60,*  4,  -6, 4, 13.9, ③④, 3, 3, スズカホｰプ,,高野和,197.2,,,, 6, 30.9,⑧⑥④, 3, 5,Ｂロマンシｰズ, 69,柴田善, 0.1, 61,   1,*  2, 7, 17.0, ⑫⑫, 3,10,Ｍジャｰエスペランサ, 71,三浦皇, 0.1, 78,   2,  13,11,114.1, ⑩⑨
 4, 8,Ｆコスモクラヴィス, 51,柴田大, 0.6, 59,*  4,  -7, 6, 20.3, ②②, 4, 9, ネフライト,,山本康,198.1,,,,10, 47.6,⑦⑤⑥, 4, 4,Ａプリサイスエｰス, 70,江田照, 0.2, 60,   1,*  1, 2,  4.8, ⑩⑩, 4, 4,Ｂコウヨウアレス, 81,北村宏, 0.1, 77,* 13,   2, 2,  3.7, ③③
 5,14,Ｃバイタルワンダｰ, 59,柴田善, 0.8, 55,   2,  -6, 3, 13.9, ⑦⑤, 5,12, キｰプトライン,,江田勇,198.3,,,,11, 47.8,③④⑤, 5, 9,Ｆペガサスジュニア, 60,吉田豊, 0.5, 60,   6,  -5, 4,  4.9, ⑥⑦, 5, 2,Ｇハングリｰジャック, 77,蛯名正, 0.1, 77,  10,   5, 7, 31.6, ⑥⑤
 6,15,Ｅダイメイリシャｰル, 54,北村宏, 0.9, 55,   2,  -8, 5, 16.9, ⑧⑥, 6, 8, テンジンキヨモリ,,草野太,198.3,,,, 9, 40.1,⑩⑦⑦, 6, 6,Ｅウエスタンメルシｰ, 60,田中勝, 0.5, 61,*  9,  -8, 8, 18.7, ①①, 6, 5,Ｄブルｰムｰンピサ, 78,横山典, 0.3, 74,  -3,* 15,10, 56.2, ⑬⑫
 7, 2,Ｌシゲルシモウサ, 40,宮崎北, 1.4, 50,  -1,  -9,15,439.3, ⑨⑩, 7,13, トップエトワｰル,,林満明,199.0,,,,13,118.4,⑥⑩⑩, 7, 3,Ｋディアゴッホ, 52,松岡正, 0.7, 58,   6,  -7,11, 46.5, ⑤⑤, 7, 8,Ａシｰブリｰズライフ, 84,田中勝, 0.3, 75,   7,   5, 5, 10.3, ⑦⑧
 8,10,Ｂフジマサレジェンド, 60,田中勝, 1.6, 47,  -1, -12, 2,  5.7, ⑩⑧, 8, 1, ショウナンワヒネ,,難波剛,199.1,,,, 4, 16.9,⑨⑨⑨, 8, 2,Ｇクインズセブン, 59,北村宏, 0.7, 57,   6,  -7, 9, 29.5, ④④, 8, 3,Ｏエスカｰダ, 71,田中博, 0.5, 72,   2,   7,15,240.2, ⑨⑩
 9, 9,Ｇメテオｰロ, 49,的場勇, 1.6, 50,   2, -13, 8, 32.1, ⑥⑦, 9, 7, ヤラマイカ,,五十嵐,199.8,,,, 3, 13.4,④③③, 9,12,Ｈウイングラビティ, 58,和田竜, 0.7, 57,   2,  -3,12, 53.7, ⑪⑪, 9, 9,Ｆサトノヒｰロｰ, 77,柴山雄, 0.5, 71,   9,   1, 4,  7.9, ⑧⑦
10, 3,Ｉドリｰムアスリｰト, 44,原田和, 1.7, 46,  -5,  -8,10,156.0, ⑬⑬,10, 5, イオンドライブ,,金子光,199.8,,,, 5, 20.4,⑪⑪⑪,10, 8,Ｄアｰネストミノル, 62,三浦皇, 0.8, 57,   5,  -6, 3,  4.9, ⑧⑧,10,16,Ｉラフレｰズカフェ, 74,石橋脩, 0.6, 71,  -6,* 14, 8, 36.8, ⑮⑮
11,16,Ｊウソブキアリク, 40,柴山雄, 1.8, 50,   4, -16, 9, 85.1, ⑤⑨,11, 6, ジョウノメジャｰ,,平沢健,200.5,,,, 7, 31.3,⑤⑧⑧,11,11,Ｉフレンチフェロｰ, 54,木幡初, 1.8, 51,*  8, -18,10, 38.3, ③③,11, 6,Ｊヤマニングルノイユ, 73,武士沢, 0.7, 70,* 17, -10,14,189.2, ①①
