13年 3月17日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 3月17日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  ダ1800m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  ダ1800m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,下総ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
13,14,Ｍオンワｰドハｰバｰ, 40,山崎亮, 1.8, 42,  -9,  -6,14,408.1, ⑬⑭,13, 1, エクスクルｰシヴ,---,吉田豊, 8.1, 22,  -6, -47,12, 77.1,⑬⑬⑫,,,,,,,,,,,,,13,14,Ｌサミットストｰン, 82,柴田善, 1.9, 71,* 12,   2,11, 39.0,④④⑥
14,15,Ｅドラゴンレインボｰ, 56,三浦皇, 2.2, 38,   0, -18, 6, 15.3, ⑥④,14, 8, グロｰネンダｰル,---,石橋脩, 8.7, 20,  -7, -50,11, 66.7,⑥⑭⑯,,,,,,,,,,,,,14, 8,Ｊレックスパレｰド, 83,石橋脩, 3.2, 64,  10,  -5, 6, 19.4,⑤⑩⑪
15, 6,Ｋグラマラスグロウ, 47,横山典, 2.3, 36,  -1, -19, 2,  8.0, ⑤⑩,15,14, ボｰルドミック,---,柴田大, 8.9, 19, -10, -45,16,405.2,⑯⑮⑮,,,,,,,,,,,,,15, 4,Ｍタツパｰシヴ, 81,柴田大, 3.3, 64,   9,  -5,15, 97.2,⑪⑪⑫
16, 7,Ｐエムズフォルテ, 22,中谷雄, 3.0, 31, -14, -12,16,603.2, ⑮⑯,16, 2, フクノアダｰラ,---,嘉藤貴,10.9, -3,  -4, -71,15,260.3,④⑪⑬,,,,,,,,,,,,,16,10,Ｇサクラブライアンス, 85,三浦皇, 3.7, 60,* 13, -15,12, 40.7,①②⑤
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:1),,,,,,,,,,,
"単勝:1,260円 複勝:09=450円 16=360円 13=2,280円 枠連:360円",,,,,,,,,,,,単勝:290円 複勝:16=140円 15=160円 09=150円 枠連:750円,,,,,,,,,,,,"単勝:1,110円 複勝:05=230円 06=160円 03=300円 枠連:1,980円",,,,,,,,,,,,単勝:620円 複勝:06=200円 07=130円 16=690円 枠連:340円,,,,,,,,,,,
"馬連:3,930円 ワイド:09-16=1,010円 09-13=11,440円 13-16=5,020円",,,,,,,,,,,,馬連:790円 ワイド:15-16=280円 09-16=320円 09-15=420円,,,,,,,,,,,,"馬連:1,910円 ワイド:05-06=500円 03-05=1,320円 03-06=700円",,,,,,,,,,,,"馬連:780円 ワイド:06-07=310円 06-16=2,350円 07-16=1,280円",,,,,,,,,,,
"馬単:9,850円 3連複:109,540円 3連単:372,900円",,,,,,,,,,,,"馬単:1,350円 3連複:1,120円 3連単:4,550円",,,,,,,,,,,,"馬単:4,780円 3連複:6,530円 3連単:40,760円",,,,,,,,,,,,"馬単:1,970円 3連複:6,210円 3連単:31,390円",,,,,,,,,,,
