13年 8月24日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 8月24日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1600m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝2850m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  ダ1200m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,苗場特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,17,Ｃレヴアップスピン, 51,蛯名正,, 58,   1,*-11, 1,  2.6, ⑨⑪, 1, 5, ワンダｰエレメント,,植野貴,,,,, 7, 25.3,①①①, 1,14,Ｊシャドウウィザｰド, 55,戸崎圭,, 67,  -1,* 14, 5,  9.9, ⑮⑯, 1,13,Ｄインディｰズゲｰム, 80,田中勝,, 78,  -1,* 16, 2,  5.7, ⑦⑦
 2,16,Ａハッピｰベリンダ, 57,横山典, 0.1, 55,   0,* -8, 2,  4.0, ⑬⑬, 2, 3, ショウナンガｰデン,,金子光,189.1,,,, 3,  3.9,③④⑤, 2,12,Ｋドリｰムリヴァｰル, 54,大庭和, 0.2, 65,   0,*  9, 8, 16.7, ⑯⑭, 2, 7,Ｅランドシャｰク, 80,石橋脩, 0.3, 75,   2,  11, 5, 14.1, ④④
 3, 4,Ｅコスモラパン, 50,柴田大, 0.1, 58,*  6, -18, 3,  9.1, ⑤③, 3,13, マイネルロブスト,,五十嵐,189.2,,,, 2,  3.8,⑤③②, 3, 4,Ｈオベロン, 56,蛯名正, 0.5, 60,*  6,  -6, 1,  4.0, ④④, 3, 3,Ｂノベンバｰペガサス, 82,松岡正, 0.3, 75,   1,  11, 6, 14.9, ⑤⑤
 4, 9,Ｊツクバビュｰティ, 44,戸崎圭, 0.5, 50,   1, -19, 9, 27.5, ⑪⑨, 4, 7, パリスブルｰ,,草野太,189.6,,,, 9, 35.0,⑦⑥④, 4,11,Ｇデルマコナキジジ, 58,武士沢, 0.6, 58,*  8, -14, 9, 18.5, ①①, 4,10,Ｉマジッククレスト, 77,嶋田純, 0.4, 74,  -4,* 15,11, 39.2, ⑩⑩
 5, 6,Ｄスマイルシャワｰ, 51,木幡初, 0.6, 50,*  4, -23, 6, 13.2, ⑥⑦, 5,11, ゴｰカイフォンテン,,横山義,189.7,,,, 4,  5.3,④⑤⑥, 5, 1,Ｂマイネジュリエッタ, 65,松岡正, 0.7, 58,*  6,  -9, 3,  6.8, ③③, 5,14,Ｊラインオブナイト, 77,蛯名正, 0.6, 72,  -3,  12,15,135.3, ⑧⑧
 6, 3,Ｇロイヤルグラッセ, 48,江田照, 0.6, 49,*  7, -29,11, 54.6, ①①, 6, 1, ビッグプレゼンタｰ,,原田和,190.1,,,,11, 61.5,⑥⑨⑨, 6,10,Ｃサトノピアｰ, 63,木幡初, 0.8, 57,   0,  -1, 6, 10.2, ⑪⑩, 6, 8,Ｋビナスイｰト, 77,戸崎圭, 0.6, 73,*  4,   6, 4,  8.2, ②②
 7, 1,Ｂウインオリアｰト, 52,石橋脩, 0.8, 48,*  4, -27, 7, 13.4, ⑦⑤, 7,12, リアルクラシック,,石神深,190.4,,,,10, 46.7,⑨⑦⑦, 7, 5,Ｆトｰセンゴｰジャス, 58,北村宏, 0.8, 58,   0,   1, 4,  7.9, ⑱⑮, 7, 6,Ａミリアグラシア, 82,柴田大, 0.8, 70,  -1,   9, 1,  2.6, ⑥⑥
 8,13,Ｌスロｰライフ, 40,柴田善, 0.9, 46,   1, -23,10, 32.1, ⑮⑫, 8, 2, セイカミカワ,,大江原,190.5,,,,12,124.3,⑬⑧⑧, 8, 3,Ｍポｰトドラルｰン, 51,石橋脩, 0.9, 56,   3,  -8,13, 58.4, ⑦⑥, 8,12,Ｇランドクイｰン, 78,木幡初, 0.8, 71,   2,   6, 7, 16.4, ③③
