13年 1月27日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 1月27日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 4R  ダ1400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 7R  ダ1400m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝2000m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,西尾特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ａダイナミックウオｰ, 72,高倉稜,, 64,*  8,*  2, 1,  1.3,①①①, 1, 7,Ｂキングズウェザｰ, 63,中舘英,, 64,   4,*  1, 1,  3.6, ④④, 1,13,Ｂカネトシリｰプイン, 72,川須栄,, 73,*  8,   3, 2,  4.3, ②②, 1,12,Ｏクイｰンキセキ, 64,松田大,, 81,  -3,  16,13, 44.4,⑤⑤⑥
 2, 3,Ｍレッドサクセサｰ, 33,川須栄, 1.3, 58,   5,  -5, 4, 12.7,⑤④④, 2,11,Ｄサンライズネオ, 57,丸田恭, 0.0, 62,  -2,*  9, 3,  5.5, ⑩⑦, 2, 1,Ｋイｰスタｰパレｰド, 67,荻野琢, 0.6, 67,  -3,* 11, 4, 10.7, ⑭⑭, 2,14,Ｍプリュムロｰズ, 66,古川吉, 0.0, 80,  -3,  17,17,114.7,⑦⑦⑨
 3,11,Ｇソヴラｰノ, 51,丸山元, 1.9, 54,   0,*  0, 5, 24.8,⑩⑪⑨, 3, 4,Ａトミケンプレミオ, 63,宮崎北, 0.3, 62,*  7,  -5, 4,  7.8, ①①, 3,14,Ｅリズミックビｰト, 69,中井裕, 0.6, 69,   4,   2, 3,  4.5, ⑧⑨, 3, 6,Ｌスリｰアフロディテ, 67,荻野琢, 0.0, 76,*  0,  10, 3,  6.4,②②②
 4,14,Ｂオｰスミアイビス, 56,藤懸貴, 2.2, 52,   3,  -7, 2,  7.0,⑧⑦⑧, 4,16,Ｅタイムアラウド, 56,藤懸貴, 0.4, 61,   3,  -1, 2,  5.4, ⑥⑤, 4,10,Ｃリアリｰサムシング, 70,鮫島良, 0.8, 66,   0,*  6,12, 41.7, ⑫⑬, 4,15,Ｄトｰセンオｰラ, 72,勝浦正, 0.0, 83,  -6,* 22, 4,  7.0,⑪⑩⑩
 5, 1,Ｐアフリｰトイモン, 15,水口優, 2.3, 49,   4, -10,12,111.5,⑦⑥⑥, 5,13,Ｃドラグレスク, 61,古川吉, 0.9, 58,*  5,  -9, 6,  9.2, ②②, 5, 8,Ａシゲルハンベイ, 72,高倉稜, 0.9, 64,   2,   2, 8, 21.0, ⑨⑩, 5, 4,Ｐハギノウィッシュ, 63,上村洋, 0.2, 77,  -3,  13, 8, 14.7,⑥⑥⑤
 6, 2,Ｅケツァルコアトル, 53,黛弘人, 2.6, 49,   5, -15,10, 86.4,③⑤⑤, 6, 9,Ｈサトノユニコｰン, 48,川須栄, 1.7, 51,   1,  -9, 5,  8.1, ⑦⑨, 6,11,Ｉナイスヘイロｰ, 67,松田大, 0.9, 64,*  6,  -3, 9, 23.8, ③③, 6, 5,Ｃサイレントクロップ, 73,高倉稜, 0.2, 73,*  1,   5,11, 37.5,①①①
 7, 8,Ｋトｰセンカラヤン, 39,西田雄, 2.6, 50,  -1,* -2,16,428.5,⑬⑬⑩, 7,10,Ｆヒキャクノアシ, 55,丸山元, 1.7, 49,  -5,  -2, 8, 16.8, ⑭⑬, 7,12,Ｄレチタティｰヴォ, 70,丸田恭, 1.2, 63,  -3,*  8,11, 34.0, ⑮⑮, 7,13,Ｆリングネブラ, 71,丸田恭, 0.3, 76,  -4,  15, 2,  6.1,⑨⑨⑧
 8,10,Ｆレニンフェア, 52,菱田裕, 2.9, 49,*  6, -20, 3, 11.2,②②②, 8,12,Ｎコウエイレディｰ, 40,菱田裕, 1.9, 50,  -1,  -9,12, 79.6, ⑨⑩, 8, 5,Ｈラブトゥオｰル, 68,菱田裕, 1.3, 64,   2,   0, 1,  3.6, ⑩⑧, 8, 1,Ｅマイネクイｰン, 72,中井裕, 0.3, 75,* -1,   9, 9, 16.5,④④③
