13年10月19日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年10月19日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  芝1600m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  ダ1400m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,神無月ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 2, 6,Ａロイヤルグラッセ, 48,蛯名正, 0.2, 48,  -8,* -2, 1,  3.2, ⑩⑩, 2, 1,Ｃイルポスティｰノ, 73,田辺裕, 0.2, 71,  -1,* 20, 6, 10.2,③③④, 2, 5,Ｃウインフェニックス, 67,石橋脩, 0.2, 76,  -9,* 12, 5, 13.4,⑦⑦⑧, 2, 1,Ｈプラントハンタｰ, 74,内田博, 0.1, 81,*  8,  13, 9, 30.5, ①①
 3, 3,Ｅブランシェトワｰル, 43,大野拓, 0.2, 49,  -3,  -8, 6, 14.4, ③④, 3, 2,Ｊケイジｰタイタン, 60,岩部純, 0.3, 70,* -1,  16, 9, 52.9,①①①, 3, 4,Ｂクラリティシチｰ, 71,田中勝, 0.2, 75,  -9,* 12, 2,  4.3,⑧⑧⑥, 3,13,Ｂビッグリバティ, 81,戸崎圭, 0.3, 80,   6,* 15, 2,  4.6, ④③
 4,11,Ｋステキナカレン, 37,三浦皇, 0.2, 51,* -1,  -9, 2,  4.9, ⑤⑤, 4,10,Ｂフィｰユブルｰ, 76,三浦皇, 0.4, 70,*  0,  17, 2,  3.8,②②②, 4,10,Ｆサトノフェラｰリ, 62,北村宏, 0.3, 75, -12,* 15, 1,  2.4,⑨⑨⑩, 4, 7,Ｆヤマチョウフェア, 77,津村明, 0.6, 80,   3,* 16, 8, 27.2, ⑨⑧
 5, 5,Ｃジョウノリボン, 46,田辺裕, 0.4, 49,  -9,*  1,10, 33.9, ⑫⑬, 5, 9,Ｄフレンドワン, 71,田中勝, 1.3, 65,  -3,  15, 5,  9.3,⑨⑨⑨, 5, 7,Ｇハイアｰレｰト, 60,吉田豊, 0.5, 69,* -6,   1, 4, 11.2,②③③, 5, 4,Ａドリｰムザネクスト, 81,江田照, 0.9, 77,   4,  12, 5,  9.0, ⑥⑤
 6,14,Ｄフレンドスイｰト, 45,田中勝, 0.6, 44, -11,* -3, 7, 20.2, ⑮⑮, 6, 7,Ｇデルマカマイタチ, 64,大野拓, 1.3, 64,  -1,  11, 8, 32.7,⑤⑤⑤, 6, 1,Ｄマイネルメリエンダ, 62,柴田大, 0.5, 69,* -5,  -1, 6, 14.5,①①①, 6, 9,Ｋワイルドドラゴン, 71,蛯名正, 0.9, 75,   5,  11, 7,  9.8, ⑦⑥
 7, 4,Ｂカンタベリｰツルギ, 48,田中博, 0.6, 45, -10,* -3, 5,  7.8, ⑭⑭, 7, 3,Ｆウェルウィッチア, 67,江田照, 1.4, 65,  -2,  12,10,100.3,⑦⑦⑦, 7, 9,Ｋラグタイム, 50,戸崎圭, 0.7, 70, -11,   9, 9, 52.4,⑩⑩⑨, 7, 5,Ｇスズカヴィグラス, 75,田辺裕, 1.0, 75,   2,  14, 4,  6.8, ⑩⑪
 8,10,Ｍカシノワンダラｰ, 35,二本柳, 0.6, 44,  -9,  -6,13,121.1, ⑬⑫, 8, 8,Ｉフュｰジリア, 63,横山典, 1.4, 65,  -4,  16, 4,  6.9,⑩⑩⑩, 8,12,Ｌコスモスパｰクル, 50,リスポ, 1.5, 54,* -6, -14,12,138.7,③②②, 8, 8,Ｄモリトリュウコ, 78,リスポ, 1.4, 73,   2,  11, 3,  6.0, ⑪⑩
 9, 7,Ｊコスモリュブリュｰ, 37,柴田大, 0.6, 45,* -1, -18, 9, 30.2, ①①, 9, 5,Ａトウショウカムイ, 77,石橋脩, 1.6, 61,*  0,   7, 3,  4.6,④④③, 9, 3,Ｅオイダシダイコ, 62,荻野琢, 1.6, 56,  -9,  -8,11, 93.5,⑥⑥⑦, 9, 6,Ｃミッキｰナチュラル, 80,横山典, 1.5, 69,   6,   3, 6,  9.7, ③④
10, 1,Ｇプリュヴィオｰズ, 41,嘉藤貴, 0.6, 44,  -6, -10, 8, 30.1, ⑥⑦,10, 4,Ｈフォンテｰヌブロｰ, 64,戸崎圭, 1.8, 62,  -2,  10, 7, 15.8,⑧⑧⑧,10, 6,Ｈライアンセンス, 51,横山典, 1.8, 55, -13,  -3, 7, 15.9,⑫⑫⑫,10,10,Ｊディアフロイデ, 72,メンデ, 1.8, 71,   4,   7,11, 59.9, ⑧⑨
11,15,Ｌウラノスガッキ, 35,内田博, 0.6, 44,  -6, -11, 4,  5.9, ⑧⑥,,,,,,,,,,,,,11, 8,Ｊニシノハイツリｰ, 51,内田博, 2.3, 47,  -7, -22, 8, 33.5,④⑤⑤,11, 2,Ｍモズブラックアイ, 64,松岡正, 3.1, 61,  -5,   7,12,117.0, ⑬⑬
12, 2,Ｉスパゲッティｰ, 37,武士沢, 0.8, 43,  -2, -16,14,169.0, ④③,,,,,,,,,,,,,12,11,Ｉファｰストオｰサｰ, 51,メンデ, 3.8, 31, -13, -33,10, 62.7,⑪⑪⑪,12, 3,Ｌアイノレグルス, 68,山崎亮, 3.2, 59,   3,  -7,13,190.1, ⑤⑦
13, 9,Ｈカリカリクン, 39,江田照, 1.1, 38,  -7, -15,11, 41.5, ⑪⑨,,,,,,,,,,,,,,,,,,,,,,,,,13,11,Ｉカグニザント, 73,三浦皇, 3.3, 59,   1,  -4,10, 36.8, ⑫⑫
14,12,Ｏデルマラムチャン, 16,リスポ, 1.6, 34,  -9, -18,12, 83.2, ⑨⑪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15, 8,Ｎイスズヒメ, 28,山崎亮, 2.4, 24,  -6, -33,15,269.2, ⑦⑧,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:66 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:1),,,,,,,,,,,
単勝:580円 複勝:13=210円 06=170円 03=310円 枠連:630円,,,,,,,,,,,,"単勝:330円 複勝:06=200円 01=270円 02=1,050円 枠連:1,820円",,,,,,,,,,,,"単勝:440円 複勝:02=170円 05=280円 04=190円 枠連:1,380円",,,,,,,,,,,,"単勝:350円 複勝:12=160円 01=510円 13=170円 枠連:2,310円",,,,,,,,,,,
馬連:720円 ワイド:06-13=310円 03-13=800円 03-06=700円,,,,,,,,,,,,"馬連:1,520円 ワイド:01-06=500円 02-06=2,860円 01-02=4,960円",,,,,,,,,,,,"馬連:2,090円 ワイド:02-05=600円 02-04=400円 04-05=760円",,,,,,,,,,,,"馬連:5,240円 ワイド:01-12=1,640円 12-13=320円 01-13=1,530円",,,,,,,,,,,
"馬単:1,760円 3連複:2,400円 3連単:9,870円",,,,,,,,,,,,"馬単:2,410円 3連複:27,310円 3連単:83,990円",,,,,,,,,,,,"馬単:3,480円 3連複:2,920円 3連単:18,280円",,,,,,,,,,,,"馬単:7,030円 3連複:5,440円 3連単:35,230円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
