13年 8月11日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 8月11日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 7R  ダ1200m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  ダ1800m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,瀬波温泉特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｆコスモドｰム, 47,松岡正,, 45,  -7,*  0, 2,  3.7, ⑨⑨, 1, 2,Ｄメロディフェア, 60,柴田善,, 60,*  0,  -9, 4,  8.5,②③④, 1,10,Ｋランドクイｰン, 65,吉田豊,, 72,*  4,   9, 6, 13.3, ①①, 1,13,Ｄセイカフォルトゥナ, 84,伊藤工,, 80,*  8,* 15, 3,  5.7,②②②
 2, 6,Ｉウインネオルｰラｰ, 37,柴田大, 0.0, 47,  -3,  -4, 4,  8.3, ⑧⑧, 2, 5,Ｉミシシッピデルタ, 59,戸崎圭, 0.1, 60,  -3,* -2, 6, 15.8,⑯⑭⑪, 2, 9,Ｎドリｰミングラヴ, 62,木幡初, 0.4, 70,*  4,   7,11, 51.3, ③③, 2,10,Ｃタナトス, 85,柴田善, 0.0, 80,*  8,* 16, 5, 10.4,⑥④③
 3, 7,Ａマンハッタンヘンジ, 55,石橋脩, 0.1, 49,*  6, -15, 3,  6.2, ①①, 3, 3,Ｆミッキｰタイム, 60,内田博, 0.2, 59,  -4,  -7, 3,  5.4,⑥⑦⑨, 3, 3,Ｆミラクルピッチ, 71,杉原誠, 0.5, 68,*  3,   7, 7, 17.0, ④④, 3, 4,Ｂシルクエステｰト, 85,戸崎圭, 0.6, 77,   7,  12, 4,  7.5,⑪⑤⑥
 4,13,Ｄアロｰズグリｰム, 47,田中勝, 0.1, 47,*  4, -12, 1,  3.0, ③③, 4,10,Ｌマンボジャンボ, 57,田辺裕, 0.3, 56,*  1, -15,11, 35.7,⑪⑤③, 4,13,Ｉデリケｰトアｰチ, 69,高倉稜, 0.5, 67,   0,  10,15, 76.9, ⑧⑧, 4, 6,Ｆミッキｰオｰラ, 81,松山弘, 0.7, 75,   7,  11, 2,  4.8,④③⑤
 5,14,Ｃトップアドバンス, 50,吉田豊, 0.1, 46,   0,  -8, 7, 13.4, ⑦⑥, 5, 4,Ｅポンデザムｰル, 60,松岡正, 0.3, 60,  -5,* -3,10, 29.3,⑮⑮⑮, 5,11,Ｃマイネエレｰナ, 72,柴田大, 0.6, 67,  -2,* 11, 4,  8.0, ⑫⑫, 5,11,Ｉメイショウサリマン, 79,福永祐, 0.7, 78,   3,* 17,10, 35.8,⑫⑪⑩
 6,12,Ｂコアクマ, 50,嶋田純, 0.5, 39,  -6,  -6, 5,  9.0, ⑩⑩, 6, 1,Ｊレアパルファム, 59,江田照, 0.4, 58,  -8,*  0, 8, 17.8,⑭⑰⑰, 6, 2,Ｈデルマネコムスメ, 70,内田博, 0.7, 66,  -4,* 11, 1,  3.3, ⑬⑭, 6, 5,Ａタイセイスティング, 87,田中勝, 1.0, 74,   5,  12, 1,  3.1,⑤⑨⑨
 7,10,Ｅエｰスワン, 47,江田照, 0.6, 41,*  5, -20, 6, 11.9, ②②, 7,18,Ｂマイネルゼｰタ, 65,蛯名正, 0.4, 57,  -3,  -9, 1,  3.3,⑩⑩⑧, 7, 5,Ｂピオニエトウショウ, 73,蛯名正, 0.8, 66,   0,   7, 3,  4.7, ⑤⑤, 7, 1,Ｅカントリｰスノｰ, 83,嶋田純, 1.1, 72,   7,   8, 6, 15.4,③⑥④
 8, 4,Ｍフクノトリ, 17,宮崎北, 0.8, 38, -26,*  9,11,107.8, ⑫⑫, 8, 6,Ａコｰラルタワｰ, 65,福永祐, 0.5, 58,  -3,  -8, 9, 18.1,⑨⑪⑫, 8, 8,Ｏアイネクライネ, 59,江田照, 1.1, 62,*  3,   1,14, 70.5, ②②, 8,12,Ｎワンダｰスキｰ, 74,北村宏, 1.6, 68,*  8,   1,12, 47.5,①①①
