13年10月13日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年10月13日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  ダ1300m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝1400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,神奈川新聞杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12, 9,Ｇホトトヤエ, 45,吉田隼, 1.4, 36, -14,  -6, 6, 14.8, ⑨⑪,,,,,,,,,,,,,12, 3,Ｈトクラットリバｰ, 68,北村宏, 0.9, 69,  -2,   0, 9, 28.0, ⑦⑦,,,,,,,,,,,,
13, 2,Ｎペロペロ, 30,丸田恭, 1.5, 35, -12,  -8,15,161.8, ⑥⑦,,,,,,,,,,,,,13, 8,Ｐマイネルパントル, 56,丹内祐, 0.9, 68,*  3,  -7,15,165.1, ②②,,,,,,,,,,,,
14, 8,Ｅスパイスフェアリｰ, 48,大野拓, 2.0, 32, -12, -15, 7, 18.4, ③④,,,,,,,,,,,,,14,10,Ｋキャメロンロｰド, 66,丸田恭, 1.0, 72, -10,* 10,10, 32.4, ⑯⑯,,,,,,,,,,,,
15, 1, ベストコレクション,---,石橋脩, 2.1, 32, -16,  -9, 8, 19.6, ⑬⑭,,,,,,,,,,,,,15,14,Ｎスマイルゲｰト, 61,原田和, 1.5, 63,  -3,  -6,16,443.9, ⑨⑫,,,,,,,,,,,,
16,12,Ｉシゲルウゼン, 41,嘉藤貴, 4.5, 12, -11, -36,14,112.3, ⑦⑥,,,,,,,,,,,,,16,12,Ｏテイエムジョニクロ, 60,松岡正, 1.6, 58,*  3, -16,14,154.8, ③③,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-13 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-16 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:2),,,,,,,,,,,
"単勝:910円 複勝:06=260円 11=190円 03=130円 枠連:3,260円",,,,,,,,,,,,"単勝:820円 複勝:10=220円 04=370円 05=1,520円 枠連:1,380円",,,,,,,,,,,,"単勝:1,470円 複勝:01=270円 02=150円 05=120円 枠連:2,700円",,,,,,,,,,,,"単勝:280円 複勝:03=150円 04=240円 09=680円 枠連:1,210円",,,,,,,,,,,
"馬連:3,080円 ワイド:06-11=880円 03-06=670円 03-11=360円",,,,,,,,,,,,"馬連:4,720円 ワイド:04-10=1,420円 05-10=6,110円 04-05=6,800円",,,,,,,,,,,,"馬連:2,570円 ワイド:01-02=840円 01-05=570円 02-05=260円",,,,,,,,,,,,"馬連:1,120円 ワイド:03-04=470円 03-09=1,460円 04-09=2,570円",,,,,,,,,,,
"馬単:6,210円 3連複:3,020円 3連単:25,870円",,,,,,,,,,,,"馬単:8,830円 3連複:99,470円 3連単:391,330円",,,,,,,,,,,,"馬単:5,690円 3連複:2,040円 3連単:20,630円",,,,,,,,,,,,"馬単:1,810円 3連複:7,270円 3連単:27,700円",,,,,,,,,,,
■ 2R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-12,,,,,■ 5R  芝1400m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 8R  ダ2100m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■11R  芝2000m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,ｱｲﾙﾗﾝﾄﾞﾄﾛﾌｨｰ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｂサクラエフォｰト, 51,田辺裕,, 61, -13,* 11, 2,  4.9, ⑤⑤, 1, 5, ダイワソフィｰ,---,丸田恭,, 73,   8,  -3, 3,  5.9, ⑥④, 1, 3,Ｂアルジェンタム, 79,蛯名正,, 81,   1,* 20, 2,  3.5,⑨⑩⑩, 1, 4,Ｄレインスティック, 84,武士沢,, 96,  -1,* 30, 6, 16.5,⑨⑨⑨
 2, 8,Ａマイネルグリプス, 56,松岡正, 0.7, 49,* -8,  -6, 1,  1.4, ①①, 2,13, イマスグキスミｰ,---,吉田隼, 0.1, 71,   3,*  2, 2,  4.8, ⑪⑪, 2,10,Ｈポッドフェロｰズ, 69,北村宏, 0.2, 77,*  3,  13, 6, 19.6,⑧④④, 2, 8,Ｂサトノギャラント, 88,北村宏, 0.0, 93,   0,  25, 1,  1.4,⑥⑧⑥
 3, 7,Ｅパイストロピカル, 43,嘉藤貴, 0.8, 49, -13,  -2, 8, 39.7, ③④, 3, 2, シニョリｰナ,---,横山和, 0.3, 68,   5,* -2, 8, 17.6, ⑨⑨, 3,11,Ｄメイユｰル, 72,長岡禎, 0.3, 77,   2,  14, 8, 24.2,④⑥⑥, 3, 6,Ｇピュアブリｰゼ, 81,田辺裕, 0.1, 88,*  3,  16, 7, 17.4,①①①
 4, 5,Ｇワンハンドカット, 39,三浦皇, 1.0, 49, -16,   1, 3, 11.5, ⑦⑥, 4, 1, ウインエレメント,---,石橋脩, 0.3, 69,   1,*  4, 5, 11.0, ⑭⑭, 4, 2,Ｅオパｰルパワｰ, 71,吉田隼, 0.3, 76,   2,  14, 3,  8.7,③⑤⑤, 4, 5,Ａアスカクリチャン, 90,柴田善, 0.2, 93,  -1,  25, 2,  6.8,⑧⑦⑧
 5, 9,Ｆランドロワ, 40,蛯名正, 1.0, 45,*-10,  -8, 5, 25.3, ④③, 5,11, ハｰトオブクラリス,---,後藤浩, 0.5, 68,   8, -10, 1,  4.3, ⑦⑤, 5, 7,Ｆトウショウマナｰズ, 70,田辺裕, 0.3, 75,*  2,  12, 4,  9.7,②②②, 5, 3,Ｃタムロスカイ, 86,後藤浩, 0.2, 87,*  3,  17, 4, 14.1,②②②
 6, 4,Ｄファインシュシュ, 45,的場勇, 1.2, 46, -17,  -1, 4, 15.5, ⑧⑧, 6, 4, トウカイマインド,---,的場勇, 0.7, 67,* 12, -19,14, 72.3, ②②, 6, 1,Ａリｰゼントブルｰス, 81,松岡正, 1.1, 70,*  3,   4, 1,  2.1,①①①, 6, 7,Ｆモンテエン, 83,田中勝, 0.2, 90,   2,  21, 5, 14.5,⑤⑤⑤
 7,11,Ｃケイビエント, 49,後藤浩, 1.4, 44, -17,  -2, 7, 29.9, ⑪⑪, 7, 8, マサノマリリン,---,大野拓, 0.8, 62,   1,  -4, 4,  6.9, ⑬⑬, 7, 6,Ｃマイネルティンラン, 74,丹内祐, 1.1, 72,*  3,   5, 7, 23.0,⑩③③, 7, 2,Ｉアグネスミヌエット, 62,杉原誠, 0.7, 84,   2,  14, 9,138.0,④④④
 8, 1,Ｊミュゼタイフｰン, 17,田中勝, 1.7, 39, -19,  -5, 6, 28.0, ⑩⑩, 8, 3, ミライヘノマイ,---,杉原誠, 0.9, 61,   1,  -6,13, 71.1, ⑫⑫, 8, 5,Ｊダｰクルｰラ, 64,原田和, 1.2, 72,   1,   9, 9, 34.9,⑥⑨⑨, 8, 9,Ｅマルカボルト, 83,石橋脩, 0.7, 82,   2,  11, 3,  8.4,③③③
 9, 6,Ｉヤマニンジュニパｰ, 26,江田照, 1.8, 33,*-10, -21,10,114.4, ②②, 9, 7, アサカラヴァｰズ,---,長岡禎, 1.0, 66,* 20, -32,17,166.7, ①①, 9, 8,Ｇアサクサベルｰガ, 70,後藤浩, 1.3, 70,   1,   7, 5, 10.0,⑤⑦⑦, 9, 1,Ｈイケドラゴン, 76,大野拓, 1.3, 76,  -1,   9, 8, 82.7,⑦⑥⑦
10, 3,Ｈデルマチエチャン, 26,宮崎北, 1.9, 39, -18,  -8,11,233.1, ⑨⑨,10,12, ナイスクオリア,---,柴田善, 1.5, 56,   4, -16,15, 72.9, ⑩⑩,10, 4,Ｉトキノユウ, 65,村田一, 2.2, 67,   2,   2,10,157.7,⑦⑧⑧,,,,,,,,,,,,
11,10,Ｋイｰストフォンテン,  3,木幡初, 3.5, 15, -16, -36, 9,113.2, ⑥⑦,11,18, シュンメガミ,---,木幡初, 1.6, 55,   5, -20, 6, 11.8, ⑧⑧,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12, 9, ヤマホトトギス,---,江田照, 1.8, 54,* 12, -32, 7, 14.1, ③③,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,13,15, シゲルイシカリ,---,嘉藤貴, 2.0, 52,   9, -29,11, 28.6, ④⑥,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,14,16, アイケｰゴｰウィン,---,村田一, 2.0, 51, -10,  -3,16,145.0, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15,10, キョウワメロディｰ,---,松岡正, 2.2, 48,  -3, -18,12, 31.1, ⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16,17, マハｰシュリｰ,---,花田大, 2.5, 45,   7, -35,10, 28.5, ⑤⑦,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,17,14, キャッシュバック,---,田中博, 2.8, 45, -14,  -8,18,183.9, ⑰⑰,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18, 6, デザイアドライブ,---,蛯名正, 3.9, 10, -27,  -6, 9, 23.9, ⑱⑱,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:+11 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:2),,,,,,,,,,,
単勝:490円 複勝:02=120円 08=110円 07=500円 枠連:210円,,,,,,,,,,,,単勝:590円 複勝:05=210円 13=190円 02=450円 枠連:870円,,,,,,,,,,,,"単勝:350円 複勝:03=160円 10=430円 11=480円 枠連:2,130円",,,,,,,,,,,,"単勝:1,650円 複勝:04=320円 08=110円 06=330円 枠連:830円",,,,,,,,,,,
馬連:230円 ワイド:02-08=140円 02-07=900円 07-08=680円,,,,,,,,,,,,"馬連:1,350円 ワイド:05-13=590円 02-05=1,740円 02-13=1,570円",,,,,,,,,,,,"馬連:3,580円 ワイド:03-10=1,160円 03-11=1,260円 10-11=3,370円",,,,,,,,,,,,"馬連:880円 ワイド:04-08=330円 04-06=1,720円 06-08=420円",,,,,,,,,,,
"馬単:680円 3連複:1,620円 3連単:7,520円",,,,,,,,,,,,"馬単:2,730円 3連複:7,920円 3連単:45,190円",,,,,,,,,,,,"馬単:5,080円 3連複:20,960円 3連単:97,950円",,,,,,,,,,,,"馬単:2,750円 3連複:3,610円 3連単:31,790円",,,,,,,,,,,
■ 3R  芝1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 6R  ダ1600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 9R  ダ1400m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■12R  ダ1400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,西湖特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｉアルバｰト, 40,石橋脩,, 63,  -2,*  4, 5, 10.3,⑩⑧⑧, 1, 8,Ｂニットウビクトリｰ, 76,柴田善,, 71,* -4,* 15, 3,  8.2, ②②, 1, 7,Ａカチュｰシャ, 82,石橋脩,, 84,*  2,* 23, 2,  3.3, ③②, 1,12,Ｂピオニエトウショウ, 73,丸田恭,, 78,*  6,  15, 3,  7.0, ②②
 2, 4,Ｈアンジュデュバン, 47,大野拓, 0.0, 62,*  3,  -4, 3,  6.1,②②②, 2, 7,Ｆイッツガナハプン, 68,大野拓, 0.2, 73,  -6,* 16, 7, 34.5, ⑦⑦, 2, 6,Ｂダンシングミッシｰ, 79,勝浦正, 0.0, 83,   0,* 26, 3,  6.3, ⑥⑤, 2, 7,Ｃテムジン, 72,蛯名正, 0.0, 79,  -1,* 22, 5, 10.2, ⑩⑩
 3, 9,Ｅチェｰザレ, 51,北村宏, 0.0, 61,*  2,  -4, 1,  2.1,⑤④③, 3, 9,Ａブライアンズオｰラ, 79,松岡正, 0.4, 69,  -6,  14, 1,  1.5, ⑥⑤, 3, 8,Ｃタイキソレイユ, 78,松岡正, 0.8, 78,  -3,  22, 5, 12.7, ⑩⑧, 3,13, セイウンロワイヤル,---,北村宏, 0.6, 73,*  4,  10, 4,  7.8, ④③
 4, 5,Ｂコスモカパルア, 54,嘉藤貴, 0.2, 61,   0,  -2, 6, 16.8,④⑤⑤, 4,10,Ｅヤマニンティグル, 72,長岡禎, 0.7, 68,  -5,  10, 9,111.4, ③③, 4, 1,Ｎヒメサクラ, 71,柴田善, 0.9, 76,*  1,  17, 7, 26.0, ⑤④, 4,10,Ｅセツナ, 70,石橋脩, 0.8, 73,  -4,* 19, 2,  6.1, ⑬⑬
 5, 3,Ａユキノアカツキ, 54,柴田善, 0.3, 61,  -3,*  2, 4,  6.5,⑧⑨⑨, 5, 6,Ｄオリオンザムｰン, 72,田辺裕, 0.9, 66,  -7,  12, 2,  5.9, ⑩⑧, 5, 2,Ｈドナリサ, 75,大野拓, 1.0, 77,  -2,  20, 8, 28.0, ⑨⑦, 5, 9,Ｄドルモン, 71,柴田善, 1.0, 71,  -5,* 19, 6, 10.8, ⑭⑭
 6, 1,Ｆモｰレアモｰレ, 49,勝浦正, 0.5, 56,*  2, -13, 9, 43.6,①①①, 6, 3,Ｊオンライン, 62,吉田隼, 1.1, 65,  -6,   8,10,120.2, ⑤⑥, 6,12,Ｅクロタカ, 77,嶋田純, 1.1, 75,  -6,* 24, 1,  3.0, ⑬⑭, 6, 4,Ａピグマリオン, 77,田中勝, 1.1, 70,   4,   8, 1,  2.4, ③④
 7, 2,Ｃガラハッド, 53,黛弘人, 0.6, 56,   1,  -9, 8, 41.7,③③④, 7, 5,Ｃスリｰプレシャス, 74,山崎亮, 1.1, 66,  -8,  11, 5, 15.8, ⑨⑩, 7,14,Ｏヴァレンティｰネ, 69,三浦皇, 1.2, 74,   0,  15, 9, 28.6, ④⑥, 7,11,Ｆクレバｰカイオウ, 67,田辺裕, 1.4, 68,   1,   7, 7, 14.1, ⑨⑧
